Date,Exp,Type,Pred_YN,Time.day,Pred_T0.dens.ml,Pred_T24.dens.ml,Dexio_T0.dens.ml,Dexio_T24.dens.ml,Colp_T0.dens.ml,Colp_T24.dens.ml,Para_T0.dens.ml,Para_T24.dens.ml
7.12.2021,DP,Para_Con,N,1.0443,0,0,1,1,NA,NA,25,18.97773171
7.12.2021,DP,Para_FR,Y,1.0171,5,3,1,1,NA,NA,25,45.78356911
7.12.2021,DP,Para_Con,N,1.0235,0,0,1,1,NA,NA,60,61.45647154
7.12.2021,DP,Para_FR,Y,1.0891,5,0,1,1,NA,NA,60,75.77739837
7.12.2021,DP,Para_Con,N,1.0395,0,0,1,1,NA,NA,140,195.3855122
7.12.2021,DP,Para_FR,Y,1.0123,5,3,1,1,NA,NA,140,173.036187
7.12.2021,DP,Para_Con,N,1.1147,0,0,1,1,NA,NA,325,312.9072439
7.12.2021,DP,Para_FR,Y,1.0219,5,0,1,1,NA,NA,325,371.7098374
8.12.2021,DP,Para_Con,N,1.0911,0,0,1,1,NA,NA,40,37.48811382
8.12.2021,DP,Para_FR,Y,1.1121,5,3,1,1,NA,NA,40,34.58386992
8.12.2021,DP,Para_Con,N,1.0641,0,0,1,1,NA,NA,90,111.3961138
8.12.2021,DP,Para_FR,Y,1.0161,5,0,1,1,NA,NA,90,183.9688293
8.12.2021,DP,Para_Con,N,1.0176,0,0,1,1,NA,NA,210,180.8809837
8.12.2021,DP,Para_FR,Y,1.0581,5,7,1,1,NA,NA,210,202.4124472
8.12.2021,DP,Para_Con,N,1.0596,0,0,1,1,NA,NA,500,351.0129268
8.12.2021,DP,Para_FR,Y,1.1031,5,10,1,1,NA,NA,500,375.5153984
10.12.2021,DP,Para_Con,N,1.0429,0,0,1,1,NA,NA,25,20.71360163
10.12.2021,DP,Para_FR,Y,1.0845,5,0,1,1,NA,NA,25,17.6257561
10.12.2021,DP,Para_Con,N,1.0093,0,0,1,1,NA,NA,60,43.74726016
10.12.2021,DP,Para_FR,Y,1.0733,5,3,1,1,NA,NA,60,80.067
10.12.2021,DP,Para_Con,N,1.1117,0,0,1,1,NA,NA,140,132.844122
10.12.2021,DP,Para_FR,Y,1.0861,5,0,1,1,NA,NA,140,114.5340325
10.12.2021,DP,Para_Con,N,1.0397,0,0,1,1,NA,NA,325,240.1676179
10.12.2021,DP,Para_FR,Y,1.0701,5,0,1,1,NA,NA,325,224.1442033
11.12.2021,DP,Para_Con,N,1.1037,0,0,1,1,NA,NA,40,38.13906504
11.12.2021,DP,Para_FR,Y,1.1127,5,0,1,1,NA,NA,40,30.0605935
11.12.2021,DP,Para_Con,N,1.0623,0,0,1,1,NA,NA,90,88.49598374
11.12.2021,DP,Para_FR,Y,1.0641,5,7,1,1,NA,NA,90,63.35925203
11.12.2021,DP,Para_Con,N,1.0929,0,0,1,1,NA,NA,210,146.2637317
11.12.2021,DP,Para_FR,Y,1.0785,5,3,1,1,NA,NA,210,155.7776341
11.12.2021,DP,Para_Con,N,1.1109,0,0,1,1,NA,NA,500,324.6410569
11.12.2021,DP,Para_FR,Y,1.0407,5,0,1,1,NA,NA,500,381.0568293
13.12.2021,DP,Para_Con,N,1.0644,0,0,1,1,NA,NA,25,16.49076423
13.12.2021,DP,Para_FR,Y,1.09,5,3,1,1,NA,NA,25,37.55487805
13.12.2021,DP,Para_Con,N,1.1316,0,0,1,1,NA,NA,60,50.77419512
13.12.2021,DP,Para_FR,Y,1.0612,5,3,1,1,NA,NA,60,33.24858537
13.12.2021,DP,Para_Con,N,1.0916,0,0,1,1,NA,NA,140,127.886878
13.12.2021,DP,Para_FR,Y,1.0356,5,0,1,1,NA,NA,140,124.047935
13.12.2021,DP,Para_Con,N,1.0852,0,0,1,1,NA,NA,325,295.5151626
