a_log,a12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,-5e-05,-2,0.2,0.2,,-2.33186416889346,-0.000190606719413249,-3.25727954585718,0.211885610244028,0.242727190554723,0,1759.53791480963,-864.067967807414,91
-3,-2e-04,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,61
-2.5,-0.00035,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,32
-1,-5e-05,-4,0.2,0.2,,-1.69068232498667,-0.000379650140026328,-1.75144193948307,0.232439392331456,0.249267647652242,0,1868.49930433177,-918.548662568486,45
-3,-0.00035,-5,0.2,0.2,,-2.33177865059943,-0.000190542606497056,-3.25720664702591,0.21184623930034,0.24274469180718,0,1759.53797970948,-864.068000257341,6
-1,-5e-04,-2,0.2,0.2,,-2.33179492912877,-0.000190586971273139,-3.25723165342884,0.211865686897143,0.242659565461814,0,1759.5380109103,-864.06801585775,80
-1.5,-5e-05,-1,0.2,0.2,,-2.3323884368805,-0.000190396242391148,-3.25599554999246,0.211875705843188,0.242706143144255,0,1759.53813292466,-864.068076864928,119
-3,-0.00035,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,106
-3,-5e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,26
-1.5,-5e-05,-2,0.2,0.2,,-2.331890424372,-0.00019056708719281,-3.25628443544682,0.211896524513957,0.242792923625206,0,1759.53801697534,-864.068018890269,94
-1,-5e-04,-5,0.2,0.2,,-2.47066268918079,-0.000163953140024798,-4.0132594576261,0.213450471983917,0.242181836065774,0,1769.47783863096,-869.037929718081,5
-2,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,103
-2,-5e-05,-1,0.2,0.2,,-2.33170189531478,-0.000190668256530889,-3.25635631494946,0.211891090302224,0.242715089365744,0,1759.53794356689,-864.067982186046,118
-2,-0.00035,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,83
-1.5,1e-04,-3,0.2,0.2,,-1.57338907060921,-0.000428225971352567,-1.80366474764345,0.24148723570682,0.25202523460254,0,1897.77155642106,-933.184788613131,74
-2.5,1e-04,-5,0.2,0.2,,-2.33162513643202,-0.000190614438638737,-3.25679798334457,0.211919539669681,0.242710354547382,0,1759.53797001275,-864.067995408974,22
-1.5,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,104
-2,1e-04,-3,0.2,0.2,,-2.33172263123381,-0.000190630789107598,-3.25676368638653,0.211861266282618,0.2427053828727,0,1759.53793766287,-864.067979234034,73
-1.5,1e-04,-5,0.2,0.2,,-2.33193534995706,-0.000190152235337937,-3.2567102825681,0.211635705941774,0.242744991165942,0,1759.54041137385,-864.069216089526,24
-2.5,-5e-05,-3,0.2,0.2,,-2.33207438093373,-0.000190479312802333,-3.25840938683334,0.211924426404063,0.242725673157777,0,1759.53802297929,-864.068021892242,67
-1.5,-5e-05,-3,0.2,0.2,,-2.33180180128044,-0.000190587003641127,-3.25754711841495,0.211889005000312,0.242707462114607,0,1759.53793474215,-864.067977773675,69
-2,-5e-04,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,53
-1.5,-2e-04,-3,0.2,0.2,,-2.33170596458422,-0.000190616125986287,-3.25648835691484,0.211841745418896,0.242745785340485,0,1759.53796623072,-864.067993517959,64
