a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-2,-10,0.2,0.2,,-2.21746350677327,-3.53963879884631,-5.19721139025815,0.213994995852431,0.242675549508635,0,1770.09119826312,-869.344609534158,19
-2,-2,-6.25,0.2,0.2,,-2.21687986039495,-3.53948196129258,-5.19579815131559,0.213982608117147,0.242739626618885,0,1770.09115803112,-869.344589418161,93
-3,-3,-10,0.2,0.2,,-2.62427514074401,-6.11041300384521,-5.54021954011409,0.221149279248156,0.241201679026164,0,1810.06712914126,-889.332574973231,11
-2,-3,-6.25,0.2,0.2,,-2.21701990723981,-3.53810729452029,-5.19591311433124,0.213982567026052,0.242708436394944,0,1770.09119884237,-869.344609823786,88
-3,-2,-8.75,0.2,0.2,,-2.21737970480798,-3.53892745707125,-5.19676404446006,0.214012245710326,0.24270851818754,0,1770.09116944153,-869.344595123362,41
-3,-1,-5,0.2,0.2,,-2.21730504879459,-3.53900325151276,-5.19580179888768,0.214016749816264,0.242571116185275,0,1770.09158778306,-869.344804294129,121
-2,-2,-7.5,0.2,0.2,,-2.21687986039495,-3.53948196129258,-5.19579815131559,0.213982608117147,0.242739626618885,0,1770.09115803112,-869.344589418161,68
-1,-2,-5,0.2,0.2,,-2.2170156772851,-3.54044284793374,-5.19527419782271,0.213975450648923,0.242779698712024,0,1770.09125126199,-869.344636033597,120
-2,-3,-10,0.2,0.2,,-2.21701990723981,-3.53810729452029,-5.19591311433124,0.213982567026052,0.242708436394944,0,1770.09119884237,-869.344609823786,13
-2.5,-3,-8.75,0.2,0.2,,-2.21668853081381,-3.53904254227093,-5.19591315564241,0.213983048665776,0.242759619545255,0,1770.09120283923,-869.344611822214,37
-2.5,-1,-10,0.2,0.2,,-2.21707794344772,-3.53883343971182,-5.19638888915541,0.214006783123727,0.242736431088205,0,1770.09115363704,-869.344587221121,22
-1,-2,-6.25,0.2,0.2,,-2.2170156772851,-3.54044284793374,-5.19527419782271,0.213975450648923,0.242779698712024,0,1770.09125126199,-869.344636033597,95
-3,-3,-7.5,0.2,0.2,,-2.62427514074401,-6.11041300384521,-5.54021954011409,0.221149279248156,0.241201679026164,0,1810.06712914126,-889.332574973231,61
-1.5,-5,-10,0.2,0.2,,-2.21665366065245,-3.53899558787496,-5.19552243181778,0.21399711742987,0.242731745225217,0,1770.0911632165,-869.34459201085,4
-2.5,-4,-10,0.2,0.2,,-2.21737741085148,-3.53807404169317,-5.19645462765389,0.213936108537163,0.242679625637651,0,1770.09135139768,-869.34468610144,7
-1,-4,-5,0.2,0.2,,-2.21613343222389,-3.53810623982323,-5.19491816376208,0.213964510508257,0.242716248944032,0,1770.09128399368,-869.344652399439,110
-2.5,-2,-5,0.2,0.2,,-2.21754348086579,-3.54347565602998,-5.19622461587938,0.213992986651809,0.242662356173605,0,1770.09160857894,-869.34481469207,117
-2.5,-5,-8.75,0.2,0.2,,-2.21703323759322,-3.5392912774023,-5.19625307124707,0.21402161922722,0.242706551777048,0,1770.09115529698,-869.344588051089,27
-3,-5,-8.75,0.2,0.2,,-2.21737556212884,-3.53908152369618,-5.19751852895083,0.214017909956154,0.242731045214276,0,1770.09119025202,-869.344605528612,26
-2,-3,-5,0.2,0.2,,-2.21701990723981,-3.53810729452029,-5.19591311433124,0.213982567026052,0.242708436394944,0,1770.09119884237,-869.344609823786,113
-3,-2,-7.5,0.2,0.2,,-2.21737970480798,-3.53892745707125,-5.19676404446006,0.214012245710326,0.24270851818754,0,1770.09116944153,-869.344595123362,66
-1.5,-1,-7.5,0.2,0.2,,-2.21780634644636,-3.54508101222233,-5.19536851245546,0.213973695909541,0.242598256032999,0,1770.09212627832,-869.34507354176,74
-1,-2,-8.75,0.2,0.2,,-2.2170156772851,-3.54044284793374,-5.19527419782271,0.213975450648923,0.242779698712024,0,1770.09125126199,-869.344636033597,45
-3,-5,-5,0.2,0.2,,-2.21737556212884,-3.53908152369618,-5.19751852895083,0.214017909956154,0.242731045214276,0,1770.09119025202,-869.344605528612,101
-1.5,-4,-8.75,0.2,0.2,,-2.21712874894241,-3.53842700503299,-5.19614999055079,0.213962914516977,0.242757191770739,0,1770.09122883397,-869.344624819587,34
-1.5,-5,-5,0.2,0.2,,-2.21676932569982,-3.53987574202565,-5.19500171717566,0.213996578867007,0.242634257273129,0,1770.09128563258,-869.344653218888,104
-1,-4,-7.5,0.2,0.2,,-2.21718727658058,-3.53835893206786,-5.19602778404961,0.213976155221534,0.242702644515327,0,1770.09120890867,-869.344614856933,60
-1.5,-2,-7.5,0.2,0.2,,-2.21937507809208,-3.54156159573499,-5.20112250457736,0.213999626165228,0.242681935848461,0,1770.0919365909,-869.344978698052,69
-1,-5,-6.25,0.2,0.2,,-2.63190085583447,-5.76227815170025,-5.70710544293257,0.222345639075706,0.241996868929703,0,1808.55829961196,-888.578160208581,80
-2,-5,-8.75,0.2,0.2,,-2.21538867851653,-3.53709407719334,-5.19322428983078,0.213976227974355,0.24270165986141,0,1770.09155037858,-869.344785591892,28
-2,-5,-5,0.2,0.2,,-2.21538867851653,-3.53709407719334,-5.19322428983078,0.213976227974355,0.24270165986141,0,1770.09155037858,-869.344785591892,103
-1.5,-3,-10,0.2,0.2,,-2.56965083605119,-5.50506174430396,-5.5636930231729,0.220455261652739,0.241792431860519,0,1804.11678449225,-886.357402648727,14
-3,-4,-8.75,0.2,0.2,,-2.21701984381904,-3.53922693065829,-5.19534454985819,0.213975685988913,0.242746250171911,0,1770.09118679456,-869.344603799878,31
-2,-5,-10,0.2,0.2,,-2.21538867851653,-3.53709407719334,-5.19322428983078,0.213976227974355,0.24270165986141,0,1770.09155037858,-869.344785591892,3
-2.5,-5,-10,0.2,0.2,,-2.21702434885937,-3.53936816712477,-5.19633685119528,0.213977431529108,0.242731477167406,0,1770.09115566127,-869.344588233234,2
-1.5,-1,-10,0.2,0.2,,-2.21642163199301,-3.53824223856217,-5.1956193313275,0.214031265052782,0.242751739429538,0,1770.09125638069,-869.344638592942,24
-1.5,-1,-8.75,0.2,0.2,,-2.21642163199301,-3.53824223856217,-5.1956193313275,0.214031265052782,0.242751739429538,0,1770.09125638069,-869.344638592942,49
-2,-1,-8.75,0.2,0.2,,-2.21703127056414,-3.53889300941235,-5.19665007738943,0.213993004512154,0.24267255974282,0,1770.09118644949,-869.344603627343,48
-2,-1,-5,0.2,0.2,,-2.21703127056414,-3.53889300941235,-5.19665007738943,0.213993004512154,0.24267255974282,0,1770.09118644949,-869.344603627343,123
-3,-1,-10,0.2,0.2,,-2.21671011924926,-3.53929779748349,-5.1953066211139,0.213988701852491,0.242728408160673,0,1770.09115759912,-869.344589202161,21
-1.5,-5,-7.5,0.2,0.2,,-2.21676932569982,-3.53987574202565,-5.19500171717566,0.213996578867007,0.242634257273129,0,1770.09128563258,-869.344653218888,54
-1,-5,-7.5,0.2,0.2,,-2.63190085583447,-5.76227815170025,-5.70710544293257,0.222345639075706,0.241996868929703,0,1808.55829961196,-888.578160208581,55
-3,-1,-7.5,0.2,0.2,,-2.21671011924926,-3.53929779748349,-5.1953066211139,0.213988701852491,0.242728408160673,0,1770.09115759912,-869.344589202161,71
-2,-1,-7.5,0.2,0.2,,-2.21703127056414,-3.53889300941235,-5.19665007738943,0.213993004512154,0.24267255974282,0,1770.09118644949,-869.344603627343,73
-3,-2,-10,0.2,0.2,,-2.2168955982205,-3.53969033341833,-5.19553118729072,0.21399290866327,0.242717086366728,0,1770.09114555287,-869.344583179033,16
-2,-3,-8.75,0.2,0.2,,-2.21709823429548,-3.53916689252758,-5.19646308224397,0.213989908872315,0.242696088868399,0,1770.09115001203,-869.344585408616,38
-1,-3,-5,0.2,0.2,,-2.21707148531012,-3.53929094020916,-5.19663487534663,0.213967014506104,0.242696199295329,0,1770.09117802309,-869.344599414142,115
-1.5,-3,-5,0.2,0.2,,-2.56965083605119,-5.50506174430396,-5.5636930231729,0.220455261652739,0.241792431860519,0,1804.11678449225,-886.357402648727,114
-1,-3,-7.5,0.2,0.2,,-2.21707148531012,-3.53929094020916,-5.19663487534663,0.213967014506104,0.242696199295329,0,1770.09117802309,-869.344599414142,65
-3,-3,-6.25,0.2,0.2,,-2.21660631546093,-3.5400189226423,-5.19440504513021,0.21400985651114,0.242700355310635,0,1770.09120191824,-869.344611361721,86
-2.5,-2,-6.25,0.2,0.2,,-2.21771585201162,-3.54079344824169,-5.19754766591443,0.213922363103045,0.242580987536991,0,1770.09170839162,-869.344864598412,92
-2,-4,-10,0.2,0.2,,-2.21701489048347,-3.53999223263826,-5.19588778021456,0.213982438408535,0.242737000732052,0,1770.09116190371,-869.344591354455,8
-3,-4,-5,0.2,0.2,,-2.21698830797616,-3.53910287672723,-5.19710833412306,0.21400172141509,0.242727034680086,0,1770.09119352672,-869.344607165959,106
-1.5,-3,-8.75,0.2,0.2,,-2.2988405519125,-3.67424388073569,-5.36648357714478,0.214344887813198,0.242572754812387,0,1771.2242263389,-869.911123572051,39
