a_log,h_log,sigma,sigma2,error,a_log.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.11111111111111,-1.44444444444444,0.2,0.2,,-2.74967407358769,-3.26585835870612,0.227421129070228,0.242816982279134,0,1829.12817947891,-902.003298061532,85
-3,-1.88888888888889,0.2,0.2,,-2.74980321406314,-3.26500199263982,0.22740923823428,0.242802444818649,0,1829.12816003014,-902.00328833715,71
-2.33333333333333,-3.22222222222222,0.2,0.2,,-2.74987155957232,-3.2649899222317,0.227407506534439,0.24277693958281,0,1829.12816227949,-902.003289461827,44
-1,-5,0.2,0.2,,-2.72377784396144,-3.13150260119452,0.227374446562995,0.242950515088485,0,1829.39377582321,-902.136096233683,10
-1.22222222222222,-3.22222222222222,0.2,0.2,,-2.7498350684371,-3.26569516318462,0.227417683019378,0.242780521818074,0,1829.12815285482,-902.00328474949,49
-2.33333333333333,-1.88888888888889,0.2,0.2,,-2.74979555639519,-3.26397457045078,0.227414710199148,0.242781444983941,0,1829.12817988616,-902.003298265157,74
-2.77777777777778,-3.66666666666667,0.2,0.2,,-2.74945824606092,-3.26362316963142,0.227434320832896,0.242769722586414,0,1829.1281772637,-902.003296953929,32
-2.11111111111111,-4.55555555555556,0.2,0.2,,-2.74967404177177,-3.26441641900709,0.227426229678513,0.242755423674471,0,1829.12816651631,-902.003291580233,15
-2.33333333333333,-1,0.2,0.2,,-2.74963419501822,-3.26500703257435,0.227424313839668,0.242795375696799,0,1829.12814786951,-902.003282256834,94
-2.11111111111111,-2.77777777777778,0.2,0.2,,-2.74969489200833,-3.26495388665432,0.227432929947457,0.242757992809466,0,1829.12815780768,-902.00328722592,55
-1.66666666666667,-1.88888888888889,0.2,0.2,,-2.74967124789838,-3.26448211503857,0.227438294538612,0.24276278706799,0,1829.12815964695,-902.003288145554,77
-2.77777777777778,-4.55555555555556,0.2,0.2,,-2.7491879180985,-3.26339676709465,0.227505017367196,0.242736316501755,0,1829.12836432794,-902.003390486047,12
-2.11111111111111,-1.88888888888889,0.2,0.2,,-2.74956061545653,-3.26505836188857,0.227405632572666,0.242777254849012,0,1829.12816318537,-902.003289914767,75
