a_log,h12,h_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-0.00035,-3,0.2,0.2,,-2.48011835207023,-2.65319556462627,0.000420763146634638,0.226946280552303,0.24379653890272,0,1827.71158281318,-898.154801809188,58
-2.5,-2e-04,-5,0.2,0.2,,-2.56381218189246,-4.63741009988377,0.000619089442785472,0.219991741735215,0.24276267213293,0,1799.57560882614,-884.08681481567,12
-3,-5e-04,-3,0.2,0.2,,-2.5371571176489,-2.72500983559244,0.000382157341382406,0.227413292904571,0.244792249297927,0,1825.42307902015,-897.010549912673,51
-1.5,-5e-05,-3,0.2,0.2,,-2.46072634202975,-2.51053411521395,0.000412889325050638,0.228362303123572,0.242223448370482,0,1833.73496946049,-901.166495132843,69
-2,-0.00035,-1,0.2,0.2,,-2.7734600078873,-2.91113573978685,0.000233698062112641,0.225636640414298,0.257932667581391,0,1834.39148588891,-901.494753347053,108
-2.5,-5e-05,-1,0.2,0.2,,-2.57077377429669,-4.81882024301593,0.000627436481085044,0.219966502231398,0.24268762450433,0,1799.52069580125,-884.059358303227,117
-2,-2e-04,-2,0.2,0.2,,-2.57108985261968,-4.82077335350928,0.000627194866984183,0.219967246524242,0.242714510681675,0,1799.520680992,-884.059350898599,88
-2.5,-5e-04,-1,0.2,0.2,,-2.57091954649639,-4.81900371371676,0.000627304224663327,0.219985962636708,0.242704638071096,0,1799.52067609581,-884.059348450506,102
-1.5,1e-04,-3,0.2,0.2,,-2.46139454905423,-2.51523368934813,0.000413293457724479,0.228232447908361,0.242144777985532,0,1833.520617075,-901.059318940101,74
-3,-2e-04,-2,0.2,0.2,,-2.57095985480388,-4.81670133709501,0.000626864777427535,0.219984470745558,0.242713218995858,0,1799.52068350341,-884.059352154303,86
-1.5,-2e-04,-2,0.2,0.2,,-2.66479747589067,-2.35597412403788,0.000225820327040411,0.241577612540096,0.245960737790423,0,1848.57993044633,-908.588975625763,89
-2,1e-04,-3,0.2,0.2,,-2.4999884750132,-2.91545663496475,0.000448259141819992,0.223256736597776,0.242803253222004,0,1818.59981697595,-893.598918890573,73
