a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-3,-7.5,0.2,0.2,,-2.15498649972259,-3.27379136631111,-4.9487159539487,0.214066890494131,0.242761869949538,0,1770.511732543,-869.5548766741,65
-2,-2,-7.5,0.2,0.2,,-2.16654465675625,-3.28424140847562,-4.97168472224173,0.214008474752705,0.242718938628807,0,1770.52468786896,-869.56135433708,68
-2,-2,-8.75,0.2,0.2,,-2.16654465675625,-3.28424140847562,-4.97168472224173,0.214008474752705,0.242718938628807,0,1770.52468786896,-869.56135433708,43
-1,-5,-5,0.2,0.2,,-2.15611020619556,-3.2782624927136,-4.94780842590097,0.214023377746231,0.242801353982512,0,1770.51224022668,-869.555130515941,105
-2.5,-1,-5,0.2,0.2,,-2.15499891894375,-3.27488848378009,-4.94853491482263,0.214081250759394,0.242732871464175,0,1770.51167804881,-869.554849427005,122
-1.5,-2,-8.75,0.2,0.2,,-2.15553486268768,-3.27257032633566,-4.95083204581266,0.21406006636578,0.242893114186777,0,1770.51241567412,-869.555218239662,44
-1,-5,-7.5,0.2,0.2,,-2.15611020619556,-3.2782624927136,-4.94780842590097,0.214023377746231,0.242801353982512,0,1770.51224022668,-869.555130515941,55
-3,-4,-6.25,0.2,0.2,,-2.15460758591922,-3.27397370558472,-4.94830066521875,0.214072118955746,0.242730493468671,0,1770.51171008143,-869.554865443316,81
-2,-1,-10,0.2,0.2,,-2.15484212325911,-3.27507482700059,-4.94794305506576,0.214060188583,0.242735111968396,0,1770.51168090925,-869.554850857226,23
-2,-4,-5,0.2,0.2,,-2.74950436131034,-3.26458713273449,-18.3065143992743,0.227429845045205,0.242769720660681,0,1835.40805458262,-902.003037693911,108
-2,-5,-7.5,0.2,0.2,,-2.15533283289114,-3.27557452298539,-4.94878163954299,0.214078343107402,0.242739980249023,0,1770.5116896014,-869.5548552033,53
-2.5,-4,-10,0.2,0.2,,-2.15527790084527,-3.27515793230292,-4.94881098077703,0.214082729965684,0.242744665932219,0,1770.51168991122,-869.55485535821,7
-2.5,-1,-8.75,0.2,0.2,,-2.15499891894375,-3.27488848378009,-4.94853491482263,0.214081250759394,0.242732871464175,0,1770.51167804881,-869.554849427005,47
-1.5,-4,-5,0.2,0.2,,-2.15439058964108,-3.27444086504372,-4.94719993949623,0.214065640182177,0.242722411501397,0,1770.51171660259,-869.554868703895,109
-2.5,-4,-8.75,0.2,0.2,,-2.15527790084527,-3.27515793230292,-4.94881098077703,0.214082729965684,0.242744665932219,0,1770.51168991122,-869.55485535821,32
-2,-1,-7.5,0.2,0.2,,-2.15484212325911,-3.27507482700059,-4.94794305506576,0.214060188583,0.242735111968396,0,1770.51168090925,-869.554850857226,73
-1,-1,-5,0.2,0.2,,-2.95188163393114,-2.36619572633499,-6.85828663636449,0.223492668153555,0.238802992699079,0,1867.39883630645,-917.998428555826,125
-2,-3,-5,0.2,0.2,,-2.15499200798639,-3.27592945828925,-4.9476965818302,0.214085885057417,0.242750261752132,0,1770.51171929126,-869.554870048229,113
-2,-4,-6.25,0.2,0.2,,-2.74950436131034,-3.26458713273449,-18.3065143992743,0.227429845045205,0.242769720660681,0,1835.40805458262,-902.003037693911,83
-2,-5,-10,0.2,0.2,,-2.15533283289114,-3.27557452298539,-4.94878163954299,0.214078343107402,0.242739980249023,0,1770.5116896014,-869.5548552033,3
-3,-4,-8.75,0.2,0.2,,-2.15460758591922,-3.27397370558472,-4.94830066521875,0.214072118955746,0.242730493468671,0,1770.51171008143,-869.554865443316,31
-3,-5,-6.25,0.2,0.2,,-2.15110384895872,-3.27742183380577,-4.94163262728298,0.214116905991022,0.242646220378997,0,1770.5146934663,-869.556357135749,76
-3,-1,-7.5,0.2,0.2,,-2.15473527061679,-3.27356728701987,-4.94868975584513,0.214076506232411,0.242698611934005,0,1770.5117495205,-869.554885162851,71
-1,-4,-5,0.2,0.2,,-2.15516936665084,-3.27516184483083,-4.94974850586544,0.214044963778819,0.242723624313505,0,1770.51172666634,-869.554873735772,110
-2.5,-3,-8.75,0.2,0.2,,-2.52537833493015,-3.70432948458067,-5.67243697655591,0.215713890428595,0.2426415369964,0,1784.11828423143,-876.358152518313,37
-1,-2,-8.75,0.2,0.2,,-2.15578283116611,-3.27530956724841,-4.94919449739068,0.214086963613724,0.242718104566007,0,1770.5117839977,-869.554902401448,45
-2,-1,-6.25,0.2,0.2,,-2.15520808221792,-3.27561808345778,-4.94869173411974,0.214078755178427,0.242739459002351,0,1770.51168393859,-869.554852371896,98
-1,-5,-6.25,0.2,0.2,,-2.15501841468058,-3.27602222324639,-4.94890438127208,0.214071008875129,0.242743120963331,0,1770.51172436565,-869.554872585423,80
-1.5,-5,-5,0.2,0.2,,-2.15518436354488,-3.27726825641408,-4.94723047533419,0.21407254176415,0.242763834569767,0,1770.51184897196,-869.554934888581,104
-1,-1,-6.25,0.2,0.2,,-2.15449990997998,-3.27319328006579,-4.94750921548904,0.214134437821236,0.242659075192444,0,1770.51196370825,-869.554992256723,100
-2.5,-1,-10,0.2,0.2,,-2.15503135458508,-3.27501634166503,-4.94848320272136,0.214069239517261,0.242728682833171,0,1770.51167372971,-869.554847267454,22
-2.5,-5,-7.5,0.2,0.2,,-2.15532007359132,-3.27550926646867,-4.94906961514338,0.21406894882602,0.242732564896928,0,1770.51168160547,-869.554851205334,52
-1,-2,-5,0.2,0.2,,-2.15578283116611,-3.27530956724841,-4.94919449739068,0.214086963613724,0.242718104566007,0,1770.5117839977,-869.554902401448,120
-1,-4,-6.25,0.2,0.2,,-2.15520198257341,-3.27687393825105,-4.94847335232835,0.214173619304685,0.24260142168889,0,1770.51232134758,-869.555171076387,85
-2.5,-1,-7.5,0.2,0.2,,-2.15503135458508,-3.27501634166503,-4.94848320272136,0.214069239517261,0.242728682833171,0,1770.51167372971,-869.554847267454,72
-3,-2,-8.75,0.2,0.2,,-2.15501381431949,-3.27605601486487,-4.94590788989819,0.214037495783402,0.242735009536708,0,1770.51195092478,-869.554985864991,41
-3,-2,-10,0.2,0.2,,-2.15501381431949,-3.27605601486487,-4.94590788989819,0.214037495783402,0.242735009536708,0,1770.51195092478,-869.554985864991,16
-1,-3,-5,0.2,0.2,,-2.15579365634033,-3.27436789311017,-4.95056339648575,0.214139155717932,0.242814700433578,0,1770.51202533782,-869.555023071507,115
-1,-4,-8.75,0.2,0.2,,-2.15520198257341,-3.27687393825105,-4.94847335232835,0.214173619304685,0.24260142168889,0,1770.51232134758,-869.555171076387,35
-2,-5,-6.25,0.2,0.2,,-2.15727321300955,-3.27672232913981,-4.95282769286372,0.214021920564224,0.242817558760913,0,1770.51234423,-869.555182517597,78
-2.5,-5,-6.25,0.2,0.2,,-2.15532007359132,-3.27550926646867,-4.94906961514338,0.21406894882602,0.242732564896928,0,1770.51168160547,-869.554851205334,77
-1.5,-3,-5,0.2,0.2,,-2.15621280146818,-3.2751648748555,-4.95022521421016,0.21411053027727,0.242736413083537,0,1770.51191487036,-869.554967837778,114
-2.5,-2,-8.75,0.2,0.2,,-2.1550487801191,-3.2750803097064,-4.94862661617646,0.214095620187656,0.242726864117903,0,1770.51169162169,-869.554856213444,42
-1.5,-5,-8.75,0.2,0.2,,-2.15518436354488,-3.27726825641408,-4.94723047533419,0.21407254176415,0.242763834569767,0,1770.51184897196,-869.554934888581,29
-1,-2,-7.5,0.2,0.2,,-2.15578283116611,-3.27530956724841,-4.94919449739068,0.214086963613724,0.242718104566007,0,1770.5117839977,-869.554902401448,70
-1.5,-1,-5,0.2,0.2,,-2.15481269779793,-3.27439626485248,-4.94894736112967,0.214071260581515,0.242699618758859,0,1770.51172322343,-869.554872014315,124
-3,-3,-5,0.2,0.2,,-2.15493772741759,-3.27426338198815,-4.94877467188118,0.214087159502259,0.242736395259833,0,1770.51169849657,-869.554859650882,111
-2.5,-4,-7.5,0.2,0.2,,-2.15487126985938,-3.27473325043327,-4.94848138569328,0.214049646574043,0.242744031428179,0,1770.51168870829,-869.554854756742,57
-2.5,-5,-8.75,0.2,0.2,,-2.15532007359132,-3.27550926646867,-4.94906961514338,0.21406894882602,0.242732564896928,0,1770.51168160547,-869.554851205334,27
-2.5,-3,-7.5,0.2,0.2,,-2.15506937387832,-3.27503073176491,-4.94823748401789,0.214074520548858,0.242736951891908,0,1770.51168200806,-869.554851406629,62
-3,-4,-10,0.2,0.2,,-2.15486818001794,-3.2743782423325,-4.9479650709992,0.214040257078871,0.242727927249551,0,1770.51171083302,-869.554865819111,6
-3,-3,-6.25,0.2,0.2,,-2.1554685381755,-3.27702262816597,-4.94949500916014,0.214095291444939,0.242758617481014,0,1770.51180541388,-869.55491310954,86
-2,-3,-7.5,0.2,0.2,,-2.1595687211837,-3.27790504719082,-4.96201184554243,0.213964567207408,0.242611831073299,0,1770.51503924629,-869.556530025745,63
-1.5,-1,-8.75,0.2,0.2,,-2.15483864556835,-3.27517274941821,-4.94794828392047,0.214056518209414,0.242731124599748,0,1770.51168326385,-869.554852034523,49
-3,-4,-5,0.2,0.2,,-2.15486818001794,-3.2743782423325,-4.9479650709992,0.214040257078871,0.242727927249551,0,1770.51171083302,-869.554865819111,106
-1.5,-4,-8.75,0.2,0.2,,-2.15517659892972,-3.27731537565603,-4.94579987130991,0.214084739363114,0.242691057810486,0,1770.51207313306,-869.555046969131,34
-3,-2,-6.25,0.2,0.2,,-2.15540944795888,-3.27518601365262,-4.94925078558268,0.214082165963505,0.24273259813313,0,1770.51169293413,-869.554856869663,91
-1.5,-5,-7.5,0.2,0.2,,-2.15516456049893,-3.2756354988411,-4.94897750877148,0.214063383744865,0.242696981502654,0,1770.51170774064,-869.554864272921,54
-3,-1,-8.75,0.2,0.2,,-2.15526622320268,-3.27512859779143,-4.94949355345972,0.214068157225176,0.242747712049943,0,1770.51169199733,-869.554856401262,46
-2,-2,-10,0.2,0.2,,-2.15528062384209,-3.27532623539422,-4.94926283296464,0.214088134506158,0.242711377530006,0,1770.51169877441,-869.554859789805,18
-1.5,-3,-10,0.2,0.2,,-2.15318259423431,-3.27388469503078,-4.94238331794973,0.214161235867636,0.242709472286268,0,1770.51248963036,-869.555255217778,14
-1,-2,-6.25,0.2,0.2,,-2.15503791851449,-3.27352326768808,-4.94945234489673,0.214115295508292,0.24275015160489,0,1770.51180397928,-869.554912392241,95
-1.5,-5,-10,0.2,0.2,,-2.15516456049893,-3.2756354988411,-4.94897750877148,0.214063383744865,0.242696981502654,0,1770.51170774064,-869.554864272921,4
-1,-5,-8.75,0.2,0.2,,-2.15518487403138,-3.27501244912152,-4.94830489500229,0.21418958973933,0.242764418626518,0,1770.51205580392,-869.555038304559,30
-2,-3,-8.75,0.2,0.2,,-2.1595687211837,-3.27790504719082,-4.96201184554243,0.213964567207408,0.242611831073299,0,1770.51503924629,-869.556530025745,38
