a_log,h_log,h12,log_w,sigma,sigma2,error,a_log.est,h_log.est,h12.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.5,-2,1e-04,-5,0.2,0.2,,-2.19110628494322,-3.4334516746658,0.000104256733044578,-5.09696866827397,0.213954170726806,0.242686650972655,0,1776.20190613992,-869.259765553081,617
-2,-5,-5e-05,-6.25,0.2,0.2,,-2.43841655683411,-5.51562859547866,0.000460245690629825,-5.91859106293176,0.215860200994098,0.244415515823828,0,1788.18356766621,-875.250596316225,453
-3,-5,-0.00035,-5,0.2,0.2,,-3.00712862074206,-5.65544125909735,0.000298636437664977,-10.2046356255551,0.222202351877596,0.244959282135224,0,1836.99624305618,-899.65693401121,526
-2,-1,-5e-05,-10,0.2,0.2,,-2.19916764628359,-1.20481182101556,-0.000590289985508134,-5.11691711726565,0.260314663237144,0.235978133467229,0,1902.03418278433,-932.175903875286,98
-3,-1,-5e-04,-8.75,0.2,0.2,,-2.3146281523108,-3.96832274554357,0.000272192465200127,-5.55239692401255,0.213560340289151,0.24300500527205,0,1778.69575710877,-870.506691037506,146
-2.5,-1,-5e-04,-6.25,0.2,0.2,,-2.85428049489352,-3.35271590433558,5.67649096350239e-05,-6.76108564702509,0.223262848994761,0.2407831946186,0,1827.31477192079,-894.816198443516,397
-1,-1,-5e-05,-5,0.2,0.2,,-2.68510804200765,-2.48664191619324,0.000222760936750181,-10.4121673225918,0.225878663182442,0.229606984197653,0,1850.00117117325,-906.159398069745,600
-1.5,-5,-5e-04,-7.5,0.2,0.2,,-2.551333419541,-4.2535637960999,0.000576385757105334,-9.64211922651375,0.219569419020114,0.24263818380373,0,1805.1243071361,-883.720966051168,254
-2,-5,-2e-04,-10,0.2,0.2,,-2.5183812772801,-3.51470991151827,0.000519032623363085,-10.3858851633995,0.221567652742329,0.244927755773121,0,1811.44261094482,-886.880117955529,53
-3,-5,1e-04,-5,0.2,0.2,,-2.5140964311119,-53.2655357461987,0.000480157800324828,-6.03768260756259,0.215425928234068,0.247218673721753,0,1793.81631852951,-878.066971747876,601
-1,-4,1e-04,-7.5,0.2,0.2,,-2.47919969453072,-2.76856147660788,0.00042808979628257,-9.98604715884168,0.224126950748492,0.246454069085533,0,1828.77419719777,-895.545911082002,360
-2,-4,-5e-04,-6.25,0.2,0.2,,-2.46413967876269,-6.67650259458171,0.000504084195435282,-6.01265058089378,0.216992242914825,0.242566087289464,0,1791.34020481946,-876.828914892849,383
-3,-2,-2e-04,-5,0.2,0.2,,-2.69787515811058,-15.592480207064,0.000382080996602598,-6.58565785935604,0.218873908655092,0.256607971831055,0,1805.05432577491,-883.685975370573,566
-1.5,-4,-5e-05,-7.5,0.2,0.2,,-2.56676592049089,-4.06313169049082,0.000504123877310083,-8.58150832581083,0.219060079420118,0.245826299904385,0,1803.78675415573,-883.052189560986,334
-3,-4,-0.00035,-10,0.2,0.2,,-2.73664743156459,-3.6244674755405,0.000331187896940737,-9.62077005275619,0.216387468597331,0.255198802760464,0,1820.90355905256,-891.610592009401,31
