a_log,a12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-5e-05,-1,-3,0.2,0.2,,-2.23437670860741,-0.000210181959873322,-3.09215653187425,-0.870117918898865,0.211203219841629,0.24268076050696,0,1762.05388382819,-862.185754397212,118
-1.5,-5e-04,-3,-2.375,0.2,0.2,,-2.24141398039891,-0.000208665639318336,-3.10751643130954,-0.963903719365456,0.211116219694308,0.24276192362943,0,1762.03332808409,-862.175476525164,179
-1.5,-5e-05,-5,-1.125,0.2,0.2,,-2.49353072351395,-0.000158252402435319,-4.29414733054453,-0.94305141401615,0.215231004959672,0.242696400326866,0,1784.16864821383,-873.243136590034,394
-1,-0.00035,-1,-1.75,0.2,0.2,,-2.24185075591714,-0.000208630112341894,-3.1077790463789,-0.965152286436453,0.211112032393902,0.242732687936674,0,1762.03335778422,-862.175491375228,360
-1.5,-2e-04,-5,-1.125,0.2,0.2,,-2.24205954408664,-0.000208450849143934,-3.10933008513861,-0.962026370486526,0.211098856356467,0.242782705226414,0,1762.03348813058,-862.175556548409,389
-3,-0.00035,-3,-1.75,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,306
-2.5,1e-04,-1,-3,0.2,0.2,,-2.27975746962807,-0.000200730395119941,-3.18295906783214,-1.55863656909146,0.211221723156358,0.2428711577009,0,1762.58455512185,-862.451090044042,122
-1,-0.00035,-3,-1.75,0.2,0.2,,-2.27330325149458,-0.000202161940895652,-3.1648671317633,-1.55152563044451,0.211358799925965,0.242914582532295,0,1762.56039848909,-862.439011727664,310
-2.5,-5e-04,-4,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,527
-2,-5e-04,-2,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,203
-1,-2e-04,-4,-3,0.2,0.2,,-2.24124297778989,-0.000208833809196509,-3.10643107552806,-0.963797441280915,0.211063699384156,0.242748834685008,0,1762.03355896044,-862.175591963341,40
-2,-5e-04,-1,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,478
-3,-0.00035,-5,-2.375,0.2,0.2,,-2.32242727600572,-0.000192176283541748,-3.24116946255978,-3.114583816324,0.211619944561315,0.242654064806032,0,1764.76887518331,-863.543250074777,131
-1,-2e-04,-2,-1.125,0.2,0.2,,-2.32782911239345,-0.000191345039906702,-3.24441883460078,-4.97167657620843,0.211847577118633,0.242791997062143,0,1765.63777350193,-863.977699234087,465
-1,-5e-05,-2,-1.125,0.2,0.2,,-2.24167351323221,-0.000208524711192578,-3.10715874638171,-0.963983337562297,0.211087104456315,0.242795003053028,0,1762.03347475342,-862.175549859831,470
-2.5,1e-04,-1,-1.125,0.2,0.2,,-2.22703135594148,-0.000211790052397353,-3.08258226550972,-0.75508260810626,0.211128576834729,0.242821729719219,0,1762.13478909658,-862.226207031408,497
-1.5,-5e-05,-3,-3,0.2,0.2,,-2.24086806640701,-0.000208841551454436,-3.10836548430134,-0.964491988017124,0.21117465091292,0.242741176302944,0,1762.03358287548,-862.175603920858,69
-3,-2e-04,-5,-1.75,0.2,0.2,,-2.3031895873057,-0.000196482611206752,-3.21645707399571,-2.2769184195037,0.211753556886304,0.242899170264827,0,1763.7320605046,-863.024842735419,261
-1,-5e-05,-5,-1.75,0.2,0.2,,-2.15363960211513,-0.000228691235839714,-3.11124315142104,1.05711879174926,0.214665311093596,0.243620920768292,0,1775.64876139395,-868.983193180092,270
-1.5,-2e-04,-2,-3,0.2,0.2,,-2.28788340056095,-0.000198916191642651,-3.19351564187774,-1.76353340534821,0.211301646752481,0.242794388173201,0,1762.90217207657,-862.609898521403,89
-1.5,1e-04,-2,-1.125,0.2,0.2,,-2.24129710460833,-0.000206004297687544,-3.09368662960932,-0.891884859128151,0.211403672172525,0.244293502959552,0,1762.13035972826,-862.22399234725,474
-3,-2e-04,-3,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,61
-2,-0.00035,-1,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,233
-1.5,-5e-05,-2,-2.375,0.2,0.2,,-2.2414492645551,-0.000208602031755548,-3.10676597035704,-0.965669194559925,0.21114991316781,0.242777802016418,0,1762.03340716774,-862.175516066988,219
-2.5,-2e-04,-5,-0.5,0.2,0.2,,-2.24157320838789,-0.000208656977584201,-3.10789221484318,-0.95844279707955,0.211115249477003,0.242692612531581,0,1762.03342585704,-862.175525411641,512
-1.5,-2e-04,-3,-0.5,0.2,0.2,,-2.19365548824218,-0.000225121590170346,-3.02339727682211,-0.600804336784926,0.20811142857993,0.247067386112902,0,1763.20155557639,-862.759590271314,564
-2,-0.00035,-4,-3,0.2,0.2,,-2.32326538098175,-0.000192276139638151,-3.25318617679314,-3.32293898392305,0.21172521331002,0.242695090793486,0,1764.94833419197,-863.632979579103,33
-1.5,-5e-05,-5,-1.75,0.2,0.2,,-2.24296622024784,-0.00020842721704055,-3.10932351265764,-0.962359010197107,0.211134024179448,0.242745543466483,0,1762.0339136929,-862.175769329568,269
-1,1e-04,-5,-0.5,0.2,0.2,,-2.2409128566047,-0.000208803209371393,-3.10499644489022,-0.971474877042259,0.211174406009254,0.242516940123183,0,1762.03464609496,-862.176135530602,525
-3,-2e-04,-5,-0.5,0.2,0.2,,-2.25212227274519,-0.000206295258699583,-3.1267726622902,-1.13139955368529,0.211174346941045,0.242763555573582,0,1762.08750243613,-862.202563701184,511
