a_log,a12,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-5e-04,1e-04,-4,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,853
-1,-5e-04,1e-04,-2,-1.125,0.2,0.2,,-1.10234212647978,-0.00210117873842611,-1.94299821351099,0.116624936313124,-1.25653756314817,0.277441133556886,0.242288842738357,0,2062.18411997343,-1009.11067455035,2355
-2.5,-5e-04,1e-04,-4,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,2102
-2.5,-5e-05,-5e-05,-2,-1.125,0.2,0.2,,-2.22383793863634,-0.000210022148623881,-3.26653598203521,0.000124605366021326,-0.738636795099485,0.21097848172926,0.242712014754336,0,1767.42874129626,-861.732985211772,2342
-1,-5e-04,-5e-04,-3,-1.125,0.2,0.2,,,,,,,,,,,,2130
-3,1e-04,-2e-04,-2,-2.375,0.2,0.2,,-2.17688895795342,-0.000228058170934887,-2.38467061344028,-0.0002358565005151,-2.65256788930455,0.209802342826929,0.244036513551962,0,1786.64010095903,-871.338665043153,1071
-3,-5e-04,-0.00035,-5,-0.5,0.2,0.2,,,,,,,,,,,,2526
-3,-5e-04,-2e-04,-4,-1.75,0.2,0.2,,-2.40022357549219,-0.000172556125289394,-3.23012445407833,2.07149049929168e-06,-2.872927380457,0.21241245530666,0.253603588216187,0,1775.03150565169,-865.534367389486,1426
-2,1e-04,1e-04,-2,-1.75,0.2,0.2,,-2.28128040128424,-0.000198371476556668,-3.35141094403589,0.000110731050211955,-1.78811124568525,0.21113028390028,0.242891626311407,0,1768.30435512972,-862.170792128497,1748
-3,-5e-04,-0.00035,-3,-3,0.2,0.2,,,,,,,,,,,,276
-1,-5e-04,-2e-04,-4,-3,0.2,0.2,,,,,,,,,,,,180
-2,1e-04,-5e-05,-5,-2.375,0.2,0.2,,-2.39817872603157,-0.000170405569317375,-4.47322374210759,0.000310791402753864,-4.3972455703238,0.213046336615832,0.242933832750147,0,1776.85717535895,-866.447202243114,723
-1.5,-2e-04,-2e-04,-5,-1.75,0.2,0.2,,-2.49736376766335,-0.000144404857606246,-3.99423324413521,0.000152298656461168,-1.15688240639859,0.228004367332111,0.315359098044292,0,1845.35059076552,-900.693909946401,1314
-3,-5e-05,-5e-05,-1,-0.5,0.2,0.2,,-2.31325215636573,-0.000186555142991969,-3.67695223014231,0.000188154551677471,-0.548955118687097,0.211678775742993,0.240898249162484,0,1770.16392603117,-863.100577579222,3091
-2,-5e-04,1e-04,-1,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1228
-1,-5e-04,-2e-04,-2,-0.5,0.2,0.2,,-1.30943743875079,-0.000533808216418525,-2.21964043692288,-5.65157209182117e-05,3.48970511119234,0.218909781831789,0.239607892519975,0,1807.07386118746,-881.555545157367,2930
-2,-0.00035,1e-04,-4,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,858
-3,-0.00035,-2e-04,-4,-1.125,0.2,0.2,,-2.3192131026055,-0.000186903766603116,-3.95808286176329,0.000264598601171678,-1.53220607154824,0.211333126670467,0.242649644167607,0,1770.79701028805,-863.417119707664,2056
-1,-5e-04,-5e-05,-2,-1.75,0.2,0.2,,-6.70062666892774,0.0324421933952868,-3.89589036123832,0.00247885898190414,5.56306257322599,0.236414322402103,0.243229637295861,0,1888.3945406356,-922.215884881438,1705
-3,-5e-04,-5e-05,-1,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1201
-2.5,-5e-04,-2e-04,-2,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,2302
