a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-2,-10,-0.5,0.2,0.2,,-2.14438413744106,-3.39792393978662,-1.05799892422204,-5.23032765563113,0.213410750254309,0.242753922495591,0,1773.36064427957,-867.839134622903,518
-3,-3,-6.25,-3,0.2,0.2,,-2.13915487076673,-3.39643841436276,-1.05562175999677,-5.21742270526619,0.213659217925317,0.242626215423989,0,1773.36671744776,-867.842171206998,86
-2,-4,-10,-1.125,0.2,0.2,,-2.20230244312192,-3.50940626733035,-2.59030520004984,-5.21846221194506,0.213550709139026,0.242794890837649,0,1774.98763190876,-868.652628437499,383
-2,-2,-8.75,-0.5,0.2,0.2,,-2.14438413744106,-3.39792393978662,-1.05799892422204,-5.23032765563113,0.213410750254309,0.242753922495591,0,1773.36064427957,-867.839134622903,543
-1,-5,-7.5,-2.375,0.2,0.2,,-2.21296749054648,-3.52797528940796,-4.51350511792038,-5.20071052022583,0.213704975966843,0.242661308895591,0,1776.13040477784,-869.224014872037,180
-1,-1,-10,-3,0.2,0.2,,-2.14266365639746,-3.39447439534299,-1.02879769282275,-5.23135987777346,0.21338767936739,0.242786952182841,0,1773.36234115205,-867.839983059146,25
-1,-5,-6.25,-3,0.2,0.2,,-2.50378234809775,-4.89818846833916,-2.69897931415727,-5.39771312387372,0.217972502692726,0.242718021961958,0,1799.86835759356,-881.092991279899,80
-2,-3,-7.5,-2.375,0.2,0.2,,-2.14515096933693,-3.39870639877389,-1.05892642611265,-5.23167120750152,0.21341716852155,0.242710517265088,0,1773.36063622332,-867.83913059478,188
-1.5,-2,-10,-0.5,0.2,0.2,,-2.14476600647794,-3.39999563902406,-1.05574601061628,-5.22907375824236,0.213399420559382,0.24267967617579,0,1773.36077277759,-867.839198871914,519
-2.5,-3,-5,-2.375,0.2,0.2,,-2.49062350176127,-3.68593202352056,-1.17828130744891,-5.79943615291344,0.21668954741209,0.241467646812185,0,1787.01569087149,-874.666657918863,237
-3,-4,-5,-0.5,0.2,0.2,,-2.19533640939961,-3.49614628154092,-2.54595948543883,-5.21216320291438,0.213850706582445,0.242443180868845,0,1774.93359360158,-868.625609283911,606
-2.5,-2,-5,-1.125,0.2,0.2,,-2.19919132581536,-3.49385278081666,-1.9016344067634,-5.23381848276494,0.213947637071902,0.242171703274532,0,1774.18436148704,-868.250993226639,492
-1.5,-5,-6.25,-2.375,0.2,0.2,,-2.20613824187421,-3.54315927047565,-3.30697928360945,-5.19226517871043,0.213857352089392,0.24270331298251,0,1775.63067558379,-868.974150275013,204
-1,-3,-8.75,-2.375,0.2,0.2,,-2.15043483667068,-3.4122205277118,-1.17103280357552,-5.22695288407475,0.213414432471008,0.242721397436482,0,1773.38145801338,-867.84954148981,165
