a_log,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.88888888888889,-3.66666666666667,-2.375,0.2,0.2,,-2.6603785532161,-3.09752241944758,-0.921512637790743,0.226758561677122,0.24282206403338,0,1832.33161206564,-900.464816435418,136
-1.66666666666667,-3.22222222222222,-1.75,0.2,0.2,,-2.66033327504635,-3.0969358283754,-0.917266873976701,0.226792737848528,0.242791396394826,0,1832.33160491437,-900.464812859782,247
-1.22222222222222,-1.88888888888889,-2.375,0.2,0.2,,-2.66001974964884,-3.09851346193538,-0.921254068107392,0.226783249585779,0.242816823966721,0,1832.33162434632,-900.46482257576,179
-1.88888888888889,-2.33333333333333,-3,0.2,0.2,,-2.66067695107553,-3.1011530126103,-0.921353755805179,0.226746600021394,0.242738057861913,0,1832.33179100496,-900.464905905081,66
-1.88888888888889,-3.22222222222222,-1.125,0.2,0.2,,-2.6602299702405,-3.09779557234494,-0.919800549124183,0.226797326171355,0.242813047863642,0,1832.33158003664,-900.46480042092,346
-2.11111111111111,-5,-0.5,0.2,0.2,,-2.67034169164316,-3.11970145167817,-1.0639534912418,0.226798638182168,0.242805142174957,0,1832.36540713603,-900.481713970615,405
-2.77777777777778,-2.77777777777778,-3,0.2,0.2,,-2.65907760082098,-3.09528277687302,-0.915556370424069,0.226748628290851,0.242749452498891,0,1832.33171536827,-900.464868086735,52
-1.44444444444444,-1.44444444444444,-2.375,0.2,0.2,,-2.63302792864558,-3.02994433040439,-0.594264038977765,0.226838478529731,0.242773603672759,0,1832.54875920679,-900.573390005994,188
-3,-1.88888888888889,-1.75,0.2,0.2,,-2.66011768136271,-3.09788261847357,-0.918525749538535,0.226769204731191,0.242791994328467,0,1832.33155190102,-900.464786353111,271
-2.11111111111111,-4.55555555555556,-0.5,0.2,0.2,,-2.674980128845,-3.13540504768609,-1.11990145074242,0.226780367064953,0.242836166480753,0,1832.3974435748,-900.497732189999,415
-1.44444444444444,-4.55555555555556,-1.125,0.2,0.2,,-2.66320469651653,-3.10586475381586,-0.955765536757409,0.226747831776983,0.242730086685804,0,1832.33425261366,-900.46613670943,318
-2.33333333333333,-5,-2.375,0.2,0.2,,-2.74673113114419,-3.26643580896078,-4.63245078202464,0.227365030138332,0.242797161387723,0,1835.20997333771,-901.903997071453,104
