a_log,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,1e-04,-3,-0.5,0.2,0.2,,-2.18102519120138,-2.96567650856428,0.00075386521668461,0.213885076985236,0.218977381818933,0.241117379330313,0,1802.15663366868,-882.237129317458,575
-3,-0.00035,-1,-2.375,0.2,0.2,,-2.25857869160805,-3.74286511170645,0.000828909146655098,0.319228302821635,0.217423747179672,0.243378435203743,0,1793.67814076814,-877.997882867188,231
-2.5,-2e-04,-3,-1.75,0.2,0.2,,-2.35114331592841,-4.23112836450981,0.00080415998686689,-0.176281174342511,0.217321829151788,0.242678476768345,0,1792.63779757608,-877.477711271162,312
-1.5,-0.00035,-3,-2.375,0.2,0.2,,-2.43865832686455,-4.71442320533281,0.000761616141001759,-0.806054519443621,0.217553266346026,0.242484452231233,0,1794.89212690579,-878.604875936016,184
-2,-5e-04,-4,-3,0.2,0.2,,-2.49084199972113,-3.59156333532521,0.000564866249503153,-2.62362969186418,0.220429448523021,0.243612291038225,0,1807.30797827681,-884.812801621522,28
-3,-0.00035,-3,-1.125,0.2,0.2,,-2.3301962030665,-4.10263082308984,0.00081204304932334,-0.078662130416145,0.217278757868832,0.242608908015569,0,1792.55991022535,-877.438767595793,431
-2.5,1e-04,-1,-1.75,0.2,0.2,,-2.31863159262745,-4.03097772335664,0.000803799342962414,-0.0212235160664084,0.217057429288043,0.243601101347584,0,1792.60943264019,-877.463528803216,372
-2.5,-5e-05,-2,-0.5,0.2,0.2,,-2.33089385777741,-4.10941792626564,0.000810420973581146,-0.0782921452801037,0.217259661314504,0.242703648323899,0,1792.55931916034,-877.43847206329,592
-1.5,-2e-04,-3,-3,0.2,0.2,,-2.57016684953733,-4.81476382988788,0.000627502768718917,-8.05333754817174,0.219974075099566,0.242715125542587,0,1805.78528092586,-884.051452946048,64
-2,-5e-05,-4,-3,0.2,0.2,,-2.41858399658061,-5.05436092212324,0.000812609679304815,-0.436647170957239,0.217789659628547,0.242764244136291,0,1794.64431291307,-878.480968939656,43
-2.5,-5e-05,-1,-3,0.2,0.2,,-2.57105212521905,-4.8186007273627,0.000627109649002964,-25.1462598483213,0.219975914323985,0.242721405040693,0,1805.80107280427,-884.059348885256,117
-2,-5e-05,-3,-1.75,0.2,0.2,,-2.23865241857806,-3.62685155489904,0.000833842877230938,0.263264584402951,0.21736035291143,0.242543866849379,0,1794.03494332401,-878.176284145123,318
-3,-2e-04,-2,-1.75,0.2,0.2,,-2.36330248511107,-4.2971757378067,0.000800617647878471,-0.243200472936708,0.217417291480127,0.242684683659547,0,1792.75435445885,-877.535989712543,336
