a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-3,-5,-0.5,0.2,0.2,,-2.07778082468721,-3.14514054122121,-1.08803233412866,-4.94614489501502,0.213519967829399,0.242744073237018,0,1774.23375490874,-868.275689937489,615
-1.5,-5,-5,-1.125,0.2,0.2,,-2.15470206394715,-3.27550941488771,-4.56462872026269,-4.95423646553451,0.214002793714515,0.242688729727133,0,1776.57968702744,-869.44865599684,479
-2,-2,-7.5,-0.5,0.2,0.2,,-2.12971579931409,-3.21888018738808,-1.90470826555825,-4.9879626729552,0.213402551801208,0.242310003438525,0,1774.80221657066,-868.559920768449,568
-1.5,-2,-10,-3,0.2,0.2,,-2.14970180818837,-3.2676145632939,-3.93327991236193,-4.95176965991513,0.214070622595153,0.242770093950717,0,1776.40187138482,-869.359748175528,19
-2,-5,-6.25,-0.5,0.2,0.2,,-2.15524521081995,-3.2749192531069,-11.414544905778,-4.94894358294946,0.214063029635892,0.242735068349993,0,1776.79184431674,-869.554734641487,578
-2.5,-5,-7.5,-0.5,0.2,0.2,,-2.06478880336958,-3.12392072892145,-0.727847328859982,-4.95155128515709,0.213662152358958,0.243272959504631,0,1774.58988440425,-868.453754685242,552
-3,-5,-10,-1.125,0.2,0.2,,-2.08295737544626,-3.15449928510603,-1.15336374359992,-4.94929384048248,0.213593905758683,0.242611925151494,0,1774.22559797631,-868.271611471274,376
-1.5,-3,-6.25,-1.125,0.2,0.2,,-2.1571834685328,-3.27328893374547,-3.03438072302722,-4.98593812301479,0.213950404974603,0.24267799185469,0,1775.94187633626,-869.12975065125,464
-1,-5,-10,-2.375,0.2,0.2,,-2.15246668206592,-3.27778599255915,-3.54320884002496,-4.9585053117437,0.214023882365042,0.242771308179962,0,1776.23922019378,-869.278422580009,130
-3,-1,-6.25,-1.75,0.2,0.2,,-2.14925658125175,-3.25981574465537,-3.37665388406615,-4.96088298954399,0.21392174456441,0.242763173733948,0,1776.14186997366,-869.22974746995,346
-3,-1,-5,-1.75,0.2,0.2,,-2.14925658125175,-3.25981574465537,-3.37665388406615,-4.96088298954399,0.21392174456441,0.242763173733948,0,1776.14186997366,-869.22974746995,371
-2.5,-1,-6.25,-0.5,0.2,0.2,,-2.08359186687101,-3.15383132727695,-1.16045992714869,-4.95123471937873,0.213561590615144,0.242723101336866,0,1774.22526174298,-868.271443354611,597
-3,-5,-7.5,-2.375,0.2,0.2,,-2.1560377838938,-3.27414824832877,-5.6761792841048,-4.95288091212051,0.214050527467533,0.242719149767682,0,1776.72073154458,-869.519178255407,176
-3,-5,-6.25,-3,0.2,0.2,,-2.15514417983537,-3.27500372877313,-7.44260299086825,-4.94918484625248,0.214033899135117,0.242795094129175,0,1776.77979376661,-869.548709366423,76
-2.5,-1,-10,-1.125,0.2,0.2,,-2.08304079192378,-3.15526659265027,-1.16005129183801,-4.94922841250868,0.213559260139302,0.242757584110334,0,1774.22528347109,-868.271454218662,397
-1.5,-4,-6.25,-0.5,0.2,0.2,,-2.15251138525473,-3.27495923645692,-3.4130789493523,-4.96348881245791,0.213918730328211,0.242689669263791,0,1776.16965888792,-869.243641927077,584
-1.5,-4,-8.75,-2.375,0.2,0.2,,-2.1358771714,-3.24796050726687,-2.39199002918428,-4.96048012302544,0.21378988564797,0.242838664874579,0,1775.32849041747,-868.823057691854,159
-3,-3,-5,-0.5,0.2,0.2,,-2.15457466015641,-3.27215417146932,-3.95049703994449,-4.96132668531013,0.214009899315598,0.242719503003916,0,1776.41105816914,-869.36434156769,611
-3,-1,-10,-1.125,0.2,0.2,,-2.15503261980613,-3.274317499179,-7.12149694847177,-4.94957945127725,0.214059749881096,0.242749734523617,0,1776.77503969459,-869.546332330412,396
-3,-2,-7.5,-1.75,0.2,0.2,,-2.11344668096323,-3.20774476216549,-1.71630924580838,-4.95695226300785,0.213885685189708,0.242461951754227,0,1774.57672932181,-868.447177144022,316
-2.5,-5,-5,-1.75,0.2,0.2,,-2.08334547402521,-3.16356839534208,-1.31219571187991,-4.96371342788077,0.214181655755713,0.242258303102839,0,1774.31308598245,-868.315355474345,352
-3,-3,-6.25,-0.5,0.2,0.2,,-2.15457466015641,-3.27215417146932,-3.95049703994449,-4.96132668531013,0.214009899315598,0.242719503003916,0,1776.41105816914,-869.36434156769,586
-3,-3,-8.75,-1.125,0.2,0.2,,-2.15649129803044,-3.27595807030447,-5.20676831675123,-4.9556353923016,0.214006789590236,0.242774874708273,0,1776.67912059214,-869.498372779187,411
-1,-1,-8.75,-1.75,0.2,0.2,,-2.07089166473327,-3.13534761964675,-1.0426144588361,-4.93656769572337,0.213523844254977,0.242645990019683,0,1774.25216411709,-868.284894541663,300
-3,-3,-10,-1.125,0.2,0.2,,-2.15649129803044,-3.27595807030447,-5.20676831675123,-4.9556353923016,0.214006789590236,0.242774874708273,0,1776.67912059214,-869.498372779187,386
-2,-5,-7.5,-0.5,0.2,0.2,,-2.15470162371013,-3.27148463224777,-6.14045627322058,-4.95019828958547,0.21402940779549,0.242777470990672,0,1776.74703816772,-869.532331566979,553
-3,-1,-7.5,-0.5,0.2,0.2,,-2.08366918732194,-3.15618176918261,-1.15966839181561,-4.95052922285318,0.213568168975189,0.242891395347626,0,1774.22572934461,-868.271677155424,571
-1,-5,-6.25,-2.375,0.2,0.2,,-2.0874968141466,-3.15571894488732,-1.20219566384788,-4.94930183635391,0.213425163567822,0.242620229752084,0,1774.23120950573,-868.274417235985,205
-1,-2,-8.75,-0.5,0.2,0.2,,-2.09468804523987,-3.15237744108063,-1.02827937515373,-4.95687322532342,0.213919826464738,0.240780933120965,0,1774.39389852286,-868.355761744549,545
-2.5,-5,-10,-1.75,0.2,0.2,,-2.15549459602337,-3.27632534002609,-10.4424028209288,-4.94968721793499,0.214045236113026,0.242770819458647,0,1776.79154264796,-869.554583807098,252
-1,-3,-10,-1.125,0.2,0.2,,-2.04311692492912,-3.08331249754021,-0.746223989765874,-4.92092409381005,0.213605484576108,0.242785299487871,0,1774.58888806213,-868.453256514185,390
-2,-2,-7.5,-1.125,0.2,0.2,,-2.12858250601448,-3.21401866463802,-2.03877342640142,-4.97487891858264,0.213398946853997,0.242947671157985,0,1774.93853648985,-868.628080728045,443
