r1_log,r2_log,alpha11,alpha22,alpha12,alpha21,sigma,sigma2,error,r1_log.est,r2_log.est,alpha11.est,alpha12.est,alpha22.est,alpha21.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-3,0.001,5e-04,0.001,5e-04,0.2,0.2,,-1.0350769189281,-1.88326282904927,0.00146447839893235,0.00179174565752267,0.00179795876455468,0.000839422432190763,0.238047191026862,0.227601886347297,0,11.3559461739644,15.7104570358877,278
-0.5,-1,0.001,0.001,0.005,0.001,0.2,0.2,,-1.03122502842749,-1.86941715593815,0.00147762441121174,0.00179117502871153,0.00183243361166238,0.000880583465112668,0.23705269373358,0.229239423000633,0,11.4051646368152,15.6858478044623,1627
-0.5,-0.5,0.001,5e-04,0.001,0.005,0.2,0.2,,-1.03079157848521,-1.86926434292003,0.00147710627694662,0.00178884400116327,0.00182877699383302,0.000882683540698443,0.237477653912788,0.228969654491536,0,11.4025706432681,15.6871448012358,2847
-2,-1,0.001,5e-04,5e-04,0.001,0.2,0.2,,-1.03458286055363,-1.80071215069717,0.00141313035745053,0.00174323406292955,0.00189646842984957,0.0009064216309581,0.23649228447258,0.227990258826577,0,11.4071717717188,15.6848442370105,3097
-2,-1,0.001,5e-04,0.001,0.001,0.2,0.2,,-1.0403179504192,-1.78169278308794,0.00143692884432514,0.00179382601043413,0.00187781845132086,0.000913606813468202,0.23688443997423,0.228022563831884,0,11.5150342871591,15.6309129792903,1849
-2,-3,0.001,0.001,0.001,5e-04,0.2,0.2,,-1.02020144569908,-1.97320619242459,0.00142457668843246,0.00187585511240447,0.00188743978390016,0.000753928804094162,0.237638197325958,0.230581951542634,0,11.6027794253395,15.5870404102001,373
0.5,-3,0.001,0.001,5e-04,0.005,0.2,0.2,,-1.04593147422919,-5.63236963400107,0.00147410996891634,0.00174585608093763,-0.0216153458073821,-0.0345975179862773,0.237423274241815,0.245059826557447,0,44.3443045706037,-0.78372216243197,2136
0.5,-5,0.001,0.005,0.001,0.005,0.2,0.2,,-1.04461535798206,-5.29727362610976,0.00143014652953675,0.0018355364646173,-0.0133601798366472,-0.0229325888466481,0.237993703445559,0.241303395517279,0,43.7620599745315,-0.492599864395871,2996
-1,-1,0.005,0.001,5e-04,0.001,0.2,0.2,,-1.03357062510236,-1.87736754613699,0.00147686871792295,0.00178729765605706,0.00182158728378937,0.000871272239832448,0.23735817782373,0.229710442411015,0,11.403513669479,15.6866732881304,3306
-2,-1,0.001,0.001,0.005,5e-04,0.2,0.2,,-1.0325895843621,-1.87214480045008,0.00145455964708532,0.00185563634162906,0.00181131105913325,0.000874274694735732,0.235932867863105,0.229768701407374,0,11.3155547631251,15.7306527413073,633
-0.5,-5,5e-04,5e-04,0.001,5e-04,0.2,0.2,,-0.959263048839871,-4.8055954413723,0.00143604484642206,0.00173883561176442,-0.0189675572709549,-0.0148889906231059,0.207765030651734,0.265577464247123,0,56.6121856136502,-6.91766268395523,771
-2,-1,0.001,5e-04,0.005,5e-04,0.2,0.2,,-1.03142730109269,-1.86106646426857,0.00145575952826278,0.00179521736907395,0.00193779982157341,0.000910458482492785,0.23570216001587,0.228757892986616,0,11.3531725347776,15.7118438554811,569
-2,-5,0.005,0.005,0.005,0.001,0.2,0.2,,-1.03030981238008,-4.05031762851894,0.00144605548823583,0.00178444708223014,-0.00394108808743993,-0.00459159934786657,0.235322634444574,0.24800140374108,0,38.9169799073737,1.92994016918304,3745
-0.5,-1,0.001,0.005,0.001,0.001,0.2,0.2,,-1.03154273466325,-1.86972046561146,0.0014527658095996,0.00184822827137938,0.00183136041188216,0.000860715689534776,0.237072329095514,0.229275329697598,0,11.2805057465606,15.7481772495896,1467
