a_log,a12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,-5e-05,-2,0.2,0.2,,-1.53809374867355,-0.000257108766207418,-4.42245387932337,0.417926665499687,0.280303313709772,0,2841.99855059876,-1405.37433719373,91
-3,-2e-04,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,61
-2.5,-0.00035,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,32
-1,-5e-05,-4,0.2,0.2,,-1.53834884783028,-0.000256826245738544,-4.42109750583886,0.417955796820897,0.280482869896764,0,2841.99857798326,-1405.37435088598,45
-3,-0.00035,-5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,6
-1,-5e-04,-2,0.2,0.2,,-1.53835226356102,-0.000256908490932262,-4.42074704600709,0.418047856817165,0.280285113870483,0,2841.99843287528,-1405.37427833199,80
-1.5,-5e-05,-1,0.2,0.2,,,,,,,,,,119
-3,-0.00035,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,106
-3,-5e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,26
-1.5,-5e-05,-2,0.2,0.2,,-1.53964063832262,-0.000255920465977893,-4.4215984111854,0.418031249089184,0.280479043294252,0,2841.99916436553,-1405.37464407712,94
-1,-5e-04,-5,0.2,0.2,,-1.53801594792366,-0.000256853409879512,-4.42117522850135,0.418074453149142,0.280389649601692,0,2841.9984695919,-1405.3742966903,5
-2,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,103
-2,-5e-05,-1,0.2,0.2,,-1.53828362395705,-0.00025692651155674,-4.41989908618103,0.417988478957649,0.280377671372831,0,2841.99840508446,-1405.37426443658,118
-2,-0.00035,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,83
-1.5,1e-04,-3,0.2,0.2,,-1.53855081269388,-0.000256821410543511,-4.42207273241652,0.417975312793797,0.280424432378137,0,2841.99847926347,-1405.37430152609,74
-2.5,1e-04,-5,0.2,0.2,,-1.53847181429404,-0.000256661620949623,-4.42146443600844,0.418032684313637,0.280337594475463,0,2841.99835326994,-1405.37423852932,22
-1.5,-5e-04,-1,0.2,0.2,,-1.53854889793236,-0.000256547565887493,-4.42223855950923,0.417947781928847,0.280296746002857,0,2841.99842894208,-1405.37427636539,104
-2,1e-04,-3,0.2,0.2,,-1.53842275479566,-0.000256741443234963,-4.42109546469925,0.417977475312816,0.28035466802149,0,2841.99832812523,-1405.37422595697,73
-1.5,1e-04,-5,0.2,0.2,,-1.53824515396089,-0.000256870363287899,-4.42114159990933,0.418139754358796,0.280304918663616,0,2841.99851129718,-1405.37431754294,24
-2.5,-5e-05,-3,0.2,0.2,,-1.53838826630568,-0.000256616793348417,-4.42094073830778,0.417932979846907,0.280340125388095,0,2841.99834239796,-1405.37423309333,67
-1.5,-5e-05,-3,0.2,0.2,,-1.53845703711435,-0.000256649416467904,-4.42098792018773,0.417931503568288,0.280335395318664,0,2841.99834134966,-1405.37423256918,69
-2,-5e-04,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,53
-1.5,-2e-04,-3,0.2,0.2,,-1.5382313115122,-0.000256691529541247,-4.42155787787999,0.41794226222537,0.28042537500739,0,2841.99846290175,-1405.37429334522,64
-1.5,1e-04,-1,0.2,0.2,,-1.53743844440551,-0.00025692279207438,-4.42036024169265,0.41795494388272,0.280404801728182,0,2841.99880390066,-1405.37446384468,124
-3,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,101
-1.5,-0.00035,-4,0.2,0.2,,-1.53832429071959,-0.000256667698191056,-4.42050360020196,0.417954938762198,0.280317576444004,0,2841.99834550546,-1405.37423464708,34
-2,1e-04,-4,0.2,0.2,,-1.5374240646581,-0.000257295855389475,-4.41980651122624,0.417973949027176,0.280288604003082,0,2841.99861485879,-1405.37436932375,48
-1,-0.00035,-3,0.2,0.2,,-1.53760874200877,-0.000257798669233041,-4.41960252528143,0.417902808776979,0.28042748843944,0,2841.99892523948,-1405.37452451409,60
-2.5,-2e-04,-5,0.2,0.2,,-1.53859444130771,-0.000256446396364223,-4.42193263996487,0.41803967281685,0.280329405545992,0,2841.99841142536,-1405.37426760703,12
-3,-2e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,111
-2.5,-5e-05,-2,0.2,0.2,,-1.53751942458004,-0.000257632934462649,-4.42276747759844,0.418005407265188,0.280324561188048,0,2841.99898763521,-1405.37455571196,92
-2.5,-5e-05,-1,0.2,0.2,,-1.53877120370489,-0.000256578571805239,-4.4215696864024,0.418015874183902,0.280320968260045,0,2841.99841198731,-1405.37426788801,117
-1,1e-04,-4,0.2,0.2,,-1.53802561325487,-0.000256772309043769,-4.41966960427094,0.417705055491456,0.28039198989387,0,2841.99886045152,-1405.37449212011,50
-2.5,-0.00035,-5,0.2,0.2,,-1.5388748753289,-0.000256559591705212,-4.41981735424152,0.418145914349863,0.280291369381474,0,2841.99882607947,-1405.37447493408,7
-3,-0.00035,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,31
-1,-5e-04,-1,0.2,0.2,,-1.53815353887592,-0.000256754450727639,-4.42001168911742,0.418012106281077,0.280318628328362,0,2841.99836957406,-1405.37424668138,105
-3,-2e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,36
-1,-5e-05,-1,0.2,0.2,,-1.07510300286138,-0.000699518563350459,-1.52925842840793,0.548143072606891,0.266111949469591,0,3133.08716462732,-1550.91864420801,120
-2.5,-5e-04,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,52
-1,-5e-05,-2,0.2,0.2,,-1.53835285862509,-0.000256706444124984,-4.42022076337739,0.417976642204977,0.28039170217195,0,2841.99837039992,-1405.37424709431,95
-2,-0.00035,-4,0.2,0.2,,-1.53867431352955,-0.000256538502007262,-4.42260764845278,0.417977107533163,0.280395398306012,0,2841.99845408736,-1405.37428893803,33
-3,-5e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,76
-1.5,-0.00035,-1,0.2,0.2,,-1.53724133785404,-0.000257887156122479,-4.4228759600148,0.417962182659927,0.280382284260755,0,2841.99932879565,-1405.37472629218,109
-1.5,-0.00035,-5,0.2,0.2,,-1.53898421441433,-0.000256410905725824,-4.42328990245541,0.417869079502723,0.280448685819211,0,2841.99874815183,-1405.37443597027,9
-3,-5e-05,-4,0.2,0.2,,-1.53707840668497,-0.00025767658608523,-4.41895459525945,0.417757398985113,0.280522077452713,0,2841.99950403601,-1405.37481391236,41
-3,-0.00035,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,56
-2,-5e-05,-3,0.2,0.2,,-1.53856025336779,-0.000256666690421165,-4.42087747056782,0.418035774560119,0.280346306693271,0,2841.99837051971,-1405.37424715421,68
-1.5,-5e-04,-4,0.2,0.2,,-1.53789444797739,-0.000257686444007929,-4.41436562979595,0.417110051239562,0.280506708885455,0,2842.0054638223,-1405.3777938055,29
-2.5,1e-04,-4,0.2,0.2,,-1.53825110124692,-0.000256786463374699,-4.42093027971449,0.417968731116597,0.280355516215987,0,2841.99832595396,-1405.37422487133,47
-1,-5e-04,-3,0.2,0.2,,-1.53857135231289,-0.000256541352822679,-4.42123284403689,0.41788536403425,0.280313454394715,0,2841.99840655449,-1405.3742651716,55
-1,1e-04,-5,0.2,0.2,,-1.53829056031029,-0.000256732800655859,-4.42123208715908,0.41801035840304,0.280292114221472,0,2841.99837684727,-1405.37425031799,25
-2,-5e-05,-2,0.2,0.2,,-1.53815904145424,-0.00025694361935628,-4.42136596358529,0.418019161507865,0.280333388136464,0,2841.99836822461,-1405.37424600666,93
-2,-2e-04,-5,0.2,0.2,,-1.53815357220846,-0.000256881748992949,-4.4198032849071,0.418039963490296,0.280397429387344,0,2841.99842029474,-1405.37427204172,13
-2.5,-5e-04,-5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,2
-2,-5e-04,-5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,3
-3,-2e-04,-5,0.2,0.2,,-1.53820042167205,-0.000256836078972466,-4.42093961473063,0.418005732341622,0.28037408898164,0,2841.99834356322,-1405.37423367596,11
-1.5,-2e-04,-5,0.2,0.2,,-1.53871276514595,-0.00025671034754095,-4.42435805703861,0.418305158070447,0.280290711832591,0,2841.99941919096,-1405.37477148983,14
-1.5,1e-04,-2,0.2,0.2,,-1.53843909099621,-0.000256213766806568,-4.42101993068746,0.418078930121056,0.28029351064266,0,2841.99861792007,-1405.37437085439,99
-1,-5e-05,-3,0.2,0.2,,-1.53829995417491,-0.000256798681137014,-4.42079692163034,0.417920861427132,0.280353798141618,0,2841.99834257624,-1405.37423318247,70
-2.5,-0.00035,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,82
-2.5,-0.00035,-3,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,57
-2,-2e-04,-2,0.2,0.2,,-1.53737224368836,-0.000257015518486715,-4.41651335902908,0.418141094939612,0.280566906975635,0,2841.99982253037,-1405.37497315954,88
-2.5,-5e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,27
-2,-5e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,28
-2.5,1e-04,-1,0.2,0.2,,-1.53804758504359,-0.00025693978978463,-4.4182470348954,0.418020202263337,0.280375246734713,0,2841.99858974095,-1405.37435676482,122
-1,-5e-04,-4,0.2,0.2,,-1.53862256302854,-0.000256413885254293,-4.42153047111014,0.417965039630079,0.280371358391367,0,2841.99838061418,-1405.37425220144,30
-2.5,1e-04,-2,0.2,0.2,,-1.53874084812759,-0.000257005310053698,-4.42310212537958,0.418228608057203,0.280337182014523,0,2841.99905416543,-1405.37458897707,97
-1.5,-5e-04,-2,0.2,0.2,,-1.53775574443351,-0.00025689652779018,-4.41647146690827,0.41808941786226,0.280261619976796,0,2841.99913860329,-1405.374631196,79
-2.5,-2e-04,-3,0.2,0.2,,-1.53830126432681,-0.000256681881584458,-4.41996741498682,0.41797862845399,0.280353536663325,0,2841.99835771954,-1405.37424075412,62
