a_log,a12,h12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-2e-04,1e-04,-1,0.2,0.2,,-0.869116070494139,-0.00317005640296799,-1.48253810601308,0.0880433031222916,0.64656878444843,0.273167900098321,0,3242.37374173653,-1602.43694514148,615
-1,-5e-05,1e-04,-5,0.2,0.2,,-1.31049010316334,-0.00045978116402045,-3.6130286087371,-8.43529325842524e-05,0.427898432301539,0.284352511050305,0,2859.51939830765,-1411.00977342705,120
-2,1e-04,-2e-04,-2,0.2,0.2,,,,,,,,,,,448
-1.5,-0.00035,-0.00035,-2,0.2,0.2,,,,,,,,,,,409
-2,-5e-04,-0.00035,-4,0.2,0.2,,-1.48436723848743,-0.00032204587907492,-4.00176418007454,-4.68552027892318e-05,0.416891415106576,0.280341565337944,0,2845.61717982806,-1404.05866418725,153
-1.5,1e-04,-2e-04,-2,0.2,0.2,,-1.10508244836792,-0.000684979955124669,-2.69047962477203,-0.000281612007647461,0.436920272862245,0.278796090666868,0,2928.86596056672,-1445.68305455658,449
-3,-2e-04,1e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,486
-2,-5e-05,-0.00035,-1,0.2,0.2,,-1.95663944925466,-0.00160497083264466,-1.12910031220016,-0.167251201013895,0.639115093208362,0.280104914309056,0,3272.13658474186,-1617.31836664415,543
-2.5,-2e-04,-5e-04,-1,0.2,0.2,,-2.63933897214937,-0.00168628947468516,-0.742950913492625,-0.264609266832779,0.68307373158412,0.281414425547631,0,3279.64735099252,-1621.07374976948,512
-1.5,-2e-04,-2e-04,-4,0.2,0.2,,-1.49096576986426,-0.000318058919980166,-3.95644735471708,-4.97335511256652e-05,0.417401607289613,0.281224669863322,0,2846.16206039773,-1404.33110447209,189
-2.5,-2e-04,1e-04,-4,0.2,0.2,,-1.76670475363497,-0.000108011496940214,-6.21986603082405,5.47097073626925e-05,0.434055895938866,0.277930874795118,0,2882.14886339165,-1422.32450596904,237
-1.5,-5e-05,-5e-04,-3,0.2,0.2,,-1.52264733670149,-0.00241609020130427,-3.02680044675741,-0.0816027292487023,0.588686029413803,0.259922805568742,0,3275.40597924241,-1618.95306389443,269
-3,-2e-04,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,511
-3,-5e-05,-2e-04,-3,0.2,0.2,,-1.50930545674748,-0.000300671489504586,-4.15393148841341,-3.58028563996153e-05,0.416889909785474,0.280395424292592,0,2844.98459837655,-1403.7423734615,316
-2.5,1e-04,-5e-05,-2,0.2,0.2,,,,,,,,,,,472
-1,1e-04,1e-04,-2,0.2,0.2,,-1.11185024733196,-0.00799017034598985,-1.98117841128891,-0.110471791184939,0.612262388043924,0.280654853284172,0,3262.55418150169,-1612.52716502406,500
-3,-2e-04,1e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,611
-1,-5e-04,-5e-05,-3,0.2,0.2,,-1.25227651400814,-0.00056802430343609,-2.8707228649535,-0.000234093321582558,0.439281742136446,0.280304002935466,0,2899.52055438277,-1431.0103514646,330
-2,-5e-04,-0.00035,-5,0.2,0.2,,-2.25451057640213,-0.00253932262959027,-4.76745851494787,-0.298535836525066,0.662226799764634,0.276307247389818,0,3286.95414409154,-1624.72714631899,28
-1.5,-2e-04,-5e-05,-5,0.2,0.2,,-1.59127718200645,-0.00021883323659736,-5.00300071317369,1.9234352944178e-05,0.686895631813013,0.286631197301719,0,3040.60121874458,-1501.55068364551,89
-2.5,-5e-04,-5e-04,-5,0.2,0.2,,-2.22929057823495,-0.00366986417933778,-5.21661854364672,-0.101101440053107,0.668080937598696,0.287586857308429,0,3248.53527223675,-1605.5177103916,2
-2,-5e-05,-2e-04,-4,0.2,0.2,,-1.67967906115753,-0.000193667667195998,-4.30587315077366,-2.69814401868128e-05,0.391518931045237,0.257682881399438,0,2866.56944986465,-1414.53479920555,193
-3,-0.00035,-0.00035,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,531
-3,-2e-04,-5e-05,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,586
-3,-0.00035,1e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,481
-1,-5e-04,1e-04,-3,0.2,0.2,,-1.50918624980136,-0.000299936148006668,-4.15637400066413,-3.56038776982952e-05,0.416650482063712,0.280338295329926,0,2844.98351393897,-1403.74183124271,355
-2.5,-5e-04,-5e-05,-4,0.2,0.2,,-1.7648763371383,-0.000150492561852569,-3.67116840170297,-5.74109522027674e-05,0.397616892707611,0.270261412700887,0,2894.87056062912,-1428.68535458778,202
-1.5,-5e-05,1e-04,-2,0.2,0.2,,-1.41340977407685,-0.000381219757072283,-3.75440997661662,-6.8544626516767e-05,0.434901038076845,0.291881896593601,0,2853.10144806105,-1407.80079830375,494
-3,-5e-04,-2e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,426
-2,-5e-05,-5e-04,-5,0.2,0.2,,-2.19764433561528,9.15933636748586e-05,-5.54048036395722,1.90971287911593e-05,0.456492410326788,0.269524370700019,0,2928.64856411582,-1445.57435633113,18
-3,-0.00035,1e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,606
-2.5,-0.00035,-5e-05,-5,0.2,0.2,,,,,,,,,,,82
-2,-0.00035,1e-04,-2,0.2,0.2,,-2.0082502945567,-0.0032342279617447,-1.88309344405551,-0.209802019874946,0.604833310929791,0.270165079760128,0,3268.41211146973,-1615.45613000809,483
-1.5,-5e-04,-2e-04,-1,0.2,0.2,,-1.58950429765333,-0.000387822217541285,-0.964059197465824,-0.00184747437241303,0.533633748307664,0.279455036348927,0,3111.325359008,-1536.91275377722,554
-3,1e-04,-2e-04,-5,0.2,0.2,,-2.86828212569418,-0.031700266362416,-4.81635256050296,-0.406483641648639,0.640011955846128,0.282007822643358,0,3289.90396916365,-1626.20205885505,71
