a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-2,-10,0.2,0.2,,-1.56302260868914,-4.64278833557193,-6.45878560101848,0.416676598606539,0.272931021192441,0,2848.61618118727,-1408.68315248799,19
-2,-2,-6.25,0.2,0.2,,-1.55401721623356,-4.58914579608823,-6.44442113237082,0.420240532035067,0.280403417833299,0,2847.67882001121,-1408.21447189996,93
-3,-3,-10,0.2,0.2,,-1.55389467642356,-4.5865493481002,-6.44710339356308,0.42029564588976,0.280294932809209,0,2847.67887159537,-1408.21449769204,11
-2,-3,-6.25,0.2,0.2,,-1.55269224646388,-4.58557776932095,-6.44171574438404,0.420136377212748,0.28033580689204,0,2847.67924109996,-1408.21468244433,88
-3,-2,-8.75,0.2,0.2,,-1.57511588138394,-4.58892752540993,-6.49253142456901,0.423034723122371,0.278569589689286,0,2847.90287590696,-1408.32649984783,41
-3,-1,-5,0.2,0.2,,-1.55375299483161,-4.58852299871304,-6.44459526237402,0.420336670006468,0.28031976051689,0,2847.6787493104,-1408.21443654955,121
-2,-2,-7.5,0.2,0.2,,-1.55401721623356,-4.58914579608823,-6.44442113237082,0.420240532035067,0.280403417833299,0,2847.67882001121,-1408.21447189996,68
-1,-2,-5,0.2,0.2,,-1.75363080898619,-4.50957021654813,-11.7971079527252,0.428327258835736,0.280153426855554,0,2867.57979143838,-1418.16495761354,120
-2,-3,-10,0.2,0.2,,-1.55269224646388,-4.58557776932095,-6.44171574438404,0.420136377212748,0.28033580689204,0,2847.67924109996,-1408.21468244433,13
-2.5,-3,-8.75,0.2,0.2,,-1.55356158388524,-4.58904905386572,-6.44386406265049,0.420220837230011,0.28036514890114,0,2847.6787766767,-1408.2144502327,37
-2.5,-1,-10,0.2,0.2,,-1.55340110368541,-4.58715304089784,-6.44645533602432,0.420335324084305,0.280378034021857,0,2847.67889351979,-1408.21450865424,22
-1,-2,-6.25,0.2,0.2,,-1.75363080898619,-4.50957021654813,-11.7971079527252,0.428327258835736,0.280153426855554,0,2867.57979143838,-1418.16495761354,95
-3,-3,-7.5,0.2,0.2,,-1.55389467642356,-4.5865493481002,-6.44710339356308,0.42029564588976,0.280294932809209,0,2847.67887159537,-1408.21449769204,61
-1.5,-5,-10,0.2,0.2,,-1.5538443914643,-4.58791178692173,-6.44547258982051,0.420159345762403,0.280364227358092,0,2847.67880120087,-1408.21446249479,4
-2.5,-4,-10,0.2,0.2,,-1.55374835190246,-4.58767995571857,-6.44535645073659,0.420257635396,0.280385461119541,0,2847.67874392581,-1408.21443385726,7
-1,-4,-5,0.2,0.2,,-1.55489243462386,-4.5829618685328,-6.44612130532216,0.420525487726055,0.280287279813471,0,2847.68165509373,-1408.21588944121,110
-2.5,-2,-5,0.2,0.2,,-1.55320076484179,-4.58836223305401,-6.44306346301039,0.420340151098359,0.280422187559201,0,2847.6789015116,-1408.21451265015,117
-2.5,-5,-8.75,0.2,0.2,,-1.55324659003203,-4.5895970392567,-6.44214901711162,0.420246261262717,0.280306979627203,0,2847.67891589379,-1408.21451984125,27
-3,-5,-8.75,0.2,0.2,,-1.55395800059645,-4.58845105010877,-6.4462125163383,0.420381296099198,0.280338534698547,0,2847.6787934803,-1408.2144586345,26
-2,-3,-5,0.2,0.2,,-1.55269224646388,-4.58557776932095,-6.44171574438404,0.420136377212748,0.28033580689204,0,2847.67924109996,-1408.21468244433,113
-3,-2,-7.5,0.2,0.2,,-1.57511588138394,-4.58892752540993,-6.49253142456901,0.423034723122371,0.278569589689286,0,2847.90287590696,-1408.32649984783,66
-1.5,-1,-7.5,0.2,0.2,,-1.55359525226042,-4.58774301158509,-6.44499513124169,0.4202604331709,0.280338912108643,0,2847.67872631385,-1408.21442505128,74
-1,-2,-8.75,0.2,0.2,,-1.75363080898619,-4.50957021654813,-11.7971079527252,0.428327258835736,0.280153426855554,0,2867.57979143838,-1418.16495761354,45
-3,-5,-5,0.2,0.2,,-1.55395800059645,-4.58845105010877,-6.4462125163383,0.420381296099198,0.280338534698547,0,2847.6787934803,-1408.2144586345,101
-1.5,-4,-8.75,0.2,0.2,,-1.55350150103056,-4.58704571606045,-6.4452919636981,0.420179020005853,0.280310028883329,0,2847.67883811902,-1408.21448095386,34
-1.5,-5,-5,0.2,0.2,,-1.55363516244877,-4.58800088422672,-6.4458337590572,0.420304150295225,0.280307667561551,0,2847.6787663907,-1408.2144450897,104
-1,-4,-7.5,0.2,0.2,,-1.55382059131235,-4.58838869404006,-6.44654996759606,0.420187126133563,0.280294759029376,0,2847.67883194643,-1408.21447786757,60
-1.5,-2,-7.5,0.2,0.2,,-1.75388236865908,-4.50817617582389,-11.9332512269509,0.428345269036178,0.280359750427433,0,2867.61341921836,-1418.18177150353,69
-1,-5,-6.25,0.2,0.2,,-1.55384762329836,-4.58869281582798,-6.44304995876239,0.420351530445172,0.280395759065548,0,2847.67888745146,-1408.21450562008,80
-2,-5,-8.75,0.2,0.2,,-1.55378182470506,-4.58885435860283,-6.44559579270738,0.420351166656511,0.280291698836767,0,2847.67881211218,-1408.21446795044,28
-2,-5,-5,0.2,0.2,,-1.55378182470506,-4.58885435860283,-6.44559579270738,0.420351166656511,0.280291698836767,0,2847.67881211218,-1408.21446795044,103
-1.5,-3,-10,0.2,0.2,,-1.5536855074525,-4.58768218096336,-6.44532476278871,0.420288940690881,0.28033782228884,0,2847.67872461528,-1408.21442420199,14
-3,-4,-8.75,0.2,0.2,,-1.55344809018598,-4.58647764100133,-6.44562862115554,0.420255928290514,0.280456794095639,0,2847.67898690412,-1408.21455534641,31
-2,-5,-10,0.2,0.2,,-1.55378182470506,-4.58885435860283,-6.44559579270738,0.420351166656511,0.280291698836767,0,2847.67881211218,-1408.21446795044,3
-2.5,-5,-10,0.2,0.2,,-1.55387954967867,-4.58851662948278,-6.44558988788963,0.420197813344983,0.280386624299657,0,2847.67877207492,-1408.21444793181,2
-1.5,-1,-10,0.2,0.2,,-1.5535977009787,-4.58842481541366,-6.44401008709558,0.420277869170769,0.280412829679479,0,2847.67878371731,-1408.214453753,24
-1.5,-1,-8.75,0.2,0.2,,-1.5535977009787,-4.58842481541366,-6.44401008709558,0.420277869170769,0.280412829679479,0,2847.67878371731,-1408.214453753,49
-2,-1,-8.75,0.2,0.2,,-1.55388276020338,-4.58747677738045,-6.44591657111025,0.420290207649706,0.280366571283774,0,2847.67874747929,-1408.214435634,48
-2,-1,-5,0.2,0.2,,-1.55388276020338,-4.58747677738045,-6.44591657111025,0.420290207649706,0.280366571283774,0,2847.67874747929,-1408.214435634,123
-3,-1,-10,0.2,0.2,,-1.55430648693302,-4.58805446684895,-6.44747008148778,0.420368535804766,0.280402156435821,0,2847.67888795338,-1408.21450587104,21
-1.5,-5,-7.5,0.2,0.2,,-1.55363516244877,-4.58800088422672,-6.4458337590572,0.420304150295225,0.280307667561551,0,2847.6787663907,-1408.2144450897,54
