a_log,h_log,sigma,sigma2,error,a_log.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.11111111111111,-1.44444444444444,0.2,0.2,,-1.75655865154476,-4.51507256682603,0.428499477162256,0.280352627627362,0,2861.59638088207,-1418.29823995652,85
-3,-1.88888888888889,0.2,0.2,,-1.75686256541681,-4.51372303557098,0.428442182548092,0.280377464277847,0,2861.59649060091,-1418.29829481594,71
-2.33333333333333,-3.22222222222222,0.2,0.2,,-1.75643468833174,-4.51413133384315,0.428397251205121,0.280402780644266,0,2861.59641807943,-1418.29825855519,44
-1,-5,0.2,0.2,,-1.75649082047486,-4.51389716793407,0.428486992508127,0.280411493523617,0,2861.59638711473,-1418.29824307285,10
-1.22222222222222,-3.22222222222222,0.2,0.2,,-1.75679649536282,-4.51484800002685,0.428496005739264,0.280405836455168,0,2861.59639831606,-1418.29824867351,49
-2.33333333333333,-1.88888888888889,0.2,0.2,,-1.75648926671861,-4.51499530724012,0.428543682077438,0.280378736321642,0,2861.59639195214,-1418.29824549155,74
-2.77777777777778,-3.66666666666667,0.2,0.2,,-1.75666833749059,-4.51498695427431,0.428462132702873,0.280358639889943,0,2861.5963780829,-1418.29823855693,32
-2.11111111111111,-4.55555555555556,0.2,0.2,,-1.75640996203548,-4.51449729729044,0.428485365523651,0.280326062874273,0,2861.59640788842,-1418.29825345969,15
-2.33333333333333,-1,0.2,0.2,,-1.75666661623403,-4.51601016795416,0.428454566283586,0.280399758272694,0,2861.59643162436,-1418.29826532766,94
-2.11111111111111,-2.77777777777778,0.2,0.2,,-1.75680126769972,-4.51429629960953,0.4285232350048,0.280381666691984,0,2861.59641781855,-1418.29825842476,55
-1.66666666666667,-1.88888888888889,0.2,0.2,,-1.75614304699426,-4.51659277869333,0.428560906211307,0.280236517064336,0,2861.59701709275,-1418.29855806186,77
-2.77777777777778,-4.55555555555556,0.2,0.2,,-1.75708114612072,-4.51584548940619,0.428673774547045,0.2804617148334,0,2861.59677081165,-1418.29843492131,12
-2.11111111111111,-1.88888888888889,0.2,0.2,,-1.75646367363193,-4.51448278588784,0.428507357642219,0.280422185163173,0,2861.59638960112,-1418.29824431604,75
-1,-1,0.2,0.2,,-1.7564689327443,-4.51441056463808,0.428478644342192,0.280367793213946,0,2861.59636542666,-1418.29823222881,100
-3,-5,0.2,0.2,,-1.75663412815422,-4.51440992001116,0.428458997802567,0.280345972961062,0,2861.59638785796,-1418.29824344446,1
-1.66666666666667,-2.77777777777778,0.2,0.2,,-1.75652514067093,-4.51535407269295,0.428566188513392,0.280368889087794,0,2861.59642508025,-1418.29826205561,57
-1.66666666666667,-1,0.2,0.2,,-1.75654598572522,-4.51482868205678,0.428431941195711,0.280394002136145,0,2861.59638186855,-1418.29824044976,97
-2.33333333333333,-2.77777777777778,0.2,0.2,,-1.75646266859592,-4.51608041427421,0.428405410408058,0.280305216652426,0,2861.59657606902,-1418.29833754999,54
-2.11111111111111,-1,0.2,0.2,,-1.75617927848434,-4.51346644519177,0.428470469233879,0.280349654340917,0,2861.59643409017,-1418.29826656057,95
-2.55555555555556,-4.55555555555556,0.2,0.2,,-1.75650315840749,-4.51497115693751,0.428449068188689,0.280423275208334,0,2861.59640167661,-1418.29825035379,13
-2.77777777777778,-2.33333333333333,0.2,0.2,,-1.75643799612696,-4.51376662367564,0.428470416921621,0.280354683073244,0,2861.59638851358,-1418.29824377227,62
-1.88888888888889,-5,0.2,0.2,,-1.7564213693231,-4.51448715400161,0.428538698490436,0.280386527415815,0,2861.59638436942,-1418.29824170019,6
-2.33333333333333,-5,0.2,0.2,,-1.75628486211129,-4.51346088108966,0.428469088146558,0.28038192977881,0,2861.59640351463,-1418.2982512728,4
-2.77777777777778,-3.22222222222222,0.2,0.2,,-1.75671997483968,-4.51996855055274,0.428433101409821,0.280616720482692,0,2861.59806456662,-1418.29908179879,42
-1.88888888888889,-1.44444444444444,0.2,0.2,,-1.75647991542977,-4.51504333756127,0.428555839330667,0.280402393606007,0,2861.59641036867,-1418.29825469982,86
-1.66666666666667,-4.11111111111111,0.2,0.2,,-1.7564553138278,-4.5142241881225,0.428446392661911,0.280353077295813,0,2861.59638336805,-1418.29824119951,27
-2.55555555555556,-1.88888888888889,0.2,0.2,,-1.75672793944789,-4.51476782665579,0.428556779063398,0.280382611699521,0,2861.59640515883,-1418.2982520949,73
-1,-2.33333333333333,0.2,0.2,,-1.75670359838772,-4.51499283501892,0.4285350152082,0.280375170125209,0,2861.59638687955,-1418.29824295526,70
-2.11111111111111,-5,0.2,0.2,,-1.75665054335416,-4.51521846427299,0.428436806181068,0.280356232183067,0,2861.59639417402,-1418.29824660249,5
-2.77777777777778,-1,0.2,0.2,,-1.75655525025894,-4.5142783552299,0.428488233307582,0.280353172678195,0,2861.59637436206,-1418.29823669651,92
-2.33333333333333,-3.66666666666667,0.2,0.2,,-1.75678919231407,-4.51533759751252,0.428469865302051,0.280387664330673,0,2861.59639165555,-1418.29824534325,34
-1.44444444444444,-1,0.2,0.2,,-1.75651829496682,-4.51426511673018,0.428504857769655,0.280409376121966,0,2861.59637706199,-1418.29823804648,98
-3,-2.33333333333333,0.2,0.2,,-1.75640164872551,-4.51401061966401,0.42844703876704,0.280387170555807,0,2861.59638095504,-1418.298239993,61
-2.11111111111111,-3.66666666666667,0.2,0.2,,-1.75660075431732,-4.51483511187131,0.42851097271609,0.280420534541947,0,2861.59638858755,-1418.29824380926,35
-2.33333333333333,-2.33333333333333,0.2,0.2,,-1.75572503945481,-4.51423649516232,0.428298002160582,0.280541422346546,0,2861.59722574844,-1418.2986623897,64
