a_log,h12,h_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-0.00035,-3,0.2,0.2,,-1.79864143357142,-4.9190448986332,2.16057293723818e-05,0.427957310731387,0.280220187639222,0,2867.57281875592,-1418.16147127231,58
-2.5,-2e-04,-5,0.2,0.2,,-3.00254364769066,-4.19250270398092,-0.216381275846205,0.641168309911037,0.28172552923684,0,3274.34664479436,-1621.54838429153,12
-3,-5e-04,-3,0.2,0.2,,-3.18506768703326,-2.9893770612862,-0.170080367850162,0.637195953803259,0.280404143725575,0,3277.46056852125,-1623.10534615497,51
-1.5,-5e-05,-3,0.2,0.2,,-1.50000500239553,-2.99997813686243,-5.59885191036519e-05,0.461678625212718,0.280162964410501,0,2944.74285598366,-1456.74648988618,69
-2,-0.00035,-1,0.2,0.2,,-2.06348418128016,-0.932069483628648,-0.322758760139219,0.644292363479389,0.281684234081721,0,3289.53027437498,-1629.14019908184,108
-2.5,-5e-05,-1,0.2,0.2,,-2.45661675127742,-1.10287244108074,-0.266546837722449,0.642478489311863,0.279623830726437,0,3286.21001064036,-1627.48006721453,117
-2,-2e-04,-2,0.2,0.2,,-2.06943407320111,-4.48342812365492,-1.5011800355321e-05,0.429750563816518,0.297835541515546,0,2909.97882569203,-1439.36447474037,88
-2.5,-5e-04,-1,0.2,0.2,,-2.51553633270922,-1.07579190938074,-0.273989881354144,0.641608666339284,0.279665425703122,0,3285.95730548015,-1627.35371463443,102
-1.5,1e-04,-3,0.2,0.2,,-1.49991378744984,-2.99968073712708,-5.5903567639379e-05,0.461760683386699,0.280196605514446,0,2944.77789386225,-1456.76400882548,74
-3,-2e-04,-2,0.2,0.2,,-3.37998867167179,-1.81507346233533,-0.140064454156141,0.641261547710617,0.280184458968786,0,3284.41985266049,-1626.5849882246,86
-1.5,-2e-04,-2,0.2,0.2,,-1.84861161018091,-4.64689786627031,5.82361862241039e-06,0.434575465236718,0.273468343565795,0,2871.62873124404,-1420.18942751637,89
-2,1e-04,-3,0.2,0.2,,-1.6593279759249,-3.00047489839228,-7.52612481733439e-05,0.458032989169418,0.280209971726679,0,2936.2547705263,-1452.5024471575,73
-2,-5e-04,-5,0.2,0.2,,-1.73867520218236,-4.93290444584283,3.04087506655139e-05,0.43342690463219,0.303124081096507,0,2873.24584221156,-1420.99798300013,3
-2.5,-0.00035,-4,0.2,0.2,,-1.72271002137747,-4.23449347464902,1.0202721068959e-06,0.428680319695015,0.283464334473435,0,2870.32097914274,-1419.53555146572,32
-3,-0.00035,-1,0.2,0.2,,-3.1548405042537,-1.13761178872379,-0.261539799659543,0.63935620032178,0.280190000181969,0,3281.51897899544,-1625.13455139207,106
-2.5,-5e-04,-4,0.2,0.2,,-1.90502742946475,-3.55533718576301,-4.68536937327267e-05,0.415660493123244,0.275044910945015,0,2918.03218036197,-1443.39115207534,27
-2,1e-04,-4,0.2,0.2,,-1.74634277886197,-4.7057328651017,1.95508938045736e-05,0.427819152212441,0.280375811918419,0,2866.26155800357,-1417.50584089613,48
-2.5,-5e-05,-5,0.2,0.2,,-2.85230062013236,-5.13369793974761,-3.89975928981227e-05,0.602383360644297,0.277586146624029,0,3088.84867748105,-1528.79940063488,17
-1,-0.00035,-5,0.2,0.2,,-1.66454562924939,-3.79773473065164,-1.48405710786153e-05,0.450219353828696,0.28109051184614,0,2884.65769682737,-1426.70391030804,10
-3,-2e-04,-5,0.2,0.2,,-3.20764088621994,-4.27083963291643,-0.261088916104704,0.636079785856398,0.280916943601071,0,3273.24319660311,-1620.99666019591,11
-2.5,-5e-05,-2,0.2,0.2,,-2.90137666554312,-1.55698222182682,-0.300868478131673,0.63457890369049,0.281295405350258,0,3276.37148044505,-1622.56080211688,92
-2,1e-04,-1,0.2,0.2,,,,,,,,,,123
-2,-5e-05,-5,0.2,0.2,,-1.79539494474262,-5.43319210712799,4.16734693345889e-05,0.430340177182158,0.279739347411843,0,2871.70541827722,-1420.22777103296,18
-3,-5e-04,-1,0.2,0.2,,-3.19927026707963,-1.09212459970014,-0.273514001124076,0.639364441961875,0.279930146897237,0,3281.58671083289,-1625.16841731079,101
-2,-5e-04,-1,0.2,0.2,,-2.45602988345289,-0.694339604187967,-0.408755563619979,0.65119747841774,0.274252972550417,0,3288.02743989847,-1628.38878184359,103
-1.5,-0.00035,-2,0.2,0.2,,-1.79224005937932,-2.10867434612044,-0.000233380530621951,0.503927434228389,0.286570592030583,0,3032.89480302686,-1500.82246340778,84
-2,1e-04,-5,0.2,0.2,,-1.74627897580739,-4.70565494317226,1.96641275170983e-05,0.427859445323685,0.280352769087977,0,2866.26159815634,-1417.50586097252,23
-3,-0.00035,-3,0.2,0.2,,-3.5292862085644,-3.30922387585787,-0.377458432352331,0.636141270982934,0.280121234557275,0,3272.49594158177,-1620.62303268524,56
-2.5,-0.00035,-2,0.2,0.2,,-1.55515371926103,-2.61811299441635,-0.000111709079657984,0.486161193652856,0.281263571479621,0,2977.43130387423,-1473.09071383147,82
-3,1e-04,-2,0.2,0.2,,-2.97203930458695,-2.11932112183925,-0.217360097531522,0.642377589474051,0.278998817234355,0,3276.27264322615,-1622.51138350743,96
-1.5,-0.00035,-1,0.2,0.2,,-1.59928121602602,-0.937206888398393,-0.320070711613437,0.645658437926114,0.279564340649285,0,3286.32734876599,-1627.53873627735,109
-2.5,-5e-05,-4,0.2,0.2,,-1.74620979602839,-4.70478692091461,1.94854239075824e-05,0.42769158185157,0.280432178868253,0,2866.26176988614,-1417.50594683742,42
-2,-2e-04,-1,0.2,0.2,,,,,,,,,,113
-2.5,-0.00035,-1,0.2,0.2,,-2.48839185374826,-0.972467371512712,-0.303110837995574,0.649343578694607,0.27860447785647,0,3286.18286182332,-1627.46649280601,107
-2.5,1e-04,-3,0.2,0.2,,-1.66796015031394,-3.93345069207935,-7.72978233445485e-06,0.431193673238844,0.283394706561385,0,2878.56522180494,-1423.65767279682,72
-1,-5e-05,-1,0.2,0.2,,-1.94269083807243,-1.35160525866573,-0.00052535069431427,0.587336343227503,0.256410306529011,0,3129.35859519637,-1549.05435949254,120
-3,-5e-05,-5,0.2,0.2,,-2.84662737748486,-5.07556738080459,-0.178441213618162,0.633504975321825,0.278453650755012,0,3275.74717330968,-1622.24864854919,16
-2,-2e-04,-4,0.2,0.2,,-1.72094615702301,-4.46836732057745,1.24710917433582e-05,0.428490743511134,0.280935311105695,0,2867.22823983571,-1417.98918181221,38
-2,-5e-05,-2,0.2,0.2,,-2.12491365136748,-2.85509695551725,-0.00011706354200599,0.533509515083395,0.275745924745715,0,3003.13529489102,-1485.94270933986,93
-1.5,1e-04,-2,0.2,0.2,,-1.51261965582794,-2.10869592765306,-0.000203816730940647,0.521103951753255,0.279647953285718,0,3039.14047205148,-1503.94529792009,99
-1.5,-5e-04,-3,0.2,0.2,,-2.05382375729041,-3.16774274793539,-8.18754144845052e-05,0.495853571573227,0.259950340607939,0,2969.0976841909,-1468.9239039898,54
-1,-2e-04,-2,0.2,0.2,,201.96044641502,3.58386957957789,-132.713130889169,0.644390383155715,0.280201096458702,0,3290.06274125535,-1629.40643252203,90
-3,-5e-04,-4,0.2,0.2,,-1.70750690357588,-3.9360242621576,-1.18532694341682e-05,0.431403528277828,0.281873361846198,0,2877.97150737754,-1423.36081558312,26
-3,1e-04,-5,0.2,0.2,,-3.29532398242447,-4.94609528961762,-0.276886555970421,0.633398610644543,0.279791755706795,0,3273.10631008538,-1620.92821693704,21
-1,-5e-04,-3,0.2,0.2,,-1.16050711379541,-3.15220908446488,7.2476014083995e-05,0.566822367485921,0.24227339634384,0,3061.29967553684,-1515.02489966277,55
-2.5,-2e-04,-2,0.2,0.2,,-2.50414461718523,-2.03637015938182,-0.000281386739446566,0.530026731334793,0.282979312085074,0,3101.41966735572,-1535.08489557221,87
-1,-2e-04,-1,0.2,0.2,,-2.01493067812263,-2.34508504622553,-0.000191465504392342,0.576914784437867,0.245022251090651,0,3063.80365889517,-1516.27689134193,115
-1,1e-04,-5,0.2,0.2,,-0.956400923861134,-5.01459956905637,0.000648477194740093,0.642607579207336,0.286843827267716,0,3166.45786460631,-1567.60399419751,25
-1.5,-2e-04,-5,0.2,0.2,,-1.74497332051621,-4.68089413139174,1.86568323816112e-05,0.427758510848754,0.280490556247318,0,2866.27017805968,-1417.51015092419,14
-1,-5e-05,-3,0.2,0.2,,-1.74636374252161,-4.70482775239402,1.95045469831965e-05,0.427882105876689,0.280376500422383,0,2866.26154312181,-1417.50583345526,70
-1.5,-5e-04,-4,0.2,0.2,,-1.76743089599543,-3.79149710304351,-2.46576507772142e-05,0.435730286738745,0.301631966260382,0,2890.9866018191,-1429.8683628039,29
-1.5,-5e-05,-4,0.2,0.2,,-1.53577608869695,-4.66503807325289,6.18055162325024e-05,0.436373186082586,0.280191712926051,0,2886.69916594757,-1427.72464486814,44
-2,-5e-04,-4,0.2,0.2,,-1.70343617268058,-4.0597080680243,-5.07957564743047e-06,0.430408164883498,0.279799792668782,0,2874.13950134428,-1421.44481256649,28
-1,-0.00035,-1,0.2,0.2,,-1.34046255069354,-0.846656297678185,-0.00199722813998979,0.594273327829384,0.263566064712605,0,3183.58226996406,-1576.16619687638,110
-1,-0.00035,-2,0.2,0.2,,-1.78623409031017,-7.95049226920857,9.82542195710635e-05,0.442428992347681,0.279693231943677,0,2895.00440439628,-1431.87726409249,85
-2,-5e-05,-3,0.2,0.2,,-1.658889295141,-3.00003374397616,-7.52815399698169e-05,0.45808582798982,0.280182332522244,0,2936.29444667215,-1452.52228523043,68
-2.5,1e-04,-2,0.2,0.2,,-2.08620059536065,-1.70686913690379,-0.000371383101325659,0.52477264789333,0.281028045146852,0,3087.99951887617,-1528.37482133244,97
-1.5,-5e-04,-5,0.2,0.2,,-1.75694917274223,-4.86437906090477,2.48979258952348e-05,0.427928845630431,0.280394875633636,0,2866.60581531014,-1417.67796954942,4
-2.5,-5e-04,-2,0.2,0.2,,-2.96791196604646,-1.34517247762277,-0.213041194585971,0.639306987279156,0.279989421068123,0,3281.39006879539,-1625.07009629204,77
-2,-2e-04,-3,0.2,0.2,,-1.74630630092899,-4.70327080859039,1.94492273939861e-05,0.4278459007583,0.280363869510493,0,2866.26157036993,-1417.50584707932,63
-1.5,-2e-04,-4,0.2,0.2,,-1.7927674630581,-3.87040563561263,-2.2321390593344e-05,0.448923284809762,0.242201558895268,0,2909.27024795078,-1439.01018586974,39
-2,-5e-05,-1,0.2,0.2,,-3.18358832767055,-0.290197268863694,-0.598042053498265,0.642164919678626,0.280465146594486,0,3284.64589486373,-1626.69800932622,118
-1.5,1e-04,-5,0.2,0.2,,-1.74607607451713,-4.7047406765617,1.95135826691985e-05,0.427764802802209,0.280271456405614,0,2866.26173638532,-1417.50593008701,24
-3,-5e-05,-4,0.2,0.2,,-1.74116895497128,-4.63087303489403,1.70321268645495e-05,0.428102325362725,0.280462022090956,0,2866.34432887196,-1417.54722633033,41
-3,1e-04,-1,0.2,0.2,,-3.09726695689706,-1.19646737213241,-0.246656135982623,0.638956000598396,0.280133945502597,0,3281.45162548974,-1625.10087463922,121
-2.5,-5e-04,-3,0.2,0.2,,-2.46907690442921,-3.23018231708845,-9.36185083737097e-05,0.471059983031005,0.284783721176933,0,3035.72316131592,-1502.23664255231,52
-2,1e-04,-2,0.2,0.2,,-1.45824902640297,-2.76333631172155,-7.6731500291704e-05,0.475459088113905,0.282668917757844,0,2971.08725457426,-1469.91868918148,98
-2.5,1e-04,-1,0.2,0.2,,-2.43780112315038,-1.09878817182283,-0.267491968738874,0.642891155273066,0.279379308476541,0,3286.31263992628,-1627.53138185749,122
-3,1e-04,-4,0.2,0.2,,-1.78853209074944,-5.28535841197889,3.71536100507412e-05,0.428532768515263,0.279838911473512,0,2870.0208099178,-1419.38546685325,46
-1.5,-5e-04,-1,0.2,0.2,,-1.59371967525279,-0.9127514475145,-0.329333264778748,0.652960059044519,0.278919657029833,0,3285.79684037759,-1627.27348208315,104
-2.5,-5e-04,-5,0.2,0.2,,-1.77650987422545,-5.20761149425077,3.60856329541712e-05,0.428534563788932,0.2802490209364,0,2869.13825115487,-1418.94418747179,2
-1.5,-5e-05,-2,0.2,0.2,,-1.38281085610111,-2.56463179761079,-8.92436956459179e-05,0.472040090115669,0.302543597630304,0,3008.50596006942,-1488.62804192906,94
-3,-2e-04,-3,0.2,0.2,,-3.57976237949779,-3.23232113874125,-0.39803462921886,0.636790477656398,0.280169734570754,0,3272.49105766374,-1620.62059072622,61
-1,-5e-05,-4,0.2,0.2,,-1.41797988908063,-3.42911656601828,1.34107944273036e-06,0.445780167223744,0.265619977880634,0,2933.01126268753,-1450.88069323812,45
-2.5,-0.00035,-5,0.2,0.2,,-1.78335304658096,-5.34559336003026,4.03567184843122e-05,0.429287475701079,0.280146415371867,0,2870.60908150084,-1419.67960264477,7
-2.5,-2e-04,-1,0.2,0.2,,,,,,,,,,112
-2.5,-2e-04,-4,0.2,0.2,,-2.54363171412562,-4.13027564225413,-4.85439432047039e-05,0.486288755074084,0.272826895974663,0,3017.59879347671,-1493.1744586327,37
-3,-5e-04,-2,0.2,0.2,,-1.64732538436118,-3.98272831716865,-2.37262702330537e-06,0.438535907090604,0.265881351513775,0,2880.87941848414,-1424.81477113642,76
-3,-5e-04,-5,0.2,0.2,,-3.09159569429151,-4.97480202113324,-0.226940684217329,0.634314738292234,0.280336111634954,0,3273.84924855722,-1621.29968617296,1
-3,-0.00035,-5,0.2,0.2,,-2.99741496839321,-4.72028165605868,-0.0323996529419328,0.62128506072418,0.280131643760184,0,3247.30169071624,-1608.02590725247,6
-1.5,-5e-05,-1,0.2,0.2,,-1.74626789622329,-4.70566801217585,1.96224097456544e-05,0.427792243111962,0.280370462643899,0,2866.26158601827,-1417.50585490349,119
-1,-0.00035,-3,0.2,0.2,,-1.47788463091786,-2.81668172966388,-7.34542658177176e-05,0.455921953265119,0.262999551951157,0,2968.92969770537,-1468.83991074703,60
-1,-2e-04,-5,0.2,0.2,,-1.6655465285463,-3.80558116098782,-1.45118759030011e-05,0.449768960886719,0.281712954209172,0,2884.28976946308,-1426.51994662589,15
-2,-5e-05,-4,0.2,0.2,,-1.99975104207714,-5.07949598099358,7.1603037457241e-06,0.436840719933776,0.28044990879785,0,2888.02395262903,-1428.38703820887,43
-1,-2e-04,-3,0.2,0.2,,-1.74620206710651,-4.86453939551421,2.64892176721644e-05,0.429988498474503,0.28237305811051,0,2866.71091495773,-1417.73051937322,65
-2.5,1e-04,-4,0.2,0.2,,-1.74620870750812,-4.70586020712336,1.95798151079411e-05,0.427867092509959,0.280376764171621,0,2866.26157036648,-1417.50584707759,47
-1.5,-2e-04,-3,0.2,0.2,,-1.67972190767793,-4.56779257306845,2.307448692915e-05,0.42826120926862,0.285652164198458,0,2868.4676875641,-1418.6089056764,64
-1.5,-0.00035,-4,0.2,0.2,,-1.68319727898916,-3.91574507093196,-1.02971033899098e-05,0.432255047147945,0.282429153095734,0,2878.77153024774,-1423.76082701822,34
-1,-5e-04,-4,0.2,0.2,,-1.75782448020327,-5.32648155376121,4.3959092733932e-05,0.431819280916538,0.282135079196006,0,2870.57882974065,-1419.66447676468,30
-1,1e-04,-4,0.2,0.2,,-1.23972207709082,-3.93482685308003,0.000128772699935693,0.4845425418383,0.326787455630464,0,2999.28695183653,-1484.01853781261,50
-1.5,-0.00035,-3,0.2,0.2,,701.371947251933,-457.957052481563,-725.467019609162,0.644601109111073,0.280177568996002,0,3289.99008222038,-1629.37010300454,59
-3,-5e-05,-1,0.2,0.2,,-3.09285357374728,-1.20820518374372,-0.243815101685002,0.641062216537328,0.279607119686589,0,3281.42143507546,-1625.08577943208,116
-2,-5e-04,-3,0.2,0.2,,-2.0312583333684,-2.71628504782828,-0.000130820442032009,0.501219488042009,0.266653277624099,0,2995.60285670206,-1482.17649024538,53
-3,-2e-04,-4,0.2,0.2,,-1.7140688532949,-4.11157430035051,-3.53886309410089e-06,0.429198454211325,0.282214407784355,0,2872.85356687483,-1420.80184533177,36
-1,-2e-04,-4,0.2,0.2,,-1.70866522644528,-4.09325468432185,-3.96143826260896e-06,0.43150166761579,0.27764503030964,0,2873.3431533696,-1421.04663857915,40
