a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-3,-7.5,0.2,0.2,,-1.50816364922936,-4.42305338424609,-6.18139875187066,0.418984351287091,0.280340902258527,0,2844.56693822372,-1406.65853100621,65
-2,-2,-7.5,0.2,0.2,,-1.50814068047325,-4.42511396351277,-6.17859346111748,0.418963130456541,0.28040775250145,0,2844.56676932298,-1406.65844655584,68
-2,-2,-8.75,0.2,0.2,,-1.50814068047325,-4.42511396351277,-6.17859346111748,0.418963130456541,0.28040775250145,0,2844.56676932298,-1406.65844655584,43
-1,-5,-5,0.2,0.2,,-1.49497560808217,-4.47387209948923,-6.15748963563988,0.424499769548864,0.286956074299207,0,2845.54382845707,-1407.14697612288,105
-2.5,-1,-5,0.2,0.2,,-1.50748885139828,-4.42905406944858,-6.17607260689667,0.419041762461619,0.280526700630389,0,2844.5685807222,-1406.65935225545,122
-1.5,-2,-8.75,0.2,0.2,,-1.75606433708054,-4.51263940995439,-14.0033515738245,0.428416471087898,0.280478967135944,0,2867.81856531251,-1418.28434455061,44
-1,-5,-7.5,0.2,0.2,,-1.49497560808217,-4.47387209948923,-6.15748963563988,0.424499769548864,0.286956074299207,0,2845.54382845707,-1407.14697612288,55
-3,-4,-6.25,0.2,0.2,,-1.50760275565653,-4.42396603408735,-6.17510713975847,0.419118271306439,0.280385026138276,0,2844.56669056097,-1406.65840717484,81
-2,-1,-10,0.2,0.2,,-1.50822909991845,-4.42402141359303,-6.17823423255567,0.418987237061278,0.280302117101351,0,2844.56665363696,-1406.65838871283,23
-2,-4,-5,0.2,0.2,,-1.50697898763261,-4.4211662420712,-6.17696817158405,0.418850773526551,0.280443071317762,0,2844.56720729116,-1406.65866553993,108
-2,-5,-7.5,0.2,0.2,,-1.50782696118899,-4.42356974143892,-6.17679014004098,0.419078633035926,0.280338442443019,0,2844.56660758646,-1406.65836568758,53
-2.5,-4,-10,0.2,0.2,,-1.50803534365856,-4.42428904376723,-6.17755496653747,0.419014100307961,0.280329087525006,0,2844.56661084873,-1406.65836731872,7
-2.5,-1,-8.75,0.2,0.2,,-1.50748885139828,-4.42905406944858,-6.17607260689667,0.419041762461619,0.280526700630389,0,2844.5685807222,-1406.65935225545,47
-1.5,-4,-5,0.2,0.2,,-1.50679396152924,-4.42043597153701,-6.17404121961568,0.418910916480408,0.280360765581453,0,2844.56698394015,-1406.65855386443,109
-2.5,-4,-8.75,0.2,0.2,,-1.50803534365856,-4.42428904376723,-6.17755496653747,0.419014100307961,0.280329087525006,0,2844.56661084873,-1406.65836731872,32
-2,-1,-7.5,0.2,0.2,,-1.50822909991845,-4.42402141359303,-6.17823423255567,0.418987237061278,0.280302117101351,0,2844.56665363696,-1406.65838871283,73
-1,-1,-5,0.2,0.2,,-1.50759774233786,-4.42410250362795,-6.17543861714904,0.419084459190283,0.280342868504312,0,2844.56664095338,-1406.65838237104,125
-2,-3,-5,0.2,0.2,,-1.50675468448775,-4.42074258489408,-6.17585722629609,0.418721277517808,0.280307050763036,0,2844.56750892567,-1406.65881635719,113
-2,-4,-6.25,0.2,0.2,,-1.50697898763261,-4.4211662420712,-6.17696817158405,0.418850773526551,0.280443071317762,0,2844.56720729116,-1406.65866553993,83
-2,-5,-10,0.2,0.2,,-1.50782696118899,-4.42356974143892,-6.17679014004098,0.419078633035926,0.280338442443019,0,2844.56660758646,-1406.65836568758,3
-3,-4,-8.75,0.2,0.2,,-1.50760275565653,-4.42396603408735,-6.17510713975847,0.419118271306439,0.280385026138276,0,2844.56669056097,-1406.65840717484,31
-3,-5,-6.25,0.2,0.2,,-1.75420458026318,-4.52501167694203,-10.8169883347595,0.428291916487829,0.28037533808079,0,2867.17980812814,-1417.96496595842,76
-3,-1,-7.5,0.2,0.2,,-1.50801778038748,-4.42316668371775,-6.17665731427882,0.419041973812215,0.280315400300076,0,2844.56663937479,-1406.65838158175,71
-1,-4,-5,0.2,0.2,,-1.52291979970273,-4.46631826936891,-6.2317224218531,0.418942960906085,0.280457997913752,0,2844.64671349107,-1406.69841863989,110
-2.5,-3,-8.75,0.2,0.2,,-1.50762444357722,-4.42427715117965,-6.17552744496326,0.418959938271837,0.280319232856067,0,2844.56664023946,-1406.65838201408,37
-1,-2,-8.75,0.2,0.2,,-1.50770864733975,-4.42292402521385,-6.17695551102508,0.418957036828178,0.280316214143586,0,2844.56662480241,-1406.65837429556,45
-2,-1,-6.25,0.2,0.2,,-1.5077412132775,-4.42285236476572,-6.17750882095628,0.418920715785216,0.280387432828523,0,2844.56667667498,-1406.65840023184,98
-1,-5,-6.25,0.2,0.2,,-1.50772752573613,-4.42045192636688,-6.18019653360792,0.418923328075654,0.280348626382732,0,2844.56717714981,-1406.65865046926,80
-1.5,-5,-5,0.2,0.2,,-1.50770267755142,-4.42243667247855,-6.18231892079475,0.418804203663903,0.280332963507457,0,2844.5677087223,-1406.6589162555,104
-1,-1,-6.25,0.2,0.2,,-1.6105873444006,-4.50361946293811,-6.83504727665431,0.420658279915863,0.278552008233177,0,2848.11253328427,-1408.43132853649,100
-2.5,-1,-10,0.2,0.2,,-1.50691584370223,-4.42170041148379,-6.17410101274306,0.419080084242609,0.280317759597151,0,2844.5667953543,-1406.6584595715,22
-2.5,-5,-7.5,0.2,0.2,,-1.50765736817035,-4.42380549811634,-6.17566287564757,0.418998492311094,0.280350345209338,0,2844.56658580061,-1406.65835479466,52
-1,-2,-5,0.2,0.2,,-1.50770864733975,-4.42292402521385,-6.17695551102508,0.418957036828178,0.280316214143586,0,2844.56662480241,-1406.65837429556,120
-1,-4,-6.25,0.2,0.2,,-1.5077806800857,-4.42374539746293,-6.17623937507906,0.419029126650437,0.280331701478156,0,2844.56658415185,-1406.65835397028,85
-2.5,-1,-7.5,0.2,0.2,,-1.50691584370223,-4.42170041148379,-6.17410101274306,0.419080084242609,0.280317759597151,0,2844.5667953543,-1406.6584595715,72
-3,-2,-8.75,0.2,0.2,,-1.50823927147158,-4.42497155337815,-6.17726248231777,0.419158650151776,0.280314827992208,0,2844.56680715322,-1406.65846547096,41
-3,-2,-10,0.2,0.2,,-1.50823927147158,-4.42497155337815,-6.17726248231777,0.419158650151776,0.280314827992208,0,2844.56680715322,-1406.65846547096,16
-1,-3,-5,0.2,0.2,,-1.50797146550419,-4.42316710018653,-6.17758639462501,0.419068503248119,0.280310619544527,0,2844.56664058818,-1406.65838218844,115
-1,-4,-8.75,0.2,0.2,,-1.5077806800857,-4.42374539746293,-6.17623937507906,0.419029126650437,0.280331701478156,0,2844.56658415185,-1406.65835397028,35
-2,-5,-6.25,0.2,0.2,,-1.50753556956501,-4.42310691098587,-6.17539714245461,0.418996195447368,0.280314223869697,0,2844.5666073238,-1406.65836555625,78
-2.5,-5,-6.25,0.2,0.2,,-1.50765736817035,-4.42380549811634,-6.17566287564757,0.418998492311094,0.280350345209338,0,2844.56658580061,-1406.65835479466,77
-1.5,-3,-5,0.2,0.2,,-1.50793677129169,-4.42464933009592,-6.17791288176191,0.418877438982907,0.280311540778391,0,2844.56678451716,-1406.65845415293,114
-2.5,-2,-8.75,0.2,0.2,,-1.50799052219723,-4.42362435480844,-6.17643208404595,0.419097107008457,0.280258458743356,0,2844.56675673133,-1406.65844026002,42
-1.5,-5,-8.75,0.2,0.2,,-1.50770267755142,-4.42243667247855,-6.18231892079475,0.418804203663903,0.280332963507457,0,2844.5677087223,-1406.6589162555,29
-1,-2,-7.5,0.2,0.2,,-1.50770864733975,-4.42292402521385,-6.17695551102508,0.418957036828178,0.280316214143586,0,2844.56662480241,-1406.65837429556,70
-1.5,-1,-5,0.2,0.2,,-1.50734254964329,-4.42333801634245,-6.17065388297414,0.419173426800032,0.280339473736667,0,2844.5672456768,-1406.65868473275,124
-3,-3,-5,0.2,0.2,,-1.5076310658497,-4.42317057411817,-6.17648749424504,0.419015132664038,0.280344517842762,0,2844.56658590871,-1406.65835484871,111
-2.5,-4,-7.5,0.2,0.2,,-1.5156894617173,-4.4187610743377,-6.20018313284409,0.418993630385718,0.280252242087319,0,2844.58751412843,-1406.66881895857,57
-2.5,-5,-8.75,0.2,0.2,,-1.50765736817035,-4.42380549811634,-6.17566287564757,0.418998492311094,0.280350345209338,0,2844.56658580061,-1406.65835479466,27
-2.5,-3,-7.5,0.2,0.2,,-1.50745677712951,-4.42264410659962,-6.17566353565861,0.418974666841479,0.280305264444255,0,2844.56663898326,-1406.65838138598,62
-3,-4,-10,0.2,0.2,,-1.50780162266462,-4.42280947204264,-6.17608039645971,0.419054880999061,0.280418648193288,0,2844.56668223812,-1406.65840301341,6
-3,-3,-6.25,0.2,0.2,,-1.50762067010623,-4.42319287849623,-6.17525319211712,0.41899859243617,0.280346343712685,0,2844.56659422858,-1406.65835900864,86
-2,-3,-7.5,0.2,0.2,,-1.50753483261269,-4.42352401940985,-6.17570217980893,0.419027252348842,0.280335412918648,0,2844.56659462869,-1406.6583592087,63
-1.5,-1,-8.75,0.2,0.2,,-1.50903054325602,-4.42356092856294,-6.18411976009591,0.418793109960606,0.280444248484841,0,2844.56761262634,-1406.65886820752,49
-3,-4,-5,0.2,0.2,,-1.50780162266462,-4.42280947204264,-6.17608039645971,0.419054880999061,0.280418648193288,0,2844.56668223812,-1406.65840301341,106
-1.5,-4,-8.75,0.2,0.2,,-1.50767256218516,-4.42431789469195,-6.17532257188208,0.419008613874257,0.280373169897199,0,2844.56662084603,-1406.65837231737,34
-3,-2,-6.25,0.2,0.2,,-1.5077007586828,-4.4233193300641,-6.17683176806982,0.418945474926419,0.280386711668558,0,2844.56662547687,-1406.65837463279,91
-1.5,-5,-7.5,0.2,0.2,,-1.50738491206016,-4.42119228828185,-6.17781311514694,0.41887176465332,0.280358335645744,0,2844.56695186637,-1406.65853782753,54
-3,-1,-8.75,0.2,0.2,,-1.50732401554342,-4.42219570330202,-6.1757574043912,0.419025454468222,0.280360467090047,0,2844.56664980964,-1406.65838679917,46
-2,-2,-10,0.2,0.2,,-1.50839130832182,-4.42460832223666,-6.17788102235829,0.418996690117988,0.280340098871706,0,2844.56666228364,-1406.65839303617,18
-1.5,-3,-10,0.2,0.2,,-1.50784681226904,-4.42336739685832,-6.1767805396065,0.418954015996617,0.280343252859954,0,2844.56659546879,-1406.65835962875,14
-1,-2,-6.25,0.2,0.2,,-1.5082565379015,-4.42400207284201,-6.1788104508027,0.419035848692991,0.28040369968375,0,2844.56668119719,-1406.65840249295,95
-1.5,-5,-10,0.2,0.2,,-1.50738491206016,-4.42119228828185,-6.17781311514694,0.41887176465332,0.280358335645744,0,2844.56695186637,-1406.65853782753,4
-1,-5,-8.75,0.2,0.2,,-1.50792087371435,-4.4227309938255,-6.17608297146529,0.419018369512752,0.280361843851716,0,2844.56665067405,-1406.65838723138,30
-2,-3,-8.75,0.2,0.2,,-1.50753483261269,-4.42352401940985,-6.17570217980893,0.419027252348842,0.280335412918648,0,2844.56659462869,-1406.6583592087,38
