a_log,h_log,h12,log_w,sigma,sigma2,error,a_log.est,h_log.est,h12.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.5,-2,1e-04,-5,0.2,0.2,,-3.8662377400265,0.858339466865025,-4.27564098283905,-5.71641064416096,0.641969252677121,0.279204833817712,0,3291.93564708117,-1627.2178978138,617
-2,-5,-5e-05,-6.25,0.2,0.2,,-1.72427461515536,-4.42195280484504,7.63105030904112e-06,-9.76504240213341,0.428098283914507,0.278572043163095,0,2872.10324029292,-1417.30169441968,453
-3,-5,-0.00035,-5,0.2,0.2,,-4.39439795193103,-3.8540179770989,-1.40328906125535,-7.31547797851045,0.640095567622621,0.280257426589518,0,3288.57060127102,-1625.53537490873,526
-2,-1,-5e-05,-10,0.2,0.2,,-2.14459457694817,1.05204510475226,-2.89046589933149,-9.36290480753271,0.632112993132005,0.280166184985795,0,3276.16899539667,-1619.33457197156,98
-3,-1,-5e-04,-8.75,0.2,0.2,,,,,,,,,,,146
-2.5,-1,-5e-04,-6.25,0.2,0.2,,-2.27737962447137,0.124136812726078,-1.22710874322001,-10.7297790560519,0.638263318509691,0.28049948960593,0,3278.7648854705,-1620.63251700847,397
-1,-1,-5e-05,-5,0.2,0.2,,-1.63762143208354,-1.41029616373857,-0.00114371764504826,-8.45080513141632,0.569612429742913,0.279477883480582,0,3140.27031403782,-1551.38523129213,600
-1.5,-5,-5e-04,-7.5,0.2,0.2,,-1.65603061739537,-4.04199110388634,-3.50377096618198e-06,-9.46596220066155,0.433295124238515,0.277517714589016,0,2879.03535582322,-1420.76775218483,254
-2,-5,-2e-04,-10,0.2,0.2,,-1.73997042740758,-4.70937799837052,1.8751346625362e-05,-9.81354552886668,0.427231679785518,0.280274204198308,0,2870.99858815075,-1416.7493683486,53
-3,-5,1e-04,-5,0.2,0.2,,-4.10469775832335,-8.34015163887705,-1.2168052715898,-5.64753099075541,0.638006838696602,0.280201634991886,0,3286.07290509323,-1624.28652681984,601
-1,-4,1e-04,-7.5,0.2,0.2,,-1.74631043197962,-4.28128624118806,-1.50469487914554e-06,-9.50614281611332,0.42885525236304,0.266843876533364,0,2876.41780052324,-1419.45897453484,360
-2,-4,-5e-04,-6.25,0.2,0.2,,-1.72993863039181,-4.85962404469576,1.9568481189387e-05,-8.24109013012266,0.424741170628319,0.280651926104994,0,2866.86898377058,-1414.68456615851,383
-3,-2,-2e-04,-5,0.2,0.2,,-4.79854253888278,-6.84769185822058,-4.86338717926985,-6.25428364002693,0.640016374234016,0.279186333555558,0,3288.80826904129,-1625.65420879387,566
-1.5,-4,-5e-05,-7.5,0.2,0.2,,-1.72344744415212,-3.58683625723646,-3.50003496596742e-05,-9.67230518617107,0.43731103894829,0.274973468893219,0,2898.92257947792,-1430.71136401218,334
-3,-4,-0.00035,-10,0.2,0.2,,-5.64791047470075,-4.2887278735067,-11.3621937652224,-9.46298248107825,0.639735668477214,0.281156566467299,0,3287.93591033734,-1625.21802944189,31
-1.5,-1,-5e-05,-5,0.2,0.2,,-1.36659517509799,-1.79059168219724,-0.00029411059267399,-8.05839293115119,0.462964799820121,0.269620594818226,0,3106.4165750205,-1534.45836178347,599
-2,-4,-5e-05,-8.75,0.2,0.2,,-1.87995730804411,-6.88512947098193,6.46625469493407e-05,-11.7537364828093,0.43681336656211,0.281083746054155,0,2895.62673587182,-1429.06344220913,208
-2.5,-5,-5e-04,-5,0.2,0.2,,-1.71921780884423,-3.65876150594746,-2.9709358612432e-05,-9.71325199610341,0.436686360404836,0.282612341918568,0,2894.58164834781,-1428.54089844712,502
-2.5,-1,-0.00035,-5,0.2,0.2,,-2.29484855832111,0.181837547805832,-1.29605207862825,-10.8803009871216,0.636090363957807,0.280116181824006,0,3278.42115003793,-1620.46064929219,547
-2,-1,-5e-05,-8.75,0.2,0.2,,-2.14459457694817,1.05204510475226,-2.89046589933149,-9.36290480753271,0.632112993132005,0.280166184985795,0,3276.16899539667,-1619.33457197156,223
-1.5,-1,-5e-05,-6.25,0.2,0.2,,-1.36659517509799,-1.79059168219724,-0.00029411059267399,-8.05839293115119,0.462964799820121,0.269620594818226,0,3106.4165750205,-1534.45836178347,474
-1,-1,1e-04,-6.25,0.2,0.2,,-1.66173687102041,-1.11919420583133,-0.000651467382836528,-9.97732145998052,0.555193769725538,0.274633277252995,0,3147.76715470434,-1555.13365162539,500
-2.5,-3,1e-04,-8.75,0.2,0.2,,-4.43091628382249,-2.18624576930853,-3.49286512815717,-5.09719154160479,0.640226745932762,0.280358608400329,0,3289.5386325918,-1626.01939056912,237
-3,-3,-2e-04,-10,0.2,0.2,,-4.75632141603467,-1.1825071741948,-4.66329619880417,-18.3241055723362,0.640881798402651,0.280186374568368,0,3290.48966780545,-1626.49490817595,61
-1.5,-1,-5e-04,-7.5,0.2,0.2,,,,,,,,,,,274
-2.5,-5,-0.00035,-10,0.2,0.2,,-1.73832955293981,-4.66362065711839,1.72791794644385e-05,-10.100721983967,0.427453523047806,0.280482070182606,0,2871.36999293198,-1416.93507073921,27
-3,-1,1e-04,-10,0.2,0.2,,-3.09980689877869,-0.797084656792435,-0.561307834347111,-11.5476114416292,0.635567573801185,0.279619134484913,0,3282.89069067641,-1622.69541961143,121
-2,-3,-2e-04,-5,0.2,0.2,,-1.71128562600495,-4.62431225706329,1.43680331269902e-05,-8.64696441745794,0.42573035298507,0.281075437040185,0,2867.94995905298,-1415.22505379971,563
-3,-5,-5e-04,-8.75,0.2,0.2,,-3.86463879392137,-3.19404680272301,-0.797265334480808,-9.7580058111291,0.639298318974284,0.280312950983809,0,3289.4262326895,-1625.96319061797,126
-1,-3,-0.00035,-8.75,0.2,0.2,,-1.73744036758017,-4.68483615792951,1.79853669884977e-05,-9.85703776697386,0.427056556742867,0.280336339551386,0,2871.0516455726,-1416.77589705952,165
-2,-3,-2e-04,-6.25,0.2,0.2,,-1.71128562600495,-4.62431225706329,1.43680331269902e-05,-8.64696441745794,0.42573035298507,0.281075437040185,0,2867.94995905298,-1415.22505379971,438
-2.5,-1,-5e-05,-6.25,0.2,0.2,,-2.04394035342546,-0.115106452880949,-0.966192154182534,-10.6691262376797,0.643918394365749,0.284406716556584,0,3281.47129991366,-1621.98572423005,472
-1,-5,1e-04,-7.5,0.2,0.2,,-1.70109265013502,-4.52557095378755,-8.64080522114595e-07,-7.37901987324611,0.418482424827918,0.27643607857256,0,2860.58150433584,-1411.54082644114,355
-3,-3,-0.00035,-10,0.2,0.2,,-4.74668006097556,-1.19038084701225,-4.61850677697994,-18.2396838329849,0.640834920840454,0.280197406852399,0,3290.50128583929,-1626.50071719287,36
-1.5,-3,-0.00035,-6.25,0.2,0.2,,-1.57469145453732,-4.00587315511294,1.33093260192308e-06,-8.67390444493621,0.432907113136959,0.283342612779863,0,2881.41280285662,-1421.95647570153,414
-2,-5,-5e-04,-7.5,0.2,0.2,,-2.12807958705963,-7.86258822403236,2.66293625832504e-05,-6.7332730914101,0.453732993597865,0.267131406127269,0,2949.37864556973,-1455.93939705809,253
-1,-3,1e-04,-10,0.2,0.2,,-1.52077834159619,-2.80739994174251,-8.82033792057117e-05,-9.03198304410297,0.472950819877651,0.279940367344242,0,2961.12979970032,-1461.81497412338,115
-2,-3,-5e-05,-5,0.2,0.2,,-1.5692587404519,-2.79202773100766,-0.000108769196187858,-7.55769598969739,0.464206568332626,0.278301001918531,0,2948.25660736239,-1455.37837795442,588
-1.5,-2,-5e-05,-10,0.2,0.2,,-1.71529866921531,-1.70326467171131,-0.000356008661094922,-9.7025958814721,0.547751148813352,0.284582388527941,0,3084.6316049968,-1523.56587677162,94
