a_log,a12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-5e-05,-1,-3,0.2,0.2,,-1.26753605742439,-0.00033426289241616,-3.97150310635405,0.555841320930063,0.398620191244711,0.280331538827895,0,2798.88149321452,-1380.69082088048,118
-1.5,-5e-04,-3,-2.375,0.2,0.2,,-1.26829711539793,-0.000333394541922279,-3.97139320186041,0.550610228781332,0.398759066072937,0.280320456290977,0,2798.88129603235,-1380.6907222894,179
-1.5,-5e-05,-5,-1.125,0.2,0.2,,-1.26806081292918,-0.000334085164705421,-3.97123138173008,0.551144074541794,0.398654599363087,0.280245364868962,0,2798.88115946501,-1380.69065400573,394
-1,-0.00035,-1,-1.75,0.2,0.2,,-1.13541160545754,-0.000408787364959653,-3.75615193417361,1.18103549454755,0.401182754094611,0.281277879186219,0,2802.70011974504,-1382.60013414574,360
-1.5,-2e-04,-5,-1.125,0.2,0.2,,-1.44625378555946,-0.000265520793480059,-4.31489780701028,-1.24558214091145,0.408262192408703,0.280566575653833,0,2820.12573445848,-1391.31294150246,389
-3,-0.00035,-3,-1.75,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,306
-2.5,1e-04,-1,-3,0.2,0.2,,-1.52607326814742,-0.000259287736427478,-4.3949702058815,-3.74128734846793,0.416389823151764,0.280045310546261,0,2844.62547758096,-1403.5628130637,122
-1,-0.00035,-3,-1.75,0.2,0.2,,-1.26728346720823,-0.000334514974330148,-3.97012847517049,0.549067724246853,0.398492449668404,0.280330076222699,0,2798.8814948534,-1380.69082169992,310
-2.5,-5e-04,-4,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,527
-2,-5e-04,-2,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,203
-1,-2e-04,-4,-3,0.2,0.2,,-1.26796623192694,-0.000334146579031824,-3.97186691721589,0.551671966951907,0.398666804999411,0.280210848029979,0,2798.88125639823,-1380.69070247234,40
-2,-5e-04,-1,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,478
-3,-0.00035,-5,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,131
