a_log,a12,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-5e-04,1e-04,-4,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,853
-1,-5e-04,1e-04,-2,-1.125,0.2,0.2,,-1.00705702029285,-0.000726466752932864,-2.08970303794894,-0.000509895684628571,-1.10770200833777,0.437538485557092,0.28952162583393,0,2942.80346660504,-1449.52681995461,2355
-2.5,-5e-04,1e-04,-4,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,2102
-2.5,-5e-05,-5e-05,-2,-1.125,0.2,0.2,,-2.44782061008899,-0.000936521843182752,-2.03710957782336,-0.183530636319133,-1.15742410793859,0.643347753367905,0.284269029603412,0,3262.49593260087,-1609.37305295253,2342
-1,-5e-04,-5e-04,-3,-1.125,0.2,0.2,,-0.986566270960622,-0.000702009915487325,-2.79273218428339,-0.000240187009258931,-0.924038524110781,0.43419761421057,0.271678400473937,0,2869.78843702687,-1413.01930516553,2130
-3,1e-04,-2e-04,-2,-2.375,0.2,0.2,,-3.05454381403084,-0.00101317121827627,-1.97429111854065,-0.1551156280239,-2.42505362434179,0.637283183506466,0.276644628212868,0,3278.81724283877,-1617.53370807148,1071
-3,-5e-04,-0.00035,-5,-0.5,0.2,0.2,,-3.02949524226489,0.00110201904212671,-4.39537311087302,0.000232331935236468,-0.407268505342179,0.511311390456752,0.275078797371829,0,3037.94602853541,-1497.0981009198,2526
-3,-5e-04,-2e-04,-4,-1.75,0.2,0.2,,-1.50655914177186,-0.000272689675529397,-4.37293647993475,-1.64741143826003e-05,-2.06496070599936,0.409517420293883,0.281661676001826,0,2837.35165763919,-1396.80091547169,1426
-2,1e-04,1e-04,-2,-1.75,0.2,0.2,,-3.16440586454724,0.00586030254466297,-5.82855636251596,0.000600455695757971,2.54029668152128,0.469701430568763,0.279861408986794,0,2970.42553407809,-1463.33785369114,1748
-3,-5e-04,-0.00035,-3,-3,0.2,0.2,,-1.4691085189854,-0.000342001715280913,-3.77861631557293,-6.50349697437259e-05,-5.6842514278419,0.478871287073001,0.389803194417645,0,2963.82482314264,-1460.03749822341,276
