a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-2,-10,-0.5,0.2,0.2,,-1.35783873348997,-4.19830240931515,-6.63478219036947,0.216461320261705,0.400535355783562,0.281432985935785,0,2806.85262100342,-1384.67638477493,518
-3,-3,-6.25,-3,0.2,0.2,,-1.47926091546363,-4.055088390033,-10.7166177876627,0.621675318114036,0.408766787819826,0.280095307481239,0,2824.00883022545,-1393.25448938595,86
-2,-4,-10,-1.125,0.2,0.2,,-1.47935477587835,-4.05155069528717,-10.7612466477074,0.626322871223066,0.408617295348552,0.280182904948895,0,2824.04111015458,-1393.27062935051,383
-2,-2,-8.75,-0.5,0.2,0.2,,-1.35783873348997,-4.19830240931515,-6.63478219036947,0.216461320261705,0.400535355783562,0.281432985935785,0,2806.85262100342,-1384.67638477493,543
-1,-5,-7.5,-2.375,0.2,0.2,,-1.4782951901397,-4.03869328014712,-14.814691658047,0.648245396402542,0.408632964810337,0.280346791914779,0,2824.82179696665,-1393.66097275655,180
-1,-1,-10,-3,0.2,0.2,,-1.47706429438386,-4.03713868875431,-18.6541346304955,0.651649488078971,0.408823242165278,0.280320302498249,0,2824.83567715314,-1393.66791284979,25
-1,-5,-6.25,-3,0.2,0.2,,-1.47827785159352,-4.03874229865358,-15.4546946275714,0.647160468235429,0.408737317383293,0.280300658247456,0,2824.82842161863,-1393.66428508254,80
-2,-3,-7.5,-2.375,0.2,0.2,,-1.30932185674133,-4.12553297390786,-6.62054332360647,0.549147411592184,0.401490354267211,0.280113483201723,0,2805.86861500863,-1384.18438177754,188
-1.5,-2,-10,-0.5,0.2,0.2,,-1.29363021307429,-4.09450878850578,-6.5228540949811,0.421471583719387,0.400228568538635,0.280106061260647,0,2806.22258094839,-1384.36136474742,519
-2.5,-3,-5,-2.375,0.2,0.2,,-1.48216590394659,-4.0517579399627,-11.661662697427,0.612293202117048,0.408146476402325,0.280138309912835,0,2824.52019020751,-1393.51016937698,237
-3,-4,-5,-0.5,0.2,0.2,,-1.48281556551073,-4.05507481379484,-11.4870220067314,0.593262482866912,0.408585953074679,0.280294366313364,0,2824.46954037579,-1393.48484446112,606
-2.5,-2,-5,-1.125,0.2,0.2,,-1.27893344918451,-4.05992038493879,-6.64386559435672,0.754062225271882,0.401685704489945,0.280517657202538,0,2806.25206914598,-1384.37610884621,492
