a_log,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.88888888888889,-3.66666666666667,-2.375,0.2,0.2,,-1.47746056826442,-4.0382526017007,0.651859929080319,0.408691550344297,0.280249294469081,0,2818.58586261711,-1393.66799320291,136
-1.66666666666667,-3.22222222222222,-1.75,0.2,0.2,,-1.47776476730839,-4.03809701951232,0.653462064341233,0.408690106981336,0.280281526741238,0,2818.58589674121,-1393.66801026495,247
-1.22222222222222,-1.88888888888889,-2.375,0.2,0.2,,-1.47793065185977,-4.03999575190026,0.650789835709617,0.408487728733531,0.280349617020609,0,2818.58627848031,-1393.66820113451,179
-1.88888888888889,-2.33333333333333,-3,0.2,0.2,,-1.47780540109471,-4.03866918666043,0.649476793871084,0.408703836101445,0.280323658626403,0,2818.5858302968,-1393.66797704275,66
-1.88888888888889,-3.22222222222222,-1.125,0.2,0.2,,-1.47717040087191,-4.03726910627929,0.646718760951399,0.408902155043261,0.280299236746906,0,2818.5864600173,-1393.668291903,346
-2.11111111111111,-5,-0.5,0.2,0.2,,-1.47838982423265,-4.03583158763932,0.649432122901321,0.408849369973216,0.280338607179997,0,2818.58687230407,-1393.66849804639,405
-2.77777777777778,-2.77777777777778,-3,0.2,0.2,,-1.47779561797093,-4.03832080322474,0.650138990596084,0.408738331883521,0.280333810135579,0,2818.58582603996,-1393.66797491433,52
-1.44444444444444,-1.44444444444444,-2.375,0.2,0.2,,-1.47829054800321,-4.03924663683631,0.650563117983039,0.408718881613476,0.280268698244545,0,2818.58588049253,-1393.66800214062,188
-3,-1.88888888888889,-1.75,0.2,0.2,,-1.47721296454076,-4.03707654392926,0.652371032834916,0.408769023050587,0.280309401564984,0,2818.58589719654,-1393.66801049262,271
-2.11111111111111,-4.55555555555556,-0.5,0.2,0.2,,-1.47811124057498,-4.0380193778864,0.649892212883931,0.408750082438164,0.280347409325167,0,2818.5859233756,-1393.66802358215,415
-1.44444444444444,-4.55555555555556,-1.125,0.2,0.2,,-1.47781449659439,-4.03901954049299,0.653281448587398,0.408697031897002,0.280320345970026,0,2818.58590107684,-1393.66801243277,318
-2.33333333333333,-5,-2.375,0.2,0.2,,-1.47806914239373,-4.03888233273099,0.649158011661548,0.40874229895162,0.280324143755618,0,2818.58583503686,-1393.66797941278,104
-2.77777777777778,-2.77777777777778,-0.5,0.2,0.2,,-1.47724071475262,-4.04166469774713,0.650143503045775,0.408214948473001,0.279942064163841,0,2818.59032528291,-1393.67022453581,452
-1.66666666666667,-3.22222222222222,-0.5,0.2,0.2,,-1.47774470699084,-4.03713499803157,0.650665794207469,0.408734610562227,0.280308438674041,0,2818.58589489894,-1393.66800934382,447
-2.55555555555556,-1,-0.5,0.2,0.2,,-1.47797063333589,-4.03888492056614,0.649501510151357,0.408730489617443,0.280263387264887,0,2818.58582509729,-1393.667974443,493
-3,-1.88888888888889,-3,0.2,0.2,,-1.47870424550534,-4.03830670955985,0.645379555522399,0.408695405648391,0.280441799805529,0,2818.58647267527,-1393.66829823199,71
-1.22222222222222,-3.22222222222222,-1.75,0.2,0.2,,-1.47734947468648,-4.04223181924115,0.645412572344306,0.408314779125775,0.280481395941785,0,2818.58936051944,-1393.66974215407,249
-1,-4.55555555555556,-3,0.2,0.2,,-1.47694837086679,-4.03547813659874,0.659239319717087,0.40852349587976,0.280366398980328,0,2818.58684936851,-1393.6684865786,20
-3,-3.22222222222222,-1.75,0.2,0.2,,-1.47759499810164,-4.03775663741954,0.651620203777443,0.408556287223536,0.280284560177439,0,2818.58597160193,-1393.66804769532,241
-2.55555555555556,-3.66666666666667,-1.75,0.2,0.2,,-1.47804190026846,-4.0382167629419,0.650041012326035,0.408757499284805,0.280288044224817,0,2818.58584852173,-1393.66798615522,233
-2.77777777777778,-1,-1.75,0.2,0.2,,-1.47786009562959,-4.03795977895817,0.64878373974747,0.408798387802218,0.280264570509247,0,2818.5858964779,-1393.6680101333,292
-2.77777777777778,-3.22222222222222,-2.375,0.2,0.2,,-1.47903700415087,-4.04081951587786,0.645736191354756,0.408779432048886,0.280328495468521,0,2818.58617612811,-1393.66814995841,142
-1.66666666666667,-1.44444444444444,-0.5,0.2,0.2,,-1.47851997352015,-4.03910909194031,0.650095215913092,0.408856231322409,0.280389062396941,0,2818.58620790396,-1393.66816584633,487
-2.55555555555556,-3.66666666666667,-2.375,0.2,0.2,,-1.47826366235069,-4.03882731627722,0.648597677759884,0.408617990230028,0.280245051917422,0,2818.58594320306,-1393.66803349588,133
-1.44444444444444,-1,-1.125,0.2,0.2,,-1.4780377660332,-4.0387739015064,0.649200259763092,0.408790368412913,0.280267502148653,0,2818.58586047132,-1393.66799213001,398
-1,-3.66666666666667,-1.75,0.2,0.2,,-1.47814931893982,-4.03921799970668,0.64986542932792,0.408775814925311,0.280326833052378,0,2818.58586564664,-1393.66799471767,240
-2.55555555555556,-1,-2.375,0.2,0.2,,-1.47750242954759,-4.03709229470243,0.654450247819181,0.408707324711777,0.280238107055845,0,2818.58601213321,-1393.66806796095,193
-2.55555555555556,-1.44444444444444,-1.125,0.2,0.2,,-1.47835445674808,-4.03984701909383,0.648696357182107,0.408643866993717,0.280271503272639,0,2818.58591552675,-1393.66801965773,383
-1.22222222222222,-3.22222222222222,-2.375,0.2,0.2,,-1.47784410364837,-4.03894152363949,0.65097471832986,0.408675474030579,0.280278546811537,0,2818.58582595598,-1393.66797487234,149
-2.77777777777778,-1.88888888888889,-2.375,0.2,0.2,,-1.47856602954679,-4.03906660609591,0.650022705537569,0.408674099812946,0.28029673928456,0,2818.58600099798,-1393.66806239334,172
-2.33333333333333,-1,-1.75,0.2,0.2,,-1.47748548141156,-4.03330258975942,0.646477032339077,0.408391081223914,0.280313166731277,0,2818.58794490397,-1393.66903434634,294
