a_log,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,1e-04,-3,-0.5,0.2,0.2,,-0.999725687017447,-3.72310722446368,7.63921482589593e-05,2.24393590201037,0.414029495957354,0.2802406372243,0,2837.89175148516,-1400.1959500158,575
-3,-0.00035,-1,-2.375,0.2,0.2,,-2.92427645847769,-1.25650196435289,-0.0412827275119892,-2.34328706977772,0.651544311920148,0.284367712801871,0,3262.1894187603,-1612.34478365337,231
-2.5,-2e-04,-3,-1.75,0.2,0.2,,-1.61193492263724,-4.92982099881797,5.19916402037605e-05,-0.430553501133356,0.411490162968959,0.280161042705945,0,2833.56819973929,-1398.03417414287,312
-1.5,-0.00035,-3,-2.375,0.2,0.2,,-1.07735080526058,-3.6456235246729,0.000169288114232338,-0.373666951572423,0.429243826644208,0.2781524159443,0,2891.45325654655,-1426.9767025465,184
-2,-5e-04,-4,-3,0.2,0.2,,-1.73529129152374,-4.77433531428312,2.40404156161623e-05,-3.41394346384314,0.427462782626426,0.280293706421745,0,2867.67342498357,-1415.08678676501,28
-3,-0.00035,-3,-1.125,0.2,0.2,,-2.32865935921916,-4.48627433320345,-2.76376172114365e-05,2.1371198430533,0.578991968376903,0.274412003598561,0,3041.24513049909,-1501.87263952277,431
-2.5,1e-04,-1,-1.75,0.2,0.2,,,,,,,,,,,372
-2.5,-5e-05,-2,-0.5,0.2,0.2,,68.959023328016,-3.10803677806509,8.2504058133258e-05,73.4631267991877,0.431654247456312,0.280184583387475,0,2880.57288076044,-1421.53651465344,592
-1.5,-2e-04,-3,-3,0.2,0.2,,-1.51744518431311,-2.98652661122672,-6.04233960989658e-05,-2.99266766811521,0.455712938961967,0.280105265740393,0,2938.25318160047,-1450.37666507346,64
-2,-5e-05,-4,-3,0.2,0.2,,-1.99932521973487,-5.07403718322746,6.70228269251647e-06,-0.640076144416126,0.432443923069683,0.280405389839368,0,2883.98208472045,-1423.24111663345,43
-2.5,-5e-05,-1,-3,0.2,0.2,,-2.82932471678885,-1.01613095904701,-0.291903546460749,-2.76962066227204,0.639572079188944,0.280154678981389,0,3288.16744813212,-1625.33379833928,117
-2,-5e-05,-3,-1.75,0.2,0.2,,-1.00657868649407,-2.9879844095154,1.54197774116711e-05,1.66262289454006,0.424003426656503,0.280228145212015,0,2862.48539196728,-1412.49277025686,318
-3,-2e-04,-2,-1.75,0.2,0.2,,-2.99810748308073,-2.1381888964468,-0.00100894121272681,-1.92187340202179,0.682982516842036,0.287922497301787,0,3186.52483407441,-1574.51249131043,336
