a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-1,-5,-2.375,0.2,0.2,,-1.25155812259464,-3.97938336305626,0.55538073891407,-6.25221722575966,0.400133848842647,0.280195294199685,0,2802.53985149357,-1382.52000002001,249
-2.5,-1,-7.5,-0.5,0.2,0.2,,-1.25365965493641,-3.98677629853718,0.534376995960885,-6.24974491837303,0.400110964243372,0.28021758523466,0,2802.53951456533,-1382.51983155588,572
-1.5,-5,-10,-0.5,0.2,0.2,,-1.29454004463606,-3.94737313800661,0.369245926713023,-6.48420658031198,0.405368743882869,0.278970292362047,0,2803.77202239689,-1383.13608547167,504
-1.5,-2,-7.5,-0.5,0.2,0.2,,-1.25259347209143,-3.98035637081644,0.444006349116582,-6.21108065222053,0.399683829019931,0.280433730076634,0,2802.64405113159,-1382.57209983902,569
-1,-5,-10,-1.125,0.2,0.2,,-1.48024613324122,-4.04635909607525,0.62928965248852,-12.2440114590319,0.408564817784407,0.280289627443954,0,2824.67777761733,-1393.58896308188,380
-2.5,-4,-8.75,-1.125,0.2,0.2,,-1.47842216961653,-4.03874561125515,0.637170750928707,-12.4244388994661,0.408597205904705,0.28038360088277,0,2824.70191716538,-1393.60103285591,407
-1.5,-2,-10,-1.125,0.2,0.2,,-1.44162284931597,-4.03817621933719,0.643249864707065,-8.64968765416259,0.40385223780245,0.279863867309105,0,2819.62074184103,-1391.06044519374,394
-2,-1,-6.25,-2.375,0.2,0.2,,-1.47710285524142,-4.03723062194062,0.644687892674888,-12.482261760976,0.408652633262461,0.28030710495428,0,2824.70844982901,-1393.60429918773,223
-1,-1,-10,-0.5,0.2,0.2,,-1.25252675819372,-3.98300490619747,0.546364647018915,-6.24578587725796,0.399954563993726,0.280216111067783,0,2802.53889290626,-1382.51952072635,525
-1.5,-2,-6.25,-2.375,0.2,0.2,,-1.25270764336129,-4.11093851261619,0.321237636569157,-6.16320120889352,0.395462085090051,0.275264106886715,0,2804.54716721361,-1383.52365788002,219
-2.5,-2,-5,-1.75,0.2,0.2,,-1.48084780270746,-4.04868907511593,0.593171076120509,-10.7001752590574,0.408901575901906,0.28073642151749,0,2824.11075396939,-1393.30545125792,367
-1,-3,-8.75,-2.375,0.2,0.2,,-1.47754123494569,-4.03765939164111,0.650053499440856,-15.9185256830345,0.408807761679027,0.280243425096589,0,2824.83177678682,-1393.66596266663,165
-3,-1,-8.75,-2.375,0.2,0.2,,-1.48458851058382,-4.05980556139242,0.592747389005206,-11.1951877049516,0.408440000978051,0.280366542521456,0,2824.40479536015,-1393.4524719533,171
-3,-3,-10,-1.75,0.2,0.2,,-1.47218157141445,-4.04893948598341,0.615546169938121,-9.77722197233548,0.408276846727475,0.280645530027549,0,2822.99704815442,-1392.74859835043,261
-2,-3,-8.75,-3,0.2,0.2,,-1.25221178821643,-3.98544906633006,0.549882023979664,-6.24985532627584,0.400024996425024,0.280314564989267,0,2802.53889611799,-1382.51952233221,38
-1.5,-3,-5,-0.5,0.2,0.2,,-1.25235092832099,-3.9834141630457,0.547284498937604,-6.24933878695084,0.400031199107644,0.280304939573152,0,2802.53834495644,-1382.51924675144,614
-2.5,-2,-7.5,-1.125,0.2,0.2,,-1.2521729183364,-3.98363033882533,0.542837341905396,-6.24701442555173,0.400024027173215,0.280217534521114,0,2802.53836473132,-1382.51925663888,442
-3,-2,-6.25,-2.375,0.2,0.2,,-1.4808773018997,-4.04758966845002,0.617614274278263,-11.686853897865,0.408680160619984,0.280286924590816,0,2824.5616234288,-1393.53088598762,216
-2,-3,-8.75,-2.375,0.2,0.2,,-1.25161922938671,-3.98135470221273,0.547327489483744,-6.24894097141771,0.400183412702081,0.280108628422158,0,2802.53892891366,-1382.51953873005,163
-2,-1,-10,-1.125,0.2,0.2,,-1.25236691289458,-3.98322102737835,0.546047493308378,-6.2492247489002,0.400025186724178,0.280341729511499,0,2802.53834597016,-1382.5192472583,398
-2.5,-3,-5,-2.375,0.2,0.2,,-1.48081666333134,-4.05186747552654,0.615653016467742,-10.8559401909572,0.408792611931179,0.280367974684229,0,2824.20368444652,-1393.35191649648,237
-1,-3,-6.25,-0.5,0.2,0.2,,-1.47103547181766,-4.02543185297329,0.655643414482512,-10.9179845287021,0.408933019315596,0.280448320726025,0,2824.23845359354,-1393.36930106999,590
-1,-1,-10,-3,0.2,0.2,,-1.47745778620216,-4.03737010348005,0.644540426397225,-16.5521694976736,0.408891657214191,0.280173125226943,0,2824.83452733689,-1393.66733794167,25
-1,-1,-7.5,-1.75,0.2,0.2,,-1.38400763555638,-4.20468357445007,-0.440599842433128,-6.43766138678487,0.401431751769024,0.279337446179139,0,2810.57871128137,-1386.53942991391,325
-1,-1,-10,-1.125,0.2,0.2,,-1.47539935400962,-4.04381531353724,0.588134837444935,-10.0193594487129,0.407891175260617,0.280278067530618,0,2823.39718792615,-1392.9486682363,400
-3,-4,-7.5,-1.125,0.2,0.2,,-1.47862147176684,-4.08138029235575,0.579385267311503,-9.25644325712504,0.409639190316361,0.277128803338417,0,2822.03042408382,-1392.26528631513,431
-1.5,-3,-8.75,-3,0.2,0.2,,-1.25152048072806,-3.98200977035666,0.545138728067141,-6.24316666366179,0.399762620714023,0.280242775956161,0,2802.53915808056,-1382.5196533135,39
-1,-5,-5,-0.5,0.2,0.2,,-1.49750786575638,-4.09986445803719,0.446251773951486,-9.87218602696816,0.408121799995999,0.280158151704643,0,2823.46983590376,-1392.9849922251,605
-2,-3,-5,-0.5,0.2,0.2,,-1.41294093081466,-4.23825386556696,-0.675029170137785,-6.53405544962913,0.403046841758883,0.284146631417926,0,2814.72050755407,-1388.61032805026,613
-3,-5,-5,-1.75,0.2,0.2,,-1.28151349749044,-3.97929008519039,0.48101179705256,-6.32606772638641,0.409533140364888,0.281811405899519,0,2803.34620628619,-1382.92317741631,351
-3,-1,-8.75,-1.75,0.2,0.2,,-1.24046435187787,-3.95995444333161,0.61371185931254,-6.23828388482501,0.399960472808846,0.280482225708351,0,2802.58430430406,-1382.54222642525,296
-2.5,-5,-5,-3,0.2,0.2,,-1.25223370248443,-3.9834827298298,0.545643291192729,-6.2478401758729,0.400031748386392,0.280302420037451,0,2802.53828706174,-1382.51921780409,102
-2.5,-2,-8.75,-1.75,0.2,0.2,,-1.25220677571347,-3.98349558766812,0.548872126044213,-6.24845330240716,0.399916683901599,0.28023562215956,0,2802.53854679291,-1382.51934766968,292
-2,-3,-10,-0.5,0.2,0.2,,-1.41294093081466,-4.23825386556696,-0.675029170137785,-6.53405544962913,0.403046841758883,0.284146631417926,0,2814.72050755407,-1388.61032805026,513
-2,-1,-8.75,-3,0.2,0.2,,-1.47855740497556,-4.04087673438087,0.641817069209016,-12.8775190706559,0.408771435690017,0.280327554743921,0,2824.7503256631,-1393.62523710477,48
-1,-4,-7.5,-0.5,0.2,0.2,,-1.31123039671529,-4.10393643086906,0.0480982914216441,-6.26080771717523,0.399932577993634,0.280586849299326,0,2804.62313393669,-1383.56164124157,560
-1.5,-3,-5,-3,0.2,0.2,,-1.25152048072806,-3.98200977035666,0.545138728067141,-6.24316666366179,0.399762620714023,0.280242775956161,0,2802.53915808056,-1382.5196533135,114
-2.5,-5,-6.25,-1.125,0.2,0.2,,-1.25183573784708,-3.98441718942409,0.541579329894799,-6.2454542767177,0.399938772592514,0.280392585811379,0,2802.53880250953,-1382.51947552799,452
-3,-4,-5,-1.75,0.2,0.2,,-1.29433589157604,-4.08570152441011,0.783642288775403,-6.57370699207475,0.400515622369569,0.279297173890102,0,2804.56034362131,-1383.53024608387,356
-2.5,-5,-7.5,-1.125,0.2,0.2,,-1.25183573784708,-3.98441718942409,0.541579329894799,-6.2454542767177,0.399938772592514,0.280392585811379,0,2802.53880250953,-1382.51947552799,427
-1,-2,-10,-3,0.2,0.2,,-1.30881565760665,-4.08831198263556,0.330343148917756,-6.35248426582151,0.399662742204938,0.279996720458377,0,2803.21426380571,-1382.85720617608,20
-3,-5,-6.25,-3,0.2,0.2,,-1.47755539203562,-4.05693842765609,0.621677216497659,-10.2450233363463,0.407965374023784,0.28040132927456,0,2823.67580685931,-1393.08797770288,76
-2,-4,-6.25,-2.375,0.2,0.2,,-1.25839401288754,-4.00705454828077,0.482105388852838,-6.24537860450064,0.401320613747505,0.2786149575269,0,2802.63369625055,-1382.5669223985,208
-2,-2,-6.25,-3,0.2,0.2,,-1.25381525492341,-3.98370610294079,0.548824572035944,-6.255946846573,0.400064712440352,0.280291898072403,0,2802.53929085174,-1382.51971969909,93
-1,-3,-8.75,-3,0.2,0.2,,-1.24792965561834,-3.97398938916121,0.554346610672408,-6.23709016625138,0.400069292893522,0.280383518601437,0,2802.54252291367,-1382.52133573006,40
-2,-5,-10,-3,0.2,0.2,,-1.25148453993991,-3.98155861428216,0.545197796947802,-6.24620791707889,0.400024216545368,0.28023946440492,0,2802.53840510552,-1382.51927682598,3
-3,-4,-8.75,-1.125,0.2,0.2,,-1.47862147176684,-4.08138029235575,0.579385267311503,-9.25644325712504,0.409639190316361,0.277128803338417,0,2822.03042408382,-1392.26528631513,406
-3,-2,-7.5,-2.375,0.2,0.2,,-1.25687132103754,-3.98679867977019,0.562478599313172,-6.27260937407591,0.400142925393743,0.280427106402238,0,2802.54927812519,-1382.52471333582,191
-1.5,-4,-10,-1.125,0.2,0.2,,-1.48984711026257,-4.07092376011879,0.530735916785677,-10.416914773333,0.408203482072309,0.280267744905636,0,2823.950278352,-1393.22521344922,384
-2.5,-4,-7.5,-1.75,0.2,0.2,,-1.25253422884729,-3.98602413365389,0.547298365209462,-6.24779900473204,0.400327212941518,0.280112032890801,0,2802.53964334308,-1382.51989594476,307
-2,-2,-5,-2.375,0.2,0.2,,-1.48093696458915,-4.09912682616772,0.26103168624771,-8.5708036759956,0.405846131479428,0.281011881035978,0,2820.15989206395,-1391.33002030519,243
-3,-2,-6.25,-0.5,0.2,0.2,,-1.25246324161315,-3.98291068276511,0.543462369408086,-6.24580531984906,0.40018508805869,0.280303075688704,0,2802.53874296584,-1382.51944575614,591
-1.5,-3,-6.25,-3,0.2,0.2,,-1.25647427264529,-3.99731898962493,0.551094003571099,-6.25257214395937,0.399108126282427,0.279407398221114,0,2802.56351473747,-1382.53183164196,89
-2.5,-5,-8.75,-2.375,0.2,0.2,,-1.48087359023816,-4.08047220222026,0.564537186342584,-9.6178027501805,0.40797605757728,0.279640626180379,0,2822.7642104645,-1392.63217950547,152
-1.5,-2,-10,-3,0.2,0.2,,-1.477227692073,-4.03650578026842,0.621191039678767,-11.1711625933775,0.408481877353634,0.280359658777529,0,2824.37166551045,-1393.43590702845,19
-2.5,-5,-10,-1.75,0.2,0.2,,-1.48209505142457,-4.05561485101877,0.587769609404469,-10.6471264939243,0.408358704206138,0.28015732964003,0,2824.07335056247,-1393.28674955446,252
-2,-1,-8.75,-1.75,0.2,0.2,,-1.25116942609377,-3.98388855671435,0.548375264291295,-6.24359307022093,0.399991001983844,0.280355880036156,0,2802.53877769075,-1382.51946311859,298
-3,-3,-8.75,-1.125,0.2,0.2,,-1.25138950457447,-3.98236697558748,0.545490105098184,-6.24554559193322,0.400122009897904,0.280277551939013,0,2802.538400209,-1382.51927437772,411
-3,-3,-6.25,-0.5,0.2,0.2,,-1.32250431036385,-4.04421040969999,0.478272126369563,-6.64714515828225,0.401702966905909,0.28082950386792,0,2804.06383405315,-1383.2819912998,586
-1.5,-5,-10,-1.75,0.2,0.2,,-1.25144879860385,-3.97954558491067,0.551617391574337,-6.24769344363604,0.399983555533986,0.280262924870606,0,2802.5392245042,-1382.51968652532,254
-2.5,-4,-5,-2.375,0.2,0.2,,-1.25256115215684,-3.98389114975374,0.542067815038085,-6.24735140436819,0.40003462285501,0.280240880787673,0,2802.53838104585,-1382.51926479615,232
-3,-5,-5,-0.5,0.2,0.2,,-1.49078458484784,-4.08329260452219,0.503551750951929,-9.97469804483027,0.407934900886596,0.280094204900479,0,2823.47341156013,-1392.98678005329,601
-3,-4,-6.25,-1.75,0.2,0.2,,-1.48565229918563,-4.11217177552134,0.397744428839953,-8.82233531936684,0.406399491916789,0.280630210829994,0,2820.75423518053,-1391.62719186349,331
-2.5,-4,-10,-1.125,0.2,0.2,,-1.23419369978501,-3.91109722325953,0.496743351172014,-6.2483454344899,0.403632247510436,0.279471033615421,0,2802.909399476,-1382.70477401122,382
-1.5,-4,-6.25,-3,0.2,0.2,,-1.29107592507946,-3.9994501853264,0.576462129464273,-6.52166058325109,0.399502693617368,0.280332627004197,0,2803.26841862906,-1382.88428358775,84
-1,-2,-7.5,-1.75,0.2,0.2,,-1.25827038154415,-3.9909361546905,0.530840817042194,-6.26534875922488,0.400119189039167,0.280320686850664,0,2802.54424375102,-1382.52219614873,320
-1.5,-3,-6.25,-1.125,0.2,0.2,,-1.25203510053601,-3.98338466058506,0.546047881369799,-6.24730723100153,0.400068489176128,0.280341268999848,0,2802.53834349427,-1382.51924602036,464
-3,-3,-7.5,-0.5,0.2,0.2,,-1.32250431036385,-4.04421040969999,0.478272126369563,-6.64714515828225,0.401702966905909,0.28082950386792,0,2804.06383405315,-1383.2819912998,561
-1,-4,-8.75,-2.375,0.2,0.2,,-1.45898942891233,-4.18526268110279,0.295960710631067,-7.59772683382056,0.403544972593229,0.280309483830896,0,2813.44580228236,-1387.9729754144,160
-1,-5,-5,-1.125,0.2,0.2,,-1.50546742205032,-4.1995700834881,0.271852128243669,-8.40872484672084,0.406532141497067,0.279536064542086,0,2819.64850546504,-1391.07432700574,480
-2,-1,-10,-3,0.2,0.2,,-1.20392422907745,-4.0510888665861,0.750536065834538,-6.13462072723795,0.402137487507105,0.280877272620758,0,2804.09743430746,-1383.29879142695,23
-1.5,-2,-7.5,-1.125,0.2,0.2,,-1.25218775170543,-3.9864967024015,0.54117235084308,-6.2434985877849,0.39988125240252,0.28019209458659,0,2802.53931888659,-1382.51973371652,444
-2,-1,-6.25,-0.5,0.2,0.2,,-1.35484757104114,-4.08180907820629,0.247010214064765,-6.68320997636108,0.401174928943543,0.277848087560171,0,2805.08327359944,-1383.79171107294,598
-1,-4,-10,-1.75,0.2,0.2,,-1.25105695009636,-3.98264866550209,0.544212028045669,-6.24307861965648,0.400178981910793,0.280459263104422,0,2802.5391393973,-1382.51964397187,260
