r1_log,r2_log,alpha11,alpha22,alpha12,alpha21,sigma,sigma2,error,r1_log.est,r2_log.est,alpha11.est,alpha12.est,alpha22.est,alpha21.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-3,0.001,5e-04,0.001,5e-04,0.2,0.2,,-0.688735857844757,-3.81564430257639,0.000744078679017795,0.00224627480959856,0.0234211020065269,-0.0027191696335166,0.274805294261768,0.250130239408609,0,111.124413480065,-34.2701668234789,278
-0.5,-1,0.001,0.001,0.005,0.001,0.2,0.2,,-1.04600415880963,-6.0582154724798,0.000691884602174574,0.000597600757275416,-0.0108282813684091,0.000370059862334235,0.328616619396447,0.253119834633152,0,166.227640511435,-61.8217803391641,1627
-0.5,-0.5,0.001,5e-04,0.001,0.005,0.2,0.2,,-34.4647276830392,-39.8661154700284,16.0058913612267,-78.8539785386993,-90.5966650135235,48.1982654869168,0.426775522037926,0.25866036587081,0,302.579430481186,-129.997675324039,2847
-2,-1,0.001,5e-04,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3097
-2,-1,0.001,5e-04,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1849
-2,-3,0.001,0.001,0.001,5e-04,0.2,0.2,,-1.58544060507038,-3.33771181838372,0.000689675052843809,-0.00102350660867647,0.0120737861656493,-0.00136409369536605,0.343361604008945,0.289033019734833,0,194.85687724583,-76.1363987063611,373
0.5,-3,0.001,0.001,5e-04,0.005,0.2,0.2,,-0.780958779753157,-3.30140341065511,0.000799674085531943,0.00217278315026226,0.0138332272685352,-0.00154989942989538,0.297137121663309,0.239291873163366,0,119.326139411149,-38.3710297890207,2136
0.5,-5,0.001,0.005,0.001,0.005,0.2,0.2,,-0.649871338412809,-6.98495268811578,0.00071069071673221,0.00235653190881911,0.477114844150249,-0.0557964715225098,0.315315727902247,0.232837165870191,0,111.96979571309,-34.6928579399915,2996
-1,-1,0.005,0.001,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3306
-2,-1,0.001,0.001,0.005,5e-04,0.2,0.2,,-0.760758919651663,-3.1984129407231,0.000814411427786885,0.00192920912488206,0.00706456727552037,-0.00102687344354443,0.286041224503149,0.243152371159197,0,129.113660572039,-43.2647903694658,633
-0.5,-5,5e-04,5e-04,0.001,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,771
-2,-1,0.001,5e-04,0.005,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,569
-2,-5,0.005,0.005,0.005,0.001,0.2,0.2,,-0.696870185604436,-6.7984081188373,0.000816207144421218,0.00194130683148266,0.329480852314299,-0.0752723233827819,0.319620368440692,0.249645376685733,0,122.142486310302,-39.7792032385974,3745
-0.5,-1,0.001,0.005,0.001,0.001,0.2,0.2,,-0.79268453838737,-2.67652186437912,0.000781403317155171,0.00217602486004383,0.0080427966623852,-0.000167056070321852,0.299702201051859,0.244188951260398,0,125.998838992839,-41.7073795798659,1467
0.5,-1,0.001,0.001,5e-04,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2300
-2,-5,0.005,0.001,0.001,0.001,0.2,0.2,,-0.90009048076537,-5.09548615590161,0.000772816194126911,0.00184887060664306,0.0719988377251469,-0.0117375354148825,0.315752732189277,0.241912069258079,0,117.042553394168,-37.2292367805303,3425
0.5,-0.5,0.005,0.001,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3312
0.5,-3,5e-04,5e-04,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3848
-2,-0.5,5e-04,5e-04,0.001,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,269
0.5,-5,0.001,0.001,0.001,0.005,0.2,0.2,,-0.78299313726342,-5.44411243589971,0.000828801914050043,0.00214703786191687,0.118227164973926,-0.0227415979836356,0.30207491749769,0.23717884017375,0,120.890339128988,-39.1531296479406,2516
-1,-0.5,0.001,5e-04,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1310
-0.5,-0.5,0.005,0.001,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1263
