"","a_log","a12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-3","-5e-05","-2","0.2","0.2","NaN","-2.28201131516397","-0.00020427663952682","-3.25642745835271","0.212342899636297","0.242649850056583","0","1761.54785132403","-865.072936064615","91"
"2","-3","-2e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","61"
"3","-2.5","-0.00035","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","32"
"4","-1","-5e-05","-4","0.2","0.2","NaN","-2.32398983982101","-0.00019580598119779","-3.49594956383741","0.212048803845203","0.242967411456227","0","1762.95287861346","-865.775449709331","45"
"5","-3","-0.00035","-5","0.2","0.2","NaN","-2.28205812438264","-0.000204285170315259","-3.26673485631613","0.212279902636988","0.242195466185601","0","1761.555937948","-865.076979376599","6"
"6","-1","-5e-04","-2","0.2","0.2","NaN","-2.28230348615617","-0.000204185150012331","-3.25678896971007","0.212343280369058","0.24264551983277","0","1761.54786365646","-865.072942230829","80"
"7","-1.5","-5e-05","-1","0.2","0.2","NaN","-2.28175661945115","-0.000204325136845841","-3.25595352265619","0.212332378892495","0.24265530067387","0","1761.54788083942","-865.072950822311","119"
"8","-3","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","106"
"9","-3","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","26"
"10","-1.5","-5e-05","-2","0.2","0.2","NaN","-1.63064246587577","-0.000404617171072677","-1.60567791973872","0.238981984594042","0.246995116709917","0","1890.29580970315","-929.446915254175","94"
"11","-1","-5e-04","-5","0.2","0.2","NaN","-2.35836251740306","-0.000188080152996337","-3.60583335781446","0.212613705889632","0.242044287915051","0","1764.47656224252","-866.537291523862","5"
"12","-2","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","103"
"13","-2","-5e-05","-1","0.2","0.2","NaN","-2.28220833894074","-0.000204213681179583","-3.25724892872579","0.212343483994777","0.242643156871468","0","1761.54787692896","-865.07294886708","118"
"14","-2","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","83"
"15","-1.5","1e-04","-3","0.2","0.2","NaN","-2.28199612534553","-0.000204287946682946","-3.25649759256795","0.212337030904842","0.242636246506986","0","1761.54786152344","-865.072941164319","74"
