"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.5","-2","-10","0.2","0.2","NaN","-2.1612632149794","-3.54391331935973","-5.15272457026843","0.214795879240024","0.242661439938166","0","1773.72035759923","-871.159189202213","19"
"2","-2","-2","-6.25","0.2","0.2","NaN","-2.70912124392431","-3.2444735999293","-19.5429882436082","0.229889526233393","0.242697157287007","0","1846.5880838299","-907.59305231755","93"
"3","-3","-3","-10","0.2","0.2","NaN","-2.16073533046923","-3.5431276997339","-5.15134704350858","0.214790301550912","0.242656131820675","0","1773.7203492804","-871.1591850428","11"
"4","-2","-3","-6.25","0.2","0.2","NaN","-2.7088869750356","-3.24445265868092","-14.4252108654659","0.229885259949344","0.242734497490462","0","1846.55832976439","-907.578175284796","88"
"5","-3","-2","-8.75","0.2","0.2","NaN","-2.16074311153808","-3.54182044026299","-5.1517442505332","0.214775473050735","0.242643883712619","0","1773.72041210386","-871.159216454528","41"
"6","-3","-1","-5","0.2","0.2","NaN","-2.16105701002747","-3.54342293439876","-5.15251274494563","0.214791313219325","0.242640011085697","0","1773.72033252409","-871.159176664644","121"
"7","-2","-2","-7.5","0.2","0.2","NaN","-2.70912124392431","-3.2444735999293","-19.5429882436082","0.229889526233393","0.242697157287007","0","1846.5880838299","-907.59305231755","68"
"8","-1","-2","-5","0.2","0.2","NaN","-2.16070722087637","-3.54360615328639","-5.15129450373956","0.214822430101413","0.242631412400015","0","1773.72036721068","-871.159194007938","120"
"9","-2","-3","-10","0.2","0.2","NaN","-2.7088869750356","-3.24445265868092","-14.4252108654659","0.229885259949344","0.242734497490462","0","1846.55832976439","-907.578175284796","13"
"10","-2.5","-3","-8.75","0.2","0.2","NaN","-2.16075497227765","-3.54326708622164","-5.15213817255805","0.214757405753168","0.242667549246418","0","1773.72037940815","-871.159200106675","37"
"11","-2.5","-1","-10","0.2","0.2","NaN","-2.16141462287303","-3.54287085132419","-5.15345776878125","0.214829131183959","0.242639669157551","0","1773.7204081938","-871.159214499497","22"
"12","-1","-2","-6.25","0.2","0.2","NaN","-2.16070722087637","-3.54360615328639","-5.15129450373956","0.214822430101413","0.242631412400015","0","1773.72036721068","-871.159194007938","95"
"13","-3","-3","-7.5","0.2","0.2","NaN","-2.16073533046923","-3.5431276997339","-5.15134704350858","0.214790301550912","0.242656131820675","0","1773.7203492804","-871.1591850428","61"
"14","-1.5","-5","-10","0.2","0.2","NaN","-2.1606730137298","-3.54253843835367","-5.15237130544906","0.214721641395278","0.242747257330072","0","1773.7206731744","-871.159346989801","4"
"15","-2.5","-4","-10","0.2","0.2","NaN","-2.16086027104272","-3.54317922869689","-5.15274506054297","0.214777484322417","0.242636350964748","0","1773.72035918076","-871.15918999298","7"
"16","-1","-4","-5","0.2","0.2","NaN","-2.16113731914475","-3.54390488918273","-5.15210321984546","0.21487811447585","0.242600257013519","0","1773.72054402366","-871.159282414429","110"
"17","-2.5","-2","-5","0.2","0.2","NaN","-2.16089083248091","-3.5436570796365","-5.15132312956985","0.2147828988534","0.242603221960465","0","1773.72037796406","-871.159199384632","117"
"18","-2.5","-5","-8.75","0.2","0.2","NaN","-2.16085238801019","-3.54279314789773","-5.15189119207194","0.214765280888159","0.242616083876752","0","1773.72036859497","-871.159194700086","27"
"19","-3","-5","-8.75","0.2","0.2","NaN","-2.1610330637014","-3.5434558773095","-5.15231233006261","0.214805481093745","0.242635789428084","0","1773.72033519979","-871.159178002494","26"
