"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-0.00035","-3","0.2","0.2","NaN","-2.43118243853055","-2.6475288837941","0.000438449448708566","0.229020007680041","0.243252344162696","0","1836.88904597424","-902.743533389719","58"
"2","-2.5","-2e-04","-5","0.2","0.2","NaN","-2.5167823253208","-4.40086891849905","0.000610446463216099","0.221471923367056","0.242499398698359","0","1805.95530140301","-887.276661104105","12"
"3","-3","-5e-04","-3","0.2","0.2","NaN","-2.94222872086735","-3.8637147197762","0.000231538856101812","0.247589253545905","0.262318874183294","0","1855.65921814674","-912.128619475968","51"
"4","-1.5","-5e-05","-3","0.2","0.2","NaN","-2.49801573652989","-3.50279872292671","0.000517581083940234","0.21973979468694","0.239110342110493","0","1813.34348455353","-890.970752679362","69"
"5","-2","-0.00035","-1","0.2","0.2","NaN","-2.52285907513684","-4.83666926776063","0.000645258830852265","0.221283998811769","0.242632215029286","0","1805.52788789041","-887.062954347804","108"
"6","-2.5","-5e-05","-1","0.2","0.2","NaN","-2.52269574331072","-4.83328097682895","0.000645609746255062","0.221305187523915","0.242563911895542","0","1805.52807279298","-887.063046799091","117"
"7","-2","-2e-04","-2","0.2","0.2","NaN","-2.52269036186378","-4.8420345023065","0.000644961922106258","0.221270054572599","0.242653550849912","0","1805.52793510117","-887.062977953187","88"
"8","-2.5","-5e-04","-1","0.2","0.2","NaN","-2.52263554055324","-4.83933247180634","0.000645076079286605","0.221251292708192","0.242617174596382","0","1805.5279311579","-887.062975981547","102"
"9","-1.5","1e-04","-3","0.2","0.2","NaN","-2.37637421513694","-3.03727000370539","0.000561180510878296","0.214501256544959","0.277167822426135","0","1844.26227030403","-906.430145554616","74"
"10","-3","-2e-04","-2","0.2","0.2","NaN","-2.52280810450779","-4.84312139750181","0.000645475732348009","0.221295485501055","0.242659477099615","0","1805.52791361425","-887.062967209725","86"
"11","-1.5","-2e-04","-2","0.2","0.2","NaN","-2.52305194610142","-4.83656610167473","0.000645058812834142","0.221311050108442","0.242622441691248","0","1805.52791823347","-887.062969519332","89"
"12","-2","1e-04","-3","0.2","0.2","NaN","-2.05051295544529","-3.12694220766438","0.00104510196800842","0.233559626524115","0.255884416097862","0","1865.02690925752","-916.812465031362","73"
"13","-2","-5e-04","-5","0.2","0.2","NaN","-2.51773992002608","-4.66129722973748","0.000635188809073381","0.221317797398658","0.242633161971565","0","1805.58393484612","-887.090977825661","3"
"14","-2.5","-0.00035","-4","0.2","0.2","NaN","-2.49715226118393","-3.99053115728199","0.000583780597743997","0.221278041612436","0.24231237311079","0","1807.64357867136","-888.12079973828","32"
"15","-3","-0.00035","-1","0.2","0.2","NaN","-2.52430341287944","-4.85058095014395","0.000637862214438973","0.221119932326183","0.242690148023582","0","1805.53172904331","-887.064874924256","106"
"16","-2.5","-5e-04","-4","0.2","0.2","NaN","-2.47750983250342","-3.69231963566224","0.000563030810161332","0.222289690769996","0.243042298753385","0","1810.27589095145","-889.436955878324","27"
"17","-2","1e-04","-4","0.2","0.2","NaN","-2.52214970721229","-4.84381332832467","0.000647106781794739","0.221263338381374","0.242702039758461","0","1805.52820563385","-887.063113219525","48"
"18","-2.5","-5e-05","-5","0.2","0.2","NaN","-2.54007159853785","-4.65801631821687","0.000610768675765878","0.221519047368487","0.242651008014188","0","1805.70124675452","-887.14963377986","17"
"19","-1","-0.00035","-5","0.2","0.2","NaN","-2.48411250142557","-3.93302725830075","0.000589602348842618","0.221554130929323","0.243187186400039","0","1808.05859611266","-888.328308458932","10"
"20","-3","-2e-04","-5","0.2","0.2","NaN","-2.5598684340687","-10.9890294459019","0.000698738979052815","0.221694227903868","0.242671446252762","0","1807.47356974399","-888.035795274595","11"
"21","-2.5","-5e-05","-2","0.2","0.2","NaN","-2.52320339435324","-4.83654072503901","0.000644520028207629","0.221308841025125","0.24268705216384","0","1805.52796450942","-887.062992657309","92"
"22","-2","1e-04","-1","0.2","0.2","NaN","-2.52272540678392","-4.83767668793282","0.000645490608782981","0.221302275007115","0.242633108023746","0","1805.52789058746","-887.062955696332","123"
"23","-2","-5e-05","-5","0.2","0.2","NaN","-2.5182827708485","-4.66803556669183","0.00063529948765103","0.221294355043403","0.242631865290005","0","1805.57949215571","-887.088756480455","18"
"24","-3","-5e-04","-1","0.2","0.2","NaN","-2.5226483478903","-4.84464801373231","0.000645250733459024","0.221349695788326","0.242650040084151","0","1805.52806312169","-887.063041963446","101"
"25","-2","-5e-04","-1","0.2","0.2","NaN","-2.17477667921991","-0.909024177308764","0.000197485862927306","0.256624386217731","0.243382442733231","0","1967.83558736695","-968.216804086074","103"
"26","-1.5","-0.00035","-2","0.2","0.2","NaN","-2.52275247073965","-4.83889526643994","0.000644702011530557","0.221319910707786","0.242650135278091","0","1805.52791838134","-887.062969593268","84"
"27","-2","1e-04","-5","0.2","0.2","NaN","-2.51731978682066","-4.64830424712671","0.000635472537268938","0.221238436540126","0.242631361603417","0","1805.5931807466","-887.0956007759","23"
"28","-3","-0.00035","-3","0.2","0.2","NaN","-2.55930799740788","-28.296348591891","0.000699743235033899","0.221666058608401","0.24264009509434","0","1807.48291312145","-888.040466963327","56"
"29","-2.5","-0.00035","-2","0.2","0.2","NaN","-2.20718516003369","-2.318070431952","0.000595572507079263","0.235497575005738","0.242730249052911","0","1862.88350127535","-915.740761040275","82"
"30","-3","1e-04","-2","0.2","0.2","NaN","-2.52282322936389","-4.83890290384523","0.000645175148870372","0.22128902391311","0.242603276857156","0","1805.52789621831","-887.062958511752","96"
"31","-1.5","-0.00035","-1","0.2","0.2","NaN","-2.52281742711702","-4.83819855799925","0.00064514505255748","0.221293106299221","0.24262715894428","0","1805.52787649827","-887.062948651735","109"
"32","-2.5","-5e-05","-4","0.2","0.2","NaN","-2.5727677688326","-4.59260545479457","0.000569471936299085","0.221347487543274","0.241857654889574","0","1806.38315571869","-887.490588261944","42"
"33","-2","-2e-04","-1","0.2","0.2","NaN","-2.52294526724168","-4.84205552141779","0.000645507349453409","0.221290770597123","0.242645613640111","0","1805.52788883997","-887.062954822583","113"
"34","-2.5","-0.00035","-1","0.2","0.2","NaN","-2.52303474930731","-4.84416580418829","0.000646804840941604","0.221306187908855","0.242686467882018","0","1805.52809031367","-887.063055559432","107"
"35","-2.5","1e-04","-3","0.2","0.2","NaN","-2.52304482460913","-4.84156827742957","0.000644747563012637","0.221289626010291","0.242594360855046","0","1805.52792789818","-887.062974351689","72"
"36","-1","-5e-05","-1","0.2","0.2","NaN","-2.52275741059285","-4.8376491057811","0.000644942049672619","0.221282145163448","0.242620803427404","0","1805.52788540078","-887.06295310299","120"
"37","-3","-5e-05","-5","0.2","0.2","NaN","-2.55958664331515","-33.7895986310661","0.000699189863840382","0.221707848539875","0.242622170188606","0","1807.48287253305","-888.040446669123","16"
"38","-2","-2e-04","-4","0.2","0.2","NaN","-2.47649616327447","-3.61976544075155","0.000552965978972621","0.222286477146907","0.242847325745448","0","1811.1517568897","-889.874888847449","38"
"39","-2","-5e-05","-2","0.2","0.2","NaN","-2.52206561567757","-4.83535465301375","0.000645731714324654","0.221301881706809","0.242702551722559","0","1805.52809320689","-887.063057006045","93"
"40","-1.5","1e-04","-2","0.2","0.2","NaN","-1.87586875577794","-1.27552240359478","0.000635693754003514","0.277305012787761","0.237985771949751","0","1983.16425589308","-975.881138349138","99"
"41","-1.5","-5e-04","-3","0.2","0.2","NaN","-2.36297132694872","-2.33482269863114","0.000443185017965159","0.232157801299491","0.249160598246703","0","1853.68794671577","-911.142983760484","54"
"42","-1","-2e-04","-2","0.2","0.2","NaN","-2.44088282159578","-2.16163801237028","0.000341997981480661","0.230217815846572","0.242736562765194","0","1862.24269782821","-915.420359316707","90"
"43","-3","-5e-04","-4","0.2","0.2","NaN","-2.50510505749681","-4.26813610977154","0.000608861462580088","0.219742471530563","0.242948945320093","0","1806.37283233808","-887.485426571641","26"
"44","-3","1e-04","-5","0.2","0.2","NaN","-2.55409517610488","-6.82832310393749","0.0006890900262675","0.221989632718603","0.241815766347698","0","1806.95227354748","-887.775147176339","21"
"45","-1","-5e-04","-3","0.2","0.2","NaN","-2.42717244593517","-2.68233633724561","0.000448399114084265","0.228654644977153","0.249388778569339","0","1836.22252744827","-902.410274126733","55"
"46","-2.5","-2e-04","-2","0.2","0.2","NaN","-2.51996415931894","-4.97331930587502","0.000650146890074032","0.221593263724883","0.243491889152096","0","1805.58257438321","-887.090297594205","87"
"47","-1","-2e-04","-1","0.2","0.2","NaN","-2.03597199858156","-0.655594014698411","0.000191881921791293","0.294390650610518","0.241082580706851","0","2012.09282647012","-990.345423637662","115"
"48","-1","1e-04","-5","0.2","0.2","NaN","-2.50673587094943","-4.35225699537443","0.000616361756455787","0.221461671532602","0.242547524291524","0","1806.06079259387","-887.329406699535","25"
"49","-1.5","-2e-04","-5","0.2","0.2","NaN","-2.48950472651299","-4.04195705609926","0.000598529533475765","0.221968440101386","0.243009084311415","0","1807.34035270971","-887.969186757455","14"
"50","-1","-5e-05","-3","0.2","0.2","NaN","-2.24710491825098","-2.05843254792773","0.000488045507907154","0.235792782819096","0.253567906888621","0","1876.28076341358","-922.43939210939","70"
"51","-1.5","-5e-04","-4","0.2","0.2","NaN","-2.45207099987311","-3.29660149661208","0.000527855185265768","0.223908309796083","0.243428238397834","0","1816.61129744889","-892.604659127046","29"
"52","-1.5","-5e-05","-4","0.2","0.2","NaN","-2.50738000760399","-4.26391084243554","0.000605183185795937","0.221465752575948","0.242677561004575","0","1806.32258664068","-887.460303722939","44"
"53","-2","-5e-04","-4","0.2","0.2","NaN","-2.46729477976038","-3.50848585053167","0.000546249639844373","0.222754611539624","0.243103380481433","0","1812.7415591989","-890.669790002049","28"
"54","-1","-0.00035","-1","0.2","0.2","NaN","-2.5725692151517","-0.715178242900514","-0.000192774012938356","0.269998367794557","0.243323873760752","0","1974.255527048","-971.426773926598","110"
"55","-1","-0.00035","-2","0.2","0.2","NaN","-2.19476968622453","-1.12722875341323","0.000266184395004458","0.256149187828535","0.246675983605285","0","1948.59218246889","-958.595101637044","85"
"56","-2","-5e-05","-3","0.2","0.2","NaN","-2.52305792126797","-4.83939832466229","0.000645039990921353","0.22127705148945","0.2426303965898","0","1805.52788075303","-887.062950779116","68"
"57","-2.5","1e-04","-2","0.2","0.2","NaN","-2.52211828759091","-4.85797309128745","0.000647411250373223","0.221291167216671","0.24267476193961","0","1805.52882507365","-887.063422939424","97"
"58","-1.5","-5e-04","-5","0.2","0.2","NaN","-2.48190962272917","-3.94522795080061","0.000591942985673417","0.222080643765109","0.243139181561073","0","1807.98343660603","-888.290728705614","4"
"59","-2.5","-5e-04","-2","0.2","0.2","NaN","-2.77518518683098","-2.38933303756829","0.000152572016347923","0.23366328755103","0.242492991691109","0","1865.34450690748","-916.971263856342","77"
"60","-2","-2e-04","-3","0.2","0.2","NaN","-2.43144813571136","-2.64881467473068","0.000438125881846415","0.229020057568426","0.243242874066056","0","1836.83353672721","-902.715778766205","63"
"61","-1.5","-2e-04","-4","0.2","0.2","NaN","-2.45213675643615","-3.29732136005617","0.000528853469117513","0.223905199546775","0.243491260833464","0","1816.5978744721","-892.597947638651","39"
"62","-2","-5e-05","-1","0.2","0.2","NaN","-2.52332390982828","-4.84353053100288","0.000645678851460196","0.221311870036536","0.242679533968489","0","1805.52799674767","-887.063008776437","118"
"63","-1.5","1e-04","-5","0.2","0.2","NaN","-2.5230659227012","-4.83733867167362","0.000644662309899189","0.221291746814702","0.242636096500581","0","1805.52788757614","-887.06295419067","24"
"64","-3","-5e-05","-4","0.2","0.2","NaN","-2.52194342838142","-4.81835521202283","0.000644353226405626","0.221352187501298","0.242649131572175","0","1805.52867582111","-887.063348313152","41"
"65","-3","1e-04","-1","0.2","0.2","NaN","-2.52284055797368","-4.86591112474977","0.000648936825124186","0.221327319043732","0.242664075856088","0","1805.5293081212","-887.063664463199","121"
"66","-2.5","-5e-04","-3","0.2","0.2","NaN","-2.52312056594122","-4.83621306203758","0.000644769773160314","0.221319374778111","0.242680755784744","0","1805.52795985275","-887.062990328976","52"
"67","-2","1e-04","-2","0.2","0.2","NaN","-2.52280180579812","-4.83431886103982","0.000646233247883553","0.221272482906026","0.242607306988386","0","1805.52805720712","-887.063039006157","98"
"68","-2.5","1e-04","-1","0.2","0.2","NaN","-2.52293873782301","-4.83758443497246","0.00064490910208491","0.221288769913371","0.242653916290357","0","1805.52787942574","-887.062950115469","122"
"69","-3","1e-04","-4","0.2","0.2","NaN","-2.52326499980969","-4.84324930042899","0.000645789178373409","0.221296552267061","0.242671212034212","0","1805.52797021982","-887.062995512508","46"
"70","-1.5","-5e-04","-1","0.2","0.2","NaN","-2.52257326158169","-4.84578136660094","0.000645430412482431","0.221308244924692","0.242607819416962","0","1805.52804732893","-887.063034067065","104"
"71","-2.5","-5e-04","-5","0.2","0.2","NaN","-2.51111281136638","-4.50346394024576","0.000627356579374591","0.221353015736934","0.242771399155315","0","1805.75457423664","-887.176297520922","2"
"72","-1.5","-5e-05","-2","0.2","0.2","NaN","-2.03430943031575","-1.38406463731055","0.000534681545449153","0.250687960523087","0.232149330318596","0","1945.70287203793","-957.150446421563","94"
"73","-3","-2e-04","-3","0.2","0.2","NaN","-2.52283846254896","-4.8387929951517","0.000644975554207388","0.221297887663315","0.242605959307904","0","1805.52789625966","-887.062958532427","61"
"74","-1","-5e-05","-4","0.2","0.2","NaN","-2.44653784042294","-3.17308643085207","0.000515940676184913","0.226883871919666","0.240462768376216","0","1819.64448548733","-894.121253146264","45"
"75","-2.5","-0.00035","-5","0.2","0.2","NaN","-2.51061441897475","-4.5026368046789","0.000628511041763535","0.221347748638994","0.242753120061518","0","1805.75623751613","-887.177129160666","7"
"76","-2.5","-2e-04","-1","0.2","0.2","NaN","-2.51634777992525","-4.66005822675602","0.000628717549680326","0.221203205837558","0.244312385069449","0","1805.63977936987","-887.118900087534","112"
"77","-2.5","-2e-04","-4","0.2","0.2","NaN","-2.46904971061122","-3.74667559219345","0.000579991111491686","0.222150116465305","0.242937046569256","0","1809.73883611509","-889.168428460142","37"
"78","-3","-5e-04","-2","0.2","0.2","NaN","-2.52289022683364","-4.83816235030684","0.000645130565192477","0.221293262274293","0.242653910626702","0","1805.52787735495","-887.062949080074","76"
"79","-3","-5e-04","-5","0.2","0.2","NaN","-2.52292292723145","-4.83919761639871","0.000645397441404495","0.221256200464016","0.242616099321159","0","1805.52790851519","-887.062964660192","1"
"80","-3","-0.00035","-5","0.2","0.2","NaN","-2.55977497373651","-125.541358237842","0.000698494585384152","0.221687690548495","0.242603444774523","0","1807.48291076557","-888.040465785384","6"
"81","-1.5","-5e-05","-1","0.2","0.2","NaN","-2.60669475682807","-3.11547225155174","0.000363571782331145","0.227549499190036","0.267075296371909","0","1834.11885469945","-901.358437752326","119"
"82","-1","-0.00035","-3","0.2","0.2","NaN","-2.2757764440833","-1.84504234791147","0.000414429757850635","0.242713062432993","0.247242361477443","0","1887.45360765372","-928.025814229457","60"
"83","-1","-2e-04","-5","0.2","0.2","NaN","-2.48187266176948","-3.89679184265521","0.000588025681999753","0.221811060566029","0.242994809393575","0","1808.33249544534","-888.465258125271","15"
"84","-2","-5e-05","-4","0.2","0.2","NaN","-2.48031025590739","-3.77551406559774","0.000571522915418104","0.22148317300261","0.242397421265217","0","1809.39836301713","-888.998191911167","43"
"85","-1","-2e-04","-3","0.2","0.2","NaN","-2.24599796072138","-2.05477547915266","0.000488475551600227","0.236049416354708","0.253675244106105","0","1876.61894619524","-922.608483500217","65"
"86","-2.5","1e-04","-4","0.2","0.2","NaN","-2.47844566248311","-4.73554459357557","0.000687966563406836","0.221086111436085","0.242387254556433","0","1805.96020930489","-887.279115055043","47"
"87","-1.5","-2e-04","-3","0.2","0.2","NaN","-2.3667904519262","-2.34688153640983","0.000441031635506719","0.231989511921121","0.248218997090687","0","1852.75366558048","-910.675843192841","64"
