"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.5","-2","1e-04","-5","0.2","0.2","NaN","-2.4197069367366","-19.3519034597651","0.000532300644667762","-5.9413379211139","0.218419482099694","0.242612876739993","0","1797.85490396153","-880.086264463884","617"
"2","-2","-5","-5e-05","-6.25","0.2","0.2","NaN","-2.39889665277682","-5.94421775126408","0.000496916687965418","-5.9205189531464","0.217718410329814","0.242513976594239","0","1794.18021360355","-878.248919284894","453"
"3","-3","-5","-0.00035","-5","0.2","0.2","NaN","-2.81900542406027","-3.52358925438568","0.000261633660111494","-10.0437275991442","0.228712890901258","0.255213753690122","0","1841.7191817305","-902.018403348367","526"
"4","-2","-1","-5e-05","-10","0.2","0.2","NaN","-2.52281487810631","-4.84606136293794","0.000646131325483645","-21.411416016392","0.22135819217233","0.242692396203228","0","1811.80851742706","-887.06307119665","98"
"5","-3","-1","-5e-04","-8.75","0.2","0.2","NaN","-2.58407358835821","-0.93436700090816","-0.000712272049743702","-5.7279710173445","0.2498471684182","0.246770619566446","0","1951.55084032992","-956.93423264808","146"
"6","-2.5","-1","-5e-04","-6.25","0.2","0.2","NaN","-2.04488661204681","-3.2060528415581","3.92581259244279e-05","-4.83528653337737","0.214861902690666","0.24319774226595","0","1780.93398286551","-871.625803915876","397"
"7","-1","-1","-5e-05","-5","0.2","0.2","NaN","-1.98114864726237","-3.09974275612413","-1.29441143169306e-05","-4.65373327632249","0.215278656785468","0.242578611012992","0","1782.47209129153","-872.394858128882","600"
"8","-1.5","-5","-5e-04","-7.5","0.2","0.2","NaN","-2.47223571544705","-3.65817492861702","0.000549635543454013","-9.9470395074321","0.221697828904039","0.245460909246162","0","1815.90678284749","-889.112203906863","254"
"9","-2","-5","-2e-04","-10","0.2","0.2","NaN","-2.46859110328652","-3.70373751659215","0.000560738200873131","-9.97476933649367","0.221863494529145","0.242191745284508","0","1815.29790072542","-888.80776284583","53"
"10","-3","-5","1e-04","-5","0.2","0.2","NaN","-2.41947099950957","-148.234108960734","0.000532790103489031","-5.94073453731333","0.21844581026877","0.242607106735804","0","1797.85491372025","-880.086269343245","601"
"11","-1","-4","1e-04","-7.5","0.2","0.2","NaN","-2.39432142131471","-5.51214230555496","0.00048235616823679","-5.96309485384572","0.217373255958526","0.242623643187319","0","1792.67228785324","-877.494956409739","360"
"12","-2","-4","-5e-04","-6.25","0.2","0.2","NaN","-2.39111674154258","-2.73482768226913","0.000477037097214338","-9.98424376963754","0.226410216861645","0.241098052694356","0","1838.85213732943","-900.584881147834","383"
"13","-3","-2","-2e-04","-5","0.2","0.2","NaN","-2.13601148499852","-3.43266256680971","0.000111516393073676","-5.05453769281919","0.214379263608653","0.241618956534759","0","1779.9396351319","-871.128630049072","566"
"14","-1.5","-4","-5e-05","-7.5","0.2","0.2","NaN","-2.44660235327426","-2.90079841037352","0.000456365720635531","-10.2003768252517","0.224806078994477","0.245116770796278","0","1832.61108791652","-897.464356441379","334"
"15","-3","-4","-0.00035","-10","0.2","0.2","NaN","-2.68122462440761","-4.2634277285796","0.000202513814738561","-6.3954245611802","0.212455431975331","0.263577526397269","0","1817.9640698341","-890.140847400168","31"
"16","-1.5","-1","-5e-05","-5","0.2","0.2","NaN","-2.52315177852876","-4.83821315503565","0.000644163800206848","-27.352694448794","0.221284394050118","0.242624906278212","0","1811.80830958013","-887.062967273186","599"
"17","-2","-4","-5e-05","-8.75","0.2","0.2","NaN","-2.4202056989016","-9.45170630614289","0.000532165790952079","-5.95168983843376","0.218469893412739","0.242616289946667","0","1797.73371275769","-880.025668861965","208"
"18","-2.5","-5","-5e-04","-5","0.2","0.2","NaN","-2.51310588452858","-4.43300152611258","0.000606390299626876","-10.0054564871796","0.221283546566742","0.242544573754625","0","1811.15478339692","-886.736204181582","502"
"19","-2.5","-1","-0.00035","-5","0.2","0.2","NaN","-2.96698046250785","-2.40801799423384","-9.65263058642739e-05","-7.03301416590687","0.236806503251909","0.243819424920706","0","1886.72920447567","-924.523414720955","547"
"20","-2","-1","-5e-05","-8.75","0.2","0.2","NaN","-2.52281487810631","-4.84606136293794","0.000646131325483645","-21.411416016392","0.22135819217233","0.242692396203228","0","1811.80851742706","-887.06307119665","223"
"21","-1.5","-1","-5e-05","-6.25","0.2","0.2","NaN","-2.52315177852876","-4.83821315503565","0.000644163800206848","-27.352694448794","0.221284394050118","0.242624906278212","0","1811.80830958013","-887.062967273186","474"
"22","-1","-1","1e-04","-6.25","0.2","0.2","NaN","-1.9657401450588","-3.04521861011631","-3.39725594992455e-05","-4.61673673977245","0.215108791872905","0.24377976205897","0","1783.15044205316","-872.734033509699","500"
"23","-2.5","-3","1e-04","-8.75","0.2","0.2","NaN","-2.5722840639495","-4.47055192658255","0.000272727475368785","-6.23244634139772","0.220670544845057","0.236992547122895","0","1798.82575654042","-880.57169075333","237"
"24","-3","-3","-2e-04","-10","0.2","0.2","NaN","-2.41978740774515","-44.4984877571472","0.000532598044499283","-5.94081013126194","0.218431843066655","0.242610623868092","0","1797.85493064316","-880.086277804701","61"
"25","-1.5","-1","-5e-04","-7.5","0.2","0.2","NaN","-2.52219360530329","-4.84286940336793","0.000645441026457639","-12.8182185139818","0.221256957570642","0.242633934219876","0","1811.74961900292","-887.033621984582","274"
"26","-2.5","-5","-0.00035","-10","0.2","0.2","NaN","-2.41986692989699","-8.56976894811525","0.000530513320033543","-5.95533666708683","0.218332287895622","0.242670818505119","0","1797.56366315227","-879.940644059252","27"
"27","-3","-1","1e-04","-10","0.2","0.2","NaN","-2.14185401243152","-3.46436981576536","0.000124663074744422","-5.07880412035036","0.214764131464909","0.242643093784821","0","1779.90264191935","-871.110133442792","121"
"28","-2","-3","-2e-04","-5","0.2","0.2","NaN","-2.41177344072537","-6.1074635126684","0.00051243068849006","-6.02935567895536","0.21786952488789","0.242454592485198","0","1794.90504715662","-878.611336061431","563"
"29","-3","-5","-5e-04","-8.75","0.2","0.2","NaN","-2.51512292705645","-4.66422056568328","0.000621038433852411","-9.58725670179133","0.220855990418387","0.242406990255959","0","1810.39123766037","-886.354431313303","126"
"30","-1","-3","-0.00035","-8.75","0.2","0.2","NaN","-2.39158623260518","-5.25599215130215","0.000473401820628839","-6.00553475845585","0.217296329029717","0.242738815002258","0","1791.6927252143","-877.005175090271","165"
"31","-2","-3","-2e-04","-6.25","0.2","0.2","NaN","-2.41177344072537","-6.1074635126684","0.00051243068849006","-6.02935567895536","0.21786952488789","0.242454592485198","0","1794.90504715662","-878.611336061431","438"
"32","-2.5","-1","-5e-05","-6.25","0.2","0.2","NaN","-2.51027338335331","-4.74020177904528","0.000631297097037422","-9.43660458696635","0.22094708668761","0.24308011507285","0","1810.14091092939","-886.229267947816","472"
"33","-1","-5","1e-04","-7.5","0.2","0.2","NaN","-2.46165420300044","-3.8800402905602","0.000596477021666341","-9.39604780093399","0.218784521336086","0.233312396567853","0","1814.71840939457","-888.518017180402","355"
"34","-3","-3","-0.00035","-10","0.2","0.2","NaN","-2.55818609799242","-11.9621617197566","0.000693465245153171","-10.2976213211196","0.221586118012219","0.242546078943507","0","1813.14738398967","-887.732504477955","36"
"35","-1.5","-3","-0.00035","-6.25","0.2","0.2","NaN","-2.33790034140888","-4.60937290788955","0.000399181407508016","-5.77494726801417","0.216286487950009","0.242332184584446","0","1787.13445727586","-874.726041121051","414"
"36","-2","-5","-5e-04","-7.5","0.2","0.2","NaN","-2.46638721196545","-3.68704983933428","0.000560871720202529","-9.99289807675354","0.221917916506861","0.242098317106245","0","1815.51633993398","-888.916982450109","253"
"37","-1","-3","1e-04","-10","0.2","0.2","NaN","-2.38860258799925","-5.22859489252706","0.000472503912822368","-5.99410775169923","0.217202056615558","0.242795196256873","0","1791.5125832528","-876.915104109521","115"
"38","-2","-3","-5e-05","-5","0.2","0.2","NaN","-2.52237309514184","-4.8330926767523","0.000644571743145111","-27.9422012127582","0.221267535722705","0.242618552133742","0","1811.80839267964","-887.06300882294","588"
"39","-1.5","-2","-5e-05","-10","0.2","0.2","NaN","-2.41339308288005","-8.3422157754899","0.000532752166551303","-5.93446824799743","0.218299453955928","0.242606498599494","0","1797.48783311838","-879.902729042308","94"
"40","-2","-2","-0.00035","-6.25","0.2","0.2","NaN","-2.42834384322187","-6.66255129642905","0.000523419865495133","-6.08375781530985","0.218209610788648","0.242442234198498","0","1796.24965630526","-879.283640635749","418"
"41","-1","-3","-0.00035","-6.25","0.2","0.2","NaN","-2.39158623260518","-5.25599215130215","0.000473401820628839","-6.00553475845585","0.217296329029717","0.242738815002258","0","1791.6927252143","-877.005175090271","415"
"42","-2","-2","1e-04","-7.5","0.2","0.2","NaN","-2.00105548819781","-3.2192892339466","4.51504533863004e-05","-4.75014905002885","0.2153761915132","0.243223072942313","0","1781.59740128161","-871.957513123923","368"
"43","-2.5","-4","-5e-04","-10","0.2","0.2","NaN","-2.29958828460562","-3.09242668837282","0.00064410192377302","-9.86226419808603","0.241136319215789","0.242037929328273","0","1836.32853425606","-899.32307961115","7"
"44","-2.5","-1","-2e-04","-10","0.2","0.2","NaN","-2.8662881856513","-2.20554463707597","-0.00019118188330856","-6.39794472867614","0.236431275095582","0.25167715002795","0","1885.76226177667","-924.039943371454","72"
"45","-1","-5","1e-04","-5","0.2","0.2","NaN","-2.46165420300044","-3.8800402905602","0.000596477021666341","-9.39604780093399","0.218784521336086","0.233312396567853","0","1814.71840939457","-888.518017180402","605"
"46","-1","-1","-5e-05","-7.5","0.2","0.2","NaN","-1.98114864726237","-3.09974275612413","-1.29441143169306e-05","-4.65373327632249","0.215278656785468","0.242578611012992","0","1782.47209129153","-872.394858128882","350"
"47","-3","-5","-5e-04","-5","0.2","0.2","NaN","-2.51512292705645","-4.66422056568328","0.000621038433852411","-9.58725670179133","0.220855990418387","0.242406990255959","0","1810.39123766037","-886.354431313303","501"
"48","-1","-5","1e-04","-10","0.2","0.2","NaN","-2.46165420300044","-3.8800402905602","0.000596477021666341","-9.39604780093399","0.218784521336086","0.233312396567853","0","1814.71840939457","-888.518017180402","105"
"49","-1.5","-5","-5e-05","-6.25","0.2","0.2","NaN","-2.46450230940892","-3.57243708490705","0.000544375141488004","-9.92368469925742","0.221730084227779","0.246640308069539","0","1817.14105983097","-889.729342398606","454"
"50","-2","-1","-5e-04","-5","0.2","0.2","NaN","-2.43523599492441","-7.83566754248642","0.000528685635149138","-6.05900874612041","0.218346454087683","0.242443963165948","0","1797.39470238874","-879.856163677488","523"
"51","-2","-1","-0.00035","-10","0.2","0.2","NaN","-2.19006914912239","-3.56542698275857","0.000154573304260921","-5.2048162679378","0.214920837269803","0.242461255572276","0","1780.11985499781","-871.218739982025","48"
"52","-3","-1","1e-04","-6.25","0.2","0.2","NaN","-2.14185401243152","-3.46436981576536","0.000124663074744422","-5.07880412035036","0.214764131464909","0.242643093784821","0","1779.90264191935","-871.110133442792","496"
"53","-3","-5","-5e-05","-5","0.2","0.2","NaN","-2.42000962815107","-387.13706295621","0.00053185204619791","-5.94383326355416","0.218458284977932","0.242586796641984","0","1797.8550097238","-880.08631734502","576"
"54","-2","-5","1e-04","-7.5","0.2","0.2","NaN","-2.52492448346631","-5.04941936643551","0.000656842613854258","-11.9024457203203","0.221346306297449","0.242618174826374","0","1811.72503028798","-887.021327627109","353"
"55","-2.5","-5","-5e-05","-7.5","0.2","0.2","NaN","-2.48979067733504","-4.55079937916887","0.000642717888861206","-9.82369769559561","0.22133891502037","0.243097646653785","0","1810.87949926771","-886.598562116977","327"
"56","-1.5","-1","-0.00035","-8.75","0.2","0.2","NaN","-2.14001099063539","-3.45924562834923","0.000122604489720765","-5.07200506451907","0.214818272933206","0.24264747331925","0","1779.90324335892","-871.110434162578","174"
"57","-1","-3","-5e-05","-8.75","0.2","0.2","NaN","-2.38722406459077","-5.2160950609656","0.000469865373620715","-5.98414459271855","0.217202051595256","0.242735581716572","0","1791.40936494552","-876.863494955881","215"
"58","-3","-3","-5e-04","-7.5","0.2","0.2","NaN","-3.06380787369161","-4.1086680897273","0.000110017397144712","-7.33147031213053","0.234498545048941","0.243287500166919","0","1864.06835247295","-913.192988719595","261"
"59","-2","-2","-5e-05","-6.25","0.2","0.2","NaN","-2.52328685560808","-4.83263882694844","0.000644064959231867","-19.0702372381771","0.221262759792637","0.242610206803232","0","1811.8083210565","-887.062973011367","468"
"60","-1.5","-2","-0.00035","-8.75","0.2","0.2","NaN","-2.39677964325801","-4.99388820742339","0.000455731553650462","-6.0766173995373","0.216948257757067","0.242380710336569","0","1790.83042934215","-876.574027154194","169"
"61","-1.5","-2","-5e-04","-10","0.2","0.2","NaN","-2.51838472088319","-4.77014678785266","0.000632113277276293","-9.92126206952165","0.220989436880933","0.242753746461072","0","1810.76579628496","-886.541710625599","19"
"62","-1","-2","-2e-04","-6.25","0.2","0.2","NaN","-2.46756360332186","-2.46845070952791","0.000247216416809144","-7.71935136919884","0.216919997656981","0.23045478412","0","1847.79685007072","-905.057237518478","445"
"63","-3","-4","-0.00035","-5","0.2","0.2","NaN","-2.68122462440761","-4.2634277285796","0.000202513814738561","-6.3954245611802","0.212455431975331","0.263577526397269","0","1817.9640698341","-890.140847400168","531"
"64","-2.5","-4","1e-04","-10","0.2","0.2","NaN","-2.515207072048","-15.6322531943893","0.000476631155966756","-6.20333770005787","0.218116755160342","0.242621681647025","0","1799.60882962466","-880.963227295452","107"
"65","-2.5","-3","-2e-04","-6.25","0.2","0.2","NaN","-2.17111821502146","-3.29905843862946","7.43652766035635e-05","-5.13284861248606","0.211637511016793","0.251163566771544","0","1782.26065911458","-872.289142040409","437"
"66","-1.5","-5","-2e-04","-6.25","0.2","0.2","NaN","-2.45147965909252","-3.44920034206373","0.000535619401815136","-9.71412914635885","0.221662334999602","0.249285110064491","0","1819.26802040526","-890.79282268575","429"
"67","-2.5","-4","-5e-05","-7.5","0.2","0.2","NaN","-2.59900568274762","-3.65526789617812","0.000139939912122126","-6.20808791454567","0.225656354223929","0.233575300290257","0","1806.67162072996","-884.494622848097","332"
