"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-7.5","0.2","0.2","NaN","-2.09735392888588","-3.2745566822023","-4.89933707146766","0.214881135713383","0.242639466872832","0","1774.55117768431","-871.574599244753","65"
"2","-2","-2","-7.5","0.2","0.2","NaN","-2.09751825660089","-3.2758576977498","-4.89993311050203","0.214963980522","0.242699368358635","0","1774.55110120681","-871.574561006005","68"
"3","-2","-2","-8.75","0.2","0.2","NaN","-2.09751825660089","-3.2758576977498","-4.89993311050203","0.214963980522","0.242699368358635","0","1774.55110120681","-871.574561006005","43"
"4","-1","-5","-5","0.2","0.2","NaN","-2.0993338650806","-3.27709838914485","-4.90649594360399","0.214906708988797","0.242547017879377","0","1774.55212834364","-871.575074574418","105"
"5","-2.5","-1","-5","0.2","0.2","NaN","-2.09746144753725","-3.27481297550563","-4.90026202138814","0.214968109208264","0.242662793730042","0","1774.55107004711","-871.574545426157","122"
"6","-1.5","-2","-8.75","0.2","0.2","NaN","-2.09771205188408","-3.2752454486479","-4.90067269963395","0.214919911892856","0.2426536138683","0","1774.55107451601","-871.574547660605","44"
"7","-1","-5","-7.5","0.2","0.2","NaN","-2.0993338650806","-3.27709838914485","-4.90649594360399","0.214906708988797","0.242547017879377","0","1774.55212834364","-871.575074574418","55"
"8","-3","-4","-6.25","0.2","0.2","NaN","-2.09729235075769","-3.27568214098378","-4.89928554862757","0.214941816849303","0.242662758925171","0","1774.55106608512","-871.57454344516","81"
"9","-2","-1","-10","0.2","0.2","NaN","-2.09756652449114","-3.27562959895208","-4.89987428765329","0.214920855480621","0.242652692618836","0","1774.55106866203","-871.574544733614","23"
"10","-2","-4","-5","0.2","0.2","NaN","-2.09754427468912","-3.27528883349019","-4.900232002496","0.214968874780399","0.242678908381601","0","1774.55107306943","-871.574546937314","108"
"11","-2","-5","-7.5","0.2","0.2","NaN","-2.09953440696635","-3.27836372213126","-4.90684502105345","0.215074342611956","0.242627930266","0","1774.5525052216","-871.575263013402","53"
"12","-2.5","-4","-10","0.2","0.2","NaN","-2.09778022619353","-3.2752810691866","-4.90129114344668","0.214944873349886","0.242650776259697","0","1774.55108590356","-871.574553354378","7"
"13","-2.5","-1","-8.75","0.2","0.2","NaN","-2.09746144753725","-3.27481297550563","-4.90026202138814","0.214968109208264","0.242662793730042","0","1774.55107004711","-871.574545426157","47"
"14","-1.5","-4","-5","0.2","0.2","NaN","-2.09657828156182","-3.27358729689053","-4.89783567556565","0.214971549988447","0.242661290258576","0","1774.55119275188","-871.57460677854","109"
"15","-2.5","-4","-8.75","0.2","0.2","NaN","-2.09778022619353","-3.2752810691866","-4.90129114344668","0.214944873349886","0.242650776259697","0","1774.55108590356","-871.574553354378","32"
"16","-2","-1","-7.5","0.2","0.2","NaN","-2.09756652449114","-3.27562959895208","-4.89987428765329","0.214920855480621","0.242652692618836","0","1774.55106866203","-871.574544733614","73"
"17","-1","-1","-5","0.2","0.2","NaN","-2.70924698152385","-3.24446033182182","-16.3229162521122","0.229903426415725","0.242740219265668","0","1846.58440905076","-907.591214927978","125"
