"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.11111111111111","-1.44444444444444","0.2","0.2","NaN","-2.70914440324222","-3.24481295053837","0.229887333474187","0.242698776334577","0","1840.30786417259","-907.593140408377","85"
"2","-3","-1.88888888888889","0.2","0.2","NaN","-2.70916181127756","-3.24498733053898","0.229883027362675","0.242703850927866","0","1840.3078633613","-907.593140002732","71"
"3","-2.33333333333333","-3.22222222222222","0.2","0.2","NaN","-2.70906826891656","-3.24507023916636","0.22991986075467","0.242749944184177","0","1840.30790738708","-907.593162015619","44"
"4","-1","-5","0.2","0.2","NaN","-2.70932079601171","-3.24416787170123","0.229889951292868","0.242752348901505","0","1840.30791619577","-907.593166419962","10"
"5","-1.22222222222222","-3.22222222222222","0.2","0.2","NaN","-2.70948792463014","-3.24551402947994","0.229825994998656","0.242709444713898","0","1840.30796659525","-907.593191619706","49"
"6","-2.33333333333333","-1.88888888888889","0.2","0.2","NaN","-2.70883823946083","-3.24411325603436","0.229832117217176","0.242757430046436","0","1840.30799081508","-907.593203729618","74"
"7","-2.77777777777778","-3.66666666666667","0.2","0.2","NaN","-2.70947572766452","-3.24527722904404","0.229887222351271","0.242750189030153","0","1840.30790557696","-907.593161110558","32"
"8","-2.11111111111111","-4.55555555555556","0.2","0.2","NaN","-2.70927881229209","-3.24448039788378","0.229916987418917","0.242682354096321","0","1840.30790026079","-907.593158452473","15"
"9","-2.33333333333333","-1","0.2","0.2","NaN","-2.70928243803488","-3.24527638412334","0.229888282708404","0.242709806250433","0","1840.30786351488","-907.59314007952","94"
"10","-2.11111111111111","-2.77777777777778","0.2","0.2","NaN","-2.70918984796884","-3.24454836936686","0.229904744783243","0.242707723227816","0","1840.30786747647","-907.593142060317","55"
"11","-1.66666666666667","-1.88888888888889","0.2","0.2","NaN","-2.70910377959713","-3.24474064460574","0.229867865536129","0.242689091830165","0","1840.30788235478","-907.593149499469","77"
"12","-2.77777777777778","-4.55555555555556","0.2","0.2","NaN","-2.70770122250982","-3.25140850495325","0.229595705320959","0.242399275158458","0","1840.31372903826","-907.59607284121","12"
"13","-2.11111111111111","-1.88888888888889","0.2","0.2","NaN","-2.70925116244963","-3.24485460497557","0.229888714790205","0.242747800881905","0","1840.30788547114","-907.59315105765","75"
"14","-1","-1","0.2","0.2","NaN","-2.70901374150116","-3.24282697647821","0.229905116683344","0.242729987505858","0","1840.3079408573","-907.59317875073","100"
"15","-3","-5","0.2","0.2","NaN","-2.7091214874943","-3.24442166476246","0.229901949880016","0.242688754991692","0","1840.30787610671","-907.593146375435","1"
"16","-1.66666666666667","-2.77777777777778","0.2","0.2","NaN","-2.7091809997084","-3.24474656553988","0.229913995842963","0.24272032290461","0","1840.30787232827","-907.593144486215","57"
"17","-1.66666666666667","-1","0.2","0.2","NaN","-2.70941087577511","-3.24568997790695","0.229905251036517","0.242685336336563","0","1840.30789032863","-907.593153486395","97"
"18","-2.33333333333333","-2.77777777777778","0.2","0.2","NaN","-2.70953558793666","-3.24654093426954","0.229902244917395","0.242721911244617","0","1840.30790788987","-907.593162267012","54"
"19","-2.11111111111111","-1","0.2","0.2","NaN","-2.70931403095128","-3.24475009988844","0.229927152202497","0.242737718146545","0","1840.30790548096","-907.593161062559","95"
