"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-04","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","853"
"2","-1","-5e-04","1e-04","-2","-1.125","0.2","0.2","NaN","-1.99211927751361","-0.000277386841141557","-2.25800938783127","-0.000222332261468191","-0.325298135461886","0.213162508809816","0.261948266829842","0","1793.81233885603","-874.924783991656","2355"
"3","-2.5","-5e-04","1e-04","-4","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2102"
"4","-2.5","-5e-05","-5e-05","-2","-1.125","0.2","0.2","NaN","-2.09436135843207","-0.000245267158828604","-3.03869903050291","0.00010265126031759","-0.133912049694487","0.212228098109951","0.242522566250527","0","1771.43990522545","-863.738567176366","2342"
"5","-1","-5e-04","-5e-04","-3","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2130"
"6","-3","1e-04","-2e-04","-2","-2.375","0.2","0.2","NaN","-2.23685772803094","-0.000210931886652012","-3.42477777623807","0.000137330862548673","-1.87326034737675","0.211506371365761","0.242544196613851","0","1769.91612102527","-862.976675076272","1071"
"7","-3","-5e-04","-0.00035","-5","-0.5","0.2","0.2","NaN","-2.30205666925191","-0.000187173199610995","-5.07071822670149","0.000462992722987092","-0.880246913037367","0.213427331336144","0.243678953397303","0","1783.46614996589","-869.751689546582","2526"
"8","-3","-5e-04","-2e-04","-4","-1.75","0.2","0.2","NaN","-2.52538984043939","-0.000129945967032558","-5.90129031350543","0.000343374879565497","-0.625416493819696","0.222113504153746","0.227191053523421","0","1803.62412879515","-879.830678961214","1426"
"9","-2","1e-04","1e-04","-2","-1.75","0.2","0.2","NaN","-2.17729707379428","-0.000224077899422766","-3.30433028843138","0.000141176379115822","-0.837965275322386","0.211303144630237","0.242612513675201","0","1768.76153378458","-862.399381455927","1748"
"10","-3","-5e-04","-0.00035","-3","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","276"
"11","-1","-5e-04","-2e-04","-4","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","180"
"12","-2","1e-04","-5e-05","-5","-2.375","0.2","0.2","NaN","-2.27878389892598","-0.000192341276133429","-5.80111897119493","0.000566460255700419","-0.801312275984122","0.216924145207188","0.241784506497724","0","1789.41252406129","-872.724876594284","723"
"13","-1.5","-2e-04","-2e-04","-5","-1.75","0.2","0.2","NaN","-1.1342792821262","-0.000642274170949063","-4.5890066743909","0.159504772878291","-1.63288699830522","0.28744449014665","0.246276741779905","0","2077.32254469786","-1016.67988691257","1314"
"14","-3","-5e-05","-5e-05","-1","-0.5","0.2","0.2","NaN","-2.14845064519315","-0.000230318822084082","-3.26329778465266","0.00014652002147687","-0.316153304065485","0.211480423514109","0.242661585411599","0","1769.92620855465","-862.981718840965","3091"
"15","-2","-5e-04","1e-04","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1228"
"16","-1","-5e-04","-2e-04","-2","-0.5","0.2","0.2","NaN","-2.01616394900217","-0.000271369624808417","-1.84075916368414","-0.000526223171300893","-1.26443092818763","0.216349849529854","0.242239230598056","0","1813.26405697374","-884.650643050509","2930"
"17","-2","-0.00035","1e-04","-4","-2.375","0.2","0.2","NaN","-2.29544980127172","-0.000195688360751542","-4.01195592237283","0.000262116176263764","-2.2589958486357","0.212253270292449","0.242867671686917","0","1773.4887045035","-864.762966815388","858"
"18","-3","-0.00035","-2e-04","-4","-1.125","0.2","0.2","NaN","-2.22816567982293","-0.000212619256927613","-3.42584429728726","0.000144446718546572","-1.59084935701207","0.211389981461922","0.242615358958574","0","1769.42709001356","-862.732159570419","2056"
"19","-1","-5e-04","-5e-05","-2","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1705"
