"","a_log","a12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-05","-1","-3","0.2","0.2","NaN","-2.19139701688934","-0.000223516063929712","-3.11004810104785","-0.975600142536644","0.211562186915024","0.242596895530019","0","1763.80994317942","-863.063784072829","118"
"2","-1.5","-5e-04","-3","-2.375","0.2","0.2","NaN","-2.19137129289065","-0.000223567370503494","-3.10886219156014","-0.975890185077535","0.211555346697273","0.242706966745314","0","1763.80994698194","-863.06378597409","179"
"3","-1.5","-5e-05","-5","-1.125","0.2","0.2","NaN","-2.19244712066322","-0.000223271583700105","-3.11192594240935","-0.971104149477492","0.211482100557964","0.242803247286243","0","1763.81094259321","-863.064283779723","394"
"4","-1","-0.00035","-1","-1.75","0.2","0.2","NaN","-2.27885562608835","-0.000204910054572594","-3.24741881760923","-5.12237078267821","0.212309666217974","0.242679982153712","0","1767.66040817582","-864.98901657103","360"
"5","-1.5","-2e-04","-5","-1.125","0.2","0.2","NaN","-2.27965259177659","-0.000204684493607115","-3.26370551129218","-4.10866080301445","0.212278642373536","0.242578727641273","0","1767.38456698232","-864.851095974281","389"
"6","-3","-0.00035","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","306"
"7","-2.5","1e-04","-1","-3","0.2","0.2","NaN","-2.25997051406389","-0.000209127301550475","-3.22469037795191","-2.75189258796694","0.212088616687556","0.242749939427369","0","1766.28521840561","-864.301421685924","122"
"8","-1","-0.00035","-3","-1.75","0.2","0.2","NaN","-2.19092289246653","-0.000223589435245326","-3.10812998048848","-0.971384774414306","0.211563552179012","0.242712419347756","0","1763.80997557374","-863.06380026999","310"
"9","-2.5","-5e-04","-4","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","527"
"10","-2","-5e-04","-2","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","203"
"11","-1","-2e-04","-4","-3","0.2","0.2","NaN","-2.1908412969608","-0.000224241081232716","-3.11306103276221","-0.971719915559676","0.211362408235481","0.242475141035026","0","1763.81404527008","-863.065835118158","40"
"12","-2","-5e-04","-1","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","478"
"13","-3","-0.00035","-5","-2.375","0.2","0.2","NaN","-2.27683699126793","-0.000205249341305292","-3.25024964117023","-3.68007447226325","0.212189898497765","0.242671883594487","0","1767.15478021987","-864.736202593056","131"
"14","-1","-2e-04","-2","-1.125","0.2","0.2","NaN","-2.1776994481551","-0.000226544045909545","-3.08945574143074","-0.761062672315173","0.211584306499","0.242537990160873","0","1763.92488534532","-863.121255155778","465"
"15","-1","-5e-05","-2","-1.125","0.2","0.2","NaN","-2.20390298525438","-0.000220772750303106","-3.12814595467992","-1.21071485183286","0.21148212633608","0.242697686822614","0","1763.9185329007","-863.118078933468","470"
