"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-2","-10","-0.5","0.2","0.2","NaN","-2.08695901797822","-3.40503003820559","-1.07503277141261","-5.18384442529025","0.214086625981329","0.242722372286945","0","1776.84616035135","-869.581892658794","518"
"2","-3","-3","-6.25","-3","0.2","0.2","NaN","-2.06228062755287","-3.29872106925547","-0.586277861945667","-5.24967003113211","0.214910845533128","0.243533530062094","0","1777.54025149193","-869.928938229085","86"
"3","-2","-4","-10","-1.125","0.2","0.2","NaN","-2.15800095653726","-3.53299964538768","-3.34486929262237","-5.17129340327424","0.214568068502769","0.242738760965064","0","1779.234256241","-870.77594060362","383"
"4","-2","-2","-8.75","-0.5","0.2","0.2","NaN","-2.08695901797822","-3.40503003820559","-1.07503277141261","-5.18384442529025","0.214086625981329","0.242722372286945","0","1776.84616035135","-869.581892658794","543"
"5","-1","-5","-7.5","-2.375","0.2","0.2","NaN","-1.9780059076785","-2.98933787852028","0.891735518315097","-5.4864136496134","0.217251423553858","0.242911021545082","0","1791.05359166639","-876.685608316317","180"
"6","-1","-1","-10","-3","0.2","0.2","NaN","-2.07677776235289","-3.37430063354404","-0.905239017329696","-5.19210374243915","0.214159482540247","0.242720217563564","0","1776.90948117626","-869.613553071251","25"
"7","-1","-5","-6.25","-3","0.2","0.2","NaN","-1.1314558459079","-2.80151588619666","3.80110998974601","-5.26937478572255","0.220951304906069","0.242601582354166","0","1810.23567464387","-886.276649805055","80"
"8","-2","-3","-7.5","-2.375","0.2","0.2","NaN","-2.16118400036899","-3.54341365592275","-16.3515349650305","-5.15267147230614","0.214776862517102","0.242640449711926","0","1780.00073730155","-871.159181133894","188"
"9","-1.5","-2","-10","-0.5","0.2","0.2","NaN","-2.08867538534359","-3.40515980953619","-1.07565004959485","-5.18780225540705","0.214165672285339","0.242637631176062","0","1776.84549498357","-869.581559974903","519"
"10","-2.5","-3","-5","-2.375","0.2","0.2","NaN","-2.16195214439605","-3.54322682738711","-11.2720984374408","-5.15499852703513","0.214809384928165","0.242597201745887","0","1780.00064412304","-871.159134544637","237"
"11","-3","-4","-5","-0.5","0.2","0.2","NaN","-2.08882969088594","-3.40606307440824","-1.07535707601116","-5.18613617018492","0.214228518106399","0.242613340075175","0","1776.84578921421","-869.581707090223","606"
"12","-2.5","-2","-5","-1.125","0.2","0.2","NaN","-2.08843030558985","-3.40488969659617","-1.07485268970715","-5.18775108439993","0.214170463290762","0.24263617139739","0","1776.84550163575","-869.581563300996","492"
"13","-1.5","-5","-6.25","-2.375","0.2","0.2","NaN","-2.16081886392401","-3.54289105545183","-5.96041086738787","-5.15335179342801","0.214791789065038","0.242656262436244","0","1779.93855132651","-871.128088146375","204"
"14","-1","-3","-8.75","-2.375","0.2","0.2","NaN","-2.04703442599213","-3.30177817476069","-0.574653645847918","-5.20515095889743","0.214331638198759","0.242671061844533","0","1777.51218929803","-869.914907132133","165"
"15","-2","-1","-5","-1.125","0.2","0.2","NaN","-2.0885221256404","-3.39365909501964","-1.08149684203752","-5.18699126089025","0.213871987433689","0.242272348372018","0","1776.85595156335","-869.586788264795","498"
"16","-1","-2","-8.75","-0.5","0.2","0.2","NaN","-1.95471683607481","-3.1029656951728","0.149587142708897","-5.17109152531268","0.214842465439272","0.243272181212","0","1782.32370061227","-872.320662789256","545"
"17","-3","-5","-7.5","-2.375","0.2","0.2","NaN","-2.15690474821467","-3.52686441088008","-3.57657586925731","-5.16450836087837","0.214196633433467","0.243057351402226","0","1779.38362791579","-870.850626441015","176"
"18","-1.5","-1","-8.75","-0.5","0.2","0.2","NaN","-1.937378900627","-3.26794950181958","-0.288714970277777","-5.0343030507213","0.214127360526415","0.2448633768274","0","1779.98723991673","-871.152432441486","549"
"19","-1.5","-4","-6.25","-0.5","0.2","0.2","NaN","-2.15508395612755","-3.5340544045266","-3.31080953990328","-5.1685734419245","0.214537032591832","0.242626456288855","0","1779.20853699343","-870.763080979835","584"
"20","-1","-3","-5","-2.375","0.2","0.2","NaN","-2.04703442599213","-3.30177817476069","-0.574653645847918","-5.20515095889743","0.214331638198759","0.242671061844533","0","1777.51218929803","-869.914907132133","240"
"21","-1","-5","-7.5","-1.75","0.2","0.2","NaN","-2.08365613404333","-3.40705118181719","-1.05470625095422","-5.17882444749107","0.213915474565589","0.242683331125572","0","1776.85109557723","-869.584360271734","305"
"22","-2","-1","-10","-0.5","0.2","0.2","NaN","-2.08842981780414","-3.40580970663146","-1.073422731373","-5.18814883346059","0.214183564298551","0.242680583587937","0","1776.84560760434","-869.581616285287","523"
"23","-3","-4","-6.25","-0.5","0.2","0.2","NaN","-2.08882969088594","-3.40606307440824","-1.07535707601116","-5.18613617018492","0.214228518106399","0.242613340075175","0","1776.84578921421","-869.581707090223","581"
"24","-2.5","-3","-10","-1.75","0.2","0.2","NaN","-2.08881561136565","-3.40409102950663","-1.07290004704149","-5.19037908034978","0.214162739941772","0.242595094614636","0","1776.84568056216","-869.581652764198","262"
"25","-2","-1","-10","-1.75","0.2","0.2","NaN","-2.08774422942431","-3.40431138371523","-1.0739522941986","-5.18652273801566","0.21409515458531","0.242667914283","0","1776.84568236845","-869.581653667346","273"
"26","-3","-5","-6.25","-3","0.2","0.2","NaN","-2.16110854648345","-3.54366494416638","-7.82338801266827","-5.15225245990684","0.214809207894923","0.24262931685739","0","1779.99103349526","-871.15432923075","76"
"27","-2","-5","-7.5","-1.75","0.2","0.2","NaN","-2.16003314855856","-3.54197427312761","-5.1556504201187","-5.15479637030236","0.214863155293231","0.242578172343113","0","1779.86328352939","-871.090454247814","303"
"28","-2","-4","-10","-3","0.2","0.2","NaN","-2.16118834246264","-3.54411018270186","-6.22119040052046","-5.15390356668961","0.214810083523272","0.242614334520779","0","1779.95288519543","-871.135255080833","8"
"29","-1","-5","-10","-1.75","0.2","0.2","NaN","-2.11400896437866","-3.49513861728364","0.145232524155727","-5.30866283754778","0.214253024161402","0.242718179890942","0","1782.754300973","-872.535962969619","255"
"30","-1.5","-3","-7.5","-2.375","0.2","0.2","NaN","-2.15980964046081","-3.54338844480081","-4.53055401156919","-5.1596544613423","0.21472310232576","0.242651260837781","0","1779.74896504232","-871.033295004282","189"
"31","-1","-2","-6.25","-2.375","0.2","0.2","NaN","-2.0884893427896","-3.40649000595808","-1.07810707556161","-5.18745613634849","0.214122358020865","0.242696145757949","0","1776.84567775327","-869.581651359754","220"
"32","-1","-2","-8.75","-3","0.2","0.2","NaN","-2.16043128249777","-3.539995049737","-6.63908684654598","-5.14940174658073","0.215030281625454","0.242683664251229","0","1779.97136299493","-871.144493980584","45"
"33","-1.5","-3","-5","-2.375","0.2","0.2","NaN","-2.15980964046081","-3.54338844480081","-4.53055401156919","-5.1596544613423","0.21472310232576","0.242651260837781","0","1779.74896504232","-871.033295004282","239"
"34","-1","-1","-5","-0.5","0.2","0.2","NaN","-1.7899328177515","-3.1205410894454","1.17249511826507","-4.96832317167081","0.217145725909406","0.242431932985617","0","1794.31773910174","-878.317682033989","625"
"35","-2","-4","-7.5","-3","0.2","0.2","NaN","-2.16118834246264","-3.54411018270186","-6.22119040052046","-5.15390356668961","0.214810083523272","0.242614334520779","0","1779.95288519543","-871.135255080833","58"
"36","-1.5","-3","-10","-2.375","0.2","0.2","NaN","-2.15980964046081","-3.54338844480081","-4.53055401156919","-5.1596544613423","0.21472310232576","0.242651260837781","0","1779.74896504232","-871.033295004282","139"
"37","-1.5","-3","-7.5","-3","0.2","0.2","NaN","-2.16092750963801","-3.54340975556241","-8.33169980947697","-5.15239984406377","0.214812751723735","0.242676411761272","0","1779.99490993848","-871.15626745236","64"
"38","-3","-3","-7.5","-3","0.2","0.2","NaN","-2.08862835110101","-3.40548481991453","-1.07773607011911","-5.18741492706088","0.214135224008832","0.242616744114134","0","1776.84553078334","-869.581577874789","61"
"39","-2.5","-4","-5","-2.375","0.2","0.2","NaN","-2.16126398595609","-3.54567709780378","-5.57750741126249","-5.15303581734469","0.214790167243686","0.242798515123002","0","1779.91087142917","-871.114248197706","232"
"40","-1.5","-5","-10","-0.5","0.2","0.2","NaN","-2.16004754081763","-3.54049757523792","-4.73350625254057","-5.1588525010833","0.214697585561356","0.242614851591196","0","1779.79309006131","-871.055357513776","504"
"41","-1.5","-5","-8.75","-2.375","0.2","0.2","NaN","-2.16121126601215","-3.54316539666091","-6.17622924364157","-5.15442759111791","0.214779881811577","0.242635394751245","0","1779.95062336194","-871.13412416409","154"
"42","-1","-4","-8.75","-0.5","0.2","0.2","NaN","-2.14881111397181","-3.57177967427767","-1.72711836144551","-5.18804282365519","0.21443172728404","0.242606436190978","0","1777.74085471499","-870.029239840612","535"
"43","-2.5","-1","-5","-0.5","0.2","0.2","NaN","-2.08869017295033","-3.40758957863149","-1.08398368600459","-5.1848110280153","0.214015962009461","0.242690097411791","0","1776.84634202721","-869.581983496724","622"
