"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","1e-04","-3","-0.5","0.2","0.2","NaN","-1.98864147206707","-3.41043462578423","0.000963006524511778","1.40307272152294","0.219619400611838","0.244052475338039","0","1807.90113610214","-885.109380534189","575"
"2","-3","-0.00035","-1","-2.375","0.2","0.2","NaN","-2.2784455151343","-4.12221311522063","0.000825547000594394","-0.0614247905153526","0.218253249404647","0.242744840932662","0","1797.05013020307","-879.683877584654","231"
"3","-2.5","-2e-04","-3","-1.75","0.2","0.2","NaN","-2.52297811703149","-4.8274326382862","0.000644231779068862","-8.65437548886735","0.22126407935223","0.242646927390969","0","1811.79895766224","-887.058291314239","312"
"4","-1.5","-0.00035","-3","-2.375","0.2","0.2","NaN","-2.43423243242393","-5.1311500831893","0.000759715077016653","-1.23045573325439","0.219503113929378","0.242289001867776","0","1802.57312711276","-882.445376039499","184"
"5","-2","-5e-04","-4","-3","0.2","0.2","NaN","-1.95416379973841","-4.36580280766758","0.00139864876347964","0.568088720209383","0.220100155814096","0.262149945862241","0","1820.61314665045","-891.465385808346","28"
"6","-3","-0.00035","-3","-1.125","0.2","0.2","NaN","-2.36994661900951","-4.84602261604254","0.000801623765694933","-0.335479244508135","0.21856771503662","0.242727944216663","0","1798.72860084054","-880.523112903388","431"
"7","-2.5","1e-04","-1","-1.75","0.2","0.2","NaN","-2.27509016627721","-4.10452361560827","0.000826367327571776","-0.0513440255008221","0.218228928283638","0.242706250035194","0","1797.04937637838","-879.68350067231","372"
"8","-2.5","-5e-05","-2","-0.5","0.2","0.2","NaN","-2.27533508008358","-4.11329880871006","0.000827369427932895","-0.0582070743988927","0.218299112032521","0.24268910837038","0","1797.04869422014","-879.683159593189","592"
"9","-1.5","-2e-04","-3","-3","0.2","0.2","NaN","-2.42188179278057","-8.64266940220054","0.00084780451939663","-0.493730055469371","0.219754002001943","0.242539661668085","0","1804.03170774351","-883.174666354877","64"
"10","-2","-5e-05","-4","-3","0.2","0.2","NaN","-2.46487301696101","-4.13092873597296","0.000631606747325458","-2.36059383472069","0.220128190787757","0.241897334505269","0","1808.32347790077","-885.320551433502","43"
"11","-2.5","-5e-05","-1","-3","0.2","0.2","NaN","-2.29756948527253","-4.23121028319969","0.000818635774151533","-0.144966573142944","0.214557849241034","0.243611431917359","0","1797.46215314699","-879.889889056615","117"
"12","-2","-5e-05","-3","-1.75","0.2","0.2","NaN","-2.42418476611445","-4.45099964910307","0.000706638422628338","-1.15176067603713","0.219168424150896","0.243388161014116","0","1801.38302771848","-881.850326342359","318"
"13","-3","-2e-04","-2","-1.75","0.2","0.2","NaN","-2.26946285540375","-4.11558355501001","0.000838786316247386","-0.0606560772353216","0.21844631248959","0.243227381154687","0","1797.06236984093","-879.689997403587","336"
"14","-2.5","1e-04","-1","-0.5","0.2","0.2","NaN","-2.27894962134348","-4.11596422579339","0.00081593993180974","-0.0415373869179516","0.218519328020035","0.243046976482481","0","1797.06163750828","-879.689631237258","622"
"15","-3","1e-04","-2","-0.5","0.2","0.2","NaN","-2.27470347479988","-4.11433460622955","0.000828286980629897","-0.0569132333842464","0.218248969458601","0.242657892098978","0","1797.04857331781","-879.683099142026","596"
"16","-2.5","-5e-05","-5","-2.375","0.2","0.2","NaN","-2.48238283894029","-4.95310953825921","0.000693483754331651","-2.01497859731771","0.220195092605213","0.24289422762587","0","1806.17251409981","-884.245069533025","142"
