"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-5","-0.5","0.2","0.2","NaN","-2.05574820282116","-3.20279289740499","-1.64010741446047","-4.9215400817538","0.214441021195775","0.242595546089537","0","1778.46144279094","-870.389533878587","615"
"2","-1.5","-5","-5","-1.125","0.2","0.2","NaN","-2.09754822995906","-3.27684038640072","-4.95574863874839","-4.90394798739806","0.214884418348763","0.242653366070473","0","1780.67939057423","-871.498507770232","479"
"3","-2","-2","-7.5","-0.5","0.2","0.2","NaN","-2.1117189676884","-3.17573737360688","-2.67021954262177","-4.97794794013749","0.215233516932999","0.241858065825716","0","1780.04142600974","-871.17952548799","568"
"4","-1.5","-2","-10","-3","0.2","0.2","NaN","-2.09611841772883","-3.27454449574733","-4.09478367700672","-4.90912225769444","0.214790432812964","0.24266080538911","0","1780.48293690375","-871.400280934995","19"
"5","-2","-5","-6.25","-0.5","0.2","0.2","NaN","-2.03142716430746","-3.16602149598037","-1.23810351819991","-4.90651637301818","0.214365728412239","0.242649825429401","0","1778.20795829303","-870.262791629635","578"
"6","-2.5","-5","-7.5","-0.5","0.2","0.2","NaN","-2.09717063271422","-3.27549209581121","-5.76248837973636","-4.90154904848468","0.214937597372242","0.242789405479179","0","1780.76278305753","-871.540204011886","552"
"7","-3","-5","-10","-1.125","0.2","0.2","NaN","-2.09593361735702","-3.27175863941642","-5.1555905040385","-4.90137728666202","0.215047876281158","0.242511847215428","0","1780.70646057737","-871.512042771806","376"
"8","-1.5","-3","-6.25","-1.125","0.2","0.2","NaN","-2.09933771341196","-3.27313780704682","-3.58537405723665","-4.92287570340363","0.214713166468116","0.242453612299846","0","1780.27952973902","-871.29857735263","464"
"9","-1","-5","-10","-2.375","0.2","0.2","NaN","-2.13590796805603","-3.29058720260758","-1.84293930472129","-5.0697813685352","0.217184279617197","0.239471924165295","0","1779.68435646339","-871.000990714816","130"
"10","-3","-1","-6.25","-1.75","0.2","0.2","NaN","-2.09697714068777","-3.27463170219799","-6.89438423272297","-4.8997670733635","0.214928760848089","0.24270824105969","0","1780.8090725411","-871.563348753671","346"
"11","-3","-1","-5","-1.75","0.2","0.2","NaN","-2.09697714068777","-3.27463170219799","-6.89438423272297","-4.8997670733635","0.214928760848089","0.24270824105969","0","1780.8090725411","-871.563348753671","371"
"12","-2.5","-1","-6.25","-0.5","0.2","0.2","NaN","-2.02727209103124","-3.15823276022937","-1.19179347646404","-4.90260541076233","0.214394078521394","0.242644857282747","0","1778.20354291668","-870.260583941461","597"
"13","-3","-5","-7.5","-2.375","0.2","0.2","NaN","-2.09697670745051","-3.27378753506529","-8.39163647945313","-4.8992021530508","0.214919881883888","0.24267367679541","0","1780.82648247739","-871.572053721814","176"
"14","-3","-5","-6.25","-3","0.2","0.2","NaN","-2.09731023875998","-3.27555706569128","-9.26852325509081","-4.89965121694198","0.214940896165251","0.242668563244232","0","1780.82936489589","-871.573494931062","76"
"15","-2.5","-1","-10","-1.125","0.2","0.2","NaN","-2.02688310516717","-3.15865635173279","-1.18874180319841","-4.90178562020866","0.214405690510479","0.242618465382029","0","1778.20352573864","-870.260575352441","397"
"16","-1.5","-4","-6.25","-0.5","0.2","0.2","NaN","-2.0933274153135","-3.27057144943284","-3.33857526556635","-4.91470601810056","0.214764197183547","0.242520506467078","0","1780.13256020238","-871.225092584311","584"
