"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.88888888888889","-3.66666666666667","-2.375","0.2","0.2","NaN","-2.61793518575371","-3.08019183904606","-0.919598989920085","0.229183608801019","0.242721418839365","0","1843.34657060824","-905.97229570672","136"
"2","-1.66666666666667","-3.22222222222222","-1.75","0.2","0.2","NaN","-2.61755459014571","-3.07911786971817","-0.918958513192525","0.229210912105429","0.242733472230963","0","1843.34657132278","-905.972296063991","247"
"3","-1.22222222222222","-1.88888888888889","-2.375","0.2","0.2","NaN","-2.61781771415631","-3.07939738077506","-0.918771018172114","0.229217841400364","0.242730042649603","0","1843.34658566177","-905.972303233485","179"
"4","-1.88888888888889","-2.33333333333333","-3","0.2","0.2","NaN","-2.61753991711862","-3.07903191661795","-0.919645910989158","0.229196648628306","0.242688617123775","0","1843.3465662096","-905.972293507401","66"
"5","-1.88888888888889","-3.22222222222222","-1.125","0.2","0.2","NaN","-2.61768108983003","-3.07926877471513","-0.919994232981761","0.229198592267223","0.242726380823623","0","1843.34655597132","-905.972288388262","346"
"6","-2.11111111111111","-5","-0.5","0.2","0.2","NaN","-2.66861764379186","-3.2008360002824","-1.7741680083475","0.229212475974674","0.242813959712584","0","1844.18052060044","-906.389270702821","405"
"7","-2.77777777777778","-2.77777777777778","-3","0.2","0.2","NaN","-2.61802178861781","-3.08044182686013","-0.92257079972161","0.229193671860569","0.242705876509227","0","1843.34656237762","-905.97229159141","52"
"8","-1.44444444444444","-1.44444444444444","-2.375","0.2","0.2","NaN","-2.61757085587872","-3.07940364987852","-0.920962173537217","0.229187221698188","0.242716307644147","0","1843.3465552493","-905.972288027249","188"
"9","-3","-1.88888888888889","-1.75","0.2","0.2","NaN","-2.6184910990744","-3.0807094636546","-0.923946481255527","0.229194414856567","0.242711568889904","0","1843.34661943294","-905.972320119069","271"
"10","-2.11111111111111","-4.55555555555556","-0.5","0.2","0.2","NaN","-2.6172469710131","-3.08155289504499","-0.921293243051016","0.229264038996161","0.242642715122393","0","1843.34700298081","-905.972511893004","415"
"11","-1.44444444444444","-4.55555555555556","-1.125","0.2","0.2","NaN","-2.61797626994531","-3.08119049345763","-0.924659421857685","0.229187099675501","0.242708840502407","0","1843.34661043846","-905.972315621828","318"
"12","-2.33333333333333","-5","-2.375","0.2","0.2","NaN","-2.61754624844382","-3.07898222093743","-0.916861933855816","0.229163118138462","0.242724244054065","0","1843.34660524918","-905.97231302719","104"
