"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-3","0.001","0.001","5e-04","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","278"
"2","-1","0.005","0.001","0.001","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","603"
"3","-1","0.001","0.001","5e-04","0.001","0.2","0.2","NaN","-2.82909119488552","0.000908333834607515","0.00196958688820716","0.0022853596419577","0.000953984046432501","0.316608389775345","0.257773663389202","0","207.299394423544","-85.0191622847874","799"
"4","-5","0.005","0.001","5e-04","5e-04","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"5","-5","0.005","0.001","5e-04","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","825"
"6","-5","0.001","0.001","0.001","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","373"
"7","-0.5","0.001","0.001","0.001","5e-04","0.2","0.2","non-finite finite-difference value [4]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","88"
"8","-0.5","5e-04","0.001","0.005","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","948"
"9","-3","0.005","0.005","0.001","5e-04","0.2","0.2","NaN","-6.21905190262087","0.000839101102903078","0.00186655755906847","0.0366958084069915","-0.0233049537939564","0.210543403558051","0.224174160032486","0","268.666791340551","-115.702860743291","234"
"10","-5","0.005","0.001","0.001","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","633"
"11","-1","5e-04","5e-04","5e-04","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","771"
"12","-5","0.005","0.001","5e-04","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","569"
"13","-5","5e-04","0.005","0.005","0.005","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","673"
"14","-1","0.005","0.001","0.005","0.001","0.2","0.2","non-finite finite-difference value [1]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","443"
