"","a_log","a12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-3","-5e-05","-2","0.2","0.2","NaN","-1.36376069511742","-0.000390358099625503","-4.51341846342445","0.422086899944308","0.280890737679797","0","2853.88961015359","-1411.31986697115","91"
"2","-3","-2e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","61"
"3","-2.5","-0.00035","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","32"
"4","-1","-5e-05","-4","0.2","0.2","NaN","-1.3639778326572","-0.000390118618615659","-4.51165655300108","0.422056263768932","0.280773280332535","0","2853.88944682576","-1411.31978530723","45"
"5","-3","-0.00035","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","6"
"6","-1","-5e-04","-2","0.2","0.2","NaN","-1.36354533613149","-0.000390647582714978","-4.51142020912787","0.422111519156489","0.280811257154806","0","2853.88947460296","-1411.31979919583","80"
"7","-1.5","-5e-05","-1","0.2","0.2","NaN","-1.36418356501037","-0.000389618350178017","-4.5103653998367","0.422072226671072","0.280869947924675","0","2853.88974905592","-1411.31993642231","119"
"8","-3","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","106"
"9","-3","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","26"
"10","-1.5","-5e-05","-2","0.2","0.2","NaN","-1.36344921141902","-0.000390385449944937","-4.51238691019554","0.422069347674473","0.280798280511662","0","2853.88957714969","-1411.31985046919","94"
"11","-1","-5e-04","-5","0.2","0.2","NaN","-1.36392108957244","-0.000390185739295437","-4.51209033231626","0.422046740424161","0.280810612219509","0","2853.88940379951","-1411.31976379411","5"
"12","-2","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","103"
"13","-2","-5e-05","-1","0.2","0.2","NaN","-1.36403203869259","-0.000390363471400916","-4.51429669258782","0.422017983069042","0.280816970036756","0","2853.88972304702","-1411.31992341786","118"
"14","-2","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","83"
"15","-1.5","1e-04","-3","0.2","0.2","NaN","-1.36416162223366","-0.000389939827252539","-4.5126075445448","0.422024542107388","0.280852243919346","0","2853.88946501695","-1411.31979440283","74"
"16","-2.5","1e-04","-5","0.2","0.2","NaN","-1.36396294505572","-0.000390262949308911","-4.51212604490734","0.422183312270392","0.280812042268259","0","2853.88947621842","-1411.31980000356","22"
"17","-1.5","-5e-04","-1","0.2","0.2","NaN","-1.54682793564837","-0.00033916521602694","-0.991763711185496","0.617291488038919","0.280616703462002","0","3247.95483466873","-1608.35247922872","104"
"18","-2","1e-04","-3","0.2","0.2","NaN","-1.36419336566471","-0.000389877857221078","-4.51262335453393","0.421973075356262","0.280822385782774","0","2853.88951761511","-1411.3198207019","73"
"19","-1.5","1e-04","-5","0.2","0.2","NaN","-1.36408173091101","-0.00039005408496547","-4.5129006406155","0.421983817386994","0.280892642652024","0","2853.88955127179","-1411.31983753025","24"
"20","-2.5","-5e-05","-3","0.2","0.2","NaN","-1.36397637184705","-0.000389973578095802","-4.510864047946","0.422088119107859","0.280843812074253","0","2853.8894902642","-1411.31980702645","67"
"21","-1.5","-5e-05","-3","0.2","0.2","NaN","-1.36404134832797","-0.000390083342226801","-4.51250222483841","0.422034968009756","0.280787044443559","0","2853.88944537025","-1411.31978457948","69"
"22","-2","-5e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","53"
"23","-1.5","-2e-04","-3","0.2","0.2","NaN","-1.36331813983318","-0.000390813437738507","-4.51212788534381","0.422209844621012","0.280902423852062","0","2853.88976748916","-1411.31994563893","64"
"24","-1.5","1e-04","-1","0.2","0.2","NaN","-0.985381419234243","-0.000774559718737492","-1.53016462896508","0.567882785484437","0.278392766168073","0","3200.87642675106","-1584.81327526988","124"
"25","-3","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","101"
"26","-1.5","-0.00035","-4","0.2","0.2","NaN","-1.36409464611362","-0.000390096384619162","-4.51204661614864","0.422032367046122","0.280832650883886","0","2853.8894354101","-1411.3197795994","34"
"27","-2","1e-04","-4","0.2","0.2","NaN","-1.36386865081037","-0.000390232705952293","-4.51218921264949","0.422122564091084","0.280798969761144","0","2853.88941736004","-1411.31977057437","48"
"28","-1","-0.00035","-3","0.2","0.2","NaN","-1.36357154899863","-0.00039058867157756","-4.51128603740994","0.42207991742641","0.28086313754637","0","2853.88946833804","-1411.31979606337","60"
"29","-2.5","-2e-04","-5","0.2","0.2","NaN","-1.36364097773185","-0.000390369882534157","-4.51120179763813","0.422090931088905","0.280851457121912","0","2853.88942631705","-1411.31977505288","12"
"30","-3","-2e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","111"
"31","-2.5","-5e-05","-2","0.2","0.2","NaN","-1.36362625886222","-0.000390126609912155","-4.51120350024637","0.422084078711588","0.280867648229203","0","2853.8895011944","-1411.31981249155","92"
"32","-2.5","-5e-05","-1","0.2","0.2","NaN","-0.90810477169448","-0.000841496598327589","-2.42069664120893","0.559569686095523","0.286469270121951","0","3076.33479808406","-1522.54246093638","117"
"33","-1","1e-04","-4","0.2","0.2","NaN","-1.36370847734918","-0.000390405797141862","-4.51141411959518","0.422125810528722","0.280860236899615","0","2853.88943771557","-1411.31978075214","50"
"34","-2.5","-0.00035","-5","0.2","0.2","NaN","-1.36374872345554","-0.000390304001560598","-4.51279850250898","0.422043178173295","0.280808077692679","0","2853.88947661676","-1411.31980020273","7"
"35","-3","-0.00035","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","31"
"36","-1","-5e-04","-1","0.2","0.2","NaN","-1.57249127859228","-0.000449849133481287","-2.08214893055907","0.510420699280214","0.318016831394604","0","3162.86834368301","-1565.80923373586","105"
"37","-3","-2e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","36"
"38","-1","-5e-05","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","120"
"39","-2.5","-5e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","52"
"40","-1","-5e-05","-2","0.2","0.2","NaN","-1.36362223535181","-0.000390500900364941","-4.5101078811864","0.422134446218037","0.280785070247946","0","2853.88959154391","-1411.3198576663","95"
"41","-2","-0.00035","-4","0.2","0.2","NaN","-1.3637801158793","-0.000390185011092857","-4.51112177691577","0.422035597931879","0.280827905527367","0","2853.88943135124","-1411.31977756997","33"
"42","-3","-5e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","76"
"43","-1.5","-0.00035","-1","0.2","0.2","NaN","-1.36430122271147","-0.000387786152541352","-4.50606125530016","0.4228516464185","0.281412544582225","0","2853.90279938684","-1411.32646158777","109"
"44","-1.5","-0.00035","-5","0.2","0.2","NaN","-1.36379471950285","-0.000390107191876987","-4.51235431590595","0.42196787068069","0.280879737396259","0","2853.88955248364","-1411.31983813617","9"
"45","-3","-5e-05","-4","0.2","0.2","NaN","-1.3636192984378","-0.000390517548426169","-4.51294224848242","0.422028573554953","0.28080432036565","0","2853.88955316913","-1411.31983847892","41"
"46","-3","-0.00035","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","56"
"47","-2","-5e-05","-3","0.2","0.2","NaN","-1.36376967546069","-0.000390457153208593","-4.51220013808254","0.421999154657704","0.280791783760978","0","2853.88948141689","-1411.3198026028","68"
"48","-1.5","-5e-04","-4","0.2","0.2","NaN","-1.36397709036492","-0.000390152513453057","-4.5121482826725","0.422069879983445","0.280839709805299","0","2853.88940164822","-1411.31976271846","29"
"49","-2.5","1e-04","-4","0.2","0.2","NaN","-1.36360564423856","-0.000390325593294478","-4.51212044932998","0.422101651619056","0.280823748078882","0","2853.88945369103","-1411.31978873986","47"
"50","-1","-5e-04","-3","0.2","0.2","NaN","-1.36395641508145","-0.000390069336114402","-4.51186841170166","0.42203974023208","0.28081483122506","0","2853.88941199925","-1411.31976789397","55"
"51","-1","1e-04","-5","0.2","0.2","NaN","-1.36363469010952","-0.000390419017551323","-4.51146024924947","0.422089789271037","0.280809970639492","0","2853.88941720486","-1411.31977049678","25"
"52","-2","-5e-05","-2","0.2","0.2","NaN","-1.36359725514688","-0.000390107628346934","-4.51116995435941","0.421982914631586","0.280791369610663","0","2853.88957598767","-1411.31984988819","93"
"53","-2","-2e-04","-5","0.2","0.2","NaN","-1.36398450919497","-0.000390368141462375","-4.51259086683505","0.422005936903778","0.28066800768645","0","2853.88982331116","-1411.31997354993","13"
"54","-2.5","-5e-04","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","2"
"55","-2","-5e-04","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","3"
"56","-3","-2e-04","-5","0.2","0.2","NaN","-1.36351324703425","-0.000390216363082932","-4.51040673971798","0.4220942226959","0.280785358464833","0","2853.88955996085","-1411.31984187478","11"
"57","-1.5","-2e-04","-5","0.2","0.2","NaN","-1.36422256171871","-0.000389949590649839","-4.51232875199758","0.421994541010569","0.280764066125024","0","2853.88954237966","-1411.31983308418","14"
"58","-1.5","1e-04","-2","0.2","0.2","NaN","-1.36394509402512","-0.000390156724358253","-4.51209809526049","0.422073097474035","0.28076818692635","0","2853.88944019323","-1411.31978199096","99"
"59","-1","-5e-05","-3","0.2","0.2","NaN","-1.36201312506938","-0.000391560633099907","-4.51200401117058","0.421801132496022","0.281059749089977","0","2853.89249090841","-1411.32130734856","70"
"60","-2.5","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","82"
"61","-2.5","-0.00035","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","57"
"62","-2","-2e-04","-2","0.2","0.2","NaN","-1.36373347373423","-0.000390611626662548","-4.51130113807584","0.422183701047215","0.280826291804249","0","2853.88956250638","-1411.31984314754","88"
"63","-2.5","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","27"
"64","-2","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","28"
"65","-2.5","1e-04","-1","0.2","0.2","NaN","-1.36414511316336","-0.00039000893404605","-4.51226112285723","0.422142693827206","0.280772619089382","0","2853.88948866872","-1411.31980622871","122"
"66","-1","-5e-04","-4","0.2","0.2","NaN","-1.36392583893416","-0.000390391091723642","-4.51219880568337","0.422046218155799","0.280838841389212","0","2853.88944872329","-1411.31978625599","30"
"67","-2.5","1e-04","-2","0.2","0.2","NaN","-1.36393245716154","-0.00039024711604347","-4.51220515304638","0.422109864630537","0.280862899702528","0","2853.88942522442","-1411.31977450656","97"
"68","-1.5","-5e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","79"
"69","-2.5","-2e-04","-3","0.2","0.2","NaN","-1.36346722294832","-0.000390727140061098","-4.51152249732344","0.422122439351107","0.280879383493543","0","2853.88954307671","-1411.31983343271","62"
"70","-1.5","-5e-04","-3","0.2","0.2","NaN","-1.36399843438642","-0.00039010661602901","-4.5113453900007","0.42220306365731","0.280853295198948","0","2853.88952938911","-1411.31982658891","54"
"71","-2","-2e-04","-3","0.2","0.2","NaN","-1.36374418511665","-0.000390363867362531","-4.5112545213988","0.42208915700965","0.280808841194533","0","2853.88941824352","-1411.31977101611","63"
"72","-2.5","1e-04","-3","0.2","0.2","NaN","-1.36306810717122","-0.000390848668585221","-4.50781445629182","0.421862471692256","0.280734321431458","0","2853.89053001742","-1411.32032690306","72"
"73","-2","-5e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","78"
"74","-2","-0.00035","-5","0.2","0.2","NaN","-1.36380923421381","-0.000390255475926975","-4.51239092771052","0.422115232297685","0.280817532027977","0","2853.88942091513","-1411.31977235192","8"
"75","-2.5","-2e-04","-4","0.2","0.2","NaN","-1.36359558612602","-0.000390563113520006","-4.5119876721084","0.422095728388601","0.280838983405233","0","2853.88945177433","-1411.31978778151","37"
"76","-1.5","-2e-04","-2","0.2","0.2","NaN","-1.36361256189427","-0.000390359711275367","-4.51159405210199","0.422093229960105","0.280835868929446","0","2853.88942072694","-1411.31977225782","89"
"77","-2","1e-04","-2","0.2","0.2","NaN","-1.36426884443751","-0.00039028900304103","-4.51111356817337","0.421978572713368","0.280873875707413","0","2853.88984579932","-1411.31998479401","98"
"78","-2","1e-04","-1","0.2","0.2","NaN","-1.36229708216571","-0.000391507434694405","-4.51132047314279","0.421908446902447","0.280673850637072","0","2853.89106736061","-1411.32059557466","123"
"79","-2.5","-5e-04","-1","0.2","0.2","NaN","-5.91248639908006","0.000609446586488475","-3.308596131936","0.620976232330111","0.280790548150955","0","3253.1024718996","-1610.92629784415","102"
"80","-1","-0.00035","-2","0.2","0.2","NaN","-1.36328902512887","-0.000390364145842243","-4.51374963583366","0.422105665870065","0.28098411399426","0","2853.8904277328","-1411.32027576075","85"
"81","-1","1e-04","-3","0.2","0.2","NaN","-1.36375327546281","-0.000390333870975881","-4.51191445978192","0.422036882430512","0.280819023862589","0","2853.88940991164","-1411.31976685017","75"
"82","-3","1e-04","-5","0.2","0.2","NaN","-1.36414723231472","-0.00038968506200934","-4.51315145137824","0.422050443973359","0.280927059039994","0","2853.88971844718","-1411.31992111794","21"
"83","-3","-5e-05","-5","0.2","0.2","NaN","-1.36323481339386","-0.000389895123881771","-4.50843465043323","0.421723301780725","0.280862534738265","0","2853.8911092178","-1411.32061650325","16"
"84","-2.5","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","107"
"85","-1","-2e-04","-2","0.2","0.2","NaN","-1.36381662778071","-0.000390205100697161","-4.51181360678883","0.4220132840558","0.280870590748529","0","2853.88944493283","-1411.31978436077","90"
"86","-2","-2e-04","-1","0.2","0.2","NaN","-1.36593970297833","-0.00038702373712148","-4.51169339936432","0.422011025398209","0.28094783682354","0","2853.89402745072","-1411.32207561971","113"
"87","-2","-5e-05","-5","0.2","0.2","NaN","-1.36376830454442","-0.000390355663960053","-4.51188876417806","0.422063629662784","0.28086427902205","0","2853.88941991281","-1411.31977185076","18"
"88","-3","1e-04","-1","0.2","0.2","NaN","-1.36392847585838","-0.000390296773932168","-4.51243924792132","0.421870507718836","0.280913407743253","0","2853.889771175","-1411.31994748185","121"
"89","-1","-0.00035","-4","0.2","0.2","NaN","-1.3650783936565","-0.000388855097051152","-4.50983781395032","0.422047466309387","0.280860400453045","0","2853.89093820763","-1411.32053099816","35"
"90","-3","-5e-05","-1","0.2","0.2","NaN","-1.36419656680049","-0.000390056256395672","-4.51109649643284","0.422110410981794","0.280777948492976","0","2853.88959129168","-1411.31985754019","116"
"91","-1","-2e-04","-1","0.2","0.2","NaN","-1.09295236624427","-0.000692334264652726","-1.29639189124424","0.661338641880022","0.29692333303103","0","3234.10483451252","-1601.42747915061","115"
"92","-1.5","-5e-05","-5","0.2","0.2","NaN","-1.36398033829006","-0.00039005358878722","-4.51164097968066","0.422097163030109","0.280823585600535","0","2853.88941199185","-1411.31976789028","19"
"93","-1.5","-5e-05","-4","0.2","0.2","NaN","-1.363830596702","-0.000390154836534879","-4.51145575375294","0.422036066904605","0.28083041001233","0","2853.88941484628","-1411.31976931749","44"
"94","-1","-2e-04","-3","0.2","0.2","NaN","-1.36403651189541","-0.000390063517394796","-4.5123596592301","0.422038106856736","0.280818503700555","0","2853.88941960781","-1411.31977169825","65"
"95","-3","-2e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","86"
"96","-3","-5e-04","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","1"
"97","-1","-0.00035","-1","0.2","0.2","NaN","-0.94531980105843","-0.000803308426958449","-1.41554971071579","0.657686355398894","0.290757133375185","0","3227.95650320415","-1598.35331349643","110"
"98","-1","1e-04","-1","0.2","0.2","NaN","-1.01695939360561","-0.00074789884833724","-1.46904763260574","0.629344803031131","0.280620595677448","0","3210.30742755434","-1589.52877567152","125"
