"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.5","-2","-10","0.2","0.2","NaN","-1.64644026823402","-4.577761321404","-17.6103078565724","0.446024484587555","0.280905387293555","0","2911.24080067466","-1439.99546223168","19"
"2","-2","-2","-6.25","0.2","0.2","NaN","-1.35199443283419","-4.71762006532036","-5.95918026376933","0.426143634747645","0.28086785855135","0","2863.47554269115","-1416.11283323993","93"
"3","-3","-3","-10","0.2","0.2","NaN","-1.35107309413373","-4.71552733808606","-5.956931619441","0.426004950547631","0.280779820947118","0","2863.47528658757","-1416.11270518814","11"
"4","-2","-3","-6.25","0.2","0.2","NaN","-1.35104025056266","-4.71696947298531","-5.95625213149535","0.426036131557638","0.280820725278062","0","2863.47531116429","-1416.1127174765","88"
"5","-3","-2","-8.75","0.2","0.2","NaN","-1.35105794587952","-4.71653756616404","-5.95668817447678","0.426070573010422","0.280753236870897","0","2863.47534950996","-1416.11273664933","41"
"6","-3","-1","-5","0.2","0.2","NaN","-1.35135075267268","-4.71620481163003","-5.95846375635379","0.426062782203597","0.280797800275073","0","2863.47529094338","-1416.11270736604","121"
"7","-2","-2","-7.5","0.2","0.2","NaN","-1.35199443283419","-4.71762006532036","-5.95918026376933","0.426143634747645","0.28086785855135","0","2863.47554269115","-1416.11283323993","68"
"8","-1","-2","-5","0.2","0.2","NaN","-1.64529925964769","-4.57364425760161","-12.8735902811064","0.445921897028026","0.280890441697773","0","2911.09261838904","-1439.92137108887","120"
"9","-2","-3","-10","0.2","0.2","NaN","-1.35104025056266","-4.71696947298531","-5.95625213149535","0.426036131557638","0.280820725278062","0","2863.47531116429","-1416.1127174765","13"
"10","-2.5","-3","-8.75","0.2","0.2","NaN","-1.35150118736005","-4.71011883392783","-5.95660306588366","0.425542732671053","0.280987049343788","0","2863.47949251452","-1416.11480815161","37"
"11","-2.5","-1","-10","0.2","0.2","NaN","-1.3511092410071","-4.71643810054743","-5.95643303282807","0.426018875416516","0.280858632259531","0","2863.47528534565","-1416.11270456718","22"
"12","-1","-2","-6.25","0.2","0.2","NaN","-1.64529925964769","-4.57364425760161","-12.8735902811064","0.445921897028026","0.280890441697773","0","2911.09261838904","-1439.92137108887","95"
"13","-3","-3","-7.5","0.2","0.2","NaN","-1.35107309413373","-4.71552733808606","-5.956931619441","0.426004950547631","0.280779820947118","0","2863.47528658757","-1416.11270518814","61"
"14","-1.5","-5","-10","0.2","0.2","NaN","-1.35159765908669","-4.71499207803789","-5.95902057300027","0.425992535635851","0.280830508987723","0","2863.47533874008","-1416.11273126439","4"
"15","-2.5","-4","-10","0.2","0.2","NaN","-1.35131066440352","-4.71700593385831","-5.95769710062668","0.426023791236964","0.280788566729171","0","2863.47530105082","-1416.11271241976","7"
"16","-1","-4","-5","0.2","0.2","NaN","-1.35134964891464","-4.71643128438348","-5.95749900176541","0.426048434150314","0.280824439495856","0","2863.4752458153","-1416.112684802","110"
"17","-2.5","-2","-5","0.2","0.2","NaN","-1.35200194079999","-4.71650041076165","-5.95890123937276","0.426039409401033","0.280822107907095","0","2863.47537626154","-1416.11275002512","117"
"18","-2.5","-5","-8.75","0.2","0.2","NaN","-1.646257606831","-4.60436482995015","-10.8106099694476","0.445291684220583","0.280861306548352","0","2910.09507940912","-1439.42260159891","27"
"19","-3","-5","-8.75","0.2","0.2","NaN","-1.3515567884804","-4.71657596337505","-5.95701348144672","0.426046018369744","0.280857662495719","0","2863.47532231954","-1416.11272305412","26"
"20","-2","-3","-5","0.2","0.2","NaN","-1.35104025056266","-4.71696947298531","-5.95625213149535","0.426036131557638","0.280820725278062","0","2863.47531116429","-1416.1127174765","113"
"21","-3","-2","-7.5","0.2","0.2","NaN","-1.35105794587952","-4.71653756616404","-5.95668817447678","0.426070573010422","0.280753236870897","0","2863.47534950996","-1416.11273664933","66"
"22","-1.5","-1","-7.5","0.2","0.2","NaN","-1.35130818678796","-4.71479382196831","-5.95774656859095","0.425989338944356","0.280833912443539","0","2863.47532881974","-1416.11272630422","74"
"23","-1","-2","-8.75","0.2","0.2","NaN","-1.64529925964769","-4.57364425760161","-12.8735902811064","0.445921897028026","0.280890441697773","0","2911.09261838904","-1439.92137108887","45"
"24","-3","-5","-5","0.2","0.2","NaN","-1.3515567884804","-4.71657596337505","-5.95701348144672","0.426046018369744","0.280857662495719","0","2863.47532231954","-1416.11272305412","101"
"25","-1.5","-4","-8.75","0.2","0.2","NaN","-1.35041551479352","-4.7170641727917","-5.95558455617956","0.426170308392876","0.280876823933131","0","2863.47583592553","-1416.11297985712","34"
"26","-1.5","-5","-5","0.2","0.2","NaN","-1.35130181290309","-4.716365682458","-5.95766463406746","0.425989309668265","0.280795144720522","0","2863.47525367358","-1416.11268873114","104"
"27","-1","-4","-7.5","0.2","0.2","NaN","-1.35137624846086","-4.71550012152042","-5.95833907673313","0.426064020401937","0.280841181386262","0","2863.4752814202","-1416.11270260445","60"
"28","-1.5","-2","-7.5","0.2","0.2","NaN","-1.36646337834314","-4.7267822108385","-5.99297221337171","0.42209994834543","0.282275460083231","0","2863.65974449714","-1416.20493414292","69"
"29","-1","-5","-6.25","0.2","0.2","NaN","-1.35136239712699","-4.71716093425495","-5.95691115484872","0.425992991108378","0.280794215223267","0","2863.47529259048","-1416.11270818959","80"
"30","-2","-5","-8.75","0.2","0.2","NaN","-1.35093752414766","-4.71554875058453","-5.95656553698416","0.425976710629104","0.28088288004553","0","2863.47534982883","-1416.11273680877","28"
"31","-2","-5","-5","0.2","0.2","NaN","-1.35093752414766","-4.71554875058453","-5.95656553698416","0.425976710629104","0.28088288004553","0","2863.47534982883","-1416.11273680877","103"
"32","-1.5","-3","-10","0.2","0.2","NaN","-1.35150927818144","-4.71637588126553","-5.95854099561538","0.426009954481527","0.28079544688774","0","2863.47526749549","-1416.1126956421","14"
"33","-3","-4","-8.75","0.2","0.2","NaN","-1.35124161709478","-4.71686073428867","-5.95729900787255","0.426128531145519","0.280781567499041","0","2863.4753646473","-1416.112744218","31"
"34","-2","-5","-10","0.2","0.2","NaN","-1.35093752414766","-4.71554875058453","-5.95656553698416","0.425976710629104","0.28088288004553","0","2863.47534982883","-1416.11273680877","3"
"35","-2.5","-5","-10","0.2","0.2","NaN","-1.35116705910476","-4.71923238603792","-5.95447987862706","0.426279902936006","0.280781759171104","0","2863.47617354305","-1416.11314866587","2"
"36","-1.5","-1","-10","0.2","0.2","NaN","-1.35109593905531","-4.71664508470771","-5.95722281281279","0.426017573797164","0.28083204904365","0","2863.47529117908","-1416.11270748389","24"
"37","-1.5","-1","-8.75","0.2","0.2","NaN","-1.35109593905531","-4.71664508470771","-5.95722281281279","0.426017573797164","0.28083204904365","0","2863.47529117908","-1416.11270748389","49"
