"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-0.00035","-3","0.2","0.2","NaN","-1.68150164143918","-26.1500309538035","0.000110100084934212","0.452419947668584","0.280767510511446","0","2925.58412825764","-1447.16712602317","58"
"2","-2.5","-2e-04","-5","0.2","0.2","NaN","-1.59750651600937","-3.57478071807337","-2.09031467380287e-05","0.645486069822574","0.27023064491987","0","3044.87801907703","-1506.81407143287","12"
"3","-3","-5e-04","-3","0.2","0.2","NaN","-3.03758621092538","-3.06676373851017","-0.148868355777045","0.679923532556622","0.281178760240449","0","3347.98844126936","-1658.36928252903","51"
"4","-1.5","-5e-05","-3","0.2","0.2","NaN","-1.49999220457865","-2.99999520346083","-5.02390680033109e-05","0.488835605958354","0.280678253690453","0","3005.51322275978","-1487.13167327424","69"
"5","-2","-0.00035","-1","0.2","0.2","NaN","-3.89561164533433","2.11752195386501","-1.43585425865599","0.690504526062669","0.280636939794997","0","3363.37819771275","-1666.06416075073","108"
"6","-2.5","-5e-05","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","117"
"7","-2","-2e-04","-2","0.2","0.2","NaN","-1.60998012161226","-5.09872075838843","5.34375079369091e-05","0.441274601027421","0.280819666250151","0","2899.98044183984","-1434.36528281427","88"
"8","-2.5","-5e-04","-1","0.2","0.2","NaN","-2.48601479733973","-0.829853681828556","-0.495709759287097","0.681898658869212","0.279437987422509","0","3350.38888031307","-1659.56950205089","102"
"9","-1.5","1e-04","-3","0.2","0.2","NaN","-1.42146265474764","-3.05641045032627","-3.18376034493562e-05","0.487760884238862","0.28069181685382","0","3003.18520554278","-1485.96766466574","74"
"10","-3","-2e-04","-2","0.2","0.2","NaN","-3.01418059120197","-2.07684992464828","-0.226979048927796","0.679893982418137","0.280648444212131","0","3346.19831338019","-1657.47421858444","86"
"11","-1.5","-2e-04","-2","0.2","0.2","NaN","-1.61006245922917","-5.09807052646845","5.33586231978234e-05","0.441242793196633","0.280745171592529","0","2899.98049700529","-1434.365310397","89"
"12","-2","1e-04","-3","0.2","0.2","NaN","-1.61005492780734","-5.09651101344702","5.32751666947634e-05","0.441377004744575","0.280797843792923","0","2899.98046941911","-1434.3652966039","73"
"13","-2","-5e-04","-5","0.2","0.2","NaN","-1.59579310524207","-4.56814103721085","3.2829210989876e-05","0.443740427923558","0.279235419642204","0","2904.42042804652","-1436.58527591761","3"
"14","-2.5","-0.00035","-4","0.2","0.2","NaN","-1.47373891791831","-3.98112253197623","2.43919666960583e-05","0.487986288378058","0.262590571194061","0","2938.00129187419","-1453.37570783144","32"
"15","-3","-0.00035","-1","0.2","0.2","NaN","-3.09688850181324","-1.07333866187828","-0.0306664535769106","0.661027852932405","0.281007748414656","0","3314.81744669067","-1641.78378523969","106"
"16","-2.5","-5e-04","-4","0.2","0.2","NaN","-2.44811665941357","-4.01906322971377","-4.47527545085135e-05","0.502287739280994","0.276579816371981","0","3091.16216441568","-1529.95614410219","27"
"17","-2","1e-04","-4","0.2","0.2","NaN","-1.6100384624708","-5.09791323407073","5.34007725337866e-05","0.441313320812399","0.280836572816712","0","2899.98043932497","-1434.36528155684","48"
"18","-2.5","-5e-05","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","17"
"19","-1","-0.00035","-5","0.2","0.2","NaN","-1.62935773254403","-5.56017440305247","6.79036894021173e-05","0.453992451815884","0.266256839547382","0","2905.80399293607","-1437.27705836239","10"
"20","-3","-2e-04","-5","0.2","0.2","NaN","-1.62986112503627","-5.51004681315093","6.5713547738906e-05","0.440346613896436","0.280749104168358","0","2901.69542464189","-1435.2227742153","11"
