"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.5","-2","1e-04","-5","0.2","0.2","NaN","-1.30274480231236","-3.01140747727504","-1.46677509846864e-05","-9.92683784035309","0.522371279719428","0.313547418230342","0","3039.72478642682","-1501.11246748663","617"
"2","-2","-5","-5e-05","-6.25","0.2","0.2","NaN","-1.57326062819696","-4.56024533357234","3.41838954178144e-05","-10.0816878680548","0.443914256928796","0.28148431371571","0","2909.01131424371","-1435.75573139508","453"
"3","-3","-5","-0.00035","-5","0.2","0.2","NaN","-1.77488244813379","-4.34360560227288","1.26001897161903e-07","-9.43106635238821","0.416558034520728","0.367947150852684","0","3001.35607058745","-1481.92810956695","526"
"4","-2","-1","-5e-05","-10","0.2","0.2","NaN","-2.52149868291007","-0.990765649823777","-0.00206817154136982","-9.50899137830425","0.678541352246405","0.285817533119808","0","3269.9881332113","-1616.24414087887","98"
"5","-3","-1","-5e-04","-8.75","0.2","0.2","NaN","-2.80806298275533","-0.950708256041307","-0.552163375814464","-9.93931545008016","0.67885871847264","0.281424992204009","0","3356.32018242597","-1659.41016548621","146"
"6","-2.5","-1","-5e-04","-6.25","0.2","0.2","NaN","-2.02865411128727","0.556226086230997","-1.76856185476255","-10.0950774370645","0.67763763022105","0.280662384800643","0","3349.78359390036","-1656.1418712234","397"
"7","-1","-1","-5e-05","-5","0.2","0.2","NaN","-1.4382645247719","-1.36258674423335","-0.0011947058176708","-9.19465977676828","0.586267641299114","0.276127535497973","0","3204.93881957201","-1583.71948405923","600"
"8","-1.5","-5","-5e-04","-7.5","0.2","0.2","NaN","-1.62419192145517","-4.51319712557488","2.45964573660653e-05","-10.289141174318","0.443416553811574","0.322100257406488","0","2928.91856175211","-1445.70935514928","254"
"9","-2","-5","-2e-04","-10","0.2","0.2","NaN","-1.54130311375074","-4.27633220942943","2.4565053933385e-05","-9.67174911193775","0.452693945634686","0.284054664022739","0","2915.96218294993","-1439.23116574819","53"
"10","-3","-5","1e-04","-5","0.2","0.2","NaN","-1.59521727823788","-5.17953774301815","5.38709837167137e-05","-8.97709490178223","0.438905887279953","0.279815252674487","0","2901.91358417514","-1432.20686636079","601"
"11","-1","-4","1e-04","-7.5","0.2","0.2","NaN","-1.44308225613067","-5.00550621264897","2.43163866754302e-05","-6.25446558072642","0.42760135908473","0.278813448482056","0","2874.36650638458","-1418.43332746551","360"
"12","-2","-4","-5e-04","-6.25","0.2","0.2","NaN","-1.47191063625285","-3.74703231083361","8.79215827248294e-06","-10.3256091936571","0.472263437750032","0.288782139163672","0","2946.90116503632","-1454.70065679138","383"
"13","-3","-2","-2e-04","-5","0.2","0.2","NaN","-1.5966342286263","-5.2257567528084","5.19109458354805e-05","-8.45024661953894","0.437757572854226","0.280589041183868","0","2899.41892741419","-1430.95953798031","566"
"14","-1.5","-4","-5e-05","-7.5","0.2","0.2","NaN","-1.60948446673985","-5.09158716483867","5.32134892282253e-05","-13.2722224400904","0.441355514896394","0.280827681114866","0","2906.16500080435","-1434.3325746754","334"
"15","-3","-4","-0.00035","-10","0.2","0.2","NaN","-1.60670350613555","-5.16946811868131","5.3616214896377e-05","-9.5444673371647","0.439683974477999","0.281100946096993","0","2903.71566570042","-1433.10790712343","31"
"16","-1.5","-1","-5e-05","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","599"
"17","-2","-4","-5e-05","-8.75","0.2","0.2","NaN","-1.55824961695038","-4.40597047835267","2.64910657526881e-05","-9.20932764574349","0.442266520531392","0.282571494878086","0","2909.97455959682","-1436.23735407163","208"
"18","-2.5","-5","-5e-04","-5","0.2","0.2","NaN","-1.56563030608157","-4.08106585577444","1.38182503428423e-05","-13.3234253768646","0.454991620730267","0.280402559566625","0","2925.78828591886","-1444.14421723265","502"
"19","-2.5","-1","-0.00035","-5","0.2","0.2","NaN","-2.12598371713593","0.745706938710289","-2.13633395192419","-9.24726135569908","0.67743120280519","0.280817703407408","0","3349.66522126645","-1656.08268490645","547"
"20","-2","-1","-5e-05","-8.75","0.2","0.2","NaN","-2.52149868291007","-0.990765649823777","-0.00206817154136982","-9.50899137830425","0.678541352246405","0.285817533119808","0","3269.9881332113","-1616.24414087887","223"
"21","-1.5","-1","-5e-05","-6.25","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","474"
"22","-1","-1","1e-04","-6.25","0.2","0.2","NaN","-1.51557639597466","-5.03954627930173","3.75320753796535e-05","-7.08317071851615","0.429583539941772","0.28251994592828","0","2884.56044943174","-1423.53029898909","500"
"23","-2.5","-3","1e-04","-8.75","0.2","0.2","NaN","-1.50710062438523","-3.80813561915975","4.1887978170918e-06","-9.46643962492516","0.454150376652606","0.278840985122434","0","2937.37612175376","-1449.9381351501","237"
"24","-3","-3","-2e-04","-10","0.2","0.2","NaN","-1.9141112912523","-4.03742751043195","-2.06626165126716e-05","-9.80761263523467","0.483868825335158","0.365693662185567","0","3031.90113497126","-1497.20064175885","61"
"25","-1.5","-1","-5e-04","-7.5","0.2","0.2","NaN","-1.60161197972566","-1.0281050491783","-0.00171744809646119","-9.75347584819015","0.59208341665058","0.273704576405399","0","3219.02019137302","-1590.76016995973","274"
"26","-2.5","-5","-0.00035","-10","0.2","0.2","NaN","-1.55987962207948","-3.59168711248952","-1.69277884718487e-05","-9.21621155258385","0.474285231634423","0.277935329767879","0","2952.24823982277","-1457.37419418461","27"
"27","-3","-1","1e-04","-10","0.2","0.2","NaN","-2.63386098141812","-0.952656838917913","-0.524896363022441","-9.84615130022118","0.681683583274557","0.280626793022794","0","3356.31943297303","-1659.40979075974","121"
"28","-2","-3","-2e-04","-5","0.2","0.2","NaN","-3.6987959187822","0.906358688545524","-9.80638143328649","-3.83211050812429","0.693290696849682","0.280685915560326","0","3373.74339412569","-1668.12177133607","563"
"29","-3","-5","-5e-04","-8.75","0.2","0.2","NaN","-1.63525687196077","-5.91832604268714","7.63653556567393e-05","-9.91311303143132","0.443603824985788","0.282005767685157","0","2910.18307727677","-1436.34161291161","126"
"30","-1","-3","-0.00035","-8.75","0.2","0.2","NaN","-1.79329265718029","-1.97672630586742","-0.000260051938330179","-9.82153088498109","0.560759702410752","0.290786402625052","0","3141.4639466143","-1551.98204758037","165"
"31","-2","-3","-2e-04","-6.25","0.2","0.2","NaN","-3.6987959187822","0.906358688545524","-9.80638143328649","-3.83211050812429","0.693290696849682","0.280685915560326","0","3373.74339412569","-1668.12177133607","438"
"32","-2.5","-1","-5e-05","-6.25","0.2","0.2","NaN","-2.13692337712849","0.753918615478894","-2.15439062487668","-9.9293185045176","0.677668435611867","0.280560289627837","0","3349.66516176097","-1656.0826551537","472"
"33","-1","-5","1e-04","-7.5","0.2","0.2","NaN","-1.60247414229905","-4.68673063613489","3.22376259565673e-05","-9.13481973645954","0.441579867313514","0.279178293480425","0","2904.66459293044","-1433.58237073844","355"
"34","-3","-3","-0.00035","-10","0.2","0.2","NaN","-1.62878061646813","-5.60700907461723","5.86533900824235e-05","-8.18347618700385","0.433797507344903","0.277057022948346","0","2901.78082133192","-1432.14048493918","36"
"35","-1.5","-3","-0.00035","-6.25","0.2","0.2","NaN","-1.42798094232285","-3.3467065557462","-1.5149106493035e-05","-9.24171812936143","0.471766695075114","0.287814291279462","0","2975.91563044169","-1469.20788949406","414"
"36","-2","-5","-5e-04","-7.5","0.2","0.2","NaN","-1.57024897703687","-4.63926088614408","3.86550394891134e-05","-10.2430234505543","0.445278652441659","0.282808366551388","0","2908.14004568757","-1435.320097117","253"
