"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-7.5","0.2","0.2","NaN","-1.30351011643559","-4.5100843579078","-5.72665403075496","0.424773716141092","0.280832694624544","0","2860.63140695766","-1414.69076537318","65"
"2","-2","-2","-7.5","0.2","0.2","NaN","-1.30314119416471","-4.51229095930688","-5.72464002288438","0.424723008058855","0.280800588509899","0","2860.63150196011","-1414.6908128744","68"
"3","-2","-2","-8.75","0.2","0.2","NaN","-1.30314119416471","-4.51229095930688","-5.72464002288438","0.424723008058855","0.280800588509899","0","2860.63150196011","-1414.6908128744","43"
"4","-1","-5","-5","0.2","0.2","NaN","-1.30340480541611","-4.51124292394851","-5.72757239158095","0.424877853165367","0.280773919415844","0","2860.6314120722","-1414.69076793045","105"
"5","-2.5","-1","-5","0.2","0.2","NaN","-1.30350915912336","-4.51087477360357","-5.728800472507","0.424788110496333","0.280877287145114","0","2860.63149015811","-1414.69080697341","122"
"6","-1.5","-2","-8.75","0.2","0.2","NaN","-1.64644026823402","-4.577761321404","-17.6103078565724","0.446024484587555","0.280905387293555","0","2911.24092804812","-1439.99552591841","44"
"7","-1","-5","-7.5","0.2","0.2","NaN","-1.30340480541611","-4.51124292394851","-5.72757239158095","0.424877853165367","0.280773919415844","0","2860.6314120722","-1414.69076793045","55"
"8","-3","-4","-6.25","0.2","0.2","NaN","-1.30370777632","-4.51185484259042","-5.72713264625355","0.42488329141028","0.280790110112023","0","2860.63137463519","-1414.69074921195","81"
"9","-2","-1","-10","0.2","0.2","NaN","-1.3041413365162","-4.51224489178077","-5.72966832227433","0.424845263715423","0.280796640725433","0","2860.63153112287","-1414.69082745578","23"
"10","-2","-4","-5","0.2","0.2","NaN","-1.30338204807933","-4.51076341408393","-5.72664184172835","0.42482651503214","0.280851787850812","0","2860.63130789501","-1414.69071584186","108"
"11","-2","-5","-7.5","0.2","0.2","NaN","-1.30347455442318","-4.51093816871033","-5.72700951698776","0.424798879915591","0.280864093091394","0","2860.63131664483","-1414.69072021677","53"
"12","-2.5","-4","-10","0.2","0.2","NaN","-1.30453059627846","-4.51021565599827","-5.72948790139204","0.424714530601251","0.280813574100742","0","2860.63192883538","-1414.69102631204","7"
"13","-2.5","-1","-8.75","0.2","0.2","NaN","-1.30350915912336","-4.51087477360357","-5.728800472507","0.424788110496333","0.280877287145114","0","2860.63149015811","-1414.69080697341","47"
