"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.11111111111111","-1.44444444444444","0.2","0.2","NaN","-1.64611943082705","-4.57761237299157","0.446106241562376","0.280872576114395","0","2904.99217437615","-1439.99613670355","85"
"2","-3","-1.88888888888889","0.2","0.2","NaN","-1.64652355588861","-4.57809069234713","0.446063226865038","0.280915365106674","0","2904.9921712683","-1439.99613514963","71"
"3","-2.33333333333333","-3.22222222222222","0.2","0.2","NaN","-1.64659000933301","-4.57766545414215","0.446018011062365","0.280894756615544","0","2904.9921645455","-1439.99613178823","44"
"4","-1","-5","0.2","0.2","NaN","-1.64630414287416","-4.57684609732352","0.446103433827036","0.280857735255679","0","2904.9921574621","-1439.99612824653","10"
"5","-1.22222222222222","-3.22222222222222","0.2","0.2","NaN","-1.6462910489046","-4.57724455165892","0.446075267462401","0.280895339851584","0","2904.99213596874","-1439.99611749985","49"
"6","-2.33333333333333","-1.88888888888889","0.2","0.2","NaN","-1.6464233089849","-4.57612879096185","0.445961892547384","0.280815808635028","0","2904.9922879637","-1439.99619349733","74"
"7","-2.77777777777778","-3.66666666666667","0.2","0.2","NaN","-1.64656158670926","-4.57759237629097","0.4460886391165","0.280941218836596","0","2904.99223004171","-1439.99616453634","32"
"8","-2.11111111111111","-4.55555555555556","0.2","0.2","NaN","-1.64637393170541","-4.57810458699387","0.446018440416734","0.280860703944798","0","2904.99213508711","-1439.99611705904","15"
"9","-2.33333333333333","-1","0.2","0.2","NaN","-1.64640364242493","-4.5781689417921","0.446060558920024","0.280829925520322","0","2904.9921586089","-1439.99612881993","94"
"10","-2.11111111111111","-2.77777777777778","0.2","0.2","NaN","-1.646263743756","-4.57813229799649","0.446045946519723","0.280848727495238","0","2904.99215209171","-1439.99612556134","55"
"11","-1.66666666666667","-1.88888888888889","0.2","0.2","NaN","-1.64668365978192","-4.57757674817315","0.446044903628173","0.280842236080742","0","2904.99220096556","-1439.99614999826","77"
"12","-2.77777777777778","-4.55555555555556","0.2","0.2","NaN","-1.64644937279878","-4.57708027046935","0.446022860460417","0.280868787813908","0","2904.99214209447","-1439.99612056272","12"
"13","-2.11111111111111","-1.88888888888889","0.2","0.2","NaN","-1.64642315403979","-4.57769833258623","0.445998943350659","0.280836869966524","0","2904.9921439254","-1439.99612147818","75"
"14","-1","-1","0.2","0.2","NaN","-1.64622577776713","-4.57625809320113","0.446032654715656","0.280945839407873","0","2904.9922449401","-1439.99617198553","100"
"15","-3","-5","0.2","0.2","NaN","-1.64659607598998","-4.57794438185258","0.446004783667156","0.280932946278713","0","2904.99221067306","-1439.99615485201","1"
"16","-1.66666666666667","-2.77777777777778","0.2","0.2","NaN","-1.64627198650555","-4.57737202069913","0.446055507164628","0.280856508118971","0","2904.99212306781","-1439.99611104938","57"
