"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-04","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","853"
"2","-1","-5e-04","1e-04","-2","-1.125","0.2","0.2","NaN","-1.43287305839578","-0.00047502965355011","-2.76796594298249","-0.00027869306738834","-1.35304961000704","0.495320583169032","0.272838478955401","0","2975.67431454541","-1465.9622439248","2355"
"3","-2.5","-5e-04","1e-04","-4","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2102"
"4","-2.5","-5e-05","-5e-05","-2","-1.125","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2342"
"5","-1","-5e-04","-5e-04","-3","-1.125","0.2","0.2","NaN","-1.09465381080166","-0.000663822715434906","-3.04894792127669","-0.000184487084074504","-0.261105406023109","0.42736302807957","0.281779969266931","0","2869.35407592336","-1412.80212461377","2130"
"6","-3","1e-04","-2e-04","-2","-2.375","0.2","0.2","NaN","-2.98648283939744","-0.000159033521830114","-2.02931965511748","-0.230664902501486","-2.52560073452612","0.66866725026446","0.281506001731135","0","3353.30201610052","-1654.77609470235","1071"
"7","-3","-5e-04","-0.00035","-5","-0.5","0.2","0.2","NaN","-1.76968992605702","0.000106702183052491","-6.76421494758161","8.90828539607497e-05","0.0494124510972065","0.383632489304437","0.258055958800991","0","2945.07899056591","-1450.66458193505","2526"
"8","-3","-5e-04","-2e-04","-4","-1.75","0.2","0.2","NaN","-1.30495645489287","-0.00040379620311002","-4.53099715568604","1.85702291345727e-06","-1.42644424514558","0.410693241242912","0.280976800952807","0","2840.00903535902","-1398.1296043316","1426"
"9","-2","1e-04","1e-04","-2","-1.75","0.2","0.2","NaN","-1.13464857116222","-0.00072049754084724","-1.86068023886819","-0.000715689536609588","-2.44533191954799","0.55248346156726","0.275371384683634","0","3067.79749201495","-1512.02383265957","1748"
"10","-3","-5e-04","-0.00035","-3","-3","0.2","0.2","NaN","-2.94324060031724","-0.00191013714292159","-3.03387390549226","-0.326408185178926","-2.93411713805488","0.724516442216809","0.288459590673419","0","3335.18591202455","-1645.71804266436","276"
"11","-1","-5e-04","-2e-04","-4","-3","0.2","0.2","NaN","-1.0890783869855","-0.000647409352310847","-3.4470143397393","-0.000109060096755621","-3.40744551680507","0.675004084250082","0.264290440533998","0","3052.01979252309","-1504.13498291364","180"
"12","-2","1e-04","-5e-05","-5","-2.375","0.2","0.2","NaN","-2.13184378612343","0.000124925812205842","-4.97730535263975","2.07989633352742e-05","-2.05005679967264","0.663411428724187","0.286705950712976","0","3086.11073178919","-1521.18045254669","723"
"13","-1.5","-2e-04","-2e-04","-5","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1314"
"14","-3","-5e-05","-5e-05","-1","-0.5","0.2","0.2","NaN","-2.92732227801196","-0.000123427423995788","-0.991953493765527","-0.247055963340769","-0.578922808158979","0.697150767898689","0.283752463303202","0","3361.03368650658","-1658.64192990538","3091"
"15","-2","-5e-04","1e-04","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1228"
"16","-1","-5e-04","-2e-04","-2","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2930"
"17","-2","-0.00035","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","858"
"18","-3","-0.00035","-2e-04","-4","-1.125","0.2","0.2","NaN","-2.83932373917611","0.00137127035542081","-4.42873589441884","0.000289073772916878","-0.39839937003711","0.527733196781779","0.308036750430374","0","3109.05626608045","-1532.65321969232","2056"
"19","-1","-5e-04","-5e-05","-2","-1.75","0.2","0.2","NaN","-1.29981783960732","-0.000448180942093459","-4.18578452529053","-3.09102066031353e-05","-2.56723207791683","0.415795516083422","0.281317658756739","0","2853.77151825025","-1405.01084577721","1705"
"20","-3","-5e-04","-5e-05","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1201"
"21","-2.5","-5e-04","-2e-04","-2","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2302"
"22","-2.5","1e-04","1e-04","-5","-1.125","0.2","0.2","NaN","-1.45496999245332","0.00024246758526884","-6.08198758667975","0.000177672184536375","0.685259503878228","0.430189173698851","0.280366191932063","0","2883.83774404816","-1420.04395867617","1997"
"23","-1","-0.00035","-2e-04","-4","-1.125","0.2","0.2","NaN","-1.00247888576861","-0.0145280414343838","-4.27506506849229","-0.438237837247031","-0.266113360836768","0.718670653330002","0.273110673655465","0","3347.95678418432","-1652.10347874425","2060"
"24","-1.5","1e-04","1e-04","-1","-2.375","0.2","0.2","NaN","-1.55237612150986","0.0441412730512401","-1.01629712545207","-0.298998246985497","-2.24183578967222","0.683685343313422","0.283471620283849","0","3367.62630512166","-1661.93823921292","1249"
"25","-3","-2e-04","-5e-04","-4","-0.5","0.2","0.2","NaN","-2.81357049917344","-0.00193980248474998","-3.98728768935073","-0.142492634360103","-0.771581110169288","0.664143642493211","0.274426468568037","0","3319.33108794172","-1637.79063062295","2636"
"26","-1","-5e-05","-5e-04","-1","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","3020"
"27","-2","-5e-04","-5e-05","-3","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","953"
"28","-2.5","-5e-04","-0.00035","-1","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1777"
"29","-1.5","-5e-04","-2e-04","-2","-2.375","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1054"
"30","-1","1e-04","-0.00035","-5","-2.375","0.2","0.2","NaN","-0.891373785924622","-0.000818533001514771","-4.36316166110473","9.64611038721176e-05","-2.65925060549649","0.465801304679699","0.279727733199657","0","2969.02701069358","-1462.63859199888","675"
"31","-3","-5e-05","-2e-04","-2","-1.125","0.2","0.2","NaN","-2.95940031041763","-0.00120070065601617","-1.99224776255513","-0.268282667127815","-1.17391035333796","0.645969286169976","0.287737448049945","0","3349.82647653643","-1653.0383249203","2316"
"32","-1","-0.00035","1e-04","-5","-3","0.2","0.2","NaN","-0.99798116066381","-0.000712350825985295","-3.60692493152619","-7.51992554262093e-05","-2.9978945116285","0.437774310308532","0.280646015238929","0","2904.02564911227","-1430.13791120823","110"
"33","-1","-5e-04","-0.00035","-2","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1655"
"34","-2","-2e-04","-0.00035","-2","-0.5","0.2","0.2","NaN","-2.03530976278271","-0.000459407547771049","-2.00742995048553","-0.00204056574071271","-0.562357698799959","0.583958434504837","0.289084846588747","0","3173.33156134772","-1564.79086732595","2913"
"35","-2.5","-0.00035","-2e-04","-5","-2.375","0.2","0.2","NaN","-2.44202160371144","-0.00320635736328833","-4.9675695428496","-0.235589446520042","-2.32245904259584","0.702875519335134","0.282226747159942","0","3328.92860657878","-1642.58938994148","682"
"36","-2.5","-0.00035","-5e-04","-5","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2507"
"37","-2.5","-0.00035","-5e-05","-4","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","207"
"38","-3","-5e-05","-5e-05","-1","-1.125","0.2","0.2","NaN","-3.00085642990398","-0.00114720475962679","-1.09582638389474","-0.271099716772722","-1.10612206504623","0.694662523993565","0.278407427715135","0","3352.33242571552","-1654.29129950985","2466"
"39","-3","-0.00035","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","856"
"40","-1","-0.00035","-5e-05","-3","-3","0.2","0.2","NaN","-0.995504702637644","-0.000282908534732915","-3.97983661053755","5.58933109125546e-05","1.29728417468757","0.413874401628527","0.281100720858605","0","2844.6087522811","-1400.42946279264","335"
"41","-2.5","-2e-04","-2e-04","-4","-1.125","0.2","0.2","NaN","-1.26764094104987","-0.000473838512531874","-4.16543390328291","-2.99890390534244e-05","-2.3294979188862","0.457907766936673","0.27152653936483","0","2861.60081090328","-1408.92549210373","2062"
"42","-2.5","1e-04","-5e-04","-2","-1.125","0.2","0.2","NaN","-2.35174039885287","-0.000492012807960904","-2.00364413263478","-0.240255874047414","-1.2469232891921","0.670799875971763","0.280143072181199","0","3341.42839143904","-1648.83928237161","2272"
