"","a_log","a12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-05","-1","-3","0.2","0.2","NaN","-1.29868856631341","-0.000410787600754314","-4.45019227991154","-1.64473096514928","0.413152808279115","0.279393732149408","0","2836.24789886324","-1399.37402370484","118"
"2","-1.5","-5e-04","-3","-2.375","0.2","0.2","NaN","-1.11551405692565","-0.000489501634937683","-4.07255967935343","0.453179749187429","0.4033938657646","0.28166893076901","0","2810.60789857384","-1386.55402356014","179"
"3","-1.5","-5e-05","-5","-1.125","0.2","0.2","NaN","-1.13084457189118","-0.000484832688811415","-4.12819296585623","0.352886906946221","0.402094840668939","0.280955612150898","0","2810.39171549268","-1386.44593201956","394"
"4","-1","-0.00035","-1","-1.75","0.2","0.2","NaN","-1.32618756016543","-0.000398951610309328","-4.42982872868962","-2.22851899504046","0.417281709699194","0.282172966943194","0","2844.57424024752","-1403.53719439698","360"
"5","-1.5","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.28040645394664","-0.000424500135558176","-4.29732775087688","-1.077463904725","0.41016168331999","0.281232530485914","0","2827.16851973949","-1394.83433414297","389"
"6","-3","-0.00035","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","306"
"7","-2.5","1e-04","-1","-3","0.2","0.2","NaN","-1.36046380982302","-0.00039160869140758","-4.50035984967076","-5.44604100883069","0.421602091795812","0.280792617031494","0","2859.36773088231","-1410.93393971438","122"
"8","-1","-0.00035","-3","-1.75","0.2","0.2","NaN","-1.18426018263678","-0.000490029956122849","-4.33797773458032","-0.416671813579188","0.404436706778036","0.277859760139615","0","2817.36929823621","-1389.93472339133","310"
"9","-2.5","-5e-04","-4","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","527"
"10","-2","-5e-04","-2","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","203"
"11","-1","-2e-04","-4","-3","0.2","0.2","NaN","-1.1341363020494","-0.000482500321634285","-4.13209163593935","0.346869877599924","0.40227394728284","0.280697601098787","0","2810.39127602483","-1386.44571228564","40"
"12","-2","-5e-04","-1","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","478"
"13","-3","-0.00035","-5","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","131"
"14","-1","-2e-04","-2","-1.125","0.2","0.2","NaN","-1.21094130744945","-0.000453288931432444","-4.28600899107522","-0.414753589193402","0.403399762252055","0.281532105901535","0","2815.84538924553","-1389.17276889599","465"
"15","-1","-5e-05","-2","-1.125","0.2","0.2","NaN","-1.29100566017683","-0.000422173121134425","-4.32769159594613","-2.28120235564078","0.415491168321725","0.281592890060122","0","2845.57004750578","-1404.03509802611","470"
"16","-2.5","1e-04","-1","-1.125","0.2","0.2","NaN","-1.27567419971762","-0.000415246899378925","-4.41345688370668","-0.893717530188799","0.408877180122363","0.280153795081126","0","2823.8682593051","-1393.18420392577","497"
"17","-1.5","-5e-05","-3","-3","0.2","0.2","NaN","-1.13068158897772","-0.000485111109367688","-4.09831625199687","0.321193177916972","0.401731705767948","0.281964460152688","0","2810.49396155364","-1386.49705505004","69"
"18","-3","-2e-04","-5","-1.75","0.2","0.2","NaN","-1.13124352654587","-0.000481911816752927","-4.12584787969714","0.373943500698452","0.401951829114619","0.280475218157624","0","2810.39890685163","-1386.44952769904","261"
"19","-1","-5e-05","-5","-1.75","0.2","0.2","NaN","-1.13189950269868","-0.000483945608633586","-4.12812350236796","0.354798819879386","0.402373769834561","0.280803217716882","0","2810.38997268045","-1386.44506061345","270"
"20","-1.5","-2e-04","-2","-3","0.2","0.2","NaN","-1.13282590414135","-0.000482144730198992","-4.12880115255724","0.347493049601551","0.402223277057494","0.280943784558634","0","2810.39202942199","-1386.44608898422","89"
"21","-1.5","1e-04","-2","-1.125","0.2","0.2","NaN","-1.13315469374623","-0.000483101623149569","-4.12901053915701","0.365822454280307","0.402639417390471","0.280764303817046","0","2810.39399780107","-1386.44707317376","474"
"22","-3","-2e-04","-3","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","61"
"23","-2","-0.00035","-1","-2.375","0.2","0.2","NaN","4.62785204074239","-0.00175772439500086","-3.13508991383019","9.17959377881738","0.453742116719827","0.280680320465219","0","2934.4928213954","-1448.49648497092","233"
"24","-1.5","-5e-05","-2","-2.375","0.2","0.2","NaN","-1.12993708447975","-0.000485651143152777","-4.12265597748763","0.354724996098659","0.402498428723811","0.281024742455331","0","2810.39280472915","-1386.4464766378","219"
"25","-2.5","-2e-04","-5","-0.5","0.2","0.2","NaN","-1.13157315971228","-0.000484978849158123","-4.12498072210282","0.352163569474232","0.40221729518168","0.280794436326561","0","2810.39138237668","-1386.44576546156","512"
"26","-1.5","-2e-04","-3","-0.5","0.2","0.2","NaN","-1.13179729370401","-0.000484170566012842","-4.12821434702495","0.353702665186097","0.402338757499693","0.280760378727616","0","2810.38995453786","-1386.44505154215","564"
"27","-2","-0.00035","-4","-3","0.2","0.2","NaN","-1.13152795167966","-0.00048482598889088","-4.12755415862774","0.354555073292128","0.4022514441246","0.280880999425981","0","2810.3904239586","-1386.44528625252","33"
"28","-1.5","-5e-05","-5","-1.75","0.2","0.2","NaN","-1.13145138696015","-0.000484057576384328","-4.12753642040753","0.354102342989438","0.40231728916739","0.280699135724574","0","2810.39019281947","-1386.44517068296","269"
"29","-1","1e-04","-5","-0.5","0.2","0.2","NaN","-1.13204845238078","-0.000482668716845084","-4.1281993766087","0.352492573562743","0.402096557632149","0.28091064805928","0","2810.39183837275","-1386.4459934596","525"
"30","-3","-2e-04","-5","-0.5","0.2","0.2","NaN","-1.29199265010807","-0.000372801716174995","-4.32441446251968","-0.779983702192233","0.397763306904876","0.269664419380039","0","2825.29338387885","-1393.89676621265","511"
"31","-3","-5e-04","-2","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","576"
"32","-1","-5e-04","-1","-1.125","0.2","0.2","NaN","-1.09197348706449","-0.000506781980880615","-4.05781387677538","0.643445005231516","0.402883170845346","0.280893680736231","0","2811.23029294784","-1386.86522074714","480"
"33","-3","-0.00035","-1","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","356"
"34","-2","-5e-04","-2","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","578"
"35","-3","-5e-05","-5","-0.5","0.2","0.2","NaN","-1.16520489190847","-0.000419390718353043","-4.14988650054546","0.300992870710995","0.400298628743345","0.283966678546847","0","2811.71443449993","-1387.10729152319","516"
"36","-3","-2e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","161"
"37","-1","-5e-05","-3","-2.375","0.2","0.2","NaN","-1.13571764521911","-0.000477997620792535","-4.13010279562322","0.351509047771521","0.401515269101035","0.281143647690112","0","2810.40632071412","-1386.45323463028","195"
"38","-2","-5e-05","-4","-2.375","0.2","0.2","NaN","-1.13253810910437","-0.000483328730069573","-4.12973708433168","0.354801653150539","0.402323240983753","0.280845088174772","0","2810.39022200806","-1386.44518527725","168"
"39","-1","-0.00035","-2","-2.375","0.2","0.2","NaN","-1.13220791588849","-0.000484072337903645","-4.12886821032091","0.353746733353299","0.40235099110704","0.280757535618902","0","2810.38999444843","-1386.44507149744","210"
"40","-3","-5e-05","-2","-1.75","0.2","0.2","NaN","-1.36773024021752","-0.000385507918719824","-4.56250261417494","-3.43171987812849","0.420217308026521","0.279469672255198","0","2855.04097869043","-1408.77056361844","341"
"41","-2.5","-2e-04","-1","-1.125","0.2","0.2","NaN","0.618381355355667","-0.00307291046085106","-0.875072405189044","2.41014195378977","0.600104318436917","0.281101386422826","0","3226.09392848472","-1594.29703851558","487"
"42","-2.5","-5e-05","-3","-1.75","0.2","0.2","NaN","-1.1319543620402","-0.000483868977451848","-4.12825339128568","0.355429383013487","0.40234427442956","0.280796135332827","0","2810.38999431614","-1386.44507143129","317"
