"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-2","-10","-0.5","0.2","0.2","NaN","-1.14695533202465","-4.3186526396507","0.365176980756162","-6.12280278080116","0.406695216726811","0.280718019025423","0","2821.48979006658","-1391.99496930651","518"
"2","-3","-3","-6.25","-3","0.2","0.2","NaN","-1.13980916281823","-4.30295853743387","0.499574951846687","-6.16615345106445","0.406761981864914","0.280720157966955","0","2821.6911412713","-1392.09564490887","86"
"3","-2","-4","-10","-1.125","0.2","0.2","NaN","-1.25628126524013","-4.64983329505742","-0.247663060861004","-6.08076169276879","0.395862187933437","0.284397670541727","0","2829.1684875202","-1395.83431803332","383"
"4","-2","-2","-8.75","-0.5","0.2","0.2","NaN","-1.14695533202465","-4.3186526396507","0.365176980756162","-6.12280278080116","0.406695216726811","0.280718019025423","0","2821.48979006658","-1391.99496930651","543"
"5","-1","-5","-7.5","-2.375","0.2","0.2","NaN","-1.13836879350423","-4.29760604587697","0.386709168417228","-6.12677556126486","0.402549636713527","0.281831054589562","0","2821.64226836147","-1392.07120845395","180"
"6","-1","-1","-10","-3","0.2","0.2","NaN","-1.39346515448519","-4.16844415750277","0.495977306936169","-11.5327737250478","0.424512578438702","0.280804953309665","0","2866.97201749459","-1414.73608302052","25"
"7","-1","-5","-6.25","-3","0.2","0.2","NaN","-1.14676008896085","-4.31995251755749","0.368186181020282","-6.12095631402097","0.406648837453537","0.280709735381076","0","2821.49015801533","-1391.99515328088","80"
"8","-2","-3","-7.5","-2.375","0.2","0.2","NaN","-1.37267202175922","-4.72887569012702","-2.89659484002228","-6.10026913480895","0.426750112523885","0.282768434368908","0","2862.0226614859","-1412.26140501617","188"
"9","-1.5","-2","-10","-0.5","0.2","0.2","NaN","-1.14291213497392","-4.30817860310877","0.312562158073624","-6.10201625555299","0.406469912348981","0.280665513001293","0","2821.54010061937","-1392.02012458291","519"
"10","-2.5","-3","-5","-2.375","0.2","0.2","NaN","-1.39878135150769","-4.20510166242383","0.465101102053249","-10.1696718926252","0.424233400425303","0.280049665591267","0","2865.3071066595","-1413.90362760297","237"
"11","-3","-4","-5","-0.5","0.2","0.2","NaN","-1.39825720517504","-4.18075834160499","0.463122509973132","-11.3252392915315","0.424626800561899","0.28066593806011","0","2866.87095158665","-1414.68555006655","606"
"12","-2.5","-2","-5","-1.125","0.2","0.2","NaN","-1.23248996744779","-4.51813780919425","-0.482102105267316","-6.12679877341888","0.40866485682113","0.279693504889717","0","2828.07902676644","-1395.28958765644","492"
"13","-1.5","-5","-6.25","-2.375","0.2","0.2","NaN","-1.19173260851239","-4.4532541375181","-0.343980662943131","-5.9894363118741","0.40881282745942","0.281457922132311","0","2826.11088275134","-1394.30551564889","204"
"14","-1","-3","-8.75","-2.375","0.2","0.2","NaN","-1.308245995914","-4.62629295586883","-2.06261394136546","-6.02399749030728","0.418662115564073","0.281295142766336","0","2852.59884717891","-1407.54949786268","165"
"15","-2","-1","-5","-1.125","0.2","0.2","NaN","-1.42933947333387","-4.49416862570558","-0.477806161957591","-7.59151478130535","0.418172784756553","0.283461546376547","0","2852.24234368612","-1407.37124611628","498"
"16","-1","-2","-8.75","-0.5","0.2","0.2","NaN","-1.3892526433026","-4.15464206155799","0.548121295907412","-15.021707830702","0.425254031104973","0.280794385791343","0","2867.5454510821","-1415.02279981427","545"
"17","-3","-5","-7.5","-2.375","0.2","0.2","NaN","-1.39022616620669","-4.15843648117549","0.540915435067885","-13.0197748423073","0.425027970445874","0.280752163617241","0","2867.42532061394","-1414.96273458019","176"
"18","-1.5","-1","-8.75","-0.5","0.2","0.2","NaN","-1.14650663730688","-4.31815794652642","0.365050560138445","-6.12205417573423","0.406655063940435","0.280775465321737","0","2821.48973628134","-1391.99494241389","549"
