"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","1e-04","-3","-0.5","0.2","0.2","NaN","-1.29280196366521","-4.5988467893942","9.26355605440404e-05","0.718331258650478","0.415956374061168","0.28063740870184","0","2845.46909046998","-1403.98461950821","575"
"2","-3","-0.00035","-1","-2.375","0.2","0.2","NaN","-3.09519677690275","-1.09976945401878","-0.27432513140718","-2.2543026139747","0.684939045088627","0.280823953609526","0","3359.76815475883","-1661.13415165264","231"
"3","-2.5","-2e-04","-3","-1.75","0.2","0.2","NaN","-1.60649047760153","-5.06049067427705","5.25287647327853e-05","-5.86953427997328","0.441152654050398","0.280792959404645","0","2905.687465256","-1434.09380690122","312"
"4","-1.5","-0.00035","-3","-2.375","0.2","0.2","NaN","-1.44289994628755","-4.2018313356793","4.297825256321e-05","-2.99077497336512","0.441788005859281","0.290500143453648","0","2916.11913288333","-1439.30964071488","184"
"5","-2","-5e-04","-4","-3","0.2","0.2","NaN","-1.48853369176889","-6.4072233575069","0.000128509729862361","-0.32656033374836","0.430529288769484","0.279798092570369","0","2874.82415829965","-1418.66215342305","28"
"6","-3","-0.00035","-3","-1.125","0.2","0.2","NaN","-2.42722711972973","-3.77609617138141","-5.44337464555944e-05","-0.786703735704692","0.492380066485554","0.324344721201861","0","3126.58472904481","-1544.54243879563","431"
"7","-2.5","1e-04","-1","-1.75","0.2","0.2","NaN","-0.106137093978044","-0.706671297455536","-0.395236320407397","2.9925557165085","0.673647314502829","0.285742524810306","0","3344.58403180951","-1653.54209017798","372"
"8","-2.5","-5e-05","-2","-0.5","0.2","0.2","NaN","-1.90527964684941","-1.64946610691063","-0.000374735489096706","-1.79400275465831","0.573859651813381","0.277306294755273","0","3176.06819987902","-1569.28417421273","592"
"9","-1.5","-2e-04","-3","-3","0.2","0.2","NaN","-0.853594113547547","-3.8293485632555","0.0002429815358593","0.552174101920848","0.438917584947104","0.28060772000928","0","2901.31456997924","-1431.90735926284","64"
"10","-2","-5e-05","-4","-3","0.2","0.2","NaN","-1.29964784605263","-4.62795142030236","9.35030315297949e-05","0.655390365351117","0.416530747825898","0.280613433864669","0","2845.42917908457","-1403.9646638155","43"
"11","-2.5","-5e-05","-1","-3","0.2","0.2","NaN","-2.67710790709245","-1.11872912024903","-0.267081776597153","-2.39365375110106","0.68328423907803","0.280701018208762","0","3360.03131010159","-1661.26572932402","117"
"12","-2","-5e-05","-3","-1.75","0.2","0.2","NaN","-0.685684613184143","-2.99859233586273","7.70901034854217e-05","2.04495191599268","0.445568008715998","0.280684722912063","0","2915.73754588374","-1439.11884721509","318"
"13","-3","-2e-04","-2","-1.75","0.2","0.2","NaN","-2.74570818114964","-2.36544383210645","-0.130145402519284","-1.78145165115421","0.680712656413741","0.280685871513122","0","3354.93364506449","-1658.71689680547","336"
"14","-2.5","1e-04","-1","-0.5","0.2","0.2","NaN","-2.48860855086778","-1.26381742403011","-0.231124852335862","-0.342828381051388","0.681093688073463","0.280831314389096","0","3354.28441114159","-1658.39227984402","622"
"15","-3","1e-04","-2","-0.5","0.2","0.2","NaN","-2.94785210552907","-2.08910357938375","-0.219188916684659","-0.500862820926225","0.677036406634347","0.280876517928079","0","3350.33315593946","-1656.41665224295","596"
"16","-2.5","-5e-05","-5","-2.375","0.2","0.2","NaN","-1.30055546981245","-4.62756198575652","9.39961514605136e-05","0.654040595820959","0.415954525812637","0.28102002767062","0","2845.43128574285","-1403.96571714464","142"
"17","-3","-2e-04","-1","-3","0.2","0.2","NaN","-3.03347313232543","-1.21390423599477","-0.00190870519895336","-3.1043606834457","0.695614484559195","0.292347880433317","0","3280.0642140424","-1621.28218129442","111"
"18","-2.5","-5e-04","-3","-3","0.2","0.2","NaN","-2.5538619215409","-3.2710066398384","-9.04221675966802e-05","-2.89112372626623","0.534573977470468","0.283809748752381","0","3143.43020584585","-1552.96517719614","52"
"19","-1","-2e-04","-5","-3","0.2","0.2","NaN","-1.60873698844977","-6.0396526314446","8.82546050699368e-05","-3.60991931680399","0.447852442328535","0.276967518609622","0","2908.76275561883","-1435.63145208264","15"
"20","-1","-0.00035","-3","-0.5","0.2","0.2","NaN","0.0805277874813182","-3.41647620251316","0.000110339734612026","4.06823304539356","0.439847184810162","0.28110782540967","0","2899.45182930625","-1430.97598892634","560"
"21","-1","1e-04","-3","-3","0.2","0.2","NaN","-1.00022617577301","-2.99940779392934","3.0582442394084e-05","1.16473012530343","0.447608800883649","0.280689169315733","0","2920.54468218811","-1441.52241536727","75"
