"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-5","-0.5","0.2","0.2","NaN","-1.06596844108383","-4.15864607366022","0.320246749376558","-5.74196194645723","0.415928048910676","0.279575112857248","0","2820.20219292251","-1391.35117073447","615"
"2","-1.5","-5","-5","-1.125","0.2","0.2","NaN","-1.093897599137","-4.13972550332292","0.334762648429824","-5.81770448751453","0.405571731206143","0.280471223575873","0","2819.24246812032","-1390.87130833338","479"
"3","-2","-2","-7.5","-0.5","0.2","0.2","NaN","-1.08949712539624","-4.13767817830447","0.340077520597934","-5.801487786042","0.404797114040453","0.281726732788159","0","2819.25913841511","-1390.87964348078","568"
"4","-1.5","-2","-10","-3","0.2","0.2","NaN","-0.927657778687568","-3.80804160793702","0.272362841150338","-5.46932321252199","0.406109081350455","0.28445166427516","0","2827.30309531913","-1394.90162193279","19"
"5","-2","-5","-6.25","-0.5","0.2","0.2","NaN","-1.39041018224266","-4.15727937202047","0.542373755563883","-13.9681785929214","0.425175715813132","0.280821209539809","0","2867.51978109923","-1415.00996482284","578"
"6","-2.5","-5","-7.5","-0.5","0.2","0.2","NaN","-1.11055823024664","-4.20269069012967","0.205241191882541","-5.77886185889665","0.403897397137718","0.276222029082493","0","2819.87906301632","-1391.18960578138","552"
"7","-3","-5","-10","-1.125","0.2","0.2","NaN","-1.39010273425139","-4.15766339615598","0.541708945523988","-13.1181371493069","0.425179093909364","0.280759805124129","0","2867.45947322666","-1414.97981088655","376"
"8","-1.5","-3","-6.25","-1.125","0.2","0.2","NaN","-1.3894873972674","-4.154031109236","0.527563523234446","-11.8093239029711","0.424947854207856","0.280815828283504","0","2867.17909303911","-1414.83962079278","464"
"9","-1","-5","-10","-2.375","0.2","0.2","NaN","-1.38986786954113","-4.15582671355091","0.546326680658636","-14.6157731326632","0.425104143302132","0.280781324697781","0","2867.54082732813","-1415.02048793729","130"
"10","-3","-1","-6.25","-1.75","0.2","0.2","NaN","-1.0908780936512","-4.13743902746328","0.348379513953113","-5.8150690691398","0.405899842885446","0.280790554325404","0","2819.23755104311","-1390.86884979478","346"
"11","-3","-1","-5","-1.75","0.2","0.2","NaN","-1.0908780936512","-4.13743902746328","0.348379513953113","-5.8150690691398","0.405899842885446","0.280790554325404","0","2819.23755104311","-1390.86884979478","371"
"12","-2.5","-1","-6.25","-0.5","0.2","0.2","NaN","-1.06838454803839","-4.10094709670049","0.477813042555126","-5.78693590526967","0.406179987790255","0.280947396667455","0","2819.4215802459","-1390.96086439617","597"
"13","-3","-5","-7.5","-2.375","0.2","0.2","NaN","-1.38923372188312","-4.16708948202908","0.525838494113401","-10.7474741329325","0.425202180352738","0.280684950803384","0","2866.45340125767","-1414.47677490206","176"
"14","-3","-5","-6.25","-3","0.2","0.2","NaN","-1.30370799406236","-4.51107635873426","-8.0911222343308","-5.72805440784875","0.42477367809316","0.280850892058202","0","2866.82826385182","-1414.66420619913","76"
"15","-2.5","-1","-10","-1.125","0.2","0.2","NaN","-1.09118878397105","-4.13851776626881","0.346231491185535","-5.81405460644451","0.405704689581611","0.280790622308166","0","2819.23753659963","-1390.86884257304","397"
"16","-1.5","-4","-6.25","-0.5","0.2","0.2","NaN","-1.40173113373175","-4.19838629419089","0.401496194462744","-10.1047935845872","0.423991131331241","0.280351408489624","0","2865.63094902937","-1414.06554878791","584"
