"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.88888888888889","-3.66666666666667","-2.375","0.2","0.2","NaN","-1.38909037511813","-4.15462716326724","0.551429733268934","0.425177633727963","0.280780256738144","0","2861.31425253555","-1415.03218816213","136"
"2","-1.66666666666667","-3.22222222222222","-1.75","0.2","0.2","NaN","-1.38956756914621","-4.15560759395627","0.553612328283251","0.425049569040177","0.280673264808698","0","2861.3146668974","-1415.03239534305","247"
"3","-1.22222222222222","-1.88888888888889","-2.375","0.2","0.2","NaN","-1.38888339953497","-4.15415155902402","0.551833414453211","0.425204328697815","0.280709505338671","0","2861.31437122565","-1415.03224750718","179"
"4","-1.88888888888889","-2.33333333333333","-3","0.2","0.2","NaN","-1.38958123968413","-4.15478693762927","0.549273463315872","0.425137969859831","0.280797275476575","0","2861.31432132008","-1415.03222255439","66"
"5","-1.88888888888889","-3.22222222222222","-1.125","0.2","0.2","NaN","-1.38925233976234","-4.15467557170938","0.551864714791089","0.425115910288151","0.28081931308163","0","2861.31428136968","-1415.03220257919","346"
"6","-2.11111111111111","-5","-0.5","0.2","0.2","NaN","-1.38915283947777","-4.15515750153364","0.552396934184713","0.425266073181794","0.280850512766847","0","2861.31436508165","-1415.03224443518","405"
"7","-2.77777777777778","-2.77777777777778","-3","0.2","0.2","NaN","-1.38913274460433","-4.15539514722206","0.551988374180555","0.425163593333103","0.280807731815286","0","2861.31428626351","-1415.03220502611","52"
"8","-1.44444444444444","-1.44444444444444","-2.375","0.2","0.2","NaN","-1.38942427440366","-4.15513224966299","0.552047435248848","0.425111601784046","0.280783619143397","0","2861.31429725247","-1415.03221052059","188"
"9","-3","-1.88888888888889","-1.75","0.2","0.2","NaN","-1.38897867031493","-4.15479540067283","0.551546523462176","0.425243890423717","0.280766998639657","0","2861.31431376354","-1415.03221877612","271"
"10","-2.11111111111111","-4.55555555555556","-0.5","0.2","0.2","NaN","-1.38923324832087","-4.15480527202319","0.551356426781418","0.42518295603939","0.28084026687518","0","2861.31427884581","-1415.03220131726","415"
"11","-1.44444444444444","-4.55555555555556","-1.125","0.2","0.2","NaN","-1.3893612299217","-4.15600578995063","0.550213992142833","0.425182360846914","0.280720763306242","0","2861.31439036092","-1415.03225707481","318"
"12","-2.33333333333333","-5","-2.375","0.2","0.2","NaN","-1.38837016841609","-4.16093179694881","0.517760180033969","0.42398474072948","0.280140446835858","0","2861.34928529514","-1415.04970454192","104"
"13","-2.77777777777778","-2.77777777777778","-0.5","0.2","0.2","NaN","-1.38922903777237","-4.1551570774541","0.55076587057522","0.425121071689965","0.280802300799096","0","2861.31427183801","-1415.03219781336","452"
"14","-1.66666666666667","-3.22222222222222","-0.5","0.2","0.2","NaN","-1.38906660396392","-4.15394453078842","0.552103305729416","0.425235996597986","0.280695129515321","0","2861.31442877742","-1415.03227628306","447"
"15","-2.55555555555556","-1","-0.5","0.2","0.2","NaN","-1.38834604730828","-4.15375323599314","0.559527560304556","0.425164345962951","0.280769611873783","0","2861.31474673087","-1415.03243525979","493"
