"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-3","0.001","0.001","5e-04","0.001","0.2","0.2","NaN","-1.78422312889883","0.00167829908387406","0.00203345503817598","0.00200034415602626","0.000980071317029873","0.265207394161294","0.228127618737752","0","59.1379528389843","-10.854100061981","278"
"2","-1","0.005","0.001","0.001","0.005","0.2","0.2","NaN","-1.80749611554789","0.00155337195946392","0.00207521523433209","0.00200253720658394","0.000939941427178966","0.270078313648062","0.229228458441511","0","58.172652660298","-10.3714499726378","603"
"3","-1","0.001","0.001","5e-04","0.001","0.2","0.2","NaN","-1.81148409192839","0.00162624532164432","0.00197473199449134","0.00192052434349519","0.000888186049730488","0.269402743507881","0.229752489947887","0","58.7287173039196","-10.6494822944487","799"
"4","-5","0.005","0.001","5e-04","5e-04","0.2","0.2","NaN","-1.78540864409032","0.0016670670267913","0.00203387461811225","0.00199984409994064","0.000932133022591384","0.268702016017851","0.229274407820818","0","58.93701291244","-10.7536300987088","25"
"5","-5","0.005","0.001","5e-04","0.001","0.2","0.2","NaN","-1.81366479824092","0.00168867675197885","0.00202222047868329","0.00197577093371877","0.000979181659410039","0.26876608325934","0.229596345265497","0","59.1839479064075","-10.8770975956926","825"
"6","-5","0.001","0.001","0.001","0.001","0.2","0.2","NaN","-3.0941766387745","0.00162408115085881","0.00204299489382201","0.000916724371768552","-0.000839730231612322","0.267700695952749","0.244183367262142","0","78.9975757989898","-20.7839115419837","373"
"7","-0.5","0.001","0.001","0.001","5e-04","0.2","0.2","NaN","-1.96042813489576","0.0016685035775727","0.00204271373982862","0.00185771697315059","0.000898664999832015","0.275506338237662","0.227314860671428","0","60.0053912028558","-11.2878192439167","88"
"8","-0.5","5e-04","0.001","0.005","0.001","0.2","0.2","NaN","-1.82591015845955","0.00162751567414261","0.00202449875294099","0.00214578733713835","0.000943988162843753","0.269512884962038","0.230835731552187","0","58.6817355823431","-10.6259914336604","948"
"9","-3","0.005","0.005","0.001","5e-04","0.2","0.2","NaN","-1.81988032464995","0.00162516269634467","0.00209719123601911","0.00197842195364896","0.000932849473977395","0.263928146942636","0.229493097829414","0","58.6711570485777","-10.6207021667777","234"
"10","-5","0.005","0.001","0.001","0.005","0.2","0.2","NaN","-1.80569888544624","0.00168893081480233","0.00202340997579389","0.00200211723852297","0.000969591284946839","0.268802668108397","0.229410783051829","0","59.1874497491713","-10.8788485170745","633"
"11","-1","5e-04","5e-04","5e-04","0.001","0.2","0.2","NaN","-1.8019294865153","0.0016027825865604","0.00213187510503365","0.0019654309928056","0.000947420121794586","0.269360699860238","0.229499613563674","0","58.5063224925309","-10.5382848887543","771"
"12","-5","0.005","0.001","5e-04","0.005","0.2","0.2","NaN","-6.0416809571192","0.00170066443967853","0.00195688275019255","-0.0232323774485769","-0.0600727929841845","0.272248745695419","0.247113808982999","0","95.7044069272931","-29.1373271061354","569"
"13","-5","5e-04","0.005","0.005","0.005","0.2","0.2","NaN","-3.36067889291903","0.00166966366906737","0.00200640170057968","0.000595804946264422","-0.00127937390810031","0.257778372102432","0.245774096612382","0","84.2372695326284","-23.403758408803","673"
"14","-1","0.005","0.001","0.005","0.001","0.2","0.2","NaN","-1.80471241026181","0.00166654893116053","0.00200679848929753","0.0020201703811682","0.00108035979666205","0.268805664089622","0.229403375357238","0","59.0881457233877","-10.8291965041827","443"
"15","-0.5","0.005","0.001","0.001","5e-04","0.2","0.2","NaN","-1.83649158375721","0.00168318504403005","0.00201336305387935","0.0018367014261221","0.000992121343077026","0.27214061484158","0.230167866390416","0","59.2488579888071","-10.9095526368924","252"
"16","-5","5e-04","0.005","0.001","0.001","0.2","0.2","NaN","-1.80700510198035","0.00168853656207031","0.00202347715824567","0.0020049609312957","0.000971391985853403","0.268800101424311","0.229414977085789","0","59.1828698164269","-10.8765585507023","353"
"17","-0.5","0.001","0.005","0.001","5e-04","0.2","0.2","NaN","-1.7878154742073","0.00158024636805425","0.00205919518474792","0.00200467695644138","0.000992273973999761","0.26866981900661","0.228301716385096","0","58.2391336429706","-10.4046904639741","240"
"18","-0.5","0.001","5e-04","5e-04","0.001","0.2","0.2","NaN","-1.74214133102738","0.00160695432498613","0.00207954602526967","0.00207000908989926","0.00104572539809404","0.265962916066924","0.227927030229565","0","58.5867653819677","-10.5785063334727","776"
"19","-5","0.001","5e-04","5e-04","0.001","0.2","0.2","NaN","-1.80438223304282","0.00168870809085371","0.00202359299568963","0.00200160158016097","0.000968546006044218","0.268788618165239","0.229408408701008","0","59.1840150549508","-10.8771311699643","269"
"20","-0.5","5e-04","0.001","0.001","0.001","0.2","0.2","NaN","-1.87734470290492","0.00164521002928343","0.00199908974220311","0.00195087470929066","0.000919322387014663","0.272143440579198","0.231977679440527","0","59.0072938278311","-10.7887705564044","468"
"21","-3","0.001","0.001","5e-04","0.001","0.2","0.2","NaN","-1.78422312889883","0.00167829908387406","0.00203345503817598","0.00200034415602626","0.000980071317029873","0.265207394161294","0.228127618737752","0","59.1379528389843","-10.854100061981","286"
