"","a_log","a12","h12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-2e-04","1e-04","-1","0.2","0.2","NaN","-1.91463817068391","-0.000460032931729598","-2.755976794042","0.00243740444919337","0.283515542413827","0.240670411321839","0","2066.27519859113","-1014.29641177868","615"
"2","-1","-5e-05","1e-04","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","120"
"3","-2","1e-04","-2e-04","-2","0.2","0.2","NaN","-1.68528457346537","-0.000422761790840114","-1.98723962006221","-0.000430886237856019","0.254079957232359","0.246746913727537","0","1944.30511450433","-953.311369735285","448"
"4","-1.5","-0.00035","-0.00035","-2","0.2","0.2","NaN","-1.83288707657429","-0.000349546435215587","-3.30369888730532","0.000315213554856285","0.233315351016706","0.251905556102595","0","1866.62283058528","-914.470227775757","409"
"5","-2","-5e-04","-0.00035","-4","0.2","0.2","NaN","-2.00456381931348","-0.000277398830710048","-3.64228013457205","0.00380592277591867","0.280784327188437","0.211967126975321","0","2064.52292907854","-1013.42027702239","153"
"6","-1.5","1e-04","-2e-04","-2","0.2","0.2","NaN","-1.49178545685866","-0.000488645102054807","-3.04445998567372","0.000178594284951504","0.299554789994999","0.234408660531872","0","1961.48405664261","-961.900840804424","449"
"7","-3","-2e-04","1e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","486"
"8","-2","-5e-05","-0.00035","-1","0.2","0.2","NaN","-1.88109021721212","-0.000337290531838585","-3.71303905418136","0.000214333923375695","0.231077254131831","0.242007119638049","0","1855.23366268517","-908.775643825702","543"
"9","-2.5","-2e-04","-5e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","512"
"10","-1.5","-2e-04","-2e-04","-4","0.2","0.2","NaN","-1.58588783676749","-0.00043661770132456","-3.4410955527633","0.000394625132611008","0.278979635825278","0.27914481137918","0","1937.53547696995","-949.926550968092","189"
"11","-2.5","-2e-04","1e-04","-4","0.2","0.2","NaN","-1.88162685529822","-0.000337166260783018","-3.71429931979018","0.000214280324711909","0.231070028461247","0.242019601755314","0","1855.23374333554","-908.775684150887","237"
"12","-1.5","-5e-05","-5e-04","-3","0.2","0.2","NaN","-1.57837679413593","-0.000450225524839187","-2.82413837550428","0.000126358667439886","0.332872774858569","0.227931619450327","0","1994.74484393912","-978.531234452679","269"
"13","-3","-2e-04","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","511"
"14","-3","-5e-05","-2e-04","-3","0.2","0.2","NaN","-1.84101786837621","-0.000351992331886895","-3.28267173044293","0.000106135827633545","0.232906373513791","0.242025835272378","0","1859.17131728463","-910.744471125434","316"
"15","-2.5","1e-04","-5e-05","-2","0.2","0.2","NaN","-1.72099717738581","-0.000408775916177177","-1.97248004578206","-0.000450376430264704","0.254426018246542","0.240799564654161","0","1944.75468378677","-953.536154376504","472"
