"","a_log","a12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-3","-5e-05","-2","0.2","0.2","NaN","-1.88696296577086","-0.000340823168249357","-3.31285918018939","0.232489497224178","0.242026064608107","0","1855.61389956391","-912.105960184552","91"
"2","-3","-2e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","61"
"3","-2.5","-0.00035","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","32"
"4","-1","-5e-05","-4","0.2","0.2","NaN","-2.30738380909575","-0.000233757491022216","-7.77226455527797","0.256447085799879","0.242209637654053","0","1960.38152825935","-964.489774532273","45"
"5","-3","-0.00035","-5","0.2","0.2","NaN","-1.88675177577427","-0.000340699523728395","-3.31303568191953","0.232439878003076","0.242032153584849","0","1855.61422949032","-912.10612514776","6"
"6","-1","-5e-04","-2","0.2","0.2","NaN","-1.88592523642789","-0.000341050983951688","-3.31203624640092","0.232641476559829","0.242060906974012","0","1855.61484736245","-912.106434083823","80"
"7","-1.5","-5e-05","-1","0.2","0.2","NaN","-1.49788106173478","-0.000465696068286331","-1.00724323949736","0.306773656041157","0.235531869275755","0","2115.66221229258","-1042.13011654889","119"
"8","-3","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","106"
"9","-3","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","26"
"10","-1.5","-5e-05","-2","0.2","0.2","NaN","-1.76161050763039","-0.000389584418610528","-3.27797712583055","0.233176909255662","0.245090250899331","0","1864.40479793869","-916.501409371944","94"
"11","-1","-5e-04","-5","0.2","0.2","NaN","-1.86035247745884","-0.000349720031825944","-3.22188454058885","0.232817303247082","0.242233921185575","0","1856.08548787796","-912.341754341579","5"
"12","-2","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","103"
"13","-2","-5e-05","-1","0.2","0.2","NaN","-1.61267257710566","-0.000442751562487729","-2.65611884794867","0.23870895721286","0.235550157664657","0","1893.20718698444","-930.90260389482","118"
"14","-2","-0.00035","-2","0.2","0.2","NaN","-1.5941944708617","-0.000445906750866325","-2.29641040861424","0.250057988055632","0.244859515321945","0","1921.59640577574","-945.097213290469","83"
"15","-1.5","1e-04","-3","0.2","0.2","NaN","-1.88704642671924","-0.000340777363698621","-3.31262474230844","0.23251959442781","0.241956333625987","0","1855.61397196648","-912.10599638584","74"
"16","-2.5","1e-04","-5","0.2","0.2","NaN","-1.88638913145881","-0.000340854201397728","-3.309796421824","0.232463794379676","0.242073148064044","0","1855.61423507261","-912.106127938905","22"
"17","-1.5","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","104"
"18","-2","1e-04","-3","0.2","0.2","NaN","-1.88661583609881","-0.000340863587991321","-3.31103898179093","0.232473529465787","0.242058463607412","0","1855.61393871644","-912.105979760822","73"
"19","-1.5","1e-04","-5","0.2","0.2","NaN","-1.88687198844916","-0.000340828483711892","-3.31170103406484","0.232506655755617","0.242036228922018","0","1855.61386155564","-912.10594118042","24"
"20","-2.5","-5e-05","-3","0.2","0.2","NaN","-1.8868417266534","-0.000340873607737473","-3.31207352146624","0.23249281665458","0.242018273608869","0","1855.61386336846","-912.105942086829","67"
"21","-1.5","-5e-05","-3","0.2","0.2","NaN","-1.88667795437477","-0.00034089816493594","-3.31212614598542","0.23254246820846","0.242033327712735","0","1855.61390905161","-912.105964928406","69"
"22","-2","-5e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","53"
"23","-1.5","-2e-04","-3","0.2","0.2","NaN","-1.88688104001394","-0.000340816021172973","-3.31201604563761","0.232525359760838","0.242032243809235","0","1855.61386468277","-912.105942743983","64"
"24","-1.5","1e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","124"
"25","-3","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","101"
"26","-1.5","-0.00035","-4","0.2","0.2","NaN","-1.88673831093003","-0.000340925349061084","-3.311669807032","0.2325232183042","0.242035315830961","0","1855.61388806169","-912.105954433447","34"
"27","-2","1e-04","-4","0.2","0.2","NaN","-1.88664283734134","-0.000340916239381333","-3.31184410443489","0.23251842266159","0.242035538270841","0","1855.61387749461","-912.105949149906","48"
"28","-1","-0.00035","-3","0.2","0.2","NaN","-1.88692142029099","-0.000340866282003677","-3.31188889259979","0.232556580591015","0.242001703125639","0","1855.61395320157","-912.105987003386","60"
"29","-2.5","-2e-04","-5","0.2","0.2","NaN","-1.8868152892472","-0.000340847397792299","-3.31181858480997","0.232517580900853","0.242029583426024","0","1855.61385825007","-912.105939527636","12"
"30","-3","-2e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","111"
"31","-2.5","-5e-05","-2","0.2","0.2","NaN","-1.88700122971473","-0.000340863165962514","-3.31227916194871","0.232498235458548","0.241937424935415","0","1855.61404697086","-912.10603388803","92"
"32","-2.5","-5e-05","-1","0.2","0.2","NaN","-1.88681445750085","-0.000340785996366362","-3.3118898645636","0.232515423481799","0.242026662901455","0","1855.61387359918","-912.105947202189","117"
"33","-1","1e-04","-4","0.2","0.2","NaN","-1.88687142519971","-0.000340807138054033","-3.31228045817863","0.232494657141403","0.24203530130322","0","1855.61386161224","-912.105941208718","50"
"34","-2.5","-0.00035","-5","0.2","0.2","NaN","-1.88573315648309","-0.000341196181066298","-3.31030033481147","0.232534509971554","0.242053234257872","0","1855.61438192091","-912.106201363053","7"
"35","-3","-0.00035","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","31"
"36","-1","-5e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","105"
"37","-3","-2e-04","-4","0.2","0.2","NaN","-1.88671653016076","-0.000341068123960994","-3.31175063727018","0.232449440675249","0.242011972890719","0","1855.61412683288","-912.10607381904","36"
"38","-1","-5e-05","-1","0.2","0.2","NaN","-1.03882207555852","-0.000731543315893852","-1.00313118324845","0.313416737521661","0.244729176137364","0","2211.33103074783","-1089.96452577652","120"
"39","-2.5","-5e-04","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","52"
