"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1.5","-2","-10","0.2","0.2","NaN","-1.72350682954886","-3.6353997033401","-4.88415785120242","0.239390510690601","0.241988619578812","0","1886.92304011319","-927.760530459196","19"
"2","-2","-2","-6.25","0.2","0.2","NaN","-1.72419376976723","-3.63450244952684","-4.88496305242285","0.239430417796048","0.242005668959672","0","1886.92284884135","-927.760434823274","93"
"3","-3","-3","-10","0.2","0.2","NaN","-1.72402846211649","-3.63549218908993","-4.88458936666866","0.23938399238746","0.242030543743971","0","1886.92290243185","-927.760461618525","11"
"4","-2","-3","-6.25","0.2","0.2","NaN","-1.72420622059321","-3.63440788128831","-4.88550704690347","0.239410075516878","0.242008902091813","0","1886.92285968034","-927.76044024277","88"
"5","-3","-2","-8.75","0.2","0.2","NaN","-1.72422835639414","-3.63454684191793","-4.88537344409734","0.239449923297914","0.24198608425924","0","1886.92287274141","-927.760446773306","41"
"6","-3","-1","-5","0.2","0.2","NaN","-1.72341733963749","-3.63310584957173","-4.8855844804753","0.239434085094244","0.242040578873486","0","1886.9231732733","-927.760597039249","121"
"7","-2","-2","-7.5","0.2","0.2","NaN","-1.72419376976723","-3.63450244952684","-4.88496305242285","0.239430417796048","0.242005668959672","0","1886.92284884135","-927.760434823274","68"
"8","-1","-2","-5","0.2","0.2","NaN","-1.72372732368995","-3.63490101107763","-4.88416868406091","0.239454281562435","0.242010447508997","0","1886.92289606874","-927.76045843697","120"
"9","-2","-3","-10","0.2","0.2","NaN","-1.72420622059321","-3.63440788128831","-4.88550704690347","0.239410075516878","0.242008902091813","0","1886.92285968034","-927.76044024277","13"
"10","-2.5","-3","-8.75","0.2","0.2","NaN","-1.72490872001073","-3.63429947977664","-4.88777112051907","0.239452373795946","0.242022256872563","0","1886.92313450797","-927.760577656587","37"
"11","-2.5","-1","-10","0.2","0.2","NaN","-1.72397851093159","-3.63558699690177","-4.8851648471131","0.239472642946719","0.242014181418126","0","1886.92298940633","-927.760505105766","22"
"12","-1","-2","-6.25","0.2","0.2","NaN","-1.72372732368995","-3.63490101107763","-4.88416868406091","0.239454281562435","0.242010447508997","0","1886.92289606874","-927.76045843697","95"
"13","-3","-3","-7.5","0.2","0.2","NaN","-1.72402846211649","-3.63549218908993","-4.88458936666866","0.23938399238746","0.242030543743971","0","1886.92290243185","-927.760461618525","61"
"14","-1.5","-5","-10","0.2","0.2","NaN","-1.72434785140679","-3.63533926930487","-4.8850381482768","0.239433796976251","0.242002536790712","0","1886.92285294716","-927.760436876182","4"
"15","-2.5","-4","-10","0.2","0.2","NaN","-1.7236940448058","-3.6342139447839","-4.88435321872311","0.239385408884675","0.242040989935496","0","1886.92293383079","-927.760477317996","7"
"16","-1","-4","-5","0.2","0.2","NaN","-1.72477469702339","-3.63538713937198","-4.8848490382902","0.239422487548032","0.242020503010676","0","1886.92298841272","-927.760504608958","110"
"17","-2.5","-2","-5","0.2","0.2","NaN","-1.72393067576453","-3.63505730975767","-4.88406562711103","0.239453484599207","0.242047001246611","0","1886.92289441428","-927.760457609737","117"
"18","-2.5","-5","-8.75","0.2","0.2","NaN","-1.7236380146229","-3.63464685914118","-4.88419955095496","0.239354026249358","0.242019014215322","0","1886.92299345512","-927.760507130159","27"
"19","-3","-5","-8.75","0.2","0.2","NaN","-1.69969044435698","-3.66181251997685","-4.83147260062823","0.24492437077192","0.233806025370575","0","1888.95465113733","-928.776335971266","26"
"20","-2","-3","-5","0.2","0.2","NaN","-1.72420622059321","-3.63440788128831","-4.88550704690347","0.239410075516878","0.242008902091813","0","1886.92285968034","-927.76044024277","113"
"21","-3","-2","-7.5","0.2","0.2","NaN","-1.72422835639414","-3.63454684191793","-4.88537344409734","0.239449923297914","0.24198608425924","0","1886.92287274141","-927.760446773306","66"
"22","-1.5","-1","-7.5","0.2","0.2","NaN","-1.72368769489576","-3.63442578721731","-4.88419120597733","0.239426281680019","0.242050153709414","0","1886.92290842656","-927.76046461588","74"
"23","-1","-2","-8.75","0.2","0.2","NaN","-1.72372732368995","-3.63490101107763","-4.88416868406091","0.239454281562435","0.242010447508997","0","1886.92289606874","-927.76045843697","45"
"24","-3","-5","-5","0.2","0.2","NaN","-1.69969044435698","-3.66181251997685","-4.83147260062823","0.24492437077192","0.233806025370575","0","1888.95465113733","-928.776335971266","101"
"25","-1.5","-4","-8.75","0.2","0.2","NaN","-1.72439315567531","-3.63414152761266","-4.8852227415104","0.239459476888909","0.242042335754303","0","1886.92293148666","-927.760476145928","34"
"26","-1.5","-5","-5","0.2","0.2","NaN","-1.72048969228571","-3.63966802658435","-4.87348650343978","0.239147418824156","0.242016320653157","0","1886.92971322272","-927.763867013958","104"
"27","-1","-4","-7.5","0.2","0.2","NaN","-1.72314681746983","-3.63578980288853","-4.8829702314346","0.239370960852175","0.242054731374814","0","1886.92324158429","-927.760631194746","60"
"28","-1.5","-2","-7.5","0.2","0.2","NaN","-1.72409637766903","-3.6347512014617","-4.88467215609294","0.239397263690977","0.24197909523731","0","1886.92288188125","-927.760451343224","69"
"29","-1","-5","-6.25","0.2","0.2","NaN","-2.20408290042983","-6.04346933772903","-5.22218910038987","0.258189917338354","0.241335920046398","0","1970.25822987294","-969.428125339071","80"
"30","-2","-5","-8.75","0.2","0.2","NaN","-1.72453319346371","-3.63589318965761","-4.88474663653826","0.239392768062656","0.242044482191813","0","1886.92293981055","-927.760480307876","28"
"31","-2","-5","-5","0.2","0.2","NaN","-1.72453319346371","-3.63589318965761","-4.88474663653826","0.239392768062656","0.242044482191813","0","1886.92293981055","-927.760480307876","103"
"32","-1.5","-3","-10","0.2","0.2","NaN","-1.72411065625724","-3.63530241786501","-4.88446184015959","0.239411684476514","0.241981334597687","0","1886.92287515254","-927.760447978867","14"
"33","-3","-4","-8.75","0.2","0.2","NaN","-1.72382844295268","-3.63416030931803","-4.88315581275194","0.239536232714736","0.242136603928073","0","1886.92356625946","-927.760793532331","31"
"34","-2","-5","-10","0.2","0.2","NaN","-1.72453319346371","-3.63589318965761","-4.88474663653826","0.239392768062656","0.242044482191813","0","1886.92293981055","-927.760480307876","3"
"35","-2.5","-5","-10","0.2","0.2","NaN","-1.72384233779321","-3.63499927672211","-4.88400299047383","0.239390296050545","0.24202699450469","0","1886.92289556741","-927.760458186307","2"
"36","-1.5","-1","-10","0.2","0.2","NaN","-1.72451219276158","-3.6350285579149","-4.88546097247703","0.239420290729089","0.242022354209458","0","1886.9228600966","-927.760440450899","24"
"37","-1.5","-1","-8.75","0.2","0.2","NaN","-1.72451219276158","-3.6350285579149","-4.88546097247703","0.239420290729089","0.242022354209458","0","1886.9228600966","-927.760440450899","49"
"38","-2","-1","-8.75","0.2","0.2","NaN","-1.72442843984218","-3.63485931969278","-4.88545178692036","0.239438621139733","0.242020363353374","0","1886.92285315909","-927.760436982147","48"
"39","-2","-1","-5","0.2","0.2","NaN","-1.72442843984218","-3.63485931969278","-4.88545178692036","0.239438621139733","0.242020363353374","0","1886.92285315909","-927.760436982147","123"
"40","-3","-1","-10","0.2","0.2","NaN","-1.72388695872184","-3.63481334107329","-4.8845590086467","0.23943389287002","0.242019776252353","0","1886.92285569582","-927.760438250509","21"
"41","-1.5","-5","-7.5","0.2","0.2","NaN","-1.72048969228571","-3.63966802658435","-4.87348650343978","0.239147418824156","0.242016320653157","0","1886.92971322272","-927.763867013958","54"
"42","-1","-5","-7.5","0.2","0.2","NaN","-2.20408290042983","-6.04346933772903","-5.22218910038987","0.258189917338354","0.241335920046398","0","1970.25822987294","-969.428125339071","55"
"43","-3","-1","-7.5","0.2","0.2","NaN","-1.72388695872184","-3.63481334107329","-4.8845590086467","0.23943389287002","0.242019776252353","0","1886.92285569582","-927.760438250509","71"
"44","-2","-1","-7.5","0.2","0.2","NaN","-1.72442843984218","-3.63485931969278","-4.88545178692036","0.239438621139733","0.242020363353374","0","1886.92285315909","-927.760436982147","73"
"45","-3","-2","-10","0.2","0.2","NaN","-1.72424625527223","-3.6344041577542","-4.8854612672944","0.239386733965124","0.242097141510884","0","1886.92299774232","-927.76050927376","16"
"46","-2","-3","-8.75","0.2","0.2","NaN","-1.72423439533053","-3.63498192783073","-4.88514300776252","0.239354253372855","0.241960789138908","0","1886.92299127143","-927.760506038312","38"
"47","-1","-3","-5","0.2","0.2","NaN","-1.72403907958323","-3.63573232679652","-4.88374334395115","0.239454041452133","0.242064272171812","0","1886.92296130409","-927.760491054644","115"
"48","-1.5","-3","-5","0.2","0.2","NaN","-1.72411065625724","-3.63530241786501","-4.88446184015959","0.239411684476514","0.241981334597687","0","1886.92287515254","-927.760447978867","114"
"49","-1","-3","-7.5","0.2","0.2","NaN","-1.72403907958323","-3.63573232679652","-4.88374334395115","0.239454041452133","0.242064272171812","0","1886.92296130409","-927.760491054644","65"
"50","-3","-3","-6.25","0.2","0.2","NaN","-1.72383001605341","-3.63540093030233","-4.88444651807669","0.239431735212843","0.242041467509789","0","1886.92290750719","-927.760464156194","86"
"51","-2.5","-2","-6.25","0.2","0.2","NaN","-1.7240658120415","-3.63489552941108","-4.88479556817992","0.239434743956689","0.242022731639605","0","1886.92284095252","-927.760430878862","92"
"52","-2","-4","-10","0.2","0.2","NaN","-1.72418130033552","-3.63446178547808","-4.88514301425999","0.239466898344019","0.242032423980464","0","1886.92287980598","-927.760450305591","8"
"53","-3","-4","-5","0.2","0.2","NaN","-1.72467280632145","-3.63508792223658","-4.88578479175777","0.23942360649629","0.242032617908411","0","1886.92289132485","-927.760456065024","106"
"54","-1.5","-3","-8.75","0.2","0.2","NaN","-1.72412475604495","-3.63540412684938","-4.884439756665","0.239429728425989","0.242055376408066","0","1886.92288025781","-927.760450531505","39"
"55","-3","-2","-5","0.2","0.2","NaN","-1.72422773250816","-3.63454946195278","-4.88542768145678","0.239360365159406","0.242063163002015","0","1886.92296643497","-927.760493620084","116"
"56","-2.5","-4","-8.75","0.2","0.2","NaN","-1.72416931230367","-3.63464348324354","-4.88514727241987","0.239430502542695","0.242018399306666","0","1886.92283963628","-927.760430220741","32"
"57","-2","-4","-8.75","0.2","0.2","NaN","-1.72418130033552","-3.63446178547808","-4.88514301425999","0.239466898344019","0.242032423980464","0","1886.92287980598","-927.760450305591","33"
"58","-2","-4","-6.25","0.2","0.2","NaN","-1.72418130033552","-3.63446178547808","-4.88514301425999","0.239466898344019","0.242032423980464","0","1886.92287980598","-927.760450305591","83"
"59","-1","-4","-8.75","0.2","0.2","NaN","-1.72348748014114","-3.63400084332261","-4.88552258704656","0.239412231163624","0.242056618831402","0","1886.92315182628","-927.76058631574","35"
"60","-1.5","-5","-6.25","0.2","0.2","NaN","-1.72424502459084","-3.6350007240558","-4.88559539366406","0.239415085932821","0.242010423078816","0","1886.92287028288","-927.760445544037","79"
