"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-0.00035","-3","0.2","0.2","NaN","-2.09569523373976","-2.90031790702498","0.000500495626530292","0.262451484233585","0.244822248898311","0","1981.57367990927","-975.085850357235","58"
"2","-2.5","-2e-04","-5","0.2","0.2","NaN","-2.18916519778435","-23.792866622806","0.000736092866411365","0.251898239150735","0.242024414296372","0","1941.38462002297","-954.991320414085","12"
"3","-3","-5e-04","-3","0.2","0.2","NaN","-3.42133104291779","-2.36426107636223","-0.14509483536138","0.354485070757214","0.242327354527368","0","2307.45977727235","-1138.02889903877","51"
"4","-1.5","-5e-05","-3","0.2","0.2","NaN","-2.00671318431436","-2.61891574275099","0.000522406375405828","0.269780009840739","0.252732731115007","0","2003.21976598126","-985.90889339323","69"
"5","-2","-0.00035","-1","0.2","0.2","NaN","-2.17611100174141","-0.94502126840169","-0.0016808953123167","0.302278982720923","0.242198494041351","0","2136.5847803042","-1052.5914005547","108"
"6","-2.5","-5e-05","-1","0.2","0.2","NaN","-2.14597492550926","-4.99593591181638","0.000693402715941209","0.251114052007894","0.242029543789409","0","1937.9180575111","-953.258039158148","117"
"7","-2","-2e-04","-2","0.2","0.2","NaN","-2.14620392624546","-4.98977834751394","0.000692553256551916","0.251084351235623","0.242044032664294","0","1937.91819765769","-953.258109231447","88"
"8","-2.5","-5e-04","-1","0.2","0.2","NaN","-2.1463280639057","-4.99308073781341","0.000692408084789309","0.251182483797953","0.242019426702896","0","1937.91816429952","-953.258092552358","102"
"9","-1.5","1e-04","-3","0.2","0.2","NaN","-1.98522412479626","-2.56468007446124","0.000530692483734432","0.266093811930207","0.239495901143135","0","2006.14939775356","-987.373709279378","74"
"10","-3","-2e-04","-2","0.2","0.2","NaN","-2.14915597054558","-5.01766563674279","0.000683040942661252","0.251151350390059","0.199592213833853","0","1983.25716423621","-975.927592520702","86"
"11","-1.5","-2e-04","-2","0.2","0.2","NaN","-2.14564173423909","-4.98895480713425","0.000692881107179704","0.251088422037589","0.242077136728172","0","1937.91823394275","-953.258127373973","89"
"12","-2","1e-04","-3","0.2","0.2","NaN","-2.18284109157928","-3.126169224791","0.000478330800120345","0.26150282505718","0.215483680987189","0","1987.61207708322","-978.10504894421","73"
"13","-2","-5e-04","-5","0.2","0.2","NaN","-2.11409484291081","-4.83298269753249","0.000710235675736795","0.252367073364492","0.261207716956998","0","1944.17511925152","-956.386570028358","3"
"14","-2.5","-0.00035","-4","0.2","0.2","NaN","-2.10413746063912","-4.17335152507105","0.00065533837439788","0.251610293316451","0.243128183520098","0","1941.31294251769","-954.955481661444","32"
"15","-3","-0.00035","-1","0.2","0.2","NaN","-3.09711164081515","-1.88716745775399","-0.156885534115445","0.352441383787061","0.242432262817862","0","2302.51613149945","-1135.55707615232","106"
"16","-2.5","-5e-04","-4","0.2","0.2","NaN","-2.10363006706736","-4.15988473284681","0.000654340215617395","0.251623470626969","0.24312145366454","0","1941.4533606861","-955.025690745648","27"
"17","-2","1e-04","-4","0.2","0.2","NaN","-1.98922382249674","-4.35439622623714","0.000784710666443567","0.253204657891726","0.242473116268623","0","1946.24761474953","-957.422817777365","48"
"18","-2.5","-5e-05","-5","0.2","0.2","NaN","-2.14601920848867","-4.99493902980115","0.000692719499884187","0.25112704868327","0.242014448495019","0","1937.91804442619","-953.258032615696","17"
"19","-1","-0.00035","-5","0.2","0.2","NaN","-2.04884002727495","-3.78070065217846","0.000655697865755175","0.250645034913025","0.239094205710462","0","1948.50002987823","-958.549025341714","10"
"20","-3","-2e-04","-5","0.2","0.2","NaN","-2.12702169817461","-4.08438490532688","0.000625729001681896","0.252256444547747","0.242577847724064","0","1942.28234326299","-955.440182034094","11"
"21","-2.5","-5e-05","-2","0.2","0.2","NaN","-2.14467729496973","-4.99454259891202","0.000693638393446588","0.251251249445049","0.24211457052298","0","1937.91909397541","-953.258557390303","92"
"22","-2","1e-04","-1","0.2","0.2","NaN","-2.14619668488669","-4.99806871138176","0.000692848937422378","0.251118213851758","0.242044580221333","0","1937.91805203204","-953.258036418621","123"
"23","-2","-5e-05","-5","0.2","0.2","NaN","-2.15169930286214","-5.25581501063079","0.000704258764521864","0.251222773593339","0.242979158033209","0","1938.08486762055","-953.341444212875","18"
"24","-3","-5e-04","-1","0.2","0.2","NaN","-3.1682276814914","-1.81870994641794","-0.169211873719856","0.352842931025531","0.242331130487188","0","2302.41430108853","-1135.50616094686","101"
"25","-2","-5e-04","-1","0.2","0.2","NaN","-2.1460982597613","-4.99609900238342","0.000693292164130638","0.251136019280203","0.241993191364629","0","1937.91808451666","-953.25805266093","103"
"26","-1.5","-0.00035","-2","0.2","0.2","NaN","-2.18059821267072","-7.43755468922119","0.000715924146536816","0.252096834887076","0.242137405465545","0","1940.78912833054","-954.693574567869","84"
"27","-2","1e-04","-5","0.2","0.2","NaN","-2.14585526103015","-4.9887485768175","0.000692758408721159","0.251150078435076","0.242008485760302","0","1937.91819932977","-953.258110067482","23"
"28","-3","-0.00035","-3","0.2","0.2","NaN","-3.4218228883327","-2.36469224666309","-0.145150580164448","0.35446612283139","0.242361813359519","0","2307.45984155586","-1138.02893118053","56"
"29","-2.5","-0.00035","-2","0.2","0.2","NaN","-2.14605400198285","-4.99934904103084","0.000693162777647568","0.251084007936772","0.242021673595932","0","1937.91809565462","-953.258058229907","82"
"30","-3","1e-04","-2","0.2","0.2","NaN","-2.16560986324738","-5.4649934416947","0.000691098589443852","0.251309475683245","0.200716115734281","0","1980.91483874355","-974.756429774373","96"
"31","-1.5","-0.00035","-1","0.2","0.2","NaN","-2.14617999030534","-4.99211028245288","0.000692292417185145","0.251094851193496","0.242019631844814","0","1937.91810730002","-953.258064052611","109"
"32","-2.5","-5e-05","-4","0.2","0.2","NaN","-2.14619813046835","-4.99712469910456","0.000692768425183615","0.251110188119","0.242018297114863","0","1937.91804670027","-953.258033752734","42"
"33","-2","-2e-04","-1","0.2","0.2","NaN","-2.14621008844156","-4.99614257522421","0.000692796891096307","0.251112034630827","0.242044280680294","0","1937.91804423602","-953.258032520607","113"
"34","-2.5","-0.00035","-1","0.2","0.2","NaN","-2.14593347253647","-4.99529164558555","0.000693250790028739","0.251181877152417","0.242012279145358","0","1937.91812057566","-953.258070690431","107"
"35","-2.5","1e-04","-3","0.2","0.2","NaN","-2.14616561377388","-4.99660811577003","0.000692858853821961","0.251122992847216","0.242008405253933","0","1937.91804751938","-953.258034162289","72"
"36","-1","-5e-05","-1","0.2","0.2","NaN","-2.25358446784631","-0.637679853104384","-0.00227942058349183","0.312145094297342","0.237676826003222","0","2145.42382501238","-1057.01092290879","120"
"37","-3","-5e-05","-5","0.2","0.2","NaN","-2.18927561676207","-870.799916987851","0.000736119449070462","0.251843115981198","0.241997356861226","0","1941.38477801211","-954.991399408653","16"
"38","-2","-2e-04","-4","0.2","0.2","NaN","-2.10697768521488","-4.09682131819059","0.000644620935828551","0.250993366035757","0.242809534296806","0","1942.13164934617","-955.364835075685","38"
"39","-2","-5e-05","-2","0.2","0.2","NaN","-2.14606419283402","-4.99411782536354","0.000692661874053357","0.251115391587702","0.242042994705435","0","1937.91804635543","-953.258033580316","93"
"40","-1.5","1e-04","-2","0.2","0.2","NaN","-2.18947220271023","-16.5347750482821","0.000736321892462011","0.251934460978363","0.242050392764083","0","1941.38460966543","-954.991315235314","99"
"41","-1.5","-5e-04","-3","0.2","0.2","NaN","-2.04713077880513","-2.96015826799722","0.000543044756103543","0.260250511513638","0.240787588140693","0","1978.18913795665","-973.393579380923","54"
"42","-1","-2e-04","-2","0.2","0.2","NaN","-2.14608017076042","-4.99462817502341","0.000692951676885872","0.251127788405594","0.242010146250997","0","1937.9180513877","-953.25803609645","90"
"43","-3","-5e-04","-4","0.2","0.2","NaN","-2.10715573994006","-3.43755652397987","0.00056495822257001","0.256423322038632","0.240999476793331","0","1956.62099996812","-962.609510386662","26"
"44","-3","1e-04","-5","0.2","0.2","NaN","-2.14574895230754","-4.9929935360373","0.000693186814647894","0.251125635182178","0.241995737116507","0","1937.91810391822","-953.258062361711","21"
"45","-1","-5e-04","-3","0.2","0.2","NaN","-2.13486677596021","-4.54500394654794","0.000666286959110053","0.248684250620053","0.240171124423822","0","1938.86974339646","-953.733882100831","55"
