"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.5","-2","1e-04","-5","0.2","0.2","NaN","-1.76404958657614","-3.72030409950059","0.000238170402785866","-4.98426891231679","0.247402920464738","0.209367203365986","0","1918.98140062058","-940.649512793409","617"
"2","-2","-5","-5e-05","-6.25","0.2","0.2","NaN","-2.09006744363951","-4.27215743992552","0.000664388498040301","-9.86956414838344","0.25151049865505","0.242305415191543","0","1945.01612730189","-953.666876134066","453"
"3","-3","-5","-0.00035","-5","0.2","0.2","NaN","-2.14147906902671","-5.44427392035509","0.000696018928469472","-8.80192608270517","0.250006915583132","0.241997888565773","0","1940.16792811797","-951.242776542106","526"
"4","-2","-1","-5e-05","-10","0.2","0.2","NaN","-2.12879854425297","-1.02139806738432","-0.000468218451160922","-5.62264930531713","0.295751769046425","0.240332991033652","0","2139.74129426135","-1051.02945961379","98"
"5","-3","-1","-5e-04","-8.75","0.2","0.2","NaN","-2.14262344018807","-4.94773170430154","0.000687126869616309","-10.5108610751884","0.250808962189628","0.242045906948429","0","1943.3154324649","-952.816528715568","146"
"6","-2.5","-1","-5e-04","-6.25","0.2","0.2","NaN","-2.53673145741607","-1.14476477444326","-0.00216988214959877","-8.91005822771938","0.308938223206136","0.242324679127024","0","2167.42901680375","-1064.873320885","397"
"7","-1","-1","-5e-05","-5","0.2","0.2","NaN","-1.49136187603631","-3.08115827655815","2.30536608410905e-05","-4.33844687838722","0.239762868780911","0.246526601669218","0","1904.01113382019","-933.164379393215","600"
"8","-1.5","-5","-5e-04","-7.5","0.2","0.2","NaN","-2.04194192260892","-7.90130165259143","0.000578163567468016","-5.86970627281062","0.244916402136297","0.242689534236275","0","1920.10334077474","-941.210482870491","254"
"9","-2","-5","-2e-04","-10","0.2","0.2","NaN","-2.11458068648436","-4.25987247440571","0.000648619399759828","-10.2916440993677","0.251532584549713","0.242686188377785","0","1945.50805155846","-953.912838262347","53"
"10","-3","-5","1e-04","-5","0.2","0.2","NaN","-2.14205825819019","-5.05635267067226","0.000686392541620162","-9.57893053334335","0.250503335027803","0.241802466273095","0","1942.01756097361","-952.167592969927","601"
"11","-1","-4","1e-04","-7.5","0.2","0.2","NaN","-1.85431649738575","-0.36964341524257","-0.00275022162906055","-11.730374325967","0.305414694974245","0.254071773179018","0","2195.5563748541","-1078.93699991017","360"
"12","-2","-4","-5e-04","-6.25","0.2","0.2","NaN","-2.11421301764701","-3.84212222250168","0.000587659268893276","-9.24491061952706","0.250731371218994","0.238842545754046","0","1949.1211572737","-955.719391119969","383"
"13","-3","-2","-2e-04","-5","0.2","0.2","NaN","-2.18745410725844","-14.9635899479327","0.000732283302440367","-10.2558853758437","0.25166970844324","0.242098567830771","0","1946.69650489507","-954.507064930656","566"
"14","-1.5","-4","-5e-05","-7.5","0.2","0.2","NaN","-1.98679706584233","-6.10207183673608","0.000564426465242053","-5.73413020198933","0.243688376859385","0.24382623787416","0","1914.84431005239","-938.580967509316","334"
"15","-3","-4","-0.00035","-10","0.2","0.2","NaN","-1.98284242134693","-5.48746279123552","0.000518321586937151","-5.67529712379752","0.242452975044119","0.242917705664638","0","1910.23207438135","-936.274849673793","31"
"16","-1.5","-1","-5e-05","-5","0.2","0.2","NaN","-1.98763579084642","-5.64801902604132","0.000564801776428743","-5.87248850646357","0.242917597875948","0.243945240584427","0","1912.51667300791","-937.417148987074","599"
"17","-2","-4","-5e-05","-8.75","0.2","0.2","NaN","-2.03968193582441","-7.47092542702833","0.000574875501885334","-5.86383267914272","0.245522980633069","0.24167524650688","0","1919.49532793726","-940.906476451748","208"
"18","-2.5","-5","-5e-04","-5","0.2","0.2","NaN","-2.02888947773972","-7.51927894353296","0.000579386097063778","-5.83477977636006","0.245129129466306","0.24205786231531","0","1919.51433931626","-940.91598214125","502"
"19","-2.5","-1","-0.00035","-5","0.2","0.2","NaN","-2.53422758578498","-1.14253134228551","-0.0021726529702788","-8.92228562641449","0.309011038486142","0.242411034109094","0","2167.4518012984","-1064.88471313232","547"
"20","-2","-1","-5e-05","-8.75","0.2","0.2","NaN","-2.12879854425297","-1.02139806738432","-0.000468218451160922","-5.62264930531713","0.295751769046425","0.240332991033652","0","2139.74129426135","-1051.02945961379","223"
