"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-3","-7.5","0.2","0.2","NaN","-1.64813173167264","-3.33892011837117","-4.59325095692926","0.24078531147081","0.242013667712807","0","1892.95835060351","-930.778185704355","65"
"2","-2","-2","-7.5","0.2","0.2","NaN","-1.64777919609874","-3.33956327930616","-4.59115079475281","0.24087010372019","0.242022560103617","0","1892.95875212791","-930.778386466553","68"
"3","-2","-2","-8.75","0.2","0.2","NaN","-1.64777919609874","-3.33956327930616","-4.59115079475281","0.24087010372019","0.242022560103617","0","1892.95875212791","-930.778386466553","43"
"4","-1","-5","-5","0.2","0.2","NaN","-1.6477587588337","-3.33660363150505","-4.59320612133279","0.24071072154008","0.24204349002763","0","1892.95846023529","-930.778240520245","105"
"5","-2.5","-1","-5","0.2","0.2","NaN","-1.6479952601447","-3.33806020650733","-4.59342506824868","0.240791725953478","0.2420727028804","0","1892.95834904955","-930.778184927373","122"
"6","-1.5","-2","-8.75","0.2","0.2","NaN","-2.38204314273486","-3.17903331192668","-19.5213115707391","0.272164729407253","0.242123801823992","0","2024.24789011878","-996.42295546199","44"
"7","-1","-5","-7.5","0.2","0.2","NaN","-1.6477587588337","-3.33660363150505","-4.59320612133279","0.24071072154008","0.24204349002763","0","1892.95846023529","-930.778240520245","55"
"8","-3","-4","-6.25","0.2","0.2","NaN","-1.6477912149228","-3.33858857785845","-4.59242655385377","0.240770580238751","0.24205599690026","0","1892.95834034466","-930.778180574932","81"
"9","-2","-1","-10","0.2","0.2","NaN","-1.64790251155821","-3.33805767896911","-4.59296741822845","0.240714908561794","0.241997906028692","0","1892.95837577373","-930.778198289467","23"
"10","-2","-4","-5","0.2","0.2","NaN","-1.64886123129876","-3.33850352356576","-4.59489900448976","0.240768246094931","0.242044756005208","0","1892.95842383515","-930.778222320172","108"
"11","-2","-5","-7.5","0.2","0.2","NaN","-1.64836991170825","-3.3386547647679","-4.5937992573809","0.240741141819599","0.242013969688093","0","1892.95834830377","-930.778184554485","53"
"12","-2.5","-4","-10","0.2","0.2","NaN","-1.64798329811382","-3.33840009336274","-4.5931539672885","0.240776598420322","0.242046399117947","0","1892.95831487621","-930.778167840705","7"
"13","-2.5","-1","-8.75","0.2","0.2","NaN","-1.6479952601447","-3.33806020650733","-4.59342506824868","0.240791725953478","0.2420727028804","0","1892.95834904955","-930.778184927373","47"
"14","-1.5","-4","-5","0.2","0.2","NaN","-1.64807779576978","-3.33818995916598","-4.5936471297576","0.240748920601126","0.24204360445225","0","1892.95832148661","-930.778171145904","109"
"15","-2.5","-4","-8.75","0.2","0.2","NaN","-1.64798329811382","-3.33840009336274","-4.5931539672885","0.240776598420322","0.242046399117947","0","1892.95831487621","-930.778167840705","32"
"16","-2","-1","-7.5","0.2","0.2","NaN","-1.64790251155821","-3.33805767896911","-4.59296741822845","0.240714908561794","0.241997906028692","0","1892.95837577373","-930.778198289467","73"
"17","-1","-1","-5","0.2","0.2","NaN","-1.6481217584737","-3.33816333664457","-4.59296973197582","0.240725459460265","0.242068385944762","0","1892.9583707675","-930.778195786348","125"
"18","-2","-3","-5","0.2","0.2","NaN","-1.64799309042538","-3.33745062663234","-4.59326277605857","0.24076650810461","0.242016617855212","0","1892.95833726634","-930.778179035769","113"
"19","-2","-4","-6.25","0.2","0.2","NaN","-1.64886123129876","-3.33850352356576","-4.59489900448976","0.240768246094931","0.242044756005208","0","1892.95842383515","-930.778222320172","83"
"20","-2","-5","-10","0.2","0.2","NaN","-1.64836991170825","-3.3386547647679","-4.5937992573809","0.240741141819599","0.242013969688093","0","1892.95834830377","-930.778184554485","3"
"21","-3","-4","-8.75","0.2","0.2","NaN","-1.6477912149228","-3.33858857785845","-4.59242655385377","0.240770580238751","0.24205599690026","0","1892.95834034466","-930.778180574932","31"
"22","-3","-5","-6.25","0.2","0.2","NaN","-1.64773382900555","-3.33862538947751","-4.59220053405094","0.240760234736696","0.242035336321794","0","1892.95834484151","-930.778182823356","76"
"23","-3","-1","-7.5","0.2","0.2","NaN","-1.64891940531796","-3.33860470210752","-4.59519897008719","0.240766287034869","0.242032171615314","0","1892.95844503269","-930.778232918946","71"
"24","-1","-4","-5","0.2","0.2","NaN","-1.64757783117348","-3.33772746401588","-4.58974637555904","0.240688103751821","0.241952139630576","0","1892.95917835321","-930.778599579206","110"
"25","-2.5","-3","-8.75","0.2","0.2","NaN","-1.64800201330569","-3.33845125407338","-4.59312749833265","0.240767971551292","0.242038765059357","0","1892.95831089904","-930.778165852121","37"
"26","-1","-2","-8.75","0.2","0.2","NaN","-1.6482119208283","-3.33930578147645","-4.59273969835912","0.24077733620042","0.242047312779746","0","1892.95838817366","-930.778204489429","45"
