"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2.11111111111111","-1.44444444444444","0.2","0.2","NaN","-2.38214137988566","-3.17885574277422","0.272173846642964","0.242107166765239","0","2017.96771940137","-996.423068022764","85"
"2","-3","-1.88888888888889","0.2","0.2","NaN","-2.38219897391786","-3.17909378311714","0.272171480101519","0.242140193224236","0","2017.96773354268","-996.42307509342","71"
"3","-2.33333333333333","-3.22222222222222","0.2","0.2","NaN","-2.38217870015323","-3.17954643682584","0.27214591483645","0.242101052293108","0","2017.96773013923","-996.423073391695","44"
"4","-1","-5","0.2","0.2","NaN","-2.38237580167415","-3.18044972380931","0.27224460206485","0.242117354765008","0","2017.96782719329","-996.423121918725","10"
"5","-1.22222222222222","-3.22222222222222","0.2","0.2","NaN","-2.38207665093569","-3.1780327327336","0.27219053379756","0.242010556732486","0","2017.96794092968","-996.42317878692","49"
"6","-2.33333333333333","-1.88888888888889","0.2","0.2","NaN","-2.38204292595635","-3.17950728229957","0.272179827155581","0.2421001488163","0","2017.96772601817","-996.423071331167","74"
"7","-2.77777777777778","-3.66666666666667","0.2","0.2","NaN","-2.38203544556561","-3.17919338013871","0.272189962684045","0.242119521039452","0","2017.96772333566","-996.423069989908","32"
"8","-2.11111111111111","-4.55555555555556","0.2","0.2","NaN","-2.38208310034609","-3.17976806088696","0.272151869148244","0.242115264770535","0","2017.96773644858","-996.423076546367","15"
"9","-2.33333333333333","-1","0.2","0.2","NaN","-2.38206537348596","-3.17908043140332","0.272166826693678","0.242102032409939","0","2017.96771779314","-996.423067218651","94"
"10","-2.11111111111111","-2.77777777777778","0.2","0.2","NaN","-2.38205384661217","-3.1789400166839","0.272180915754095","0.242089180696198","0","2017.96772599472","-996.423071319442","55"
"11","-1.66666666666667","-1.88888888888889","0.2","0.2","NaN","-2.38228587791829","-3.17949204254848","0.272162881996098","0.242102977826774","0","2017.96772268673","-996.423069665445","77"
"12","-2.77777777777778","-4.55555555555556","0.2","0.2","NaN","-2.38159755939395","-3.17825759754833","0.272253122315946","0.24215291801735","0","2017.96790499561","-996.423160819882","12"
"13","-2.11111111111111","-1.88888888888889","0.2","0.2","NaN","-2.38230655798043","-3.18069457053442","0.27218601543351","0.242109496296416","0","2017.96777356981","-996.423095106983","75"
"14","-1","-1","0.2","0.2","NaN","-2.38231286224227","-3.17920271640818","0.272172756776387","0.242119474752042","0","2017.96772630329","-996.423071473723","100"
"15","-3","-5","0.2","0.2","NaN","-2.38202978263162","-3.17889749659514","0.272157678096698","0.24211272720919","0","2017.96772154365","-996.423069093905","1"
"16","-1.66666666666667","-2.77777777777778","0.2","0.2","NaN","-2.3823822909116","-3.17981210658579","0.272184840640954","0.242116723168938","0","2017.96773298838","-996.42307481627","57"
"17","-1.66666666666667","-1","0.2","0.2","NaN","-2.3821638249896","-3.17962449587086","0.272177968632524","0.242084661017","0","2017.96773212697","-996.423074385566","97"
"18","-2.33333333333333","-2.77777777777778","0.2","0.2","NaN","-2.38199127156583","-3.17861425235833","0.272148842128846","0.242084031396911","0","2017.96774508915","-996.423080866654","54"
"19","-2.11111111111111","-1","0.2","0.2","NaN","-2.3821148097399","-3.17941977998504","0.272181807172589","0.24208090974476","0","2017.96773388741","-996.423075265786","95"
"20","-2.55555555555556","-4.55555555555556","0.2","0.2","NaN","-2.38178238708649","-3.17847142969284","0.272188872706968","0.242101684791368","0","2017.9677486768","-996.423082660481","13"
"21","-2.77777777777778","-2.33333333333333","0.2","0.2","NaN","-2.3822872759616","-3.1799170290507","0.272191977258819","0.242115312354794","0","2017.96773308144","-996.423074862797","62"
"22","-1.88888888888889","-5","0.2","0.2","NaN","-2.38228567646918","-3.18075059144877","0.272216337160444","0.242113436384289","0","2017.96780412007","-996.423110382115","6"
"23","-2.33333333333333","-5","0.2","0.2","NaN","-2.38184781023607","-3.1777325435478","0.272123898277168","0.242078034816153","0","2017.96782211365","-996.423119378906","4"
"24","-2.77777777777778","-3.22222222222222","0.2","0.2","NaN","-2.38206423600558","-3.17893822070669","0.272157198563852","0.242124976815879","0","2017.96772431942","-996.423070481788","42"
"25","-1.88888888888889","-1.44444444444444","0.2","0.2","NaN","-2.38215100391557","-3.1795771155427","0.272140434296712","0.242114433926033","0","2017.96773476907","-996.423075706614","86"
"26","-1.66666666666667","-4.11111111111111","0.2","0.2","NaN","-2.38192573510389","-3.17938241418689","0.272152939821308","0.242162540672299","0","2017.96778886819","-996.423102756176","27"
"27","-2.55555555555556","-1.88888888888889","0.2","0.2","NaN","-2.38215809465334","-3.1790491189122","0.272176648596436","0.242127333809123","0","2017.96772162999","-996.423069137073","73"
"28","-1","-2.33333333333333","0.2","0.2","NaN","-2.38200620557665","-3.17935098104504","0.272161193888546","0.242147861570868","0","2017.96775034475","-996.423083494456","70"
"29","-2.11111111111111","-5","0.2","0.2","NaN","-2.38244527849213","-3.17988360612251","0.272196152989077","0.242089683900382","0","2017.96775326105","-996.423084952603","5"
"30","-2.77777777777778","-1","0.2","0.2","NaN","-2.38210695623821","-3.17855781177341","0.272167130914378","0.242105630651967","0","2017.967728146","-996.423072395077","92"
"31","-2.33333333333333","-3.66666666666667","0.2","0.2","NaN","-2.38230164416179","-3.17997971281563","0.272123363139113","0.242118966097427","0","2017.96776714875","-996.423091896456","34"
"32","-1.44444444444444","-1","0.2","0.2","NaN","-2.3820562823792","-3.17847514795495","0.272190762605915","0.242152984448069","0","2017.96776593395","-996.423091289056","98"
"33","-3","-2.33333333333333","0.2","0.2","NaN","-2.38212119140943","-3.17897786449676","0.272170168241724","0.242104469230286","0","2017.96771708474","-996.423066864451","61"
"34","-2.11111111111111","-3.66666666666667","0.2","0.2","NaN","-2.38204853435764","-3.17903520861011","0.272183775545734","0.242126536988743","0","2017.96772289915","-996.423069771656","35"
"35","-2.33333333333333","-2.33333333333333","0.2","0.2","NaN","-2.38217344013217","-3.1797066441731","0.272180474590069","0.242141790273123","0","2017.96774045758","-996.423078550872","64"
"36","-1.44444444444444","-5","0.2","0.2","NaN","-2.38210210276954","-3.17911943157714","0.272180590753152","0.242100146001285","0","2017.96771783005","-996.423067237103","8"
"37","-1.88888888888889","-3.66666666666667","0.2","0.2","NaN","-2.38222474064392","-3.17977907414385","0.272182496203181","0.242120873773784","0","2017.96772621117","-996.423071427665","36"
"38","-2.77777777777778","-1.44444444444444","0.2","0.2","NaN","-2.38216681912744","-3.17968592058983","0.272180973948306","0.242122401769259","0","2017.96772481806","-996.42307073111","82"
"39","-3","-3.22222222222222","0.2","0.2","NaN","-2.38248992821507","-3.17985945430092","0.272169760703321","0.242160140301083","0","2017.96778897834","-996.42310281125","41"
"40","-1.44444444444444","-2.77777777777778","0.2","0.2","NaN","-2.38161630353679","-3.17759906399704","0.272132069621628","0.242141039706317","0","2017.9678372528","-996.423126948482","58"
"41","-3","-1.44444444444444","0.2","0.2","NaN","-2.38186690213971","-3.17872558060417","0.272191411860181","0.242116438575903","0","2017.96773648729","-996.423076565725","81"
"42","-2.11111111111111","-2.33333333333333","0.2","0.2","NaN","-2.38219108783959","-3.17885346601533","0.272183052270676","0.242123610317012","0","2017.9677266804","-996.423071662277","65"
"43","-2.55555555555556","-2.77777777777778","0.2","0.2","NaN","-2.38197678262795","-3.17942976994446","0.272160424253685","0.242093278706313","0","2017.96773573836","-996.423076191261","53"
"44","-2.77777777777778","-4.11111111111111","0.2","0.2","NaN","-2.38206303450118","-3.17904353401216","0.272178924873765","0.242126021013938","0","2017.96772098951","-996.423068816832","22"
"45","-1.88888888888889","-4.55555555555556","0.2","0.2","NaN","-2.38221972278584","-3.17951608412969","0.272144693606147","0.242132977656213","0","2017.96773860027","-996.423077622217","16"
"46","-1","-3.66666666666667","0.2","0.2","NaN","-2.38258155011104","-3.17764773385661","0.272219794177975","0.242044984313667","0","2017.96804174452","-996.423229194338","40"
"47","-1.44444444444444","-3.66666666666667","0.2","0.2","NaN","-2.38198322968422","-3.17907915370059","0.272167242911924","0.242120337880968","0","2017.96772275113","-996.423069697642","38"
"48","-1","-1.44444444444444","0.2","0.2","NaN","-2.38252273010505","-3.17950912251972","0.272167191637736","0.242133858746402","0","2017.96776275609","-996.423089700123","90"
"49","-1.66666666666667","-1.44444444444444","0.2","0.2","NaN","-2.38203061690916","-3.17918070318497","0.272212341971904","0.242105114021366","0","2017.96774051813","-996.423078581147","87"
"50","-3","-4.55555555555556","0.2","0.2","NaN","-2.38218473053287","-3.17976299784726","0.272185458776163","0.242091971116577","0","2017.96773146528","-996.42307405472","11"
"51","-1.66666666666667","-3.22222222222222","0.2","0.2","NaN","-2.38233678490559","-3.17958439007597","0.272162152115659","0.24212327542845","0","2017.96772905008","-996.423072847118","47"
"52","-3","-1","0.2","0.2","NaN","-2.38241239230841","-3.17913942703419","0.272154098890425","0.242147053934649","0","2017.96777065247","-996.423093648315","91"
"53","-1.44444444444444","-4.55555555555556","0.2","0.2","NaN","-2.38211436031045","-3.18002261102941","0.272223478465059","0.242105758905404","0","2017.96777594039","-996.423096292274","18"
"54","-1.22222222222222","-5","0.2","0.2","NaN","-2.38191964197928","-3.17877521818191","0.272110019301247","0.242072837969133","0","2017.96780877971","-996.423112711932","9"
"55","-1.88888888888889","-4.11111111111111","0.2","0.2","NaN","-2.38204083414221","-3.17904279239685","0.272157881796527","0.242125304629659","0","2017.96772426022","-996.423070452191","26"
"56","-1.44444444444444","-1.88888888888889","0.2","0.2","NaN","-2.3823144008431","-3.17974863343427","0.272196297702841","0.242128665143018","0","2017.96773821213","-996.423077428143","78"
"57","-1.88888888888889","-1.88888888888889","0.2","0.2","NaN","-2.3822429617789","-3.17953982373603","0.272178620900596","0.242138227175081","0","2017.96773297834","-996.423074811249","76"
"58","-1.22222222222222","-2.77777777777778","0.2","0.2","NaN","-2.38179824453313","-3.17871322130023","0.272139495439336","0.242093095335656","0","2017.96776220082","-996.423089422488","59"
"59","-2.11111111111111","-4.11111111111111","0.2","0.2","NaN","-2.38239865548479","-3.17895835001418","0.272217039084515","0.242086221846729","0","2017.96778389011","-996.423100267135","25"
"60","-2.33333333333333","-4.11111111111111","0.2","0.2","NaN","-2.38224958713972","-3.1792907277282","0.272155263029527","0.242113441662779","0","2017.96772300261","-996.423069823385","24"
"61","-3","-2.77777777777778","0.2","0.2","NaN","-2.38209876807297","-3.17992277546015","0.272181681179014","0.242082805586442","0","2017.96775016831","-996.423083406233","51"
"62","-1.44444444444444","-3.22222222222222","0.2","0.2","NaN","-2.38220414307434","-3.18019431571823","0.272176942930993","0.24210216432424","0","2017.96774332484","-996.423079984502","48"
"63","-1.22222222222222","-1.88888888888889","0.2","0.2","NaN","-2.38220754353721","-3.17892762703714","0.27220103485628","0.242121983063007","0","2017.96773486231","-996.423075753236","79"
"64","-2.55555555555556","-5","0.2","0.2","NaN","-2.38213359919423","-3.17888865174744","0.272153108370792","0.242092504805126","0","2017.96772982894","-996.423073236549","3"
"65","-2.77777777777778","-2.77777777777778","0.2","0.2","NaN","-2.38313050158516","-3.18239798336237","0.27215591692652","0.242127021459919","0","2017.96803512235","-996.423225883255","52"
"66","-1","-4.55555555555556","0.2","0.2","NaN","-2.38205646171915","-3.17992277851411","0.272171328984408","0.242068457784989","0","2017.96777208405","-996.423094364104","20"
"67","-2.33333333333333","-1.44444444444444","0.2","0.2","NaN","-2.38221063793317","-3.17875766157591","0.272191413219704","0.242121435178537","0","2017.96773398234","-996.42307531325","84"
"68","-1.88888888888889","-2.77777777777778","0.2","0.2","NaN","-2.38222618464261","-3.17934067718916","0.272179462453966","0.242133362197446","0","2017.96772695819","-996.423071801173","56"
