"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-04","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","853"
"2","-1","-5e-04","1e-04","-2","-1.125","0.2","0.2","NaN","-1.00804853325552","-0.000761294935680002","-1.96242146201741","0.00012363656741719","-1.11114073891022","0.266493995554464","0.236975784677678","0","2016.79361672559","-986.415422926433","2355"
"3","-2.5","-5e-04","1e-04","-4","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2102"
"4","-2.5","-5e-05","-5e-05","-2","-1.125","0.2","0.2","NaN","-1.6534369574332","-0.000413019366063939","-3.12322907796546","0.000104340624820749","-0.391337382898175","0.239798302659425","0.245407831944736","0","1863.45952973194","-909.748379429608","2342"
"5","-1","-5e-04","-5e-04","-3","-1.125","0.2","0.2","NaN","-1.0622274641655","-0.000705384661026785","-3.03571716778255","0.0013871336202178","-1.08368574819338","0.331951331673542","0.235708125347532","0","2064.04945955366","-1010.04334434047","2130"
"6","-3","1e-04","-2e-04","-2","-2.375","0.2","0.2","NaN","-1.70329515331263","-0.000405194335895774","-2.76137750694915","-6.87533335942264e-06","-2.30881762916927","0.238760395908747","0.241928027370822","0","1880.16508568441","-918.101157405843","1071"
"7","-3","-5e-04","-0.00035","-5","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","2526"
"8","-3","-5e-04","-2e-04","-4","-1.75","0.2","0.2","NaN","-3.37039242901674","-0.000116724061794835","-3.81196636523999","-0.471527677301096","-1.65219697321823","0.347084128739508","0.242375344541913","0","2298.12176144446","-1127.07949528587","1426"
"9","-2","1e-04","1e-04","-2","-1.75","0.2","0.2","NaN","-1.70679118348693","-0.000396684019506842","-3.32114202961818","0.000209784493333696","-0.345283771519955","0.230334390839733","0.242213446433769","0","1857.46663199098","-906.751930559127","1748"
"10","-3","-5e-04","-0.00035","-3","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","276"
"11","-1","-5e-04","-2e-04","-4","-3","0.2","0.2","NaN","-0.720988940179942","-0.000975723136045899","-3.79362796827653","0.129258971288618","-3.0091419830773","0.339277256331466","0.245760077417948","0","2269.63529003012","-1112.8362595787","180"
"12","-2","1e-04","-5e-05","-5","-2.375","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","723"
"13","-1.5","-2e-04","-2e-04","-5","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1314"
"14","-3","-5e-05","-5e-05","-1","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","3091"
"15","-2","-5e-04","1e-04","-1","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1228"
"16","-1","-5e-04","-2e-04","-2","-0.5","0.2","0.2","NaN","-0.784294798279813","-0.000878493712729503","-2.39338640253822","0.000842703575120015","0.49586655535108","0.282173844683111","0.211449454303617","0","2012.48877030467","-984.262999715973","2930"
"17","-2","-0.00035","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","858"
"18","-3","-0.00035","-2e-04","-4","-1.125","0.2","0.2","NaN","-1.98397548412695","-0.000299363287083608","-5.94251022718702","0.000496072311468974","-1.85830426341712","0.235836001893634","0.241209346318271","0","1885.62998683347","-920.833607980372","2056"
"19","-1","-5e-04","-5e-05","-2","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1705"
