"","a_log","a12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-05","-1","-3","0.2","0.2","NaN","-1.88623606193234","-0.00034107354399824","-3.31051399779278","-6.98677309440774","0.232512651667291","0.242010465801068","0","1861.853019671","-912.085322318619","118"
"2","-1.5","-5e-04","-3","-2.375","0.2","0.2","NaN","-1.82936959211122","-0.00035974940691957","-3.26276000684464","-1.65137264615518","0.23113082137921","0.241930883292783","0","1856.98384896207","-909.650736964154","179"
"3","-1.5","-5e-05","-5","-1.125","0.2","0.2","NaN","-1.82247231574423","-0.000361998466991909","-3.22493196553946","-1.5352867539241","0.231647169577994","0.241669927005483","0","1856.63918616355","-909.478405564893","394"
"4","-1","-0.00035","-1","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","360"
"5","-1.5","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.88445428099858","-0.000341472692123754","-3.31239737485144","-4.87080761203208","0.232497718644276","0.242031753448125","0","1861.55967102179","-911.938647994014","389"
"6","-3","-0.00035","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","306"
"7","-2.5","1e-04","-1","-3","0.2","0.2","NaN","-1.87892339704534","-0.000343084446654686","-3.2995192858538","-3.46452866852288","0.232174644880146","0.241743016032769","0","1860.62143312872","-911.469529047479","122"
"8","-1","-0.00035","-3","-1.75","0.2","0.2","NaN","-1.79208035952482","-0.000372171448473045","-3.1763806555124","-1.066877645812","0.231295180972192","0.241968027096292","0","1856.04443766223","-909.181031314236","310"
"9","-2.5","-5e-04","-4","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","527"
"10","-2","-5e-04","-2","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","203"
"11","-1","-2e-04","-4","-3","0.2","0.2","NaN","-1.86379065421449","-0.000347917282945218","-3.28167332610025","-2.65441788065942","0.23198877011568","0.241859053170868","0","1859.31982792216","-910.818726444198","40"
"12","-2","-5e-04","-1","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","478"
