"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-2","-10","-0.5","0.2","0.2","NaN","-1.60556332845198","-3.37906942227646","-1.29320272631683","-4.93150235776227","0.236062211705715","0.241778888309376","0","1890.46252924409","-926.390077105164","518"
"2","-3","-3","-6.25","-3","0.2","0.2","NaN","-1.64135477811796","-3.48184193862726","-0.96774105398977","-4.94495962857958","0.239421590898079","0.242624217288884","0","1889.35779834897","-925.837711657603","86"
"3","-2","-4","-10","-1.125","0.2","0.2","NaN","-0.196689484288631","-2.94001292008372","4.47538903762262","-4.96565627890995","0.251330512331002","0.241634376758936","0","1943.41898442347","-952.868304694855","383"
"4","-2","-2","-8.75","-0.5","0.2","0.2","NaN","-1.60556332845198","-3.37906942227646","-1.29320272631683","-4.93150235776227","0.236062211705715","0.241778888309376","0","1890.46252924409","-926.390077105164","543"
"5","-1","-5","-7.5","-2.375","0.2","0.2","NaN","-1.72272703340766","-3.63666892955331","-5.06456742853458","-4.88529981817241","0.239440937341194","0.241938892004491","0","1892.99219986144","-927.654912413837","180"
"6","-1","-1","-10","-3","0.2","0.2","NaN","-1.72352568413995","-3.63395589688521","-6.470101891298","-4.885269445215","0.239433155846551","0.24202302927928","0","1893.15033278091","-927.733978873576","25"
"7","-1","-5","-6.25","-3","0.2","0.2","NaN","-1.7243027649747","-3.63473991757351","-10.0075412680018","-4.88512408161504","0.239439142207018","0.242002891245319","0","1893.20169950908","-927.759662237659","80"
"8","-2","-3","-7.5","-2.375","0.2","0.2","NaN","-1.72384608275214","-3.63456442672825","-10.576019191466","-4.88396278760704","0.239444528088096","0.242018221099386","0","1893.20241200814","-927.76001848719","188"
"9","-1.5","-2","-10","-0.5","0.2","0.2","NaN","-1.65237520754024","-3.5100538263727","-1.19899217459601","-4.92731767680053","0.238526016122021","0.242020538736811","0","1889.18650619042","-925.75206557833","519"
"10","-2.5","-3","-5","-2.375","0.2","0.2","NaN","-1.7245896991087","-3.63521145884778","-7.24439574761583","-4.88601521791761","0.239419808284693","0.242011990025545","0","1893.17887063022","-927.748247798231","237"
"11","-3","-4","-5","-0.5","0.2","0.2","NaN","-1.71704605428274","-3.62525063822334","-3.27831518529842","-4.89662125170596","0.239317755649065","0.241786100962637","0","1892.06283997584","-927.19023247104","606"
"12","-2.5","-2","-5","-1.125","0.2","0.2","NaN","-1.65284411075906","-3.51013881586724","-1.20062225082839","-4.92766546964581","0.238510442020607","0.242030343078641","0","1889.18653474295","-925.752079854595","492"
"13","-1.5","-5","-6.25","-2.375","0.2","0.2","NaN","-2.29279464537379","-3.08689056457865","-1.11595425960324","-10.5359558166826","0.270941574416379","0.241995673015534","0","2024.17131025083","-993.244467608536","204"
"14","-1","-3","-8.75","-2.375","0.2","0.2","NaN","-1.71606390730391","-3.6240106381328","-3.10912131338278","-4.89993241111244","0.239095096126213","0.242111325931066","0","1891.88322472494","-927.100424845589","165"
"15","-2","-1","-5","-1.125","0.2","0.2","NaN","-1.72392492775623","-3.63487725911446","-8.25786100911975","-4.88559728583435","0.239441247760797","0.242061983499376","0","1893.19447591528","-927.756050440757","498"
"16","-1","-2","-8.75","-0.5","0.2","0.2","NaN","-1.72551774091524","-3.59998061881211","-3.82161686335886","-4.91914276537963","0.238248946570067","0.240801554395962","0","1892.59743767461","-927.457531320423","545"
"17","-3","-5","-7.5","-2.375","0.2","0.2","NaN","0.339118525761059","-2.89745268410089","5.15210990962463","-4.96265899061862","0.252050664722443","0.241898320753328","0","1945.04602543137","-953.681825198802","176"
"18","-1.5","-1","-8.75","-0.5","0.2","0.2","NaN","-1.47189246076389","-3.1847347712529","-0.0711342304775908","-4.88293547043909","0.240483054072981","0.238141800780163","0","1897.71387456443","-930.015749765334","549"
"19","-1.5","-4","-6.25","-0.5","0.2","0.2","NaN","-1.71386872961523","-3.62336353338764","-3.32488064085683","-4.89369146785391","0.23919507771815","0.24197742732221","0","1892.10390619785","-927.210765582043","584"
"20","-1","-3","-5","-2.375","0.2","0.2","NaN","-1.71606390730391","-3.6240106381328","-3.10912131338278","-4.89993241111244","0.239095096126213","0.242111325931066","0","1891.88322472494","-927.100424845589","240"
"21","-1","-5","-7.5","-1.75","0.2","0.2","NaN","-1.72135639359184","-3.62990131191802","-4.75225567923888","-4.88555015568593","0.239162944651491","0.242022068234123","0","1892.91564145547","-927.616633210855","305"
"22","-2","-1","-10","-0.5","0.2","0.2","NaN","-1.65236739233827","-3.50940895136441","-1.19692382443119","-4.92775122896814","0.238481472102552","0.241987697710814","0","1889.1865337589","-925.752079362567","523"
"23","-3","-4","-6.25","-0.5","0.2","0.2","NaN","-1.71704605428274","-3.62525063822334","-3.27831518529842","-4.89662125170596","0.239317755649065","0.241786100962637","0","1892.06283997584","-927.19023247104","581"
"24","-2.5","-3","-10","-1.75","0.2","0.2","NaN","-1.72429916946642","-3.63419018482135","-6.28570232631102","-4.88678505412778","0.239425188286852","0.241984461661936","0","1893.13981047824","-927.728717722237","262"
"25","-2","-1","-10","-1.75","0.2","0.2","NaN","-2.27777367343883","-3.02649381120694","-0.970365191675141","-15.2511299249473","0.271170561365081","0.242172061541414","0","2026.26365955704","-994.29064226164","273"
"26","-3","-5","-6.25","-3","0.2","0.2","NaN","-1.72402387341975","-3.63465406977253","-7.77696458836073","-4.8849649672586","0.239423709023148","0.24202693055688","0","1893.18886075297","-927.753242859603","76"
"27","-2","-5","-7.5","-1.75","0.2","0.2","NaN","-1.72487596331506","-3.63411887629706","-8.09313371356001","-4.88762399674326","0.239417755758994","0.242104783738483","0","1893.19314061022","-927.75538278823","303"
"28","-2","-4","-10","-3","0.2","0.2","NaN","-1.72368594980488","-3.63455957444118","-6.27814926248959","-4.88571150173884","0.239406899383136","0.24201361397243","0","1893.13923784662","-927.728431406429","8"
"29","-1","-5","-10","-1.75","0.2","0.2","NaN","-1.65468668163604","-3.51420341149019","-1.18424223930714","-4.93084909064296","0.238698593234647","0.241791872531365","0","1889.19109485885","-925.754359912542","255"
"30","-1.5","-3","-7.5","-2.375","0.2","0.2","NaN","-1.6522775161121","-3.5087317953282","-1.19839120262927","-4.92829817454857","0.238481725612227","0.24202039343251","0","1889.18654868149","-925.752086823865","189"
"31","-1","-2","-6.25","-2.375","0.2","0.2","NaN","-1.71159257496762","-3.61061181896115","-3.09244334796349","-4.8993591400165","0.239086277290248","0.241942832018361","0","1891.85151838107","-927.084571673657","220"
"32","-1","-2","-8.75","-3","0.2","0.2","NaN","-1.71993704731249","-3.62551670853663","-3.42927456107753","-4.90109832487398","0.239026350258153","0.24221759260077","0","1892.2091278687","-927.263376417469","45"
"33","-1.5","-3","-5","-2.375","0.2","0.2","NaN","-1.6522775161121","-3.5087317953282","-1.19839120262927","-4.92829817454857","0.238481725612227","0.24202039343251","0","1889.18654868149","-925.752086823865","239"
"34","-1","-1","-5","-0.5","0.2","0.2","NaN","-2.2758369743936","-3.02282467640037","-1.06482554324639","-11.8267345317444","0.271053221061975","0.242079570108442","0","2025.70625341825","-994.011939192246","625"
"35","-2","-4","-7.5","-3","0.2","0.2","NaN","-1.72368594980488","-3.63455957444118","-6.27814926248959","-4.88571150173884","0.239406899383136","0.24201361397243","0","1893.13923784662","-927.728431406429","58"
"36","-1.5","-3","-10","-2.375","0.2","0.2","NaN","-1.6522775161121","-3.5087317953282","-1.19839120262927","-4.92829817454857","0.238481725612227","0.24202039343251","0","1889.18654868149","-925.752086823865","139"
"37","-1.5","-3","-7.5","-3","0.2","0.2","NaN","-1.72458796109552","-3.63463645961095","-6.11055468273401","-4.88711274938044","0.239397203204803","0.242054419400435","0","1893.12789752161","-927.722761243925","64"
"38","-3","-3","-7.5","-3","0.2","0.2","NaN","-1.65205918888388","-3.50867491881341","-1.19464796388933","-4.92700152512466","0.238514806132146","0.242042506591668","0","1889.1865737191","-925.752099342671","61"
"39","-2.5","-4","-5","-2.375","0.2","0.2","NaN","-1.72230769643903","-3.63172665701692","-5.44445339428088","-4.88692340311519","0.239388055342913","0.241929317134021","0","1893.05732912612","-927.687477046182","232"
"40","-1.5","-5","-10","-0.5","0.2","0.2","NaN","-1.72396779491444","-3.63503920396021","-8.00584265151108","-4.88476537358892","0.239419821430161","0.241996238946771","0","1893.19181424698","-927.754719606608","504"
"41","-1.5","-5","-8.75","-2.375","0.2","0.2","NaN","-1.72414980732125","-3.63557575698776","-6.91884551742547","-4.88469454283128","0.239424258397841","0.24199987383511","0","1893.1694872788","-927.743556122521","154"
"42","-1","-4","-8.75","-0.5","0.2","0.2","NaN","-1.72302522940976","-3.63605559108649","-3.81794254478175","-4.89813702044819","0.239274761420437","0.242100094042404","0","1892.51400854269","-927.415816754463","535"
"43","-2.5","-1","-5","-0.5","0.2","0.2","NaN","-1.71679813564326","-3.60897347726091","-3.40701468169491","-4.90552247816346","0.239190381000705","0.242059563533788","0","1892.18480156073","-927.251213263484","622"
"44","-1.5","-1","-7.5","-2.375","0.2","0.2","NaN","-1.72128635976946","-3.61129130118751","-2.87506846765626","-4.92296766274205","0.239056902882081","0.241636287896129","0","1891.62662843304","-926.972126699641","199"
"45","-2.5","-2","-8.75","-1.75","0.2","0.2","NaN","-1.70646378002494","-3.60214520640209","-3.27144890717783","-4.89119418964951","0.239744317699739","0.241454733411234","0","1892.06778410746","-927.19270453685","292"
"46","-2.5","-1","-7.5","-1.75","0.2","0.2","NaN","-1.67429498976486","-3.54843651977484","-1.59413552629221","-4.91952477593669","0.238921497062626","0.241866410557609","0","1889.49551224512","-925.906568605682","322"
"47","-2.5","-2","-5","-0.5","0.2","0.2","NaN","-1.65226963026633","-3.50883427775396","-1.19504905668154","-4.92774010755435","0.238542624935105","0.24197873661365","0","1889.18654654307","-925.752085754656","617"
"48","-2.5","-5","-5","-3","0.2","0.2","NaN","-1.72418416381605","-3.63509857673608","-11.638826863003","-4.88470589268243","0.239418989352771","0.242021076441043","0","1893.20293453393","-927.760279750086","102"
"49","-2.5","-3","-7.5","-2.375","0.2","0.2","NaN","-1.71291999599989","-3.6238588800573","-2.84050404311163","-4.89829553699771","0.239260028571559","0.241792318608774","0","1891.55659769767","-926.937111331955","187"
"50","-2.5","-2","-8.75","-1.125","0.2","0.2","NaN","-1.65186883853611","-3.5082542832363","-1.19442003275689","-4.92791747026482","0.238534454122719","0.242005323682224","0","1889.18655471406","-925.75208984015","417"
"51","-1","-5","-10","-1.125","0.2","0.2","NaN","-1.64636460605242","-3.51119339049011","-1.19690127483336","-4.89832853830788","0.238749316520112","0.241331580086976","0","1889.23361341121","-925.775619188725","380"
"52","-2","-1","-5","-0.5","0.2","0.2","NaN","-1.65257778435694","-3.51006746533206","-1.1975683357332","-4.9275710261371","0.238518107159044","0.242030037786639","0","1889.18650887678","-925.752066921508","623"
"53","-2.5","-4","-7.5","-2.375","0.2","0.2","NaN","-1.65241890577263","-3.50956065059542","-1.19840874296062","-4.9274659201382","0.238557918928121","0.24204783223621","0","1889.18652049424","-925.752072730239","182"
"54","-2","-2","-8.75","-2.375","0.2","0.2","NaN","-1.65096053272755","-3.50764486900949","-1.20603379626395","-4.92399856371891","0.238655292945253","0.241945945455585","0","1889.18806634157","-925.752845653904","168"
"55","-2","-3","-5","-3","0.2","0.2","NaN","-1.72303437405137","-3.63064123470055","-4.36727447848967","-4.89312814218172","0.239168566283204","0.242011422238798","0","1892.78748045069","-927.552552708465","113"
"56","-2","-3","-8.75","-2.375","0.2","0.2","NaN","-1.7240687911338","-3.62736378519102","-4.1227068119075","-4.89908449144109","0.239319347486204","0.241961617078327","0","1892.6807507677","-927.499187866967","163"
"57","-3","-3","-7.5","-0.5","0.2","0.2","NaN","-1.65275482203867","-3.50934807369486","-1.19572994487651","-4.93003368220116","0.238567196972007","0.242000193505596","0","1889.18677704998","-925.752201008109","561"
"58","-2","-2","-5","-1.125","0.2","0.2","NaN","-1.72376471309242","-3.62730966593492","-4.89682739022088","-4.89428591915707","0.239338771942792","0.242018537594171","0","1892.95503169334","-927.636328329787","493"
"59","-2.5","-5","-7.5","-0.5","0.2","0.2","NaN","-1.72447585507267","-3.63460482190202","-6.99512718256355","-4.88614844759774","0.239404065259622","0.241999428680533","0","1893.1719542404","-927.744789603321","552"
"60","-2","-5","-7.5","-0.5","0.2","0.2","NaN","-1.72043198707651","-3.62963674435411","-3.97533758911902","-4.89187180542067","0.239287628950033","0.242149911914689","0","1892.59810775337","-927.457866359803","553"
"61","-2.5","-3","-10","-3","0.2","0.2","NaN","-1.66807653330583","-3.50270710755948","-1.25607156879197","-4.9372029161807","0.239830182259891","0.242653835463209","0","1889.30956739606","-925.813596181148","12"
"62","-1","-2","-6.25","-1.125","0.2","0.2","NaN","-1.65210283935092","-3.50977437139516","-1.19779563910987","-4.92690348504049","0.238484304486136","0.241992203919599","0","1889.1865578781","-925.752091422168","470"
"63","-3","-3","-6.25","-0.5","0.2","0.2","NaN","-1.65275482203867","-3.50934807369486","-1.19572994487651","-4.93003368220116","0.238567196972007","0.242000193505596","0","1889.18677704998","-925.752201008109","586"
"64","-2.5","-3","-8.75","-2.375","0.2","0.2","NaN","-1.65503172599885","-3.50752853438002","-1.16999262179389","-4.93727887793434","0.238729099658381","0.242391166505377","0","1889.19545852955","-925.756541747896","162"
"65","-2","-2","-7.5","-2.375","0.2","0.2","NaN","-1.65096053272755","-3.50764486900949","-1.20603379626395","-4.92399856371891","0.238655292945253","0.241945945455585","0","1889.18806634157","-925.752845653904","193"
"66","-2","-3","-10","-2.375","0.2","0.2","NaN","-1.7240687911338","-3.62736378519102","-4.1227068119075","-4.89908449144109","0.239319347486204","0.241961617078327","0","1892.6807507677","-927.499187866967","138"
"67","-1.5","-2","-8.75","-2.375","0.2","0.2","NaN","-1.65357617442071","-3.50738584698931","-1.19387139589626","-4.93019018548266","0.238622527706589","0.242303737257236","0","1889.18893106945","-925.753278017843","169"
"68","-1","-4","-6.25","-1.75","0.2","0.2","NaN","-1.7236236026927","-3.636949314671","-4.44747989488817","-4.89304240639024","0.239271064917844","0.241956336458937","0","1892.82217134523","-927.569898155734","335"
"69","-3","-2","-8.75","-0.5","0.2","0.2","NaN","-1.6624279663915","-3.52421364675001","-1.33768833317993","-4.93005425493989","0.238432003796956","0.242218076229552","0","1889.23401280958","-925.775818887907","541"
"70","-1","-3","-6.25","-3","0.2","0.2","NaN","-1.66826957298071","-3.56655075988727","-1.40527311875469","-4.92058736580395","0.238445742891509","0.241956291910168","0","1889.36110886611","-925.839366916176","90"
"71","-1.5","-3","-6.25","-2.375","0.2","0.2","NaN","-1.65254598856773","-3.50942338724817","-1.19907796253806","-4.92788768925567","0.238529907315907","0.242038248210733","0","1889.186492431","-925.752058698621","214"
"72","-1","-1","-6.25","-2.375","0.2","0.2","NaN","-1.72302214431658","-3.63067764336088","-5.31312324635238","-4.88874598364064","0.239415613119859","0.242030647130165","0","1893.03703114185","-927.677328054047","225"
"73","-2","-5","-10","-3","0.2","0.2","NaN","-1.65504682723479","-3.50987011772382","-1.19895881396793","-4.93131193126372","0.238484002467026","0.241715986997386","0","1889.18964128605","-925.753633126144","3"
"74","-2","-2","-6.25","-1.75","0.2","0.2","NaN","-1.65245038988622","-3.50925713509907","-1.19786894459113","-4.92755716245554","0.238504031734137","0.242004563159116","0","1889.18650287488","-925.75206392056","343"
"75","-2.5","-1","-5","-1.125","0.2","0.2","NaN","-1.65214200100926","-3.50912880488677","-1.1936765713496","-4.92765220780258","0.238550054397409","0.242018322447593","0","1889.18653367864","-925.75207932244","497"
"76","-2","-1","-7.5","-0.5","0.2","0.2","NaN","-1.65267879481084","-3.50928026781964","-1.20052319150436","-4.92815288253454","0.238498362670612","0.242004930035355","0","1889.18652758913","-925.752076277682","573"
"77","-2","-4","-8.75","-2.375","0.2","0.2","NaN","-1.65242927537622","-3.50941091877267","-1.19722451872906","-4.92800504115374","0.238514985503456","0.242005942119833","0","1889.18648883653","-925.752056901383","158"
"78","-2","-1","-10","-3","0.2","0.2","NaN","-1.68755110882109","-3.57316223351748","-2.01839975797601","-4.91123965829382","0.238797930983302","0.241994862917443","0","1890.18187743957","-926.249751202904","23"
"79","-2.5","-4","-10","-0.5","0.2","0.2","NaN","-1.65335166658726","-3.51253965224754","-1.21082242997191","-4.92690266466914","0.23845327113187","0.241897190424764","0","1889.18746371755","-925.752544341894","507"
"80","-1.5","-2","-10","-1.75","0.2","0.2","NaN","-1.65273317446096","-3.511515458967","-1.19747638913886","-4.9271786942582","0.238508092875099","0.242116069654823","0","1889.1868664045","-925.752245685371","269"
"81","-2","-5","-8.75","-1.75","0.2","0.2","NaN","-1.68937782291033","-3.55546076168155","-1.8376462404611","-4.91460125272335","0.237787741098251","0.24246414589844","0","1889.91791732426","-926.117771145247","278"
"82","-3","-1","-5","-1.75","0.2","0.2","NaN","-1.65179904946975","-3.50906880824561","-1.1954997055445","-4.92782444007627","0.23854683186675","0.242045226010708","0","1889.18660973112","-925.752117348679","371"
"83","-2","-1","-6.25","-0.5","0.2","0.2","NaN","-1.65267879481084","-3.50928026781964","-1.20052319150436","-4.92815288253454","0.238498362670612","0.242004930035355","0","1889.18652758913","-925.752076277682","598"
"84","-1.5","-1","-5","-0.5","0.2","0.2","NaN","-1.65261737502731","-3.51208318576866","-1.2012573260406","-4.92557892307466","0.238534778589973","0.241980949179866","0","1889.18688404942","-925.752254507829","624"
"85","-2.5","-5","-6.25","-0.5","0.2","0.2","NaN","-1.65253473080957","-3.50883392598969","-1.21087828528355","-4.92800875605076","0.238582610608541","0.242006059263073","0","1889.1871407064","-925.752382836321","577"
"86","-1","-3","-10","-1.75","0.2","0.2","NaN","-1.69385877426023","-3.57151169547061","-1.71768863334524","-4.95038088055497","0.238811202298789","0.241932907712774","0","1889.76404295462","-926.040833960431","265"
"87","-1.5","-4","-6.25","-3","0.2","0.2","NaN","-1.71806759289036","-3.62305605098347","-3.64022216717894","-4.89716839375342","0.239316945754419","0.242038034302802","0","1892.37612988332","-927.346877424778","84"
"88","-3","-1","-6.25","-1.75","0.2","0.2","NaN","-1.65179904946975","-3.50906880824561","-1.1954997055445","-4.92782444007627","0.23854683186675","0.242045226010708","0","1889.18660973112","-925.752117348679","346"
"89","-3","-4","-7.5","-1.125","0.2","0.2","NaN","-1.67952410580867","-3.62304542603603","-1.39328961847375","-4.89519653873547","0.236561457663779","0.241927603969794","0","1889.7728280876","-926.045226526919","431"
"90","-1.5","-2","-8.75","-3","0.2","0.2","NaN","-1.70689679137925","-3.60702460203817","-2.89435101832718","-4.89719163089487","0.239246882699012","0.242004511688487","0","1891.60514674555","-926.961385855893","44"
"91","-2.5","-4","-8.75","-1.125","0.2","0.2","NaN","-1.70366784849664","-3.59696487643505","-2.41948571407821","-4.91533382199257","0.238636780579528","0.241958648743173","0","1890.90110693671","-926.609365951475","407"
"92","-2.5","-5","-7.5","-3","0.2","0.2","NaN","-1.72369976842167","-3.63520980306215","-6.73707489766474","-4.88587225922415","0.239437066890706","0.241956620865525","0","1893.16295442114","-927.740289693687","52"
"93","-1","-5","-5","-3","0.2","0.2","NaN","-1.65566437199301","-3.51427684495083","-1.25502462531676","-4.92608990368706","0.238723695120085","0.241639404970217","0","1889.19770123086","-925.757663098548","105"
"94","-1","-1","-8.75","-0.5","0.2","0.2","NaN","-1.65190643999607","-3.50882713614862","-1.18409614426835","-4.92779502148095","0.238539531003362","0.24196738906666","0","1889.18702286074","-925.752323913491","550"
"95","-3","-5","-8.75","-1.75","0.2","0.2","NaN","-1.65214738669001","-3.50889505300387","-1.19650632706552","-4.92814511393358","0.238536674615888","0.242028786182766","0","1889.18651413068","-925.752069548458","276"
"96","-2.5","-4","-7.5","-1.125","0.2","0.2","NaN","-1.70366784849664","-3.59696487643505","-2.41948571407821","-4.91533382199257","0.238636780579528","0.241958648743173","0","1890.90110693671","-926.609365951475","432"
"97","-1.5","-2","-7.5","-1.125","0.2","0.2","NaN","-1.65217274650443","-3.50894950670756","-1.19852958011437","-4.92726273341608","0.238543326529306","0.242049350343054","0","1889.18652734569","-925.752076155964","444"
